Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
RRH,1982-03-25,190.71,22.82,11.97,181.3,,,,,,,706.3
RRH,1982-03-26,180.96,13.08,7.23,180.6,,,,,,,706.67
RRH,1982-03-27,184.65,14.9,8.07,184.3,,,,,,,706.64
RRH,1982-03-28,176.06,4.23,2.4,178.2,,,,,,,706.54
RRH,1982-03-29,186.99,14.77,7.9,181.3,,,,,,,706.59
RRH,1982-03-30,176.41,0.81,0.46,176.8,,,,,,,705.93
RRH,1982-03-31,183.87,9.71,5.28,189.5,,,,,,,706.53
RRH,1982-04-01,188.95,18.22,9.64,171.4,,,,,,,706.59
RRH,1982-04-02,155.25,7.05,4.54,164.1,,,,,,,706.32
RRH,1982-04-03,173.4,1.94,1.12,175.4,,,,,,,706.23
RRH,1982-04-04,184.2,7.1,3.85,198.2,,,,,,,706.52
RRH,1982-04-05,190.22,19.15,10.07,171.1,,,,,,,706.44
RRH,1982-04-06,171.9,3.97,2.31,168.6,,,,,,,706.48
RRH,1982-04-07,155.03,0.0,0.0,157.4,,,,,,,706.32
RRH,1982-04-08,150.55,0.0,0.0,148.2,,,,,,,706.25
RRH,1982-04-09,167.0,8.19,4.91,161.5,,,,,,,706.61
RRH,1982-04-10,150.5,0.0,0.0,156.5,,,,,,,706.14
RRH,1982-04-11,157.51,18.34,11.64,150.0,,,,,,,705.61
RRH,1982-04-12,149.03,14.21,9.54,156.5,,,,,,,706.0
RRH,1982-04-13,179.16,32.47,18.12,184.7,,,,,,,706.79
RRH,1982-04-14,191.1,40.13,21.0,214.1,,,,,,,706.7
RRH,1982-04-15,204.62,41.35,20.21,188.9,,,,,,,706.6
RRH,1982-04-16,179.98,41.58,23.1,188.8,,,,,,,706.66
RRH,1982-04-17,178.95,34.49,19.27,172.3,,,,,,,706.68
RRH,1982-04-18,177.91,38.58,21.68,190.3,,,,,,,706.67
RRH,1982-04-19,199.89,47.12,23.57,191.4,,,,,,,706.7
RRH,1982-04-20,164.77,28.67,17.4,152.2,,,,,,,706.19
RRH,1982-04-21,156.89,28.88,18.4,148.0,,,,,,,706.47
RRH,1982-04-22,149.33,23.37,15.65,151.2,,,,,,,705.13
RRH,1982-04-23,150.71,12.73,8.44,144.0,,,,,,,705.14
RRH,1982-04-24,131.9,15.28,11.58,120.9,,,,,,,704.83
RRH,1982-04-25,116.36,18.55,15.94,118.4,,,,,,,705.63
RRH,1982-04-26,121.57,17.0,13.98,130.6,,,,,,,706.29
RRH,1982-04-27,133.24,13.17,9.89,129.2,,,,,,,706.28
RRH,1982-04-28,128.38,16.78,13.07,133.6,,,,,,,705.7
RRH,1982-04-29,125.34,9.15,7.3,116.8,,,,,,,705.82
RRH,1982-04-30,117.88,14.4,12.21,130.5,,,,,,,706.12
RRH,1982-05-01,128.38,23.46,18.28,125.4,,,,,,,706.3
RRH,1982-05-02,151.32,36.12,23.87,166.6,,,,,,,706.64
RRH,1982-05-03,167.79,33.92,20.21,172.3,,,,,,,706.57
RRH,1982-05-04,178.72,52.38,29.31,169.4,,,,,,,706.51
RRH,1982-05-05,163.64,41.42,25.31,164.3,,,,,,,705.92
RRH,1982-05-06,162.47,39.69,24.43,165.3,,,,,,,706.33
RRH,1982-05-07,165.96,46.92,28.27,162.7,,,,,,,706.39
RRH,1982-05-08,179.57,57.98,32.29,189.6,,,,,,,706.59
RRH,1982-05-09,189.29,72.67,38.39,190.0,,,,,,,706.57
RRH,1982-05-10,187.55,54.13,28.86,181.0,,,,,,,706.34
RRH,1982-05-11,174.75,31.48,18.01,160.3,,,,,,,706.13
RRH,1982-05-12,152.06,7.97,5.24,164.3,,,,,,,705.29
RRH,1982-05-13,160.1,21.62,13.5,153.4,,,,,,,705.31
RRH,1982-05-14,153.27,29.23,19.07,149.7,,,,,,,705.3
RRH,1982-05-15,154.31,37.73,24.45,169.3,,,,,,,706.41
RRH,1982-05-16,173.73,59.13,34.03,175.0,,,,,,,707.01
RRH,1982-05-17,179.02,59.65,33.32,192.6,,,,,,,706.71
RRH,1982-05-18,185.09,77.14,41.68,174.0,,,,,,,705.85
RRH,1982-05-19,185.3,96.48,52.07,192.6,,,,,,,706.62
RRH,1982-05-20,197.96,97.9,49.45,198.8,,,,,,,706.67
RRH,1982-05-21,190.29,89.76,47.17,192.5,,,,,,,706.56
RRH,1982-05-22,183.83,69.82,37.98,182.4,,,,,,,706.54
RRH,1982-05-23,194.34,81.67,42.02,187.1,,,,,,,706.53
RRH,1982-05-24,191.89,66.72,34.77,194.3,,,,,,,706.48
RRH,1982-05-25,189.23,83.77,44.27,188.2,,,,,,,706.63
RRH,1982-05-26,189.03,89.38,47.28,192.9,,,,,,,706.58
RRH,1982-05-27,181.35,72.12,39.77,179.3,,,,,,,706.6
RRH,1982-05-28,187.79,92.33,49.16,197.0,,,,,,,706.56
RRH,1982-05-29,182.63,116.82,63.96,178.4,,,,,,,706.58
RRH,1982-05-30,193.39,144.82,74.88,179.2,,,,,,,706.63
RRH,1982-05-31,169.87,98.55,58.01,179.0,,,,,,,706.57
RRH,1982-06-01,184.08,71.64,38.92,183.2,,,,,,,706.6
RRH,1982-06-02,183.22,63.54,34.68,185.5,,,,,,,706.61
RRH,1982-06-03,188.2,63.33,33.65,187.1,,,,,,,706.64
RRH,1982-06-04,183.77,56.7,30.86,187.5,,,,,,,706.7
RRH,1982-06-05,169.72,34.62,20.4,166.7,,,,,,,706.58
RRH,1982-06-06,173.98,57.26,32.91,156.2,,,,,,,705.91
RRH,1982-06-07,171.54,49.49,28.85,190.9,,,,,,,706.66
RRH,1982-06-08,173.53,30.64,17.66,168.7,,,,,,,706.6
RRH,1982-06-09,176.58,30.65,17.36,178.7,,,,,,,706.66
RRH,1982-06-10,173.28,18.8,10.85,181.6,,,,,,,706.6
RRH,1982-06-11,182.09,32.37,17.78,173.1,,,,,,,706.44
RRH,1982-06-12,174.47,20.11,11.53,175.4,,,,,,,706.57
RRH,1982-06-13,177.55,41.16,23.18,187.1,,,,,,,706.56
RRH,1982-06-14,194.77,67.33,34.57,197.0,,,,,,,706.66
RRH,1982-06-15,199.1,51.06,25.65,200.0,,,,,,,706.61
