Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
MCPW,1995-01-01,116.5,0.0,0.0,111.2,,,,,,,264.93
MCPW,1995-01-02,122.35,0.0,0.0,119.9,,,,,,,265.2
MCPW,1995-01-03,140.23,0.0,0.0,140.1,,,,,,,265.67
MCPW,1995-01-04,147.45,0.0,0.0,151.6,,,,,,,265.79
MCPW,1995-01-05,134.7,0.0,0.0,134.7,,,,,,,265.58
MCPW,1995-01-06,142.4,0.0,0.0,169.7,,,,,,,265.68
MCPW,1995-01-07,136.09,0.0,0.0,139.0,,,,,,,265.65
MCPW,1995-01-08,109.34,0.0,0.0,115.0,,,,,,,265.04
MCPW,1995-01-09,139.45,0.0,0.0,130.6,,,,,,,266.1
MCPW,1995-01-10,120.4,0.0,0.0,116.7,,,,,,,265.4
MCPW,1995-01-11,121.42,0.0,0.0,121.8,,,,,,,265.39
MCPW,1995-01-12,132.36,0.0,0.0,143.7,,,,,,,265.77
MCPW,1995-01-13,134.57,0.0,0.0,135.0,,,,,,,265.67
MCPW,1995-01-14,124.47,0.0,0.0,120.2,,,,,,,265.35
MCPW,1995-01-15,134.32,0.0,0.0,135.6,,,,,,,265.62
MCPW,1995-01-16,124.79,0.0,0.0,122.7,,,,,,,265.58
MCPW,1995-01-17,143.84,0.0,0.0,142.0,,,,,,,265.91
MCPW,1995-01-18,138.5,0.0,0.0,131.4,,,,,,,265.61
MCPW,1995-01-19,124.64,0.0,0.0,123.1,,,,,,,265.12
MCPW,1995-01-20,124.6,0.0,0.0,126.3,,,,,,,265.05
MCPW,1995-01-21,123.14,0.0,0.0,121.9,,,,,,,264.89
MCPW,1995-01-22,121.55,0.0,0.0,122.3,,,,,,,264.75
MCPW,1995-01-23,131.41,0.0,0.0,129.4,,,,,,,264.9
MCPW,1995-01-24,134.53,0.0,0.0,139.8,,,,,,,264.95
MCPW,1995-01-25,145.08,0.0,0.0,143.3,,,,,,,265.61
MCPW,1995-01-26,139.71,0.0,0.0,139.1,,,,,,,265.58
MCPW,1995-01-27,133.66,0.0,0.0,135.9,,,,,,,265.82
MCPW,1995-01-28,135.3,0.0,0.0,142.5,,,,,,,265.28
MCPW,1995-01-29,122.0,0.0,0.0,120.7,,,,,,,265.13
MCPW,1995-01-30,114.31,0.0,0.0,114.3,,,,,,,265.08
MCPW,1995-01-31,131.53,0.0,0.0,139.2,,,,,,,264.98
MCPW,1995-02-01,151.79,0.0,0.0,142.6,,,,,,,265.1
MCPW,1995-02-02,166.8,0.0,0.0,181.8,,,,,,,265.41
MCPW,1995-02-03,184.01,0.0,0.0,176.3,,,,,,,265.85
MCPW,1995-02-04,164.63,0.0,0.0,153.8,,,,,,,265.67
MCPW,1995-02-05,131.63,0.0,0.0,137.9,,,,,,,265.29
MCPW,1995-02-06,130.26,0.0,0.0,151.3,,,,,,,265.48
MCPW,1995-02-07,196.47,0.0,0.0,177.4,,,,,,,267.16
MCPW,1995-02-08,165.81,0.0,0.0,161.3,,,,,,,266.45
MCPW,1995-02-09,156.79,0.0,0.0,161.4,,,,,,,266.05
MCPW,1995-02-10,173.9,0.0,0.0,171.0,,,,,,,266.61
MCPW,1995-02-11,165.84,0.0,0.0,163.2,,,,,,,266.09
MCPW,1995-02-12,143.18,0.0,0.0,146.6,,,,,,,265.55
MCPW,1995-02-13,178.23,0.0,0.0,178.6,,,,,,,266.57
MCPW,1995-02-14,176.98,0.0,0.0,172.1,,,,,,,266.59
MCPW,1995-02-15,181.13,0.0,0.0,191.2,,,,,,,266.92
MCPW,1995-02-16,193.8,0.0,0.0,195.6,,,,,,,267.36
MCPW,1995-02-17,171.5,0.0,0.0,183.7,,,,,,,266.73
MCPW,1995-02-18,156.78,0.0,0.0,145.1,,,,,,,266.18
MCPW,1995-02-19,134.83,0.0,0.0,136.1,,,,,,,265.43
MCPW,1995-02-20,149.94,0.0,0.0,142.0,,,,,,,265.69
MCPW,1995-02-21,163.93,0.0,0.0,174.5,,,,,,,266.13
MCPW,1995-02-22,199.4,0.0,0.0,207.3,,,,,,,267.29
MCPW,1995-02-23,205.93,0.0,0.0,199.9,,,,,,,267.81
MCPW,1995-02-24,191.54,0.0,0.0,191.8,,,,,,,267.55
MCPW,1995-02-25,171.2,0.0,0.0,177.6,,,,,,,266.89
MCPW,1995-02-26,159.61,0.0,0.0,157.9,,,,,,,266.47
MCPW,1995-02-27,186.01,0.0,0.0,162.1,,,,,,,267.32
MCPW,1995-02-28,188.4,0.0,0.0,190.4,,,,,,,267.05
MCPW,1995-03-01,195.32,0.0,0.0,200.3,,,,,,,267.38
MCPW,1995-03-02,202.56,0.0,0.0,203.9,,,,,,,267.56
MCPW,1995-03-03,183.45,0.0,0.0,174.7,,,,,,,266.89
MCPW,1995-03-04,164.93,0.0,0.0,164.7,,,,,,,266.34
MCPW,1995-03-05,150.87,0.0,0.0,162.0,,,,,,,266.09
MCPW,1995-03-06,174.68,0.0,0.0,170.8,,,,,,,266.6
MCPW,1995-03-07,169.79,0.0,0.0,171.4,,,,,,,266.5
MCPW,1995-03-08,168.0,0.0,0.0,159.7,,,,,,,266.48
MCPW,1995-03-09,147.87,0.0,0.0,152.2,,,,,,,265.98
MCPW,1995-03-10,144.52,0.0,0.0,140.2,,,,,,,265.84
MCPW,1995-03-11,143.45,0.0,0.0,147.5,,,,,,,265.64
MCPW,1995-03-12,143.92,0.0,0.0,148.8,,,,,,,265.84
MCPW,1995-03-13,147.66,0.0,0.0,142.5,,,,,,,265.85
MCPW,1995-03-14,156.99,0.0,0.0,154.1,,,,,,,266.17
MCPW,1995-03-15,141.35,0.0,0.0,143.6,,,,,,,266.2
MCPW,1995-03-16,139.41,0.0,0.0,145.5,,,,,,,266.06
MCPW,1995-03-17,145.07,0.0,0.0,146.7,,,,,,,266.23
MCPW,1995-03-18,137.8,0.0,0.0,131.3,,,,,,,266.33
MCPW,1995-03-19,135.05,0.0,0.0,138.1,,,,,,,265.99
MCPW,1995-03-20,133.32,0.0,0.0,119.2,,,,,,,265.86
MCPW,1995-03-21,142.08,0.0,0.0,155.5,,,,,,,265.9
MCPW,1995-03-22,196.55,37.0,18.82,221.8,,,,,,,266.52
MCPW,1995-03-23,215.59,50.1,23.24,215.4,,,,,,,267.08
MCPW,1995-03-24,229.08,62.45,27.26,229.9,,,,,,,267.45
MCPW,1995-03-25,218.78,52.25,23.88,217.3,,,,,,,267.35
MCPW,1995-03-26,198.15,32.31,16.31,191.7,,,,,,,267.08
MCPW,1995-03-27,160.27,1.1,0.68,154.4,,,,,,,265.93
MCPW,1995-03-28,163.43,0.0,0.0,177.9,,,,,,,266.06
MCPW,1995-03-29,165.23,0.0,0.0,154.4,,,,,,,266.09
MCPW,1995-03-30,149.77,0.0,0.0,130.6,,,,,,,265.78
MCPW,1995-03-31,130.81,0.0,0.0,134.9,,,,,,,265.32
MCPW,1995-04-01,125.63,0.0,0.0,126.4,,,,,,,265.19
MCPW,1995-04-02,139.92,0.0,0.0,135.2,,,,,,,265.23
MCPW,1995-04-03,144.1,0.0,0.0,137.0,,,,,,,265.49
MCPW,1995-04-04,140.56,0.0,0.0,151.3,,,,,,,265.76
MCPW,1995-04-05,152.11,9.83,6.46,174.9,,,,,,,265.48
MCPW,1995-04-06,185.37,42.46,22.91,183.6,,,,,,,265.62
MCPW,1995-04-07,171.04,27.63,16.15,167.2,,,,,,,265.99
MCPW,1995-04-08,148.4,4.97,3.35,131.4,,,,,,,265.82
MCPW,1995-04-09,142.93,0.0,0.0,130.3,,,,,,,266.06
MCPW,1995-04-10,133.09,0.0,0.0,147.2,,,,,,,265.69
MCPW,1995-04-11,156.62,20.15,12.86,181.6,,,,,,,265.88
MCPW,1995-04-12,147.61,7.48,5.07,131.9,,,,,,,265.6
MCPW,1995-04-13,145.49,2.5,1.72,155.3,,,,,,,265.73
MCPW,1995-04-14,187.78,44.32,23.6,185.5,,,,,,,266.44
MCPW,1995-04-15,170.84,29.61,17.33,173.4,,,,,,,265.88
MCPW,1995-04-16,166.09,26.14,15.74,169.4,,,,,,,266.01
MCPW,1995-04-17,159.13,14.58,9.16,148.4,,,,,,,266.0
MCPW,1995-04-18,174.36,33.27,19.08,183.7,,,,,,,265.62
MCPW,1995-04-19,176.33,31.94,18.11,176.4,,,,,,,265.52
