Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,1982-01-01,167.95,0.0,0.0,166.3,,,,,,,74.06
BON,1982-01-02,161.66,0.0,0.0,160.7,,,,,,,74.39
BON,1982-01-03,143.17,0.0,0.0,135.0,,,,,,,75.5
BON,1982-01-04,179.43,0.0,0.0,201.6,,,,,,,74.07
BON,1982-01-05,187.56,0.0,0.0,191.5,,,,,,,74.6
BON,1982-01-06,188.58,0.0,0.0,188.6,,,,,,,74.92
BON,1982-01-07,192.12,0.0,0.0,183.0,,,,,,,74.65
BON,1982-01-08,187.65,0.0,0.0,195.5,,,,,,,74.27
BON,1982-01-09,196.81,0.0,0.0,196.8,,,,,,,74.57
BON,1982-01-10,196.09,0.0,0.0,173.9,,,,,,,74.35
BON,1982-01-11,180.85,0.0,0.0,185.1,,,,,,,73.31
BON,1982-01-12,179.51,0.0,0.0,187.6,,,,,,,73.8
BON,1982-01-13,187.43,0.0,0.0,199.1,,,,,,,74.03
BON,1982-01-14,188.6,0.0,0.0,181.7,,,,,,,74.59
BON,1982-01-15,174.56,0.0,0.0,187.4,,,,,,,74.67
BON,1982-01-16,174.33,0.0,0.0,162.8,,,,,,,75.05
BON,1982-01-17,181.43,0.0,0.0,190.0,,,,,,,75.21
BON,1982-01-18,195.95,0.0,0.0,187.4,,,,,,,74.91
BON,1982-01-19,196.08,0.0,0.0,199.4,,,,,,,73.98
BON,1982-01-20,192.9,0.0,0.0,195.7,,,,,,,74.53
BON,1982-01-21,191.42,0.0,0.0,189.3,,,,,,,74.36
BON,1982-01-22,194.75,0.0,0.0,200.2,,,,,,,74.63
BON,1982-01-23,196.1,0.0,0.0,196.2,,,,,,,74.98
BON,1982-01-24,196.1,0.0,0.0,190.1,,,,,,,75.33
BON,1982-01-25,198.6,0.0,0.0,202.6,,,,,,,74.65
BON,1982-01-26,197.49,0.2,0.1,201.8,,,,,,,74.46
BON,1982-01-27,215.55,15.18,7.04,217.5,,,,,,,74.39
BON,1982-01-28,218.1,17.65,8.09,217.5,,,,,,,74.46
BON,1982-01-29,224.55,22.05,9.82,224.2,,,,,,,74.08
BON,1982-01-30,226.43,23.18,10.24,214.0,,,,,,,73.85
BON,1982-01-31,200.01,0.0,0.0,193.5,,,,,,,74.28
BON,1982-02-01,200.1,0.0,0.0,201.4,,,,,,,73.59
BON,1982-02-02,195.68,0.0,0.0,196.8,,,,,,,73.58
BON,1982-02-03,199.28,0.0,0.0,199.3,,,,,,,73.51
BON,1982-02-04,199.16,0.0,0.0,209.7,,,,,,,73.96
BON,1982-02-05,197.92,0.0,0.0,193.2,,,,,,,74.52
BON,1982-02-06,197.5,0.0,0.0,200.8,,,,,,,74.03
BON,1982-02-07,197.83,0.0,0.0,195.2,,,,,,,73.89
BON,1982-02-08,198.14,0.0,0.0,204.7,,,,,,,73.87
BON,1982-02-09,197.2,0.0,0.0,192.6,,,,,,,74.35
BON,1982-02-10,197.13,0.0,0.0,195.8,,,,,,,74.19
BON,1982-02-11,197.48,0.0,0.0,195.5,,,,,,,73.93
BON,1982-02-12,199.2,0.0,0.0,196.4,,,,,,,73.89
BON,1982-02-13,199.13,0.0,0.0,198.0,,,,,,,73.42
BON,1982-02-14,199.04,0.0,0.0,208.9,,,,,,,73.76
BON,1982-02-15,199.26,0.0,0.0,192.7,,,,,,,74.88
BON,1982-02-16,199.24,0.28,0.14,215.4,,,,,,,74.23
BON,1982-02-17,218.83,18.18,8.31,198.4,,,,,,,74.37
BON,1982-02-18,222.92,20.56,9.22,272.6,,,,,,,74.28
BON,1982-02-19,322.34,121.1,37.57,317.4,,,,,,,73.63
BON,1982-02-20,332.48,130.93,39.38,366.1,,,,,,,75.18
BON,1982-02-21,351.97,172.47,49.0,335.5,,,,,,,75.05
BON,1982-02-22,327.81,133.38,40.69,334.5,,,,,,,74.95
BON,1982-02-23,348.68,173.56,49.78,357.2,,,,,,,75.08
BON,1982-02-24,368.68,190.69,51.72,375.3,,,,,,,75.04
BON,1982-02-25,380.98,204.19,53.6,383.6,,,,,,,75.1
BON,1982-02-26,375.99,195.22,51.92,339.3,,,,,,,75.06
BON,1982-02-27,328.38,147.68,44.97,349.3,,,,,,,73.57
BON,1982-02-28,341.7,158.94,46.51,326.4,,,,,,,74.63
BON,1982-03-01,333.03,152.08,45.66,332.3,,,,,,,73.38
BON,1982-03-02,353.69,176.89,50.01,351.3,,,,,,,72.55
BON,1982-03-03,341.06,159.0,46.62,350.9,,,,,,,73.34
BON,1982-03-04,341.9,156.98,45.91,351.2,,,,,,,74.32
BON,1982-03-05,342.71,158.47,46.24,327.3,,,,,,,75.32
BON,1982-03-06,328.95,144.72,43.99,304.8,,,,,,,73.37
BON,1982-03-07,305.42,120.09,39.32,301.0,,,,,,,72.62
BON,1982-03-08,285.09,100.48,35.24,302.4,,,,,,,73.01
BON,1982-03-09,301.21,111.82,37.12,322.2,,,,,,,74.44
BON,1982-03-10,318.44,148.79,46.72,324.0,,,,,,,75.84
BON,1982-03-11,348.29,185.25,53.19,360.4,,,,,,,74.98
BON,1982-03-12,349.03,174.66,50.04,354.1,,,,,,,74.61
BON,1982-03-13,351.9,173.81,49.39,361.3,,,,,,,74.97
BON,1982-03-14,366.21,187.01,51.07,370.0,,,,,,,75.37
BON,1982-03-15,398.02,225.85,56.74,384.0,,,,,,,74.16
BON,1982-03-16,386.63,221.79,57.36,375.0,,,,,,,72.88
BON,1982-03-17,377.16,204.48,54.21,375.2,,,,,,,72.36
BON,1982-03-18,369.37,196.05,53.08,364.3,,,,,,,72.53
BON,1982-03-19,347.44,171.69,49.42,334.0,,,,,,,72.47
BON,1982-03-20,298.48,121.62,40.75,305.6,,,,,,,73.82
BON,1982-03-21,305.51,130.58,42.74,298.2,,,,,,,73.94
BON,1982-03-22,311.11,133.56,42.93,302.8,,,,,,,72.58
BON,1982-03-23,301.53,123.41,40.93,302.6,,,,,,,72.29
BON,1982-03-24,300.35,122.12,40.66,301.1,,,,,,,72.42
BON,1982-03-25,301.57,122.3,40.55,304.1,,,,,,,72.58
BON,1982-03-26,301.16,130.3,43.27,297.8,,,,,,,72.85
BON,1982-03-27,280.62,243.0,86.6,276.1,,,,,,,73.38
BON,1982-03-28,279.75,241.96,86.49,285.3,,,,,,,72.92
BON,1982-03-29,283.19,190.16,67.15,290.7,,,,,,,73.21
BON,1982-03-30,280.31,104.2,37.17,287.9,,,,,,,74.07
BON,1982-03-31,293.65,114.87,39.12,297.6,,,,,,,74.26
BON,1982-04-01,302.16,112.22,37.14,289.0,,,,,,,73.76
BON,1982-04-02,300.98,107.27,35.64,293.5,,,,,,,72.99
BON,1982-04-03,289.04,91.7,31.73,292.4,,,,,,,73.39
BON,1982-04-04,286.83,89.1,31.06,276.8,,,,,,,73.27
BON,1982-04-05,269.49,75.01,27.83,286.2,,,,,,,73.44
BON,1982-04-06,302.87,106.35,35.11,296.0,,,,,,,73.52
BON,1982-04-07,295.97,111.45,37.66,303.3,,,,,,,72.79
BON,1982-04-08,284.56,101.89,35.8,262.9,,,,,,,73.18
BON,1982-04-09,246.57,49.22,19.96,252.1,,,,,,,73.55
BON,1982-04-10,220.35,26.15,11.87,230.8,7.78,,,,,,74.08
BON,1982-04-11,239.02,44.67,18.69,245.4,8.33,,,,,,75.13
BON,1982-04-12,278.34,80.9,29.07,288.8,8.33,,,,,,74.13
BON,1982-04-13,293.86,72.55,24.69,310.3,7.78,,,,,,74.73
BON,1982-04-14,347.33,144.97,41.74,355.3,8.33,,,,,,75.48
BON,1982-04-15,374.78,177.38,47.33,367.1,8.33,,,,,,73.73
BON,1982-04-16,367.04,172.02,46.87,377.5,8.33,,,,,,74.3
BON,1982-04-17,320.59,122.65,38.26,285.3,8.33,,,,,,74.68
BON,1982-04-18,301.38,98.63,32.73,295.7,8.33,,,,,,73.63
BON,1982-04-19,300.5,100.26,33.36,320.1,8.33,,,,,,73.82
BON,1982-04-20,326.6,127.0,38.88,317.1,8.33,,,,,,74.7
BON,1982-04-21,336.28,136.89,40.71,343.9,8.33,,,,,,73.26
BON,1982-04-22,326.22,133.07,40.79,317.4,10.0,,,,,,73.39
BON,1982-04-23,288.43,101.95,35.35,272.0,10.0,,,,,,74.4
BON,1982-04-24,259.65,67.38,25.95,269.7,10.0,,,,,,74.16
BON,1982-04-25,295.04,96.58,32.73,281.2,10.0,,,,,,73.5
BON,1982-04-26,264.5,65.67,24.83,266.5,10.56,,,,,,73.24
BON,1982-04-27,265.0,52.51,19.81,268.7,10.56,,,,,,73.76
BON,1982-04-28,261.27,61.43,23.51,290.7,11.11,,,,,,74.59
BON,1982-04-29,300.55,87.39,29.08,289.8,10.56,,,,,,75.32
BON,1982-04-30,294.97,86.95,29.48,272.9,11.11,,,,,,73.97
BON,1982-05-01,264.78,51.61,19.49,277.9,10.56,,,,,,73.96
BON,1982-05-02,289.01,74.51,25.78,293.2,10.56,,,,,,74.47
BON,1982-05-03,300.95,89.61,29.78,308.5,11.11,,,,,,74.25
BON,1982-05-04,321.21,108.63,33.82,327.9,11.11,,,,,,74.2
BON,1982-05-05,340.88,129.03,37.85,335.5,11.67,,,,,,74.1
BON,1982-05-06,338.94,134.91,39.8,352.9,11.67,,,,,,74.19
BON,1982-05-07,329.8,103.86,31.49,325.6,12.22,,,,,,74.28
BON,1982-05-08,300.21,85.39,28.44,285.2,11.67,,,,,,75.13
BON,1982-05-09,309.61,95.85,30.96,333.6,11.11,,,,,,75.25
BON,1982-05-10,330.88,119.38,36.08,332.4,11.67,,,,,,75.89
BON,1982-05-11,344.9,119.54,34.66,340.7,11.67,,,,,,75.61
BON,1982-05-12,339.09,125.06,36.88,328.3,11.67,,,,,,74.76
BON,1982-05-13,316.02,102.37,32.39,321.4,11.67,,,,,,74.72
BON,1982-05-14,315.67,117.1,37.09,314.4,12.22,,,,,,75.02
BON,1982-05-15,314.36,159.88,50.86,312.0,12.22,,,,,,75.51
BON,1982-05-16,322.14,167.34,51.95,330.1,12.78,,,,,,75.1
BON,1982-05-17,335.36,176.77,52.71,336.9,12.78,,,,,,75.25
BON,1982-05-18,367.28,195.04,53.1,389.4,12.78,,,,,,75.03
BON,1982-05-19,397.89,175.71,44.16,392.3,13.89,,,,,,74.82
BON,1982-05-20,381.63,158.35,41.49,375.6,13.33,,,,,,74.85
BON,1982-05-21,406.84,197.28,48.49,406.5,13.89,,,,,,74.81
BON,1982-05-22,376.25,165.75,44.05,367.4,13.89,,,,,,75.05
BON,1982-05-23,350.53,137.62,39.26,357.6,13.89,,,,,,75.38
BON,1982-05-24,372.58,162.48,43.61,371.2,13.89,,,,,,75.12
BON,1982-05-25,372.7,160.62,43.1,384.3,13.89,,,,,,74.85
BON,1982-05-26,399.11,185.91,46.58,383.7,14.44,,,,,,75.08
BON,1982-05-27,384.06,174.95,45.55,412.5,14.44,,,,,,75.03
BON,1982-05-28,415.62,205.0,49.32,400.5,13.89,,,,,,75.1
BON,1982-05-29,375.6,164.98,43.92,373.0,14.44,,,,,,75.09
BON,1982-05-30,391.17,179.48,45.88,384.8,13.89,,,,,,75.16
BON,1982-05-31,346.23,140.96,40.71,327.6,14.44,,,,,,75.25
BON,1982-06-01,312.35,117.68,37.68,320.5,14.44,,,,,,74.66
BON,1982-06-02,332.1,117.9,35.5,334.0,14.44,,,,,,75.53
BON,1982-06-03,327.27,104.64,31.97,328.6,14.44,,,,,,75.31
BON,1982-06-04,350.39,141.05,40.26,345.4,14.44,,,,,,75.53
BON,1982-06-05,322.35,108.98,33.81,332.1,15.56,,,,,,75.68
BON,1982-06-06,348.3,133.43,38.31,345.1,14.44,,,,,,75.64
BON,1982-06-07,348.18,137.2,39.4,348.2,14.44,,,,,,75.42
BON,1982-06-08,337.42,108.58,32.18,333.9,14.44,,,,,,75.81
BON,1982-06-09,334.03,105.73,31.65,319.4,14.44,,,,,,75.18
BON,1982-06-10,311.35,88.29,28.36,328.4,14.44,,,,,,75.25
BON,1982-06-11,315.42,89.14,28.26,305.2,14.44,,,,,,75.81
BON,1982-06-12,317.65,83.43,26.26,320.5,14.44,,,,,,75.48
BON,1982-06-13,314.69,92.22,29.3,328.0,14.44,,,,,,75.5
BON,1982-06-14,369.22,148.32,40.17,317.6,15.56,,,,,,75.72
BON,1982-06-15,396.76,199.43,50.27,382.4,15.56,,,,,,75.15
BON,1982-06-16,417.08,207.83,49.83,392.2,15.56,,,,,,74.99
BON,1982-06-17,418.82,225.0,53.72,399.1,16.67,,,,,,73.93
BON,1982-06-18,408.8,201.5,49.29,413.3,16.67,,,,,,72.07
BON,1982-06-19,402.06,190.69,47.43,424.8,16.67,,,,,,72.2
BON,1982-06-20,419.32,199.28,47.52,420.8,16.67,,,,,,74.21
BON,1982-06-21,414.99,180.21,43.43,417.3,17.22,,,,,,74.84
BON,1982-06-22,417.36,181.23,43.42,418.1,17.22,,,,,,74.94
BON,1982-06-23,417.65,225.85,54.08,412.8,17.78,,,,,,75.18
BON,1982-06-24,420.13,209.58,49.88,416.2,17.78,,,,,,74.87
BON,1982-06-25,408.24,174.57,42.76,416.7,18.89,,,,,,74.78
BON,1982-06-26,406.49,174.4,42.9,410.8,17.78,,,,,,74.75
BON,1982-06-27,403.47,179.9,44.59,403.5,17.78,,,,,,75.33
BON,1982-06-28,395.67,183.51,46.38,403.0,16.67,,,,,,74.72
BON,1982-06-29,405.92,192.1,47.32,400.7,17.78,,,,,,75.28
BON,1982-06-30,401.24,232.16,57.86,403.4,17.78,,,,,,74.9
BON,1982-07-01,400.77,240.76,60.08,403.9,17.78,,,,,,74.91
BON,1982-07-02,389.41,204.07,52.4,393.3,17.78,,,,,,75.04
BON,1982-07-03,388.78,224.49,57.74,384.2,17.78,,,,,,74.94
BON,1982-07-04,372.0,238.14,64.02,384.9,17.78,,,,,,74.64
BON,1982-07-05,351.24,168.81,48.06,368.0,17.78,,,,,,74.78
BON,1982-07-06,349.6,160.94,46.04,352.3,17.22,,,,,,74.68
BON,1982-07-07,351.21,147.57,42.02,351.5,17.22,,,,,,75.13
BON,1982-07-08,315.6,101.88,32.28,344.4,17.22,,,,,,74.92
BON,1982-07-09,291.23,76.35,26.22,304.4,17.22,,,,,,75.69
BON,1982-07-10,319.66,105.43,32.98,293.5,17.22,,,,,,75.27
BON,1982-07-11,314.21,102.4,32.59,325.7,17.22,,,,,,75.03
BON,1982-07-12,308.95,82.78,26.79,326.1,17.78,,,,,,75.74
BON,1982-07-13,300.66,59.47,19.78,302.6,18.33,,,,,,75.82
BON,1982-07-14,303.77,60.7,19.98,300.3,17.78,,,,,,75.98
BON,1982-07-15,275.34,35.03,12.72,282.0,18.33,,,,,,75.77
BON,1982-07-16,254.36,8.81,3.46,270.1,18.33,,,,,,75.98
BON,1982-07-17,248.88,5.13,2.06,252.4,18.33,,,,,,75.39
BON,1982-07-18,222.0,0.0,0.0,245.0,18.89,,,,,,75.38
BON,1982-07-19,236.59,1.1,0.46,228.2,18.89,,,,,,75.47
BON,1982-07-20,229.85,6.78,2.95,231.6,18.89,,,,,,75.5
BON,1982-07-21,247.66,0.0,0.0,232.5,19.44,,,,,,75.44
BON,1982-07-22,248.8,4.74,1.9,248.4,19.44,,,,,,75.35
BON,1982-07-23,199.75,0.0,0.0,240.2,19.44,,,,,,75.54
BON,1982-07-24,196.76,0.0,0.0,195.4,20.0,,,,,,75.73
BON,1982-07-25,210.39,0.0,0.0,198.2,20.0,,,,,,75.85
BON,1982-07-26,228.41,0.0,0.0,223.9,20.0,,,,,,75.75
BON,1982-07-27,224.85,2.53,1.12,222.4,20.0,,,,,,75.04
BON,1982-07-28,227.87,0.0,0.0,223.6,20.56,,,,,,75.27
BON,1982-07-29,221.39,0.0,0.0,214.2,20.56,,,,,,74.65
BON,1982-07-30,186.66,0.0,0.0,229.6,20.56,,,,,,73.56
BON,1982-07-31,141.15,0.0,0.0,170.0,20.56,,,,,,75.04
BON,1982-08-01,159.57,0.0,0.0,135.8,20.56,,,,,,75.71
BON,1982-08-02,167.62,0.0,0.0,172.6,20.0,,,,,,75.33
BON,1982-08-03,171.29,0.0,0.0,164.8,20.0,,,,,,75.12
BON,1982-08-04,197.96,0.0,0.0,172.1,20.0,,,,,,75.8
BON,1982-08-05,219.65,0.0,0.0,213.8,20.0,,,,,,74.61
BON,1982-08-06,226.58,0.0,0.0,224.4,20.56,,,,,,75.18
BON,1982-08-07,224.13,0.0,0.0,224.9,20.56,,,,,,76.18
BON,1982-08-08,228.68,0.0,0.0,212.9,21.67,,,,,,76.03
BON,1982-08-09,183.52,0.0,0.0,215.2,21.11,,,,,,74.02
BON,1982-08-10,178.38,0.0,0.0,188.7,20.56,,,,,,74.18
BON,1982-08-11,182.93,0.0,0.0,178.2,20.56,,,,,,74.71
BON,1982-08-12,200.0,0.0,0.0,201.4,20.56,,,,,,75.32
BON,1982-08-13,165.33,0.0,0.0,180.8,20.56,,,,,,74.8
BON,1982-08-14,138.69,0.0,0.0,156.9,20.56,,,,,,75.81
BON,1982-08-15,133.7,0.0,0.0,122.0,20.0,,,,,,75.27
BON,1982-08-16,158.45,0.0,0.0,149.6,20.56,,,,,,74.22
BON,1982-08-17,171.15,0.0,0.0,168.7,20.56,,,,,,75.35
BON,1982-08-18,182.84,0.0,0.0,173.0,20.56,,,,,,75.17
BON,1982-08-19,191.53,0.0,0.0,187.2,20.56,,,,,,75.63
BON,1982-08-20,182.77,0.0,0.0,203.1,21.11,,,,,,75.36
BON,1982-08-21,155.41,0.0,0.0,164.3,21.11,,,,,,75.81
BON,1982-08-22,138.23,0.0,0.0,139.8,21.11,,,,,,75.86
BON,1982-08-23,151.73,0.0,0.0,151.7,21.11,,,,,,75.2
BON,1982-08-24,144.51,0.0,0.0,151.6,21.67,,,,,,75.67
BON,1982-08-25,121.39,0.0,0.0,139.4,21.67,,,,,,75.78
BON,1982-08-26,105.44,0.0,0.0,110.4,21.67,,,,,,75.73
BON,1982-08-27,100.74,0.0,0.0,106.5,21.67,,,,,,75.92
BON,1982-08-28,102.63,0.0,0.0,99.6,21.67,,,,,,76.19
BON,1982-08-29,105.06,0.0,0.0,97.3,21.11,,,,,,75.9
BON,1982-08-30,131.33,0.0,0.0,116.0,21.11,,,,,,75.71
BON,1982-08-31,158.82,0.0,0.0,146.0,22.22,,,,,,75.62
BON,1982-09-01,137.78,0.0,0.0,149.3,21.11,,,,,,75.52
BON,1982-09-02,129.91,0.0,0.0,135.6,21.11,,,,,,75.81
BON,1982-09-03,119.76,0.0,0.0,125.1,21.11,,,,,,75.59
BON,1982-09-04,100.86,0.0,0.0,99.1,21.11,,,,,,76.06
BON,1982-09-05,101.75,0.0,0.0,103.7,21.11,,,,,,76.14
BON,1982-09-06,105.8,0.0,0.0,106.5,21.11,,,,,,75.89
BON,1982-09-07,129.2,0.0,0.0,144.1,21.67,,,,,,75.39
BON,1982-09-08,158.44,0.0,0.0,162.7,21.67,,,,,,75.51
BON,1982-09-09,182.53,0.0,0.0,182.5,21.11,,,,,,75.31
BON,1982-09-10,170.33,0.0,0.0,169.5,20.56,,,,,,75.48
BON,1982-09-11,147.93,0.0,0.0,139.0,20.56,,,,,,75.33
BON,1982-09-12,132.4,0.0,0.0,133.2,20.0,,,,,,75.76
BON,1982-09-13,138.23,0.0,0.0,145.0,20.0,,,,,,75.72
BON,1982-09-14,157.1,0.0,0.0,162.4,20.0,,,,,,75.48
BON,1982-09-15,168.04,0.0,0.0,166.1,19.44,,,,,,75.55
BON,1982-09-16,157.07,0.0,0.0,146.0,20.0,,,,,,75.58
BON,1982-09-17,134.99,0.0,0.0,139.5,19.44,,,,,,75.62
BON,1982-09-18,124.55,0.0,0.0,105.8,20.0,,,,,,75.66
BON,1982-09-19,105.28,0.0,0.0,108.7,20.0,,,,,,75.58
BON,1982-09-20,123.14,0.0,0.0,136.2,20.0,,,,,,75.45
BON,1982-09-21,129.29,0.0,0.0,120.2,20.0,,,,,,75.52
BON,1982-09-22,119.91,0.0,0.0,120.7,19.44,,,,,,75.63
BON,1982-09-23,119.25,0.0,0.0,119.1,19.44,,,,,,75.67
BON,1982-09-24,119.79,0.0,0.0,117.8,18.89,,,,,,75.69
BON,1982-09-25,103.22,0.0,0.0,99.8,18.89,,,,,,75.8
BON,1982-09-26,99.45,0.0,0.0,93.8,18.89,,,,,,75.86
BON,1982-09-27,101.55,0.0,0.0,109.6,18.89,,,,,,75.43
BON,1982-09-28,119.03,0.0,0.0,121.9,18.33,,,,,,75.53
BON,1982-09-29,123.68,0.0,0.0,116.8,17.78,,,,,,75.65
BON,1982-09-30,119.19,0.0,0.0,115.4,17.22,,,,,,74.91
BON,1982-10-01,114.55,0.0,0.0,116.1,17.78,,,,,,75.02
BON,1982-10-02,104.07,0.0,0.0,102.9,17.78,,,,,,75.22
BON,1982-10-03,92.5,0.0,0.0,89.8,17.22,,,,,,75.58
BON,1982-10-04,95.34,0.0,0.0,99.9,16.67,,,,,,75.62
BON,1982-10-05,110.38,0.0,0.0,113.8,16.67,,,,,,75.8
BON,1982-10-06,121.56,0.0,0.0,125.9,16.67,,,,,,75.38
BON,1982-10-07,124.87,0.0,0.0,131.0,16.67,,,,,,75.67
BON,1982-10-08,134.75,0.0,0.0,132.9,16.67,,,,,,75.65
BON,1982-10-09,129.11,0.0,0.0,121.2,16.67,,,,,,75.46
BON,1982-10-10,102.78,0.0,0.0,99.6,16.67,,,,,,75.55
BON,1982-10-11,112.4,0.0,0.0,125.2,16.11,,,,,,75.86
BON,1982-10-12,132.24,0.0,0.0,127.1,16.11,,,,,,75.9
BON,1982-10-13,132.5,0.0,0.0,133.2,16.67,,,,,,75.7
BON,1982-10-14,136.0,0.0,0.0,141.1,16.67,,,,,,75.42
BON,1982-10-15,136.01,0.0,0.0,140.3,16.67,,,,,,75.82
BON,1982-10-16,133.15,0.0,0.0,123.2,16.67,,,,,,75.93
BON,1982-10-17,122.64,0.0,0.0,128.0,16.67,,,,,,75.75
BON,1982-10-18,143.14,0.0,0.0,150.5,16.11,,,,,,75.95
BON,1982-10-19,164.66,0.0,0.0,163.6,14.44,,,,,,75.89
BON,1982-10-20,155.54,0.0,0.0,153.2,14.44,,,,,,75.76
BON,1982-10-21,153.4,0.0,0.0,150.5,14.44,,,,,,75.49
BON,1982-10-22,140.03,0.0,0.0,135.2,14.44,,,,,,75.48
BON,1982-10-23,121.33,0.0,0.0,112.5,14.44,,,,,,75.69
BON,1982-10-24,99.21,0.0,0.0,102.8,14.44,,,,,,75.98
BON,1982-10-25,113.63,0.0,0.0,118.7,14.44,,,,,,75.84
BON,1982-10-26,130.29,0.0,0.0,140.4,14.44,,,,,,75.61
BON,1982-10-27,146.13,0.0,0.0,149.7,14.44,,,,,,75.84
BON,1982-10-28,157.09,0.0,0.0,163.8,,,,,,,76.01
BON,1982-10-29,176.13,0.0,0.0,178.3,,,,,,,75.74
BON,1982-10-30,181.4,0.0,0.0,174.4,,,,,,,76.0
BON,1982-10-31,177.51,0.0,0.0,172.6,,,,,,,75.54
BON,1982-11-01,174.6,0.0,0.0,162.9,,,,,,,74.59
BON,1982-11-02,202.9,0.0,0.0,203.1,,,,,,,72.83
BON,1982-11-03,161.14,0.0,0.0,169.0,,,,,,,74.44
BON,1982-11-04,157.83,0.0,0.0,158.5,,,,,,,74.71
BON,1982-11-05,152.66,0.0,0.0,161.1,,,,,,,75.51
BON,1982-11-06,170.7,0.0,0.0,156.1,,,,,,,75.55
BON,1982-11-07,134.62,0.0,0.0,132.7,,,,,,,75.62
BON,1982-11-08,148.35,0.0,0.0,159.6,,,,,,,75.15
BON,1982-11-09,177.85,0.0,0.0,173.0,,,,,,,74.2
BON,1982-11-10,161.79,0.0,0.0,162.9,,,,,,,74.93
BON,1982-11-11,161.46,0.0,0.0,163.5,,,,,,,75.24
BON,1982-11-12,162.19,0.0,0.0,157.9,,,,,,,75.05
BON,1982-11-13,157.97,0.0,0.0,155.0,,,,,,,74.88
BON,1982-11-14,145.24,0.0,0.0,127.7,,,,,,,74.79
BON,1982-11-15,148.97,0.0,0.0,154.7,,,,,,,73.49
BON,1982-11-16,148.2,0.0,0.0,169.9,,,,,,,74.38
BON,1982-11-17,159.93,0.0,0.0,161.1,,,,,,,75.49
BON,1982-11-18,154.83,0.0,0.0,146.2,,,,,,,75.41
BON,1982-11-19,153.55,0.0,0.0,147.7,,,,,,,75.16
BON,1982-11-20,163.13,0.0,0.0,147.0,,,,,,,73.59
BON,1982-11-21,140.48,0.0,0.0,152.8,,,,,,,73.37
BON,1982-11-22,154.15,0.0,0.0,170.2,,,,,,,74.18
BON,1982-11-23,169.24,0.0,0.0,166.8,,,,,,,74.53
BON,1982-11-24,170.4,0.0,0.0,175.5,,,,,,,74.66
BON,1982-11-25,150.56,0.0,0.0,129.9,,,,,,,75.13
BON,1982-11-26,141.5,0.0,0.0,159.5,,,,,,,74.89
BON,1982-11-27,156.01,0.0,0.0,146.5,,,,,,,75.71
BON,1982-11-28,142.33,0.0,0.0,137.2,,,,,,,75.11
BON,1982-11-29,148.09,0.0,0.0,160.4,,,,,,,74.87
