Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
RIGW,1997-01-01,61.5,0.0,0.0,63.5,,,,,,,569.61
RIGW,1997-01-02,58.38,0.02,0.03,62.5,,,,,,,568.38
RIGW,1997-01-03,90.07,0.38,0.43,94.2,,,,,,,570.25
RIGW,1997-01-04,108.6,0.0,0.0,114.5,,,,,,,572.82
RIGW,1997-01-05,109.59,1.01,0.92,118.4,,,,,,,572.77
RIGW,1997-01-06,152.57,1.26,0.82,167.6,,,,,,,574.29
RIGW,1997-01-07,160.12,2.68,1.67,166.9,,,,,,,574.95
RIGW,1997-01-08,152.98,1.33,0.87,154.9,,,,,,,574.59
RIGW,1997-01-09,148.65,1.65,1.11,161.6,,,,,,,574.55
RIGW,1997-01-10,161.23,6.27,3.89,161.6,,,,,,,575.39
RIGW,1997-01-11,150.15,4.98,3.31,154.8,,,,,,,574.49
RIGW,1997-01-12,162.5,1.58,0.97,174.9,,,,,,,575.33
RIGW,1997-01-13,178.95,2.23,1.25,184.3,,,,,,,576.2
RIGW,1997-01-14,184.55,0.0,0.0,191.2,,,,,,,576.3
RIGW,1997-01-15,181.75,0.0,0.0,188.2,,,,,,,576.1
RIGW,1997-01-16,183.15,0.0,0.0,188.4,,,,,,,576.25
RIGW,1997-01-17,165.19,0.0,0.0,169.3,,,,,,,575.23
RIGW,1997-01-18,151.4,0.0,0.0,144.7,,,,,,,574.34
RIGW,1997-01-19,145.93,0.0,0.0,150.5,,,,,,,573.9
RIGW,1997-01-20,150.09,0.0,0.0,155.9,,,,,,,574.45
RIGW,1997-01-21,148.42,0.0,0.0,152.2,,,,,,,574.36
RIGW,1997-01-22,146.0,0.0,0.0,150.0,,,,,,,573.99
RIGW,1997-01-23,151.47,0.0,0.0,155.4,,,,,,,574.35
RIGW,1997-01-24,153.46,0.0,0.0,164.1,,,,,,,575.16
RIGW,1997-01-25,164.45,1.17,0.71,170.8,,,,,,,575.46
RIGW,1997-01-26,159.62,0.0,0.0,160.0,,,,,,,575.07
RIGW,1997-01-27,162.43,0.0,0.0,167.0,,,,,,,574.93
RIGW,1997-01-28,151.13,0.0,0.0,156.0,,,,,,,574.56
RIGW,1997-01-29,170.45,0.0,0.0,175.9,,,,,,,575.66
RIGW,1997-01-30,152.6,0.0,0.0,153.1,,,,,,,574.5
RIGW,1997-01-31,131.41,0.0,0.0,153.1,,,,,,,573.47
RIGW,1997-02-01,118.78,0.0,0.0,121.5,,,,,,,572.58
RIGW,1997-02-02,113.8,0.0,0.0,119.8,,,,,,,572.57
RIGW,1997-02-03,139.85,0.0,0.0,147.1,,,,,,,573.72
RIGW,1997-02-04,149.43,0.0,0.0,151.5,,,,,,,574.19
RIGW,1997-02-05,157.16,0.0,0.0,160.0,,,,,,,574.37
RIGW,1997-02-06,170.6,0.0,0.0,173.1,,,,,,,575.21
RIGW,1997-02-07,168.01,0.0,0.0,172.0,,,,,,,575.26
RIGW,1997-02-08,154.81,0.0,0.0,156.4,,,,,,,574.56
RIGW,1997-02-09,148.83,0.0,0.0,149.4,,,,,,,573.73
RIGW,1997-02-10,143.4,0.0,0.0,147.9,,,,,,,573.44
RIGW,1997-02-11,155.61,0.0,0.0,163.0,,,,,,,574.37
RIGW,1997-02-12,155.03,0.0,0.0,155.5,,,,,,,574.18
RIGW,1997-02-13,144.74,0.0,0.0,155.5,,,,,,,573.09
RIGW,1997-02-14,142.87,0.0,0.0,147.2,,,,,,,572.09
RIGW,1997-02-15,115.15,0.0,0.0,116.3,,,,,,,570.06
RIGW,1997-02-16,127.49,0.0,0.0,116.3,,,,,,,570.66
RIGW,1997-02-17,140.69,0.0,0.0,152.0,,,,,,,571.77
RIGW,1997-02-18,158.08,0.0,0.0,163.9,,,,,,,573.99
RIGW,1997-02-19,175.82,0.0,0.0,181.6,,,,,,,575.56
RIGW,1997-02-20,161.52,0.0,0.0,163.3,,,,,,,574.45
RIGW,1997-02-21,160.14,0.0,0.0,167.6,,,,,,,574.63
RIGW,1997-02-22,160.95,0.0,0.0,169.3,,,,,,,574.97
RIGW,1997-02-23,166.24,0.0,0.0,172.5,,,,,,,575.25
RIGW,1997-02-24,168.76,0.0,0.0,172.2,,,,,,,575.51
RIGW,1997-02-25,154.7,0.0,0.0,154.2,,,,,,,574.2
RIGW,1997-02-26,145.45,0.0,0.0,151.4,,,,,,,572.87
RIGW,1997-02-27,152.43,0.0,0.0,157.0,,,,,,,573.36
RIGW,1997-02-28,154.42,0.0,0.0,159.7,,,,,,,573.83
RIGW,1997-03-01,149.1,0.0,0.0,149.7,,,,,,,573.67
RIGW,1997-03-02,113.11,0.0,0.0,118.5,,,,,,,571.3
RIGW,1997-03-03,138.39,0.0,0.0,145.4,,,,,,,572.46
