ReachID,Name,RiverID,ClimateClass,RKm,WidthMean
536,Kootenay_River_39,33,26,380,1397
537,Kootenay_River_4,33,26,30,655
538,Kootenay_River_40,33,26,390,1397
539,Kootenay_River_41,33,26,400,1397
540,Kootenay_River_42,33,26,410,1397
541,Kootenay_River_43,33,7,420,1397
542,Kootenay_River_44,33,26,430,1397
543,Kootenay_River_45,33,26,440,1397
544,Kootenay_River_46,33,26,450,1397
545,Kootenay_River_47,33,26,460,1397
546,Kootenay_River_48,33,26,470,155
547,Kootenay_River_49,33,26,480,155
548,Kootenay_River_5,33,26,40,655
549,Kootenay_River_50,33,26,490,155
550,Kootenay_River_51,33,26,500,155
551,Kootenay_River_52,33,26,510,155
552,Kootenay_River_53,33,26,520,155
553,Kootenay_River_54,33,7,530,155
554,Kootenay_River_55,33,7,540,155
555,Kootenay_River_56,33,26,550,155
556,Kootenay_River_57,33,26,560,155
557,Kootenay_River_58,33,26,570,155
558,Kootenay_River_59,33,26,580,155
559,Kootenay_River_6,33,27,50,655
560,Kootenay_River_60,33,26,590,155
561,Kootenay_River_61,33,26,600,155
562,Kootenay_River_62,33,26,610,155
563,Kootenay_River_63,33,27,620,155
564,Kootenay_River_64,33,26,630,155
565,Kootenay_River_65,33,27,640,155
566,Kootenay_River_66,33,27,650,155
567,Kootenay_River_67,33,27,660,155
568,Kootenay_River_68,33,27,670,155
569,Kootenay_River_69,33,27,680,155
570,Kootenay_River_7,33,26,60,655
571,Kootenay_River_70,33,27,690,155
572,Kootenay_River_71,33,27,700,155
573,Kootenay_River_72,33,27,710,155
574,Kootenay_River_73,33,27,720,155
575,Kootenay_River_74,33,27,730,155
576,Kootenay_River_75,33,27,740,
577,Kootenay_River_76,33,27,750,
578,Kootenay_River_77,33,27,760,
579,Kootenay_River_78,33,27,770,
580,Kootenay_River_8,33,26,70,850
581,Kootenay_River_9,33,26,80,850
582,Kuskanax_Creek_1,34,26,0,1996
583,Kuskanax_Creek_2,34,27,10,1996
584,Kuskanax_Creek_3,34,27,20,
