year,mm-dd,location,parameter,unit,datatype,value,date
2023,1-1,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-01
2023,1-2,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-02
2023,1-3,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-03
2023,1-4,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-04
2023,1-5,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-05
2023,1-6,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-06
2023,1-7,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-07
2023,1-8,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-08
2023,1-9,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-09
2023,1-10,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-10
2023,1-11,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-11
2023,1-12,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-12
2023,1-13,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-13
2023,1-14,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-14
2023,1-15,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-15
2023,1-16,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-16
2023,1-17,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-17
2023,1-18,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-18
2023,1-19,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-19
2023,1-20,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-20
2023,1-21,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-21
2023,1-22,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-22
2023,1-23,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-23
2023,1-24,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-24
2023,1-25,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-25
2023,1-26,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-26
2023,1-27,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-27
2023,1-28,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-28
2023,1-29,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-29
2023,1-30,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-30
2023,1-31,MCN,Chin:Fa,fish/day,Adult Passage,,2023-01-31
2023,2-1,MCN,Chin:Fa,fish/day,Adult Passage,,2023-02-01
