Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
McNary,1999-04-01,Sp,,,10,7,,,,,,,,,6.4
McNary,1999-04-02,Sp,,,12,5,,,,,,,,,6.8
McNary,1999-04-03,Sp,1,,8,2,,,,,,,,,6.9
McNary,1999-04-04,Sp,3,,7,1,,,,,,,,,7
McNary,1999-04-05,Sp,,,8,,,,,,,,,,7
McNary,1999-04-06,Sp,2,,6,2,,,,,,,,,7.1
McNary,1999-04-07,Sp,1,,9,1,,,,,,,,,7.4
McNary,1999-04-08,Sp,1,,7,4,,,,,,,,,7.3
McNary,1999-04-09,Sp,1,,9,3,,,,,,,,,7.2
McNary,1999-04-10,Sp,2,,5,3,,,,,,,,,7.4
McNary,1999-04-11,Sp,,,6,4,,,,,,,,,7.6
McNary,1999-04-12,Sp,2,,2,1,,,,,,,,,7.5
McNary,1999-04-13,Sp,3,,7,,,,,,,,,,7.7
McNary,1999-04-14,Sp,1,,3,1,,,,,,,,,8.1
McNary,1999-04-15,Sp,2,,9,4,,,,,,,,,8.5
McNary,1999-04-16,Sp,13,,9,4,,,,,,,,,8.7
McNary,1999-04-17,Sp,12,2,4,3,,,,,,,,,9.2
McNary,1999-04-18,Sp,9,5,5,1,,,,,,,,,9.7
McNary,1999-04-19,Sp,24,4,12,2,,,,,,,,,9.4
McNary,1999-04-20,Sp,17,7,13,5,,,,,,,,,9.4
McNary,1999-04-21,Sp,30,5,15,5,,,,,,,,,9.3
McNary,1999-04-22,Sp,47,6,13,2,,,,,,,,,9.6
McNary,1999-04-23,Sp,92,11,17,3,,,,,,,,,9.8
McNary,1999-04-24,Sp,66,5,7,1,,,,,,,,,10.2
McNary,1999-04-25,Sp,76,2,4,2,,,,,,,,,10.2
McNary,1999-04-26,Sp,78,5,12,7,,,,,,,,,10.1
McNary,1999-04-27,Sp,111,4,6,3,,,,,,,,,10.2
McNary,1999-04-28,Sp,193,5,5,1,,,,,,,,,10.2
McNary,1999-04-29,Sp,151,5,12,2,,,,,,,,,10
McNary,1999-04-30,Sp,178,11,11,5,,,,,,,,,10.2
McNary,1999-05-01,Sp,262,8,9,,,,,,,,,,10.3
McNary,1999-05-02,Sp,262,24,5,1,,,,,,,,,10.3
McNary,1999-05-03,Sp,180,9,13,5,,,,,,,,,10.2
McNary,1999-05-04,Sp,274,25,3,,,,,,,,,,9.9
McNary,1999-05-05,Sp,299,36,9,3,,,,,,,,,10.3
McNary,1999-05-06,Sp,240,26,8,1,,,,,,,,,10.3
McNary,1999-05-07,Sp,277,20,6,1,,,,,,,,,10.3
McNary,1999-05-08,Sp,256,37,3,1,,,,,,,,,10.3
McNary,1999-05-09,Sp,320,53,3,,,,,,,,,,10.2
McNary,1999-05-10,Sp,264,36,7,,,,,,,,,,10.6
McNary,1999-05-11,Sp,200,54,5,,,,,,,,,,10.5
McNary,1999-05-12,Sp,317,52,7,1,,,,,,,,,10.7
McNary,1999-05-13,Sp,293,138,3,2,,,,,,,,,10.7
McNary,1999-05-14,Sp,348,175,9,1,,,,,,,,,10.9
McNary,1999-05-15,Sp,373,189,4,2,,,,,,,,,11
McNary,1999-05-16,Sp,412,183,9,3,,,,,,,,,11.2
McNary,1999-05-17,Sp,187,138,10,1,,,,,,,,,11.5
McNary,1999-05-18,Sp,290,194,5,,,,,,,,,,11.6
McNary,1999-05-19,Sp,297,318,9,2,,,,,,,,,11.8
McNary,1999-05-20,Sp,214,210,11,,,,,1,,,,,12.3
McNary,1999-05-21,Sp,211,222,17,6,,,,4,,,,,12.2
McNary,1999-05-22,Sp,175,181,11,2,,,,5,,,,,13
McNary,1999-05-23,Sp,192,187,7,1,,,,28,,,,,13.4
McNary,1999-05-24,Sp,152,148,7,1,,,,26,,,,,13.5
McNary,1999-05-25,Sp,162,188,9,1,,,,21,,,,,13.5
McNary,1999-05-26,Sp,181,150,10,,,,,79,,,,,14.2
McNary,1999-05-27,Sp,174,94,5,,,,,41,,,,,14.2
McNary,1999-05-28,Sp,151,113,8,2,,,,54,,,,,14.3
McNary,1999-05-29,Sp,112,106,13,2,,,,64,2,,,,14.3
McNary,1999-05-30,Sp,124,91,16,,,,,156,,,,,14.2
McNary,1999-05-31,Sp,127,110,7,,,,,169,,,,,13.9
McNary,1999-06-01,Sp,144,76,27,2,,,,148,,,,,13.5
McNary,1999-06-02,Sp,77,43,10,,,,,76,,,,,13.1
McNary,1999-06-03,Sp,79,42,16,,,,,119,,,,,12.8
McNary,1999-06-04,Sp,99,63,8,1,,,,136,,,,,12.8
McNary,1999-06-05,Sp,145,39,33,2,,,,178,,,,,13
McNary,1999-06-06,Sp,105,54,19,,,,,188,,,,,13
McNary,1999-06-07,Sp,73,30,12,,,,,168,,,,,13
McNary,1999-06-08,Sp,96,33,9,,,,,224,,,,,12.9
McNary,1999-06-09,Su,134,47,11,,,,,175,,,,,12.9
McNary,1999-06-10,Su,61,30,14,,2,,,370,,,,,12.9
McNary,1999-06-11,Su,111,38,20,2,2,,,2028,,,,,13.3
McNary,1999-06-12,Su,97,27,8,,2,,,1064,,,,,13.6
McNary,1999-06-13,Su,155,47,19,,8,,,4683,,,,,14.4
McNary,1999-06-14,Su,140,37,24,1,14,,,5418,,,,,14.6
McNary,1999-06-15,Su,123,43,27,4,30,,,4739,,,,,14.9
McNary,1999-06-16,Su,146,50,27,2,30,,,4536,,,,,15.3
McNary,1999-06-17,Su,198,47,14,,69,,,9437,,,,,15.7
McNary,1999-06-18,Su,248,55,29,,85,,,5621,,,,,15.8
McNary,1999-06-19,Su,240,43,51,2,132,,,9775,,,,,16
McNary,1999-06-20,Su,214,54,33,,82,,,6963,,,,,16.1
McNary,1999-06-21,Su,225,55,47,5,111,,,8833,,,,,15.9
McNary,1999-06-22,Su,380,67,40,1,181,,,6807,,,,,15.9
McNary,1999-06-23,Su,297,39,44,6,149,,,8504,,,,,16.2
McNary,1999-06-24,Su,271,28,35,3,176,,,7366,,,,,16
McNary,1999-06-25,Su,339,39,44,3,167,,,1759,,,,,15.7
McNary,1999-06-26,Su,311,43,41,15,196,,,1850,,,,,15.6
McNary,1999-06-27,Su,349,32,47,8,311,,,6801,,,,,15.6
McNary,1999-06-28,Su,456,40,50,1,329,,,12591,,,,,15.3
McNary,1999-06-29,Su,423,60,75,8,416,,,11042,,,,,15.9
McNary,1999-06-30,Su,486,47,71,16,350,,,6888,,,,,15.8
McNary,1999-07-01,Su,494,65,73,9,424,,,6700,,,,,15.9
McNary,1999-07-02,Su,414,38,77,9,366,,,4548,,,,,15.6
McNary,1999-07-03,Su,406,33,58,6,487,,,4762,,,,,15.6
McNary,1999-07-04,Su,306,27,72,8,449,,,4304,,,,,15.4
McNary,1999-07-05,Su,498,46,91,11,582,,,7701,,,,,16.2
McNary,1999-07-06,Su,386,43,82,11,483,,,7347,,,,,16.5
McNary,1999-07-07,Su,800,70,86,12,723,,,6956,,,,,16.3
McNary,1999-07-08,Su,337,37,83,17,619,,,9819,,,,,16.9
