Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Rocky Reach,1977-04-01,,,,,,,,,,,,,,
Rocky Reach,1977-04-02,,,,,,,,,,,,,,
Rocky Reach,1977-04-03,,,,,,,,,,,,,,
Rocky Reach,1977-04-04,,,,,,,,,,,,,,
Rocky Reach,1977-04-05,,,,,,,,,,,,,,
Rocky Reach,1977-04-06,,,,,,,,,,,,,,
Rocky Reach,1977-04-07,,,,,,,,,,,,,,
Rocky Reach,1977-04-08,,,,,,,,,,,,,,
Rocky Reach,1977-04-09,,,,,,,,,,,,,,
Rocky Reach,1977-04-10,,,,,,,,,,,,,,
Rocky Reach,1977-04-11,,,,,,,,,,,,,,
Rocky Reach,1977-04-12,,,,,,,,,,,,,,
Rocky Reach,1977-04-13,,,,,,,,,,,,,,
Rocky Reach,1977-04-14,,,,,,,,,,,,,,
Rocky Reach,1977-04-15,,,,,,,,,,,,,,
Rocky Reach,1977-04-16,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-17,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-18,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-19,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-20,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-21,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-22,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-23,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-24,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-25,Sp,,,,,,,,,,,,,
Rocky Reach,1977-04-26,Sp,65.0,,8.0,,,,,,,,,,
Rocky Reach,1977-04-27,Sp,98.0,,2.0,,,,,,,,,,
Rocky Reach,1977-04-28,Sp,53.0,2.0,2.0,,,,,,,,,,
Rocky Reach,1977-04-29,Sp,125.0,,4.0,,,,,,,,,,
Rocky Reach,1977-04-30,Sp,137.0,1.0,6.0,,,,,,,,,,
Rocky Reach,1977-05-01,Sp,295.0,11.0,8.0,,,,,,,,,,
Rocky Reach,1977-05-02,Sp,133.0,8.0,12.0,,,,,,,,,,
Rocky Reach,1977-05-03,Sp,217.0,5.0,4.0,,,,,,,,,,
Rocky Reach,1977-05-04,Sp,329.0,11.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-05,Sp,257.0,2.0,8.0,,,,,,,,,,
Rocky Reach,1977-05-06,Sp,133.0,1.0,1.0,,,,,,,,,,
Rocky Reach,1977-05-07,Sp,209.0,,5.0,,,,,,,,,,
Rocky Reach,1977-05-08,Sp,124.0,,4.0,,,,,,,,,,
Rocky Reach,1977-05-09,Sp,257.0,11.0,6.0,,,,,,,,,,
Rocky Reach,1977-05-10,Sp,445.0,13.0,6.0,,,,,,,,,,
Rocky Reach,1977-05-11,Sp,262.0,32.0,5.0,,,,,,,,,,
Rocky Reach,1977-05-12,Sp,464.0,19.0,7.0,,,,,,,,,,
Rocky Reach,1977-05-13,Sp,202.0,7.0,4.0,,,,,,,,,,
Rocky Reach,1977-05-14,Sp,260.0,16.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-15,Sp,137.0,25.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-16,Sp,110.0,4.0,,,,,,,,,,,
Rocky Reach,1977-05-17,Sp,140.0,,,,,,,,,,,,
Rocky Reach,1977-05-18,Sp,190.0,12.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-19,Sp,110.0,5.0,1.0,,,,,,,,,,
Rocky Reach,1977-05-20,Sp,65.0,5.0,1.0,,,,,,,,,,
Rocky Reach,1977-05-21,Sp,123.0,6.0,1.0,,,,,,,,,,
Rocky Reach,1977-05-22,Sp,18.0,2.0,1.0,,,,,,,,,,
Rocky Reach,1977-05-23,Sp,96.0,4.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-24,Sp,55.0,8.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-25,Sp,41.0,2.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-26,Sp,70.0,20.0,2.0,,,,,,,,,,
Rocky Reach,1977-05-27,Sp,17.0,5.0,,,,,,,,,,,
Rocky Reach,1977-05-28,Sp,24.0,2.0,1.0,,,,,,,,,,
Rocky Reach,1977-05-29,Sp,40.0,6.0,,,,,,,,,,,
Rocky Reach,1977-05-30,Sp,30.0,13.0,1.0,,,,,,,,,,
Rocky Reach,1977-05-31,Sp,53.0,12.0,,,,,,,,,,,
Rocky Reach,1977-06-01,Sp,25.0,10.0,1.0,,,,,,,,,,
Rocky Reach,1977-06-02,Sp,92.0,18.0,2.0,,,,,,,,,,
Rocky Reach,1977-06-03,Sp,12.0,11.0,2.0,,,,,,,,,,
Rocky Reach,1977-06-04,Sp,59.0,5.0,,,,,,,,,,,
Rocky Reach,1977-06-05,Sp,6.0,,,,,,,,,,,,
Rocky Reach,1977-06-06,Sp,17.0,7.0,4.0,,,,,,,,,,
Rocky Reach,1977-06-07,Sp,34.0,8.0,1.0,,,,,,,,,,
Rocky Reach,1977-06-08,Sp,14.0,8.0,,,,,,,,,,,
Rocky Reach,1977-06-09,Sp,4.0,2.0,1.0,,,,,,,,,,
Rocky Reach,1977-06-10,Sp,7.0,2.0,,,,,,,,,,,
