Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Lower Monumental,1969-02-28,,,,5.0,,,,,,,,,,
Lower Monumental,1969-03-01,,,,14.0,,,,,,,,,,
Lower Monumental,1969-03-02,,,,21.0,,,,,,,,,,
Lower Monumental,1969-03-03,,,,13.0,,,,,,,,,,
Lower Monumental,1969-03-04,,,,9.0,,,,,,,,,,
Lower Monumental,1969-03-05,,,,8.0,,,,,,,,,,
Lower Monumental,1969-03-06,,,,6.0,,,,,,,,,,
Lower Monumental,1969-03-07,,,,23.0,,,,,,,,,,
Lower Monumental,1969-03-08,,,,29.0,,,,,,,,,,
Lower Monumental,1969-03-09,,,,21.0,,,,,,,,,,
Lower Monumental,1969-03-10,,,,10.0,,,,,,,,,,
Lower Monumental,1969-03-11,,,,30.0,,,,,,,,,,
Lower Monumental,1969-03-12,,,,21.0,,,,,,,,,,
Lower Monumental,1969-03-13,,,,9.0,,,,,,,,,,
Lower Monumental,1969-03-14,,,,12.0,,,,,,,,,,
Lower Monumental,1969-03-15,,,,36.0,,,,,,,,,,
Lower Monumental,1969-03-16,,,,43.0,,,,,,,,,,
Lower Monumental,1969-03-17,,,,26.0,,,,,,,,,,
Lower Monumental,1969-03-18,,,,33.0,,,,,,,,,,
Lower Monumental,1969-03-19,,,,23.0,,,,,,,,,,
Lower Monumental,1969-03-20,,,,22.0,,,,,,,,,,
Lower Monumental,1969-03-21,,,,16.0,,,,,,,,,,
Lower Monumental,1969-03-22,,,,46.0,,,,,,,,,,
Lower Monumental,1969-03-23,,,,67.0,,,,,,,,,,
Lower Monumental,1969-03-24,,,,105.0,,,,,,,,,,
Lower Monumental,1969-03-25,,,,168.0,,,,,,,,,,
Lower Monumental,1969-03-26,,,,105.0,,,,,,,,,,
Lower Monumental,1969-03-27,,,,142.0,,,,,,,,,,
Lower Monumental,1969-03-28,,,,150.0,,,,,,,,,,
Lower Monumental,1969-03-29,,,,143.0,,,,,,,,,,
Lower Monumental,1969-03-30,,1.0,,92.0,,,,,,,,,,
Lower Monumental,1969-03-31,,,,82.0,,,,,,,,,,
Lower Monumental,1969-04-01,Sp,,,174.0,,,,,,,,,,
Lower Monumental,1969-04-02,Sp,,,279.0,,,,,,,,,,
Lower Monumental,1969-04-03,Sp,,,198.0,,,,,,,,,,
Lower Monumental,1969-04-04,Sp,,,231.0,,,,,,,,,,
Lower Monumental,1969-04-05,Sp,,,300.0,,,,,,,,,,
Lower Monumental,1969-04-06,Sp,,,212.0,,,,,,,,,,
Lower Monumental,1969-04-07,Sp,,,256.0,,,,,,,,,,
Lower Monumental,1969-04-08,Sp,,,218.0,,,,,,,,,,
Lower Monumental,1969-04-09,Sp,,,225.0,,,,,,,,,,
Lower Monumental,1969-04-10,Sp,,,280.0,,,,,,,,,,
Lower Monumental,1969-04-11,Sp,,,470.0,,,,,,,,,,
Lower Monumental,1969-04-12,Sp,,,419.0,,,,,,,,,,
Lower Monumental,1969-04-13,Sp,,,330.0,,,,,,,,,,
Lower Monumental,1969-04-14,Sp,,,313.0,,,,,,,,,,
Lower Monumental,1969-04-15,Sp,3.0,,317.0,,,,,,,,,,
Lower Monumental,1969-04-16,Sp,,,339.0,,,,,,,,,,
Lower Monumental,1969-04-17,Sp,,,226.0,,,,,,,,,,
Lower Monumental,1969-04-18,Sp,,,324.0,,,,,,,,,,
Lower Monumental,1969-04-19,Sp,1.0,,454.0,,,,,,,,,,
Lower Monumental,1969-04-20,Sp,,,545.0,,,,,,,,,,
Lower Monumental,1969-04-21,Sp,4.0,,422.0,,,,,,,,,,
Lower Monumental,1969-04-22,Sp,6.0,,411.0,,,,,,,,,,
Lower Monumental,1969-04-23,Sp,5.0,,425.0,,,,,,,,,,
Lower Monumental,1969-04-24,Sp,11.0,,790.0,,,,,,,,,,
Lower Monumental,1969-04-25,Sp,6.0,,164.0,,,,,,,,,,
Lower Monumental,1969-04-26,Sp,3.0,,75.0,,,,,,,,,,
Lower Monumental,1969-04-27,Sp,12.0,,156.0,,,,,,,,,,
Lower Monumental,1969-04-28,Sp,3.0,,204.0,,,,,,,,,,
Lower Monumental,1969-04-29,Sp,5.0,,282.0,,,,,,,,,,
Lower Monumental,1969-04-30,Sp,8.0,,196.0,,,,,,,,,,
Lower Monumental,1969-05-01,Sp,27.0,,237.0,,,,,,,,,,
Lower Monumental,1969-05-02,Sp,69.0,,125.0,,,,,,,,,,
Lower Monumental,1969-05-03,Sp,49.0,,228.0,,,,,,,,,,
Lower Monumental,1969-05-04,Sp,88.0,,303.0,,,,,,,,,,
Lower Monumental,1969-05-05,Sp,108.0,,464.0,,,,,,,,,,
Lower Monumental,1969-05-06,Sp,140.0,,403.0,,,,,,,,,,
Lower Monumental,1969-05-07,Sp,265.0,,364.0,,,,,,,,,,
Lower Monumental,1969-05-08,Sp,159.0,,236.0,,,,,,,,,,
Lower Monumental,1969-05-09,Sp,288.0,,277.0,,,,,,,,,,
Lower Monumental,1969-05-10,Sp,533.0,,273.0,,,,,,,,,,
Lower Monumental,1969-05-11,Sp,1193.0,,465.0,,,,,,,,,,
Lower Monumental,1969-05-12,Sp,606.0,,115.0,,,,,,,,,,
Lower Monumental,1969-05-13,Sp,857.0,,173.0,,,,,,,,,,
Lower Monumental,1969-05-14,Sp,1199.0,,128.0,,,,,,,,,,
Lower Monumental,1969-05-15,Sp,1743.0,,129.0,,,,,,,,,,
Lower Monumental,1969-05-16,Sp,1808.0,,120.0,,,,,,,,,,
Lower Monumental,1969-05-17,Sp,2915.0,,127.0,,,,,,,,,,
Lower Monumental,1969-05-18,Sp,1920.0,,133.0,,,,,,,,,,
Lower Monumental,1969-05-19,Sp,2136.0,,172.0,,,,,,,,,,
Lower Monumental,1969-05-20,Sp,2794.0,,156.0,,,,,,,,,,
Lower Monumental,1969-05-21,Sp,1572.0,,125.0,,,,,,,,,,
Lower Monumental,1969-05-22,Sp,1883.0,,83.0,,,,,,,,,,
Lower Monumental,1969-05-23,Sp,2433.0,,96.0,,,,,,,,,,
Lower Monumental,1969-05-24,Sp,2620.0,,102.0,,,,,,,,,,
Lower Monumental,1969-05-25,Sp,2058.0,,96.0,,,,,,,,,,
Lower Monumental,1969-05-26,Sp,1590.0,,68.0,,,,,,,,,,
Lower Monumental,1969-05-27,Sp,1726.0,,84.0,,,,,,,,,,
Lower Monumental,1969-05-28,Sp,1597.0,,49.0,,,,,,,,,,
Lower Monumental,1969-05-29,Sp,1520.0,,66.0,,,,,,,,,,
Lower Monumental,1969-05-30,Sp,1583.0,,37.0,,,,,,,,,,
Lower Monumental,1969-05-31,Sp,1223.0,,41.0,,,,,,,,,,
Lower Monumental,1969-06-01,Sp,777.0,,41.0,,,,,,,,,,
