date,qu,fb,af,qd
1982-01-01,47.40,5078.74,37163.55,0.00
1982-01-02,15.66,5078.77,37194.61,0.00
1982-01-03,63.27,5078.89,37320.11,0.00
1982-01-04,52.90,5078.99,37425.04,0.00
1982-01-05,26.36,5079.04,37477.32,0.00
1982-01-06,21.24,5079.08,37519.45,0.00
1982-01-07,21.26,5079.12,37561.62,0.00
1982-01-08,31.92,5079.18,37624.94,0.00
1982-01-09,10.64,5079.20,37646.04,0.00
1982-01-10,47.89,5079.29,37741.02,0.00
1982-01-11,0.00,5079.29,37741.02,0.00
1982-01-12,0.00,5079.29,37741.02,0.00
1982-01-13,5.20,5079.30,37751.34,0.00
1982-01-14,182.53,5079.64,38113.38,0.00
1982-01-15,43.22,5079.72,38199.11,0.00
1982-01-16,70.27,5079.85,38338.49,0.00
1982-01-17,10.84,5079.87,38360.00,0.00
1982-01-18,37.92,5079.94,38435.21,0.00
1982-01-19,32.66,5080.00,38500.00,0.00
1982-01-20,36.04,5080.07,38571.48,0.00
1982-01-21,46.70,5080.16,38664.10,0.00
1982-01-22,41.48,5080.24,38746.38,0.00
1982-01-23,77.93,5080.39,38900.96,0.00
1982-01-24,-93.63,5080.21,38715.24,0.00
1982-01-25,171.49,5080.21,38715.24,171.49
1982-01-26,-72.86,5080.01,38509.99,30.62
1982-01-27,154.13,5080.01,38509.99,154.13
1982-01-28,20.25,5079.69,38166.67,193.34
1982-01-29,-165.58,5079.02,37456.31,192.56
1982-01-30,23.80,5078.70,37121.86,192.42
1982-01-31,193.88,5078.70,37121.86,193.88
1982-02-01,11.22,5078.31,36717.90,214.88
1982-02-02,44.38,5078.00,36400.00,204.65
1982-02-03,170.97,5077.96,36360.97,190.65
1982-02-04,190.23,5077.96,36360.97,190.23
1982-02-05,195.26,5077.97,36370.96,190.22
1982-02-06,190.18,5077.97,36370.96,190.18
1982-02-07,189.50,5077.97,36370.96,189.50
1982-02-08,189.15,5077.97,36370.96,189.15
1982-02-09,189.15,5077.97,36370.96,189.15
1982-02-10,188.86,5077.97,36370.96,188.86
1982-02-11,193.18,5077.98,36380.46,188.39
1982-02-12,191.23,5077.98,36380.46,191.23
1982-02-13,200.45,5077.98,36380.46,200.45
1982-02-14,-59.89,5061.00,35853.82,205.62
1982-02-15,-59.78,5074.22,35327.17,205.74
1982-02-16,-151.15,5075.78,34800.53,114.36
1982-02-17,167.45,5075.78,34273.88,167.45
1982-02-18,437.25,5075.78,34273.88,437.25
1982-02-19,378.42,5075.70,34192.55,419.42
1982-02-20,0.00,5075.70,34192.55,0.00
1982-02-21,503.58,5076.74,35191.38,0.00
1982-02-22,147.84,5077.05,35484.61,0.00
1982-02-23,52.98,5077.16,35589.70,0.00
1982-02-24,0.00,5077.16,35589.70,0.00
1982-02-25,168.97,5077.51,35924.84,0.00
1982-02-26,97.44,5077.71,36118.11,0.00
1982-02-27,83.15,5077.88,36283.03,0.00
1982-02-28,0.00,5077.88,36283.03,0.00
1982-03-01,54.18,5077.99,36390.49,0.00
1982-03-02,113.19,5078.21,36614.99,0.00
1982-03-03,67.34,5078.34,36748.55,0.00
1982-03-04,98.98,5078.53,36944.88,0.00
1982-03-05,73.33,5078.67,37090.33,0.00
1982-03-06,47.17,5078.76,37183.90,0.00
1982-03-07,79.24,5078.91,37341.07,0.00
1982-03-08,73.89,5079.05,37487.62,0.00
1982-03-09,53.12,5079.15,37592.98,0.00
1982-03-10,53.29,5079.25,37698.68,0.00
1982-03-11,149.72,5079.53,37995.65,0.00
1982-03-12,43.06,5079.61,38081.05,0.00
1982-03-13,64.80,5079.73,38209.57,0.00
1982-03-14,75.84,5079.87,38360.00,0.00
1982-03-15,125.90,5080.02,38520.46,45.00
1982-03-16,60.68,5080.06,38561.48,40.00
1982-03-17,60.66,5080.10,38602.46,40.00
1982-03-18,96.86,5080.21,38715.24,40.00
1982-03-19,71.17,5080.27,38777.06,40.00
1982-03-20,60.80,5080.31,38818.32,40.00
1982-03-21,55.46,5080.34,38848.98,40.00
1982-03-22,71.28,5080.40,38911.02,40.00
1982-03-23,66.32,5080.46,38973.15,35.00
1982-03-24,40.36,5080.47,38983.78,35.00
1982-03-25,83.05,5080.57,39087.01,31.00
1982-03-26,67.81,5080.64,39160.03,31.00
1982-03-27,78.16,5080.73,39253.58,31.00
1982-03-28,125.91,5080.91,39441.84,31.00
1982-03-29,94.27,5081.03,39567.33,31.00
1982-03-30,104.39,5081.17,39714.89,30.00
1982-03-31,88.49,5081.28,39830.91,30.00
1982-04-01,72.75,5081.36,39915.71,30.00
1982-04-02,83.56,5081.46,40021.95,30.00
1982-04-03,94.47,5081.58,40149.82,30.00
1982-04-04,89.14,5081.69,40267.12,30.00
1982-04-05,44.59,5081.75,40331.42,12.17
1982-04-06,78.52,5081.84,40427.69,29.98
1982-04-07,51.70,5081.88,40470.74,30.00
1982-04-08,84.30,5081.98,40578.45,30.00
1982-04-09,66.60,5082.05,40651.04,30.00
1982-04-10,71.41,5082.13,40733.23,29.97
1982-04-11,264.28,5082.58,41198.25,29.83
1982-04-12,298.70,5083.09,41731.21,30.00
1982-04-13,291.67,5083.58,42250.24,29.99
1982-04-14,283.70,5084.05,42753.45,30.00
1982-04-15,352.45,5084.56,43304.96,74.40
1982-04-16,322.56,5084.68,43435.83,256.58
1982-04-17,267.93,5084.43,43163.91,405.02
1982-04-18,241.64,5084.13,42839.57,405.16
1982-04-19,269.16,5083.88,42570.85,404.64
1982-04-20,257.42,5083.61,42282.00,403.05
1982-04-21,294.53,5083.41,42069.63,401.60
1982-04-22,272.27,5083.17,41815.55,400.37
1982-04-23,388.40,5083.15,41794.46,399.03
1982-04-24,451.79,5083.25,41900.06,398.55
1982-04-25,656.40,5083.73,42410.26,399.17
1982-04-26,920.08,5084.33,43055.54,594.75
1982-04-27,1154.14,5084.95,43731.44,813.37
1982-04-28,1465.16,5085.74,44608.00,1023.23
1982-04-29,1493.54,5086.65,45634.85,975.84
1982-04-30,-102.24,5084.85,43621.64,912.75
1982-05-01,924.95,5084.87,43643.57,913.89
1982-05-02,934.15,5084.90,43676.21,917.69
1982-05-03,5699.53,5092.95,53026.73,985.31
1982-05-04,2671.44,5095.52,56189.72,1076.76
1982-05-05,2129.70,5096.98,58059.41,1187.06
1982-05-06,1641.95,5098.11,59545.23,892.85
1982-05-07,1611.80,5099.69,61673.50,538.80
1982-05-08,1643.33,5101.31,63855.55,543.21
1982-05-09,1837.87,5103.20,66407.05,551.49
1982-05-10,1816.45,5104.99,68920.63,549.19
1982-05-11,1349.27,5106.08,70513.94,545.98
1982-05-12,1204.59,5107.03,71878.64,516.55
1982-05-13,1060.64,5107.88,73122.55,433.50
1982-05-14,1158.45,5108.75,74374.43,527.29
1982-05-15,1258.12,5109.70,75758.13,560.50
1982-05-16,1246.47,5110.60,77117.32,561.21
1982-05-17,1422.24,5111.50,78513.48,718.34
1982-05-18,1341.92,5112.10,79452.46,868.52
1982-05-19,1400.57,5112.32,79787.93,1231.44
1982-05-20,1361.37,5112.42,79941.17,1284.11
1982-05-21,1162.12,5112.28,79726.70,1270.25
1982-05-22,1028.54,5112.04,79361.05,1212.89
1982-05-23,938.73,5111.70,78827.54,1207.71
1982-05-24,858.61,5111.74,78890.49,826.87
1982-05-25,954.17,5112.24,79666.20,563.08
1982-05-26,932.59,5112.57,80171.28,677.95
1982-05-27,852.99,5112.67,80325.34,775.32
1982-05-28,1065.06,5112.97,80789.13,831.23
1982-05-29,1098.57,5113.05,80912.50,1036.37
1982-05-30,876.43,5112.73,80417.85,1125.82
1982-05-31,789.82,5112.55,80140.48,929.66
1982-06-01,704.49,5112.46,80002.56,774.02
1982-06-02,709.95,5112.55,80140.48,640.42
1982-06-03,732.88,5112.75,80448.69,577.49
1982-06-04,723.20,5112.80,80525.60,684.42
1982-06-05,671.64,5112.70,80372.01,749.07
1982-06-06,647.35,5112.57,80171.28,748.55
1982-06-07,549.70,5112.45,79987.62,642.30
1982-06-08,568.43,5112.45,79987.62,568.43
1982-06-09,567.58,5112.46,80002.56,560.05
1982-06-10,560.19,5112.46,80002.56,560.19
1982-06-11,560.38,5112.46,80002.56,560.38
1982-06-12,645.35,5112.57,80171.28,560.29
1982-06-13,514.05,5112.51,80079.05,560.55
1982-06-14,506.72,5112.44,79971.90,560.74
1982-06-15,434.92,5112.34,79818.60,512.21
1982-06-16,490.65,5112.35,79834.28,482.74
1982-06-17,473.58,5112.34,79818.60,481.49
1982-06-18,332.61,5112.23,79650.55,417.34
1982-06-19,371.46,5112.23,79650.55,371.46
1982-06-20,371.83,5112.23,79650.55,371.83
1982-06-21,-310.62,5111.36,78294.40,373.11
1982-06-22,322.85,5111.38,78325.70,307.07
1982-06-23,287.36,5111.40,78357.00,271.58
1982-06-24,295.91,5111.43,78404.24,272.09
1982-06-25,311.69,5111.48,78482.20,272.39
1982-06-26,272.53,5111.48,78482.20,272.53
1982-06-27,280.65,5111.49,78498.21,272.58
1982-06-28,272.91,5111.49,78498.21,272.91
1982-06-29,273.54,5111.49,78498.21,273.54
1982-06-30,242.20,5111.45,78435.58,273.78
1982-07-01,146.32,5111.33,78247.98,240.90
1982-07-02,189.91,5111.32,78231.93,198.00
1982-07-03,183.36,5111.32,78231.93,183.36
1982-07-04,183.48,5111.32,78231.93,183.48
1982-07-05,175.96,5111.31,78216.71,183.63
1982-07-06,183.69,5111.31,78216.71,183.69
1982-07-07,183.71,5111.31,78216.71,183.71
1982-07-08,153.16,5111.27,78154.30,184.63
1982-07-09,192.00,5111.27,78154.30,192.00
1982-07-10,192.42,5111.27,78154.30,192.42
1982-07-11,192.42,5111.27,78154.30,192.42
1982-07-12,192.57,5111.27,78154.30,192.57
1982-07-13,154.00,5111.22,78076.68,193.13
1982-07-14,146.35,5111.16,77983.29,193.43
1982-07-15,138.46,5111.09,77874.04,193.54
1982-07-16,157.86,5110.97,77688.59,251.36
1982-07-17,92.38,5110.84,77486.81,194.11
1982-07-18,101.42,5110.72,77302.29,194.45
1982-07-19,116.95,5110.62,77148.15,194.66
1982-07-20,63.11,5110.45,76887.18,194.68
1982-07-21,125.46,5110.36,76748.87,195.19
1982-07-22,118.51,5110.26,76595.82,195.67
1982-07-23,75.22,5110.05,76275.81,236.56
1982-07-24,83.38,5109.81,75919.85,262.84
1982-07-25,108.18,5109.60,75611.24,263.77
1982-07-26,170.00,5109.43,75362.38,295.47
1982-07-27,50.80,5109.07,74837.33,315.51
1982-07-28,96.91,5108.77,74403.30,315.73
1982-07-29,132.77,5108.52,74043.36,314.24
1982-07-30,154.82,5108.30,73727.69,313.97
1982-07-31,169.34,5108.10,73442.56,313.09
1982-08-01,76.06,5107.78,72975.00,311.79
1982-08-02,8.42,5107.37,72374.03,311.41
1982-08-03,75.27,5107.05,71907.72,310.37
1982-08-04,90.66,5106.75,71473.84,309.41
1982-08-05,83.85,5106.44,71027.89,308.68
1982-08-06,77.31,5106.12,70570.91,307.70
1982-08-07,27.08,5105.74,70016.45,306.62
1982-08-08,24.70,5105.36,69458.59,305.95
1982-08-09,70.88,5105.04,68992.90,305.67
1982-08-10,129.50,5104.80,68645.13,304.83
1982-08-11,29.02,5104.42,68098.91,304.41
1982-08-12,-5.33,5103.99,67486.59,303.38
1982-08-13,74.46,5103.66,67033.48,302.90
1982-08-14,27.11,5103.26,66487.91,302.17
1982-08-15,90.72,5102.95,66069.09,301.88
1982-08-16,84.24,5102.63,65638.52,301.32
1982-08-17,45.39,5102.25,65131.57,300.98
1982-08-18,63.84,5101.90,64662.13,300.52
1982-08-19,100.26,5101.61,64264.25,300.86
1982-08-20,39.05,5101.23,63746.82,299.92
1982-08-21,60.55,5100.88,63273.72,299.07
1982-08-22,35.44,5100.49,62751.21,298.87
1982-08-23,23.79,5100.08,62205.96,298.69
1982-08-24,50.58,5099.72,61715.04,298.09
1982-08-25,35.56,5099.34,61195.48,297.50
1982-08-26,64.59,5099.00,60735.01,296.74
1982-08-27,4.87,5098.57,60157.11,296.23
1982-08-28,7.21,5098.14,59585.34,295.48
1982-08-29,67.63,5097.80,59134.50,294.93
1982-08-30,101.70,5097.51,58751.92,294.58
1982-08-31,62.82,5097.16,58294.04,293.67
1982-09-01,56.61,5096.80,57825.83,292.67
1982-09-02,90.23,5096.49,57426.57,291.52
1982-09-03,64.90,5096.14,56978.37,290.87
1982-09-04,39.39,5095.75,56481.34,289.98
1982-09-05,46.54,5095.37,56000.50,288.96
1982-09-06,78.88,5095.04,55586.01,287.85
1982-09-07,36.10,5094.64,55087.99,287.19
1982-09-08,88.20,5094.31,54680.25,293.77
1982-09-09,43.12,5093.88,54152.79,309.05
1982-09-10,26.03,5093.42,53592.73,308.39
1982-09-11,9.95,5092.93,53002.77,307.39
1982-09-12,65.56,5092.53,52525.24,306.31
1982-09-13,74.38,5092.14,52064.67,306.58
1982-09-14,80.83,5091.77,51618.23,305.91
1982-09-15,145.28,5091.51,51301.20,305.12
1982-09-16,151.90,5091.26,50998.47,304.53
1982-09-17,151.85,5091.01,50697.58,303.55
1982-09-18,85.91,5090.65,50267.51,302.74
1982-09-19,104.00,5090.32,49876.23,301.27
1982-09-20,98.97,5089.98,49476.43,300.54
1982-09-21,63.77,5089.58,49008.00,299.94
1982-09-22,100.54,5089.24,48613.36,299.50
1982-09-23,55.07,5088.82,48129.59,298.97
1982-09-24,57.24,5088.40,47651.23,298.41
1982-09-25,82.18,5088.02,47222.50,298.33
1982-09-26,104.00,5087.69,46835.84,298.94
1982-09-27,105.52,5087.36,46451.29,299.40
1982-09-28,107.27,5087.03,46069.90,299.55
1982-09-29,102.32,5086.69,45680.52,298.63
1982-09-30,108.82,5086.36,45305.46,297.91
1982-10-01,105.35,5086.02,44922.46,298.45
1982-10-02,105.07,5085.68,44540.75,297.52
1982-10-03,111.46,5085.35,44172.93,296.90
1982-10-04,79.13,5084.96,43742.16,296.31
1982-10-05,95.76,5084.29,43012.24,463.76
1982-10-06,84.75,5083.32,41973.89,608.25
1982-10-07,95.81,5082.37,40980.69,596.55
1982-10-08,106.60,5081.48,40043.25,579.23
1982-10-09,136.71,5080.70,39222.56,550.47
1982-10-10,106.09,5079.86,38349.02,546.50
1982-10-11,103.81,5079.04,37477.32,543.29
1982-10-12,118.18,5078.76,37183.90,266.11
1982-10-13,95.59,5078.75,37173.76,100.70
1982-10-14,74.45,5078.70,37121.86,100.62
1982-10-15,74.24,5078.65,37069.54,100.62
1982-10-16,69.63,5078.59,37007.15,101.08
1982-10-17,59.44,5078.51,36924.13,101.30
1982-10-18,70.52,5078.45,36862.49,101.60
1982-10-19,75.33,5078.40,36810.57,101.51
1982-10-20,75.58,5078.35,36759.14,101.51
1982-10-21,75.39,5078.30,36707.36,101.50
1982-10-22,70.60,5078.24,36646.08,101.50
1982-10-23,63.69,5078.16,36563.87,105.14
1982-10-24,79.16,5078.11,36512.34,105.14
1982-10-25,90.18,5078.08,36481.84,105.56
1982-10-26,85.63,5078.04,36440.92,106.26
1982-10-27,95.82,5078.02,36420.45,106.14
1982-10-28,97.27,5078.00,36400.00,107.58
1982-10-29,58.81,5078.03,36430.42,43.47
1982-10-30,120.22,5078.25,36656.11,6.43
1982-10-31,131.80,5078.49,36903.93,6.86
1982-11-01,127.18,5078.72,37142.68,6.81
1982-11-02,77.95,5078.85,37278.24,9.61
1982-11-03,72.16,5078.96,37393.28,14.16
1982-11-04,81.61,5079.08,37519.45,18.00
1982-11-05,100.87,5079.23,37677.50,21.19
1982-11-06,100.76,5079.37,37825.87,25.96
1982-11-07,74.06,5079.45,37910.92,31.18
1982-11-08,99.48,5079.57,38038.33,35.24
1982-11-09,107.18,5079.70,38177.63,36.95
1982-11-10,126.65,5079.86,38349.02,40.24
1982-11-11,91.11,5079.99,38489.46,20.30
1982-11-12,64.16,5080.10,38602.46,7.19
1982-11-13,17.43,5080.12,38623.01,7.07
1982-11-14,53.86,5080.21,38715.24,7.36
1982-11-15,33.06,5080.25,38756.47,12.27
1982-11-16,57.11,5080.33,38838.94,15.53
1982-11-17,151.87,5080.42,38931.73,105.09
1982-11-18,107.70,5080.23,38735.81,206.48
1982-11-19,102.72,5080.03,38530.45,206.26
1982-11-20,81.40,5079.80,38284.45,205.43
1982-11-21,64.39,5079.54,38006.53,204.51
