date,qu,fb,mm,mx,mn,af,qj,qd
1982-01-01,49.58,2504.19,,33.93,9.63,19449.19,0.00,0.00
1982-01-02,58.28,2504.33,,26.61,3.81,19564.79,0.00,0.00
1982-01-03,79.55,2504.52,,38.17,9.71,19722.58,0.00,0.00
1982-01-04,25.29,2504.58,,40.77,14.35,19772.74,0.00,0.00
1982-01-05,36.82,2504.31,,28.03,5.62,19548.25,0.00,0.00
1982-01-06,-23.58,2503.89,,23.86,-0.35,19203.95,0.00,0.00
1982-01-07,-8.33,2503.50,,8.22,-3.81,18889.91,0.00,0.00
1982-01-08,10.03,2503.15,,20.95,6.96,18612.29,0.00,0.00
1982-01-09,12.19,2502.80,,18.52,2.01,18338.94,0.00,0.00
1982-01-10,25.70,2502.48,,13.96,1.06,18092.39,0.00,0.00
1982-01-11,42.61,2502.20,,18.44,0.75,17879.39,0.00,0.00
1982-01-12,43.88,2501.92,,37.23,11.21,17668.91,0.00,0.00
1982-01-13,60.05,2501.68,,35.73,16.63,17490.50,0.00,0.00
1982-01-14,64.64,2501.45,,42.97,18.05,17321.20,0.00,0.00
1982-01-15,76.47,2501.25,,43.05,29.52,17175.36,0.00,0.00
1982-01-16,77.09,2501.05,,36.91,30.00,17030.75,0.00,0.00
1982-01-17,88.43,2500.88,,46.66,31.65,16908.62,0.00,0.00
1982-01-18,10.83,2500.91,,42.10,32.83,16930.11,0.00,0.00
1982-01-19,50.74,2501.05,,36.76,13.88,17030.75,0.00,0.00
1982-01-20,39.98,2501.16,,28.66,8.45,17110.05,0.00,0.00
1982-01-21,40.26,2501.27,,34.63,11.76,17189.90,0.00,0.00
1982-01-22,51.43,2501.41,,32.75,18.28,17291.90,0.00,0.00
1982-01-23,74.12,2501.61,,47.68,28.97,17438.91,0.00,0.00
1982-01-24,59.66,2501.77,,48.71,33.22,17557.24,0.00,0.00
1982-01-25,105.46,2502.05,,37.94,30.86,17766.41,0.00,0.00
1982-01-26,122.06,2502.37,,46.51,29.60,18008.52,0.00,0.00
1982-01-27,205.72,2502.90,,40.92,29.52,18416.55,0.00,0.00
1982-01-28,142.48,2503.26,,41.40,27.32,18699.16,0.00,0.00
1982-01-29,116.35,2503.55,,40.92,28.03,18929.94,0.00,0.00
1982-01-30,101.44,2503.80,,38.64,25.67,19131.14,0.00,0.00
1982-01-31,94.26,2504.03,,41.87,26.46,19318.11,0.00,0.00
1982-02-01,86.86,2504.24,,43.05,30.78,19490.39,0.00,0.00
1982-02-02,29.17,2504.31,,37.23,27.09,19548.25,0.00,0.00
1982-02-03,-16.69,2504.27,,38.33,20.72,19515.15,0.00,0.00
1982-02-04,-37.40,2504.18,,22.37,8.06,19440.96,0.00,0.00
1982-02-05,-57.82,2504.04,,17.26,3.11,19326.27,0.00,0.00
1982-02-06,-53.47,2503.91,,16.87,5.62,19220.22,0.00,0.00
1982-02-07,-44.91,2503.80,,27.48,4.37,19131.14,0.00,0.00
1982-02-08,-40.76,2503.70,,19.38,-1.14,19050.30,0.00,0.00
1982-02-09,-40.47,2503.60,,25.67,1.22,18970.03,0.00,0.00
1982-02-10,-44.43,2503.49,,17.34,-1.14,18881.91,0.00,0.00
1982-02-11,-12.07,2503.46,,20.25,-0.90,18857.96,0.00,0.00
1982-02-12,8.06,2503.48,,26.61,5.70,18873.94,0.00,0.00
1982-02-13,32.27,2503.56,,30.39,20.40,18937.94,0.00,0.00
1982-02-14,142.32,2503.91,,43.36,28.34,19220.22,0.00,0.00
1982-02-15,748.30,2505.74,,43.28,34.16,20704.46,0.00,0.00
1982-02-16,4094.88,2510.77,,57.67,36.60,25028.19,0.00,2346.59
1982-02-17,2834.56,2512.79,,50.59,36.76,26852.10,0.00,1940.04
1982-02-18,1835.11,2512.62,,41.71,29.29,26693.64,0.00,1602.53
1982-02-19,1682.72,2512.12,,50.36,36.52,26232.92,0.00,1579.52
1982-02-20,2063.12,2512.44,,51.77,35.58,26526.71,0.00,2055.10
1982-02-21,2326.42,2513.31,,55.55,35.03,27342.75,0.00,2415.62
1982-02-22,1934.23,2513.35,,43.36,29.52,27380.90,0.00,2941.16
1982-02-23,1761.99,2513.03,,39.67,28.58,27077.41,0.00,2865.14
1982-02-24,1872.25,2512.94,,39.43,23.16,26992.62,0.00,2544.20
1982-02-25,1522.77,2512.10,,42.97,22.21,26214.64,0.00,2055.10
1982-02-26,1268.55,2510.66,,42.57,29.60,24932.42,0.00,1686.91
1982-02-27,1236.67,2509.15,,52.32,32.43,23586.98,0.00,1525.83
1982-02-28,1230.96,2507.60,,51.07,28.89,22230.20,0.00,1380.08
1982-03-01,875.97,2506.62,,54.68,41.63,21412.87,0.00,1288.04
1982-03-02,1056.93,2506.13,,52.32,32.67,21015.34,0.00,1257.35
1982-03-03,1345.44,2505.93,,49.02,34.40,20855.33,0.00,1426.11
1982-03-04,567.96,2505.85,,49.02,34.56,20791.78,0.00,935.18
