date,af,fb,qd,qu,mm,mn,mx,pc,pp,sp
1982-01-01,61108.00,2470.15,45.00,72.23,22.63,15.65,29.94,,0.15,
1982-01-02,61164.00,2470.16,45.00,73.23,19.12,15.09,23.50,,0.30,
1982-01-03,61242.00,2470.20,45.00,84.33,22.52,18.31,25.88,,0.59,
1982-01-04,61340.00,2470.21,45.00,94.41,20.34,18.31,22.10,,0.14,
1982-01-05,61438.00,2470.22,45.00,94.41,11.89,-2.96,18.31,,0.45,
1982-01-06,61532.00,2470.22,66.00,113.39,3.64,-12.07,19.16,,0.00,
1982-01-07,61807.00,2470.68,92.00,230.65,14.41,1.79,29.55,,0.45,
1982-01-08,62011.00,2470.81,92.00,194.85,32.17,25.06,26.38,,0.44,
1982-01-09,62027.00,2470.82,92.00,100.07,27.33,21.26,35.54,,0.00,
1982-01-10,62105.00,2470.87,92.00,131.33,25.49,21.54,30.50,,0.30,
1982-01-11,62215.00,2470.94,92.00,147.46,31.87,26.58,37.92,,0.45,
1982-01-12,62278.00,2470.98,72.00,103.76,29.83,28.96,30.78,,0.00,
1982-01-13,62484.00,2471.11,45.00,148.86,34.35,30.78,26.38,,0.30,
1982-01-14,63073.00,2471.48,45.00,341.95,35.14,33.16,35.96,,1.04,
1982-01-15,63709.00,2471.88,46.00,366.65,30.88,26.16,33.58,,0.75,
1982-01-16,64415.00,2472.32,46.00,401.94,26.70,23.78,34.00,,2.23,
1982-01-17,64994.00,2472.68,46.00,337.91,29.71,28.12,31.62,,0.89,
1982-01-18,65220.00,2472.82,46.00,159.94,27.61,19.29,35.96,,0.30,
1982-01-19,65510.00,2473.00,32.00,178.21,23.02,14.81,31.06,,0.00,
1982-01-20,65845.00,2473.16,0.00,168.90,23.80,22.38,27.56,,0.00,
1982-01-21,66331.00,2473.20,0.00,245.03,21.24,15.23,25.74,,0.15,
1982-01-22,67764.00,2473.20,0.00,722.47,20.92,20.28,22.52,,0.00,
1982-01-23,69981.00,2475.09,1.00,1118.74,36.00,20.84,42.82,,5.65,
1982-01-24,74673.00,2478.47,6.00,2371.55,31.54,25.88,36.10,,0.60,
1982-01-25,76552.00,2479.55,2.00,949.33,29.05,26.44,30.50,,0.15,
1982-01-26,77729.00,2480.22,1.00,594.40,31.32,29.52,34.42,,0.89,
1982-01-27,78950.00,2480.91,1.00,616.59,30.35,27.84,32.46,,0.30,
1982-01-28,79614.00,2481.18,1.00,335.77,30.35,27.84,32.46,,0.00,
1982-01-29,80398.00,2481.72,1.00,396.27,32.00,29.52,34.70,,0.74,
1982-01-30,81336.00,2482.24,1.00,473.91,32.91,29.66,36.80,,1.04,
1982-01-31,82101.00,2482.66,1.00,386.69,30.38,29.10,31.90,,0.45,
1982-02-01,82793.00,2483.04,1.00,349.88,30.66,29.10,32.74,,0.59,
1982-02-02,83364.00,2483.35,1.00,288.88,32.72,29.80,34.70,,0.15,
1982-02-03,83880.00,2483.60,1.00,261.15,25.21,11.03,32.32,,0.00,
1982-02-04,84467.00,2483.95,1.00,296.95,13.49,4.45,21.54,,0.00,
1982-02-05,84836.00,2484.14,1.00,187.04,11.78,0.39,22.94,,0.00,
1982-02-06,85233.00,2484.36,1.00,201.15,15.87,4.17,25.60,,0.00,
1982-02-07,85588.00,2484.55,1.00,179.98,9.98,-3.67,26.86,,0.00,
1982-02-08,85906.00,2484.72,1.00,161.33,14.87,5.43,25.74,,0.00,
1982-02-09,86411.00,2484.99,1.00,255.60,7.92,-3.81,25.32,,0.00,
1982-02-10,87144.00,2485.38,1.00,370.55,10.65,-4.64,25.74,,0.00,
1982-02-11,87770.00,2485.70,1.00,316.61,17.81,14.53,20.70,,0.15,
1982-02-12,88443.00,2486.07,0.00,339.30,26.17,20.14,29.38,,1.33,
1982-02-13,90292.00,2486.44,0.00,932.20,31.06,29.38,42.96,,3.57,
1982-02-14,92901.00,2488.38,4.00,1319.37,37.31,30.50,41.42,,2.08,
1982-02-15,98493.00,2491.20,3.00,2822.30,33.85,30.92,37.08,,0.90,
1982-02-16,101893.00,2492.87,3.00,1717.17,35.45,29.66,40.16,,1.04,
1982-02-17,104439.00,2494.10,4.00,1287.61,32.27,26.16,36.24,,0.74,
1982-02-18,107016.00,2495.33,3.00,1302.24,27.74,25.04,28.82,,1.04,
1982-02-19,109562.00,2496.20,2.00,1285.61,33.75,28.82,42.26,,0.89,
1982-02-20,112581.00,2497.94,6.00,1528.08,34.12,29.38,45.35,,1.94,
1982-02-21,115505.00,2499.28,5.00,1479.18,27.09,16.21,32.60,,0.00,
1982-02-22,116979.00,2499.95,3.00,746.14,21.28,14.25,27.98,,0.00,
1982-02-23,117955.00,2500.39,2.00,494.07,22.33,17.89,26.72,,0.15,
1982-02-24,119265.00,2500.98,2.00,662.46,25.04,19.57,31.90,,0.15,
1982-02-25,120004.00,2501.31,2.00,374.58,29.57,21.54,37.08,,0.14,
1982-02-26,120698.00,2501.62,2.00,351.89,30.06,28.40,34.84,,0.15,
1982-02-27,121258.00,2501.87,2.00,284.33,27.91,18.45,37.50,,0.15,
1982-02-28,121838.00,2502.10,2.00,294.42,28.49,11.03,43.66,,0.00,
1982-03-01,122457.00,2502.40,2.00,314.08,32.73,27.56,37.92,,0.60,
1982-03-02,123002.00,2502.64,2.00,276.77,31.67,28.96,36.94,,0.00,
1982-03-03,123592.00,2502.90,1.00,298.46,30.49,28.54,35.26,,0.44,
1982-03-04,124071.00,2503.11,1.00,242.50,31.02,27.56,38.63,,0.15,
1982-03-05,124507.00,2503.30,1.00,220.82,29.60,22.38,37.22,,0.00,
1982-03-06,124919.00,2503.48,1.00,208.72,27.89,17.89,41.28,,0.00,
1982-03-07,125308.00,2503.65,1.00,197.12,30.50,17.89,48.57,,0.00,
1982-03-08,126194.00,2503.86,1.00,447.69,29.86,17.75,43.24,,0.30,
1982-03-09,127888.00,2504.77,3.00,857.06,37.01,30.64,40.44,,1.78,
1982-03-10,129701.00,2505.55,4.00,918.05,34.49,24.76,44.36,,0.45,
1982-03-11,131478.00,2506.31,3.00,898.90,27.88,24.90,33.72,,0.74,
1982-03-12,132652.00,2506.73,2.00,593.89,28.74,26.02,31.20,,0.30,
1982-03-13,133834.00,2507.31,2.00,597.93,32.42,29.52,39.04,,1.04,
1982-03-14,134593.00,2507.63,2.00,384.66,30.01,25.04,33.16,,0.00,
1982-03-15,135232.00,2507.90,2.00,324.16,25.08,17.19,32.88,,0.00,
1982-03-16,135805.00,2508.14,2.00,290.89,24.46,7.95,42.82,,0.00,
1982-03-17,136310.00,2508.35,2.00,256.60,26.82,12.57,43.24,,0.00,
1982-03-18,136790.00,2508.55,2.00,244.00,28.13,15.66,40.44,,0.15,
1982-03-19,137246.00,2508.74,2.00,231.90,28.93,19.01,35.68,,0.00,
1982-03-20,137629.00,2508.90,2.00,195.10,30.78,23.50,37.64,,0.15,
1982-03-21,138039.00,2509.07,1.00,207.71,30.00,18.03,44.22,,0.00,
1982-03-22,138426.00,2509.23,1.00,196.11,31.60,19.57,45.07,,0.00,
1982-03-23,138837.00,2509.40,1.00,208.21,39.27,22.80,43.66,,0.15,
1982-03-24,139273.00,2509.58,1.00,220.82,34.66,21.54,49.55,,0.00,
1982-03-25,139733.00,2509.77,1.00,232.92,34.95,20.42,52.63,,0.00,
1982-03-26,140265.00,2509.99,1.00,269.22,33.82,28.96,41.00,,0.00,
1982-03-27,140802.00,2510.21,2.00,272.74,30.28,20.56,40.86,,0.00,
1982-03-28,141290.00,2510.41,1.00,247.03,28.70,22.10,34.00,,0.30,
1982-03-29,141705.00,2510.58,1.00,210.23,27.00,21.40,36.52,,0.00,
1982-03-30,142144.00,2510.76,1.00,222.33,29.10,22.94,40.16,,0.29,
1982-03-31,142534.00,2510.92,1.00,197.63,26.54,17.75,33.58,,0.15,
1982-04-01,142902.00,2511.07,1.00,186.53,27.59,16.21,42.54,,0.00,
1982-04-02,143246.00,2511.21,1.00,174.43,30.31,26.30,34.56,,0.00,
1982-04-03,143615.00,2511.36,1.00,187.04,29.72,25.88,32.60,,0.30,
1982-04-04,143907.00,2511.43,1.00,148.22,29.98,26.16,34.56,,0.00,
1982-04-05,144279.00,2511.63,1.00,188.55,29.75,13.69,43.94,,0.30,
1982-04-06,144550.00,2511.74,1.00,137.63,28.82,19.72,39.89,,0.00,
1982-04-07,144821.00,2511.85,1.00,137.63,26.19,17.62,38.21,,0.00,
1982-04-08,145042.00,2511.94,1.00,112.42,28.64,14.82,40.87,,0.00,
1982-04-09,145338.00,2512.06,1.00,150.23,34.58,18.18,53.47,,0.30,
1982-04-10,145735.00,2512.22,1.00,201.15,35.79,20.56,48.85,,0.15,
1982-04-11,146479.00,2512.52,1.00,376.10,34.94,31.06,40.31,,0.44,
1982-04-12,147446.00,2512.91,2.00,489.53,34.50,29.80,40.59,,0.15,
1982-04-13,148345.00,2513.27,2.00,455.25,30.49,20.14,35.27,,0.30,
1982-04-14,148970.00,2513.52,68.00,383.10,26.51,19.86,32.75,,0.30,
1982-04-15,149219.00,2513.62,201.00,326.54,29.74,26.30,34.15,,0.44,
1982-04-16,149344.00,2513.67,202.00,265.02,30.85,19.02,38.21,,0.30,
1982-04-17,149545.00,2513.75,202.00,303.34,29.40,26.16,33.31,,0.00,
1982-04-18,149595.00,2513.77,203.00,228.21,27.39,19.02,33.45,,0.00,
1982-04-19,149569.00,2513.76,203.00,189.89,31.62,11.32,47.45,,0.44,
1982-04-20,149545.00,2513.75,204.00,191.90,34.85,16.36,51.09,,0.00,
1982-04-21,149569.00,2513.76,204.00,216.10,38.07,20.28,59.50,,0.15,
1982-04-22,149769.00,2513.84,205.00,305.83,36.90,20.98,57.54,,0.00,
1982-04-23,150195.00,2514.01,207.00,421.78,38.33,30.08,68.04,,0.00,
1982-04-24,150623.00,2514.18,209.00,424.78,32.55,22.52,40.03,,0.00,
1982-04-25,150951.00,2514.31,209.00,374.37,35.00,18.04,54.45,,0.15,
1982-04-26,151329.00,2514.46,210.00,400.58,34.89,21.68,49.69,,0.00,
1982-04-27,151858.00,2514.67,210.00,476.70,37.68,26.30,49.69,,0.00,
1982-04-28,152690.00,2515.00,211.00,630.47,33.46,30.08,36.39,,0.30,
1982-04-29,153038.00,2515.03,211.00,386.45,34.64,28.68,41.99,,0.15,
1982-04-30,153360.00,2515.04,212.00,374.34,38.56,25.04,54.59,,0.15,
1982-05-01,153968.00,2515.04,285.00,591.53,38.70,29.66,50.25,,0.00,
1982-05-02,155169.00,2515.98,361.00,966.50,35.38,27.98,41.85,,0.00,
1982-05-03,155806.00,2516.23,362.00,683.15,30.85,29.10,35.13,,0.60,
1982-05-04,155857.00,2516.25,474.00,499.71,33.14,25.04,41.71,,0.45,
1982-05-05,155500.00,2516.11,619.00,439.01,37.54,23.78,50.11,,0.00,
1982-05-06,155245.00,2516.01,620.00,491.44,42.52,31.20,51.51,,0.74,
1982-05-07,155424.00,2516.08,620.00,710.25,36.16,33.16,38.90,,0.00,
1982-05-08,155500.00,2516.11,621.00,659.32,36.29,30.78,41.84,,0.00,
1982-05-09,155576.00,2516.14,622.00,660.32,38.98,34.28,45.49,,0.29,
1982-05-10,155678.00,2516.18,623.00,674.43,40.25,35.82,46.33,,0.00,
1982-05-11,156010.00,2516.31,624.00,791.38,42.52,36.94,53.89,,0.00,
1982-05-12,156367.00,2516.45,625.00,804.99,40.22,35.54,43.94,,0.00,
1982-05-13,156626.00,2516.54,625.00,755.58,42.29,30.64,52.63,,0.00,
1982-05-14,156766.00,2516.59,748.00,818.58,43.39,31.67,52.49,,0.00,
1982-05-15,157030.00,2516.71,869.00,1002.10,45.41,31.76,58.51,,0.00,
1982-05-16,157565.00,2516.92,869.00,1138.73,47.45,33.02,63.83,,0.00,
1982-05-17,157795.00,2517.01,1099.00,1214.96,40.30,37.22,44.78,,0.00,
1982-05-18,157260.00,2516.80,1260.00,990.27,37.44,27.70,43.38,,0.00,
1982-05-19,156418.00,2516.47,1258.00,833.49,42.16,27.00,57.25,,0.30,
1982-05-20,155622.00,2516.14,1253.00,851.68,45.51,27.70,63.27,,0.00,
1982-05-21,154916.00,2515.88,1388.00,1032.06,49.67,37.08,62.29,,0.00,
1982-05-22,154309.00,2515.64,1548.00,1241.97,41.80,34.70,44.50,,0.00,
1982-05-23,153284.00,2515.21,1543.00,1026.23,46.79,32.74,60.47,,0.00,
1982-05-24,152387.00,2514.88,1538.00,1085.76,52.64,37.22,68.73,,0.00,
1982-05-25,152538.00,2514.94,1421.00,1497.13,47.35,33.16,53.89,,0.00,
1982-05-26,152639.00,2514.98,1191.00,1241.92,38.39,35.40,40.16,,0.00,
1982-05-27,151959.00,2514.71,1189.00,846.17,40.52,34.98,45.21,,0.00,
1982-05-28,151152.00,2514.39,1186.00,779.14,41.18,29.94,56.41,,0.60,
1982-05-29,150346.00,2514.07,1181.00,774.64,45.45,33.44,60.47,,0.00,
1982-05-30,149694.00,2513.81,1176.00,847.28,49.00,29.24,66.35,,0.00,
1982-05-31,149195.00,2513.61,1171.00,919.42,49.42,33.44,65.79,,0.29,
1982-06-01,148695.00,2513.41,1165.00,912.92,42.84,41.28,44.50,,0.00,
1982-06-02,148119.00,2513.18,1064.00,773.60,42.49,34.00,49.69,,0.00,
1982-06-03,148044.00,2513.15,743.00,705.19,41.94,32.61,49.97,,0.00,
1982-06-04,148345.00,2513.27,492.00,643.75,41.06,28.82,47.31,,0.00,
1982-06-05,148594.00,2513.37,491.00,616.54,41.24,37.92,45.91,,0.00,
1982-06-06,148794.00,2513.45,490.00,590.83,41.78,34.98,47.73,,0.00,
1982-06-07,149170.00,2513.60,417.00,606.57,44.31,30.22,54.87,,0.00,
1982-06-08,149769.00,2513.84,348.00,650.00,49.59,30.92,61.87,,0.00,
1982-06-09,150598.00,2514.17,348.00,765.95,53.75,36.38,70.28,,0.15,
1982-06-10,151807.00,2514.65,348.00,957.54,55.95,35.26,72.52,,0.15,
1982-06-11,153271.00,2515.23,348.00,1086.10,58.13,36.66,74.34,,0.00,
1982-06-12,154891.00,2515.87,350.00,1166.75,52.06,47.87,58.93,,0.00,
1982-06-13,156163.00,2516.37,352.00,993.30,48.58,46.89,50.25,,0.00,
1982-06-14,156877.00,2516.65,543.00,902.98,51.36,45.49,57.39,,0.14,
1982-06-15,156877.00,2516.65,888.00,888.00,55.27,43.10,67.19,,0.15,
1982-06-16,156750.00,2516.60,1034.00,969.97,58.28,46.47,68.87,,0.00,
1982-06-17,156750.00,2516.60,1034.00,1034.00,64.67,45.49,84.14,,0.00,
1982-06-18,157056.00,2516.72,1034.00,1188.28,64.74,42.12,83.86,,0.15,
1982-06-19,157234.00,2516.79,1034.00,1123.74,63.55,42.26,81.62,,0.00,
1982-06-20,157336.00,2516.83,1036.00,1087.43,64.56,52.21,77.00,,0.00,
1982-06-21,157157.00,2516.76,1036.00,945.75,57.93,46.89,66.77,,0.00,
1982-06-22,156673.00,2516.57,1035.00,790.98,58.76,44.64,69.71,,0.00,
1982-06-23,156316.00,2516.43,918.00,738.01,60.80,42.96,73.22,,0.15,
1982-06-24,156807.00,2516.53,640.00,887.55,62.74,41.70,84.14,,0.00,
1982-06-25,157770.00,2517.00,492.00,977.51,59.78,51.93,68.59,,0.00,
1982-06-26,157760.00,2516.92,492.00,486.96,56.00,48.43,62.71,,0.00,
1982-06-27,157770.00,2517.00,494.00,499.04,52.50,47.45,58.51,,0.00,
1982-06-28,157668.00,2516.96,528.00,476.57,53.99,47.45,61.45,,0.15,
1982-06-29,157361.00,2516.84,590.00,435.22,54.83,51.37,58.37,,0.00,
1982-06-30,157107.00,2516.74,590.00,461.94,52.83,50.39,54.59,,0.00,
1982-07-01,156877.00,2516.65,514.00,398.04,49.81,48.29,51.93,,0.00,
1982-07-02,156839.00,2516.61,437.00,417.84,50.88,46.61,56.41,,0.15,
1982-07-03,156928.00,2516.67,438.00,482.87,47.15,43.94,52.21,,0.15,
1982-07-04,156851.00,2516.64,438.00,399.18,47.70,44.08,52.91,,0.00,
1982-07-05,156673.00,2516.57,438.00,348.26,49.27,45.35,56.27,,0.15,
1982-07-06,156424.00,2516.46,438.00,312.46,53.26,39.04,67.89,,0.44,
1982-07-07,156239.00,2516.40,438.00,344.73,50.61,43.80,54.73,,0.00,
1982-07-08,155933.00,2516.28,437.00,282.72,54.14,42.26,64.53,,0.14,
1982-07-09,155653.00,2516.17,437.00,295.83,55.11,40.72,66.77,,0.00,
1982-07-10,155424.00,2516.08,436.00,320.55,58.38,41.14,71.68,,0.00,
1982-07-11,155169.00,2515.98,436.00,307.44,61.05,50.39,70.70,,0.00,
1982-07-12,154865.00,2515.86,470.00,316.73,61.21,45.91,72.52,,0.00,
1982-07-13,154460.00,2515.70,522.00,317.81,56.12,48.01,65.65,,0.00,
1982-07-14,154106.00,2515.56,572.00,393.52,43.66,40.58,46.75,,0.00,
1982-07-15,153777.00,2515.43,595.00,429.13,43.63,40.58,46.33,,0.00,
1982-07-16,153330.00,2515.23,595.00,369.64,52.17,41.14,65.37,,0.60,
1982-07-17,152943.00,2515.10,593.00,397.89,58.12,43.94,69.43,,0.00,
1982-07-18,152100.00,2514.73,593.00,167.99,57.03,48.99,65.79,,0.00,
1982-07-19,151278.00,2514.44,628.00,213.57,59.20,51.65,68.54,,0.00,
1982-07-20,150371.00,2514.08,687.00,229.72,57.94,50.39,66.49,,0.00,
1982-07-21,149269.00,2513.64,737.00,181.41,48.20,41.56,52.07,,0.00,
1982-07-22,147945.00,2513.11,830.00,162.48,51.27,32.60,61.87,,0.00,
1982-07-23,146653.00,2512.59,873.00,221.62,56.69,43.10,68.87,,0.00,
1982-07-24,145144.00,2511.96,908.00,147.21,59.71,39.60,80.78,,0.00,
1982-07-25,143738.00,2511.41,905.00,196.14,63.45,41.84,84.84,,0.15,
1982-07-26,142339.00,2510.84,901.00,195.67,67.65,46.89,88.90,,0.00,
1982-07-27,141041.00,2510.27,898.00,243.59,69.26,46.61,91.70,,0.00,
1982-07-28,139927.00,2509.85,895.00,333.36,66.95,60.33,80.36,,0.00,
1982-07-29,138376.00,2509.12,892.00,110.04,63.62,55.57,76.30,,0.00,
1982-07-30,136826.00,2508.55,889.00,107.54,56.90,52.49,68.45,,0.00,
1982-07-31,135327.00,2507.94,884.00,128.25,52.18,49.55,57.11,,0.00,
1982-08-01,133858.00,2507.32,880.00,139.38,48.06,45.77,49.83,,0.00,
1982-08-02,132418.00,2506.71,877.00,151.00,51.31,45.63,55.29,,0.00,
1982-08-03,130961.00,2506.09,874.00,139.43,53.09,45.49,59.50,,0.30,
1982-08-04,129491.00,2505.46,869.00,127.87,53.49,42.55,62.58,,0.00,
1982-08-05,128027.00,2504.83,865.00,126.90,55.31,37.50,68.73,,0.00,
1982-08-06,126571.00,2504.20,862.00,127.93,60.26,42.12,79.80,,0.30,
1982-08-07,125148.00,2503.58,858.00,140.57,65.67,45.07,88.90,,0.15,
1982-08-08,123706.00,2502.95,854.00,126.99,65.47,57.25,72.94,,0.00,
1982-08-09,122299.00,2502.33,851.00,141.64,58.90,52.91,66.35,,0.00,
1982-08-10,120877.00,2501.70,847.00,130.07,52.69,50.81,55.99,,0.00,
1982-08-11,119422.00,2501.05,843.00,109.44,52.06,49.55,54.73,,0.00,
1982-08-12,118022.00,2500.42,839.00,133.17,49.14,46.61,52.07,,0.00,
1982-08-13,116737.00,2499.84,836.00,188.15,49.87,47.31,51.51,,0.30,
1982-08-14,115337.00,2499.64,832.00,126.17,50.87,41.14,59.91,,0.00,
1982-08-15,113937.00,2498.57,828.00,122.17,52.28,38.06,64.53,,0.44,
1982-08-16,112537.00,2497.92,824.00,118.17,54.34,41.14,64.67,,0.15,
1982-08-17,110989.00,2497.20,892.00,111.55,53.83,38.34,66.77,,0.00,
1982-08-18,109345.00,2496.43,939.00,110.15,56.46,39.18,72.80,,0.00,
1982-08-19,107733.00,2495.67,934.00,121.28,62.06,41.84,85.40,,0.00,
1982-08-20,106131.00,2494.91,929.00,121.32,66.17,53.89,83.02,,0.30,
1982-08-21,104513.00,2494.47,925.00,109.26,64.37,51.59,76.30,,0.00,
1982-08-22,102896.00,2493.35,919.00,103.76,62.10,51.23,75.46,,0.30,
1982-08-23,101285.00,2492.57,913.00,100.79,61.43,44.22,78.40,,0.00,
1982-08-24,99685.00,2491.79,908.00,101.33,62.72,43.80,83.72,,0.00,
1982-08-25,98352.00,2491.13,769.00,96.95,62.28,44.50,78.26,,0.00,
1982-08-26,97030.00,2490.47,768.00,101.49,62.00,52.00,73.00,,0.00,
1982-08-27,95376.00,2489.60,938.00,104.11,54.00,51.00,63.00,,0.00,
1982-08-28,93740.00,2488.76,931.00,106.18,60.00,49.00,70.00,,0.00,
1982-08-29,92064.00,2487.92,925.00,80.02,54.00,48.00,62.00,,0.00,
1982-08-30,90646.00,2487.22,790.00,75.09,53.00,48.00,60.00,,0.00,
1982-08-31,89704.00,2486.72,554.00,79.07,58.00,52.00,65.00,,0.00,
1982-09-01,88766.00,2486.22,551.00,78.09,62.00,46.00,80.00,,0.00,
1982-09-02,87846.00,2485.72,547.00,83.17,63.88,44.50,85.68,,0.00,
1982-09-03,86956.00,2485.28,545.00,96.29,56.40,52.49,66.75,,0.00,
1982-09-04,86045.00,2484.79,542.00,82.70,54.70,49.27,59.63,,0.00,
1982-09-05,85136.00,2484.30,540.00,81.71,58.52,45.77,73.22,,0.45,
1982-09-06,84260.00,2483.80,537.00,95.35,57.77,42.54,73.50,,0.00,
1982-09-07,83400.00,2483.34,534.00,100.42,62.44,52.07,73.36,,0.00,
1982-09-08,82180.00,2482.61,718.00,102.92,58.68,48.85,69.29,,0.00,
1982-09-09,80665.00,2481.82,884.00,120.19,50.81,45.49,58.23,,0.00,
1982-09-10,79383.00,2481.00,878.00,231.66,47.17,42.69,51.23,,0.59,
1982-09-11,78561.00,2480.69,873.00,458.57,46.37,41.29,51.37,,0.60,
1982-09-12,77240.00,2479.89,869.00,203.00,49.86,43.94,57.53,,1.04,
1982-09-13,75939.00,2479.20,820.00,164.08,47.81,39.04,62.29,,1.35,
1982-09-14,74742.00,2478.51,753.00,149.51,45.57,34.56,60.19,,0.00,
1982-09-15,73535.00,2477.81,747.00,138.47,43.27,29.80,59.07,,0.00,
1982-09-16,72265.00,2477.27,742.00,101.71,49.41,32.74,71.12,,0.00,
1982-09-17,70995.00,2476.35,754.00,113.71,52.67,34.28,75.88,,0.00,
1982-09-18,69725.00,2475.56,782.00,141.71,55.05,37.08,78.26,,0.00,
1982-09-19,68440.00,2474.77,776.00,128.15,55.07,46.75,68.17,,0.00,
1982-09-20,67173.00,2474.02,769.00,130.22,55.05,44.50,64.95,,0.45,
1982-09-21,65884.00,2473.23,761.00,111.13,53.05,41.70,66.77,,0.00,
1982-09-22,64592.00,2472.43,754.00,102.62,48.82,30.08,71.12,,0.00,
1982-09-23,63311.00,2471.63,748.00,102.16,53.62,37.36,74.20,,0.00,
1982-09-24,62058.00,2470.84,758.00,126.28,52.04,46.75,58.65,,0.00,
1982-09-25,60755.00,2470.01,775.00,118.07,49.59,40.44,56.68,,0.45,
1982-09-26,59438.00,2469.16,766.00,102.01,45.75,37.50,52.35,,0.00,
1982-09-27,58164.00,2468.33,758.00,115.69,48.29,42.26,54.45,,0.00,
1982-09-28,56996.00,2467.64,751.00,162.13,40.58,33.44,45.77,,0.14,
1982-09-29,55828.00,2466.79,743.00,154.13,44.89,30.64,59.77,,0.29,
1982-09-30,54660.00,2466.00,736.00,147.13,47.28,38.06,65.37,,0.00,
1982-10-01,53530.00,2465.18,705.00,136.00,,36.00,61.00,,0.00,
1982-10-02,52390.00,2464.85,702.00,127.25,,47.00,50.00,,0.15,
1982-10-03,51255.00,2463.88,691.00,118.77,,38.00,52.00,,0.30,
1982-10-04,50130.00,2462.90,686.00,118.81,,32.00,54.00,,0.00,
1982-10-05,49520.00,2462.11,409.00,101.46,,29.00,55.00,,0.00,
1982-10-06,48413.00,2461.41,671.00,112.89,,38.00,46.00,,0.45,
1982-10-07,47312.00,2460.88,667.00,111.91,,37.00,44.00,,0.29,
1982-10-08,46316.00,2460.23,659.00,156.85,,37.00,40.00,,0.30,
1982-10-09,45538.00,2459.68,655.00,262.76,,41.00,49.00,,0.15,
1982-10-10,44620.00,2458.97,650.00,187.17,,39.00,58.00,,0.15,
1982-10-11,43767.00,2458.35,645.00,214.95,,38.00,43.00,,0.00,
1982-10-12,43027.00,2457.89,638.00,264.92,,39.00,65.00,,0.00,
1982-10-13,42526.00,2457.53,359.00,106.41,,39.00,67.00,,0.00,
1982-10-14,42352.00,2457.34,201.00,113.27,,39.00,67.00,,0.15,
1982-10-15,42336.00,2457.27,129.00,120.93,,50.00,60.00,,0.00,
1982-10-16,42372.00,2457.35,129.00,147.15,,39.00,51.00,,0.30,
1982-10-17,42526.00,2457.53,129.00,206.64,,28.00,38.00,,0.00,
1982-10-18,42582.00,2457.57,129.00,157.23,,24.00,45.00,,0.00,
1982-10-19,42596.00,2457.58,130.00,137.06,,25.00,49.00,,0.00,
1982-10-20,42610.00,2457.59,130.00,137.06,,22.00,47.00,,0.00,
1982-10-21,42745.00,2457.63,108.00,176.06,,30.00,40.00,,0.00,
1982-10-22,43040.00,2457.90,92.00,240.73,,39.00,46.00,,0.44,
1982-10-23,43320.00,2458.10,93.00,234.17,,41.00,51.00,,0.15,
1982-10-24,43571.00,2458.28,93.00,219.55,,40.00,55.00,,0.15,
1982-10-25,43781.00,2458.43,93.00,198.88,,41.00,52.00,,0.00,
1982-10-26,44146.00,2458.69,94.00,278.02,,39.00,44.00,,0.30,
1982-10-27,44524.00,2458.96,95.00,285.58,,37.00,43.00,,0.30,
1982-10-28,45031.00,2459.32,95.00,350.61,,32.00,40.00,,1.33,
1982-10-29,45338.00,2459.52,96.00,250.78,,32.00,47.00,,0.00,
1982-10-30,45693.00,2459.79,154.00,332.98,,30.00,42.00,,0.15,
1982-10-31,45961.00,2459.98,197.00,332.12,,34.00,43.00,,0.30,
1982-11-01,46387.00,2460.28,164.00,378.78,,25.00,42.00,,0.15,
1982-11-02,46771.00,2460.55,116.00,309.60,,27.00,46.00,,0.00,
1982-11-03,47122.00,2460.77,117.00,293.96,,33.00,42.00,,0.00,
1982-11-04,47553.00,2461.10,118.00,335.30,,32.00,38.00,,0.45,
1982-11-05,48253.00,2461.59,119.00,471.92,,32.00,35.00,,1.33,
1982-11-06,48897.00,2462.04,120.00,444.68,,32.00,38.00,,0.45,
1982-11-07,49297.00,2462.32,121.00,322.67,,29.00,42.00,,0.15,
1982-11-08,49612.00,2462.54,121.00,279.81,,24.00,41.00,,0.00,
1982-11-09,49840.00,2462.70,121.00,235.95,,20.00,44.00,,0.00,
1982-11-10,50012.00,2462.82,138.00,224.72,,19.00,42.00,,0.00,
1982-11-11,50066.00,2462.85,174.00,201.23,,21.00,42.00,,0.00,
1982-11-12,50141.00,2462.91,174.00,211.81,,22.00,38.00,,0.00,
1982-11-13,50126.00,2462.90,174.00,166.44,,24.00,39.00,,0.15,
1982-11-14,50084.00,2462.87,174.00,152.82,,18.00,36.00,,0.00,
1982-11-15,50084.00,2462.87,174.00,174.00,,17.00,32.00,,0.00,
1982-11-16,50212.00,2462.96,174.00,238.53,,28.00,31.00,,1.49,
1982-11-17,50371.00,2463.07,174.00,254.16,,31.00,34.00,,1.19,
1982-11-18,50545.00,2463.19,174.00,261.73,,31.00,37.00,,0.44,
1982-11-19,50705.00,2463.30,175.00,255.67,,29.00,34.00,,0.75,
1982-11-20,50792.00,2463.36,176.00,219.86,,27.00,34.00,,0.44,
1982-11-21,50792.00,2463.36,176.00,176.00,,22.00,32.00,,0.00,
1982-11-22,50748.00,2463.33,176.00,153.82,,15.00,29.00,,0.00,
1982-11-23,50690.00,2463.29,176.00,146.76,,14.00,30.00,,0.00,
