date,qu,qd,qt,mm,mx,mn
1982-01-01,3342.59,795.00,,,,
1982-01-02,4507.73,790.00,,,,
1982-01-03,4546.49,797.00,,,,
1982-01-04,5047.37,828.00,,,,
1982-01-05,4637.23,821.00,,,,
1982-01-06,4812.32,996.00,,,,
1982-01-07,4936.29,1120.00,,,,
1982-01-08,4963.56,1130.00,,,,
1982-01-09,5061.90,1130.00,,,,
1982-01-10,5057.46,1130.00,,,,
1982-01-11,2753.67,1100.00,,,,
1982-01-12,2803.67,1150.00,,,,
1982-01-13,2801.34,1150.00,,,,
1982-01-14,5326.50,1190.00,,,,
1982-01-15,5701.77,1120.00,,,,
1982-01-16,5155.95,1120.00,,,,
1982-01-17,5151.82,1120.00,,,,
1982-01-18,5144.19,1110.00,,,,
1982-01-19,5327.78,1090.00,,,,
1982-01-20,4954.54,1120.00,,,,
1982-01-21,5277.13,1140.00,,,,
1982-01-22,5490.45,1130.00,,,,
1982-01-23,4612.00,1130.00,,,,
1982-01-24,4604.80,1120.00,,,,
1982-01-25,4820.36,1120.00,,,,
1982-01-26,4643.37,1120.00,,,,
1982-01-27,4920.13,1120.00,,,,
1982-01-28,4910.10,1110.00,,,,
1982-01-29,4950.10,1150.00,,,,
1982-01-30,4051.44,1140.00,,,,
1982-01-31,4708.07,1130.00,,,,
1982-02-01,1136.88,1140.00,,,,
1982-02-02,8677.59,1180.00,,,,
1982-02-03,4979.32,1300.00,,,,
1982-02-04,4983.78,1540.00,,,,
1982-02-05,5289.35,1610.00,,,,
1982-02-06,3883.77,1590.00,,,,
1982-02-07,3917.49,1620.00,,,,
1982-02-08,3631.87,1560.00,,,,
1982-02-09,4142.30,1580.00,,,,
1982-02-10,3711.41,1590.00,,,,
1982-02-11,3712.94,1580.00,,,,
1982-02-12,5602.22,1590.00,,,,
1982-02-13,4882.17,1580.00,,,,
1982-02-14,4905.82,1600.00,,,,
1982-02-15,4865.82,1560.00,,,,
1982-02-16,4417.70,1580.00,,,,
1982-02-17,4940.52,1580.00,,,,
1982-02-18,5453.60,1570.00,,,,
1982-02-19,11276.66,1570.00,,,,
1982-02-20,6149.19,2020.00,,,,
1982-02-21,6406.10,2280.00,,,,
1982-02-22,6537.69,2310.00,,,,
1982-02-23,6528.20,2300.00,,,,
1982-02-24,10005.27,2290.00,,,,
1982-02-25,8255.62,2290.00,,,,
1982-02-26,6980.73,2680.00,,,,
1982-02-27,7190.54,2890.00,,,,
1982-02-28,7199.03,2900.00,,,,
1982-03-01,6662.01,2850.00,,,,
1982-03-02,7220.21,2900.00,,,,
1982-03-03,8713.61,2870.00,,,,
