date,qu,af,mx,mn,mm,qd,fb
1982-01-01,127.75,4392.00,27.56,18.32,21.30,158.00,3395.81
1982-01-02,129.30,4345.00,22.94,13.42,19.29,153.00,3395.74
1982-01-03,137.88,4318.00,25.04,18.60,21.17,151.49,3395.70
1982-01-04,121.28,4265.00,23.08,10.76,17.65,148.00,3395.62
1982-01-05,109.22,4198.00,15.94,-12.63,4.10,143.00,3395.52
1982-01-06,111.77,4144.00,15.24,-17.39,0.85,139.00,3395.44
1982-01-07,136.00,4144.00,31.76,10.06,21.38,136.00,3395.44
1982-01-08,132.00,4144.00,37.09,27.98,31.46,132.00,3395.44
1982-01-09,128.00,4144.00,36.53,20.42,27.94,128.00,3395.44
1982-01-10,125.00,4144.00,35.55,18.60,27.04,125.00,3395.44
1982-01-11,122.00,4144.00,37.65,20.28,31.18,122.00,3395.44
1982-01-12,116.97,4138.00,33.45,14.96,26.76,120.00,3395.44
1982-01-13,117.00,4138.00,39.05,31.90,35.36,117.00,3395.44
1982-01-14,90.80,4090.00,37.09,31.06,34.02,115.00,3395.44
1982-01-15,87.80,4042.00,35.97,29.52,32.70,112.00,3395.17
1982-01-16,83.80,3994.00,32.89,25.04,29.76,108.00,3394.94
1982-01-17,83.80,3946.00,30.36,27.56,28.94,108.00,3395.01
1982-01-18,79.77,3890.00,30.92,1.23,22.58,108.00,3395.00
1982-01-19,87.83,3850.00,25.60,8.94,18.25,108.00,3395.00
1982-01-20,104.47,3843.00,25.74,18.88,22.29,108.00,3394.99
1982-01-21,107.00,3843.00,25.88,14.82,19.37,107.00,3394.99
1982-01-22,105.00,3843.00,32.61,18.74,22.48,105.00,3394.99
1982-01-23,125.08,3863.00,40.03,32.75,36.51,115.00,3395.02
1982-01-24,175.39,3957.00,35.83,27.00,31.14,128.00,3395.16
1982-01-25,167.11,3983.00,35.97,27.42,31.25,154.00,3395.20
1982-01-26,175.00,3983.00,32.89,26.02,29.80,175.00,3395.20
1982-01-27,188.00,3983.00,33.17,8.38,27.61,188.00,3395.20
1982-01-28,193.00,3983.00,34.43,26.02,29.90,193.00,3395.20
1982-01-29,195.00,3983.00,34.29,30.36,32.36,195.00,3395.20
1982-01-30,195.00,3983.00,39.19,31.20,34.56,195.00,3395.20
1982-01-31,195.00,3983.00,34.57,24.90,29.55,195.00,3395.20
1982-02-01,195.00,3983.00,34.85,28.82,31.56,195.00,3395.20
1982-02-02,195.00,3983.00,39.33,27.28,33.23,195.00,3395.20
1982-02-03,193.00,3983.00,39.75,12.86,26.09,193.00,3395.20
1982-02-04,185.00,3983.00,26.58,0.95,11.93,185.00,3395.20
1982-02-05,179.00,3983.00,29.94,-7.45,6.68,179.00,3395.20
1982-02-06,173.00,3983.00,25.60,-0.73,12.90,173.00,3395.20
1982-02-07,167.00,3983.00,32.18,-5.77,10.02,167.00,3395.20
1982-02-08,162.00,3983.00,29.10,3.47,14.80,162.00,3395.20
1982-02-09,156.00,3983.00,28.68,-0.45,11.11,156.00,3395.20
1982-02-10,151.00,3983.00,33.31,-6.05,11.47,151.00,3395.20
1982-02-11,145.00,3983.00,31.90,-0.59,20.44,145.00,3395.20
1982-02-12,181.32,4059.00,34.00,32.00,33.00,143.00,3395.20
1982-02-13,254.94,4285.00,41.00,33.00,37.00,141.00,3395.65
1982-02-14,682.65,5282.00,40.00,38.00,39.00,180.00,3397.12
1982-02-15,984.45,6590.00,39.00,33.00,36.00,325.00,3399.00
1982-02-16,1259.27,8215.00,37.00,32.00,33.00,440.00,3401.22
1982-02-17,1497.61,10162.00,38.00,27.00,35.00,516.00,3403.75
1982-02-18,1633.45,12311.00,33.00,27.00,30.00,550.00,3406.35
1982-02-19,1520.28,14178.00,40.00,32.00,36.00,579.00,3408.46
1982-02-20,1238.15,15414.00,41.00,32.00,37.00,615.00,3409.80
1982-02-21,1287.65,16649.00,31.00,24.00,27.00,665.00,3411.09
1982-02-22,1246.15,17764.00,28.00,17.00,22.00,684.00,3412.21
1982-02-23,924.41,18223.00,25.00,20.00,23.00,693.00,3412.66
1982-02-24,687.41,18202.00,33.00,20.00,26.00,698.00,3412.64
1982-02-25,568.40,17937.00,38.00,21.00,30.00,702.00,3412.38
1982-02-26,526.01,17580.00,32.00,23.00,28.00,706.00,3412.03
1982-02-27,458.97,17094.00,37.00,15.00,26.00,704.00,3411.54
1982-02-28,419.69,16540.00,36.00,24.00,30.00,699.00,3410.98
1982-03-01,424.80,16012.00,37.00,28.00,33.00,691.00,3410.43
1982-03-02,371.93,15395.00,36.00,29.00,32.00,683.00,3409.78
1982-03-03,366.44,14781.00,36.00,30.00,33.00,676.00,3409.12
1982-03-04,334.26,14123.00,37.00,28.00,33.00,666.00,3408.40
1982-03-05,318.22,13457.00,42.00,16.00,29.00,654.00,3407.66
1982-03-06,304.19,12783.00,48.00,18.00,33.00,644.00,3406.90
1982-03-07,293.78,12130.00,51.00,18.00,35.00,623.00,3406.14
1982-03-08,297.49,11528.00,40.00,18.00,29.00,601.00,3405.42
1982-03-09,363.24,11106.00,40.00,34.00,37.00,576.00,3404.91
1982-03-10,409.67,10786.00,43.00,31.00,37.00,571.00,3404.52
1982-03-11,445.01,10548.00,37.00,24.00,30.00,565.00,3404.23
1982-03-12,444.08,10328.00,33.00,25.00,29.00,555.00,3403.96
1982-03-13,332.79,9917.00,38.49,29.24,33.33,540.00,3403.44
1982-03-14,333.99,9554.00,35.69,23.36,30.72,517.00,3402.98
1982-03-15,312.96,9185.00,31.62,14.40,23.95,499.00,3402.50
1982-03-16,275.90,8800.00,41.15,9.22,23.38,470.00,3402.00
