date,fb,af
1982-01-01,3385.26,107630.00
1982-01-02,3385.35,107960.00
1982-01-03,3385.45,108310.00
1982-01-04,3385.56,108730.00
1982-01-05,3385.68,109170.00
1982-01-06,3385.80,109590.00
1982-01-07,3385.89,109910.00
1982-01-08,3385.95,110140.00
1982-01-09,3386.01,110350.00
1982-01-10,3386.07,110570.00
1982-01-11,3386.14,110790.00
1982-01-12,3386.21,111040.00
1982-01-13,3386.29,111310.00
1982-01-14,3386.37,111600.00
1982-01-15,3386.46,111910.00
1982-01-16,3386.56,112240.00
1982-01-17,3386.66,112590.00
1982-01-18,3386.76,112957.42
1982-01-19,3386.88,113370.21
1982-01-20,3386.97,113686.25
1982-01-21,3387.07,114038.49
1982-01-22,3387.19,114457.76
1982-01-23,3387.28,114772.20
1982-01-24,3387.42,115263.53
1982-01-25,3387.56,115754.86
1982-01-26,3387.76,116462.37
1982-01-27,3387.96,117163.33
1982-01-28,3388.14,117815.81
1982-01-29,3388.31,118431.38
1982-01-30,3388.45,118926.50
1982-01-31,3388.59,119428.32
1982-02-01,3388.72,119896.68
1982-02-02,3388.84,120338.27
1982-02-03,3388.98,120833.40
1982-02-04,3389.07,121166.13
1982-02-05,3389.11,121309.32
1982-02-06,3389.17,121534.35
1982-02-07,3389.24,121779.84
1982-02-08,3389.31,122038.96
1982-02-09,3389.38,122304.90
1982-02-10,3389.44,122516.29
1982-02-11,3389.51,122775.41
1982-02-12,3389.56,122952.71
1982-02-13,3389.68,123389.13
1982-02-14,3390.06,124789.51
1982-02-15,3391.26,129255.66
1982-02-16,3393.73,138726.50
1982-02-17,3396.00,147762.00
1982-02-18,3397.52,154001.70
1982-02-19,3397.82,155228.11
1982-02-20,3398.96,160022.02
1982-02-21,3400.67,167338.13
1982-02-22,3402.05,173327.83
1982-02-23,3401.92,172764.39
1982-02-24,3401.54,171113.88
1982-02-25,3401.19,169585.33
1982-02-26,3400.80,167902.06
1982-02-27,3400.34,165912.20
1982-02-28,3399.85,163811.52
1982-03-01,3399.38,161812.88
1982-03-02,3399.09,160567.69
1982-03-03,3398.74,159095.00
1982-03-04,3398.30,157248.83
1982-03-05,3397.79,155112.41
1982-03-06,3397.24,152837.00
1982-03-07,3396.67,150492.17
1982-03-08,3396.51,149843.94
1982-03-09,3396.55,149996.47
1982-03-10,3396.68,150545.55
1982-03-11,3396.85,151231.91
1982-03-12,3397.00,151842.00
1982-03-13,3396.97,151719.98
1982-03-14,3396.95,151643.72
1982-03-15,3397.14,152428.20
1982-03-16,3397.33,153207.23
1982-03-17,3397.58,154240.81
1982-03-18,3397.85,155366.94
1982-03-19,3398.01,156023.28
1982-03-20,3398.18,156730.33
1982-03-21,3398.37,157539.50
1982-03-22,3398.63,158631.50
1982-03-23,3398.92,159857.05
1982-03-24,3399.24,161218.05
1982-03-25,3399.59,162709.09
1982-03-26,3399.87,163890.83
1982-03-27,3400.12,164961.59
1982-03-28,3400.30,165726.92
1982-03-29,3400.43,166306.95
1982-03-30,3400.56,166862.83
1982-03-31,3400.68,167378.41
1982-04-01,3400.81,167942.34
1982-04-02,3400.98,168667.39
1982-04-03,3401.16,169455.23
1982-04-04,3401.32,170154.47
1982-04-05,3401.45,170715.47
1982-04-06,3401.58,171284.61
1982-04-07,3401.71,171845.63
1982-04-08,3401.84,172414.77
1982-04-09,3401.97,172975.78
1982-04-10,3402.15,173771.94
1982-04-11,3402.53,175449.70
1982-04-12,3402.82,176716.25
1982-04-13,3402.86,176905.41
1982-04-14,3402.88,176987.64
1982-04-15,3402.81,176675.13
1982-04-16,3402.65,175976.06
1982-04-17,3402.68,176099.42
1982-04-18,3402.66,176017.17
1982-04-19,3402.60,175762.22
1982-04-20,3402.68,176099.42
1982-04-21,3402.85,176864.28
1982-04-22,3403.07,177820.50
1982-04-23,3403.37,179162.44
1982-04-24,3403.67,180479.52
1982-04-25,3403.94,181680.64
1982-04-26,3404.10,182397.31
1982-04-27,3404.12,182489.33
1982-04-28,3404.11,182447.50
1982-04-29,3404.06,182213.30
1982-04-30,3404.09,182355.50
1982-05-01,3404.12,182489.33
1982-05-02,3404.14,182572.97
1982-05-03,3404.33,183434.52
1982-05-04,3404.57,184496.80
1982-05-05,3404.74,185266.34
1982-05-06,3404.78,185433.63
1982-05-07,3404.76,185349.98
1982-05-08,3405.12,186973.84
1982-05-09,3405.48,188616.88
1982-05-10,3405.45,188463.64
1982-05-11,3405.35,188020.95
1982-05-12,3405.23,187476.11
1982-05-13,3405.19,187280.31
1982-05-14,3405.21,187373.95
1982-05-15,3405.26,187612.33
1982-05-16,3405.31,187833.66
1982-05-17,3405.40,188242.30
1982-05-18,3405.52,188795.30
1982-05-19,3405.54,188880.11
1982-05-20,3405.46,188514.72
1982-05-21,3405.49,188659.44
1982-05-22,3405.56,188964.92
1982-05-23,3405.60,189160.00
1982-05-24,3405.64,189338.09
1982-05-25,3405.71,189643.42
1982-05-26,3405.75,189838.50
1982-05-27,3405.77,189923.31
1982-05-28,3405.79,190016.61
1982-05-29,3405.84,190254.08
1982-05-30,3405.86,190338.91
1982-05-31,3405.85,190296.50
1982-06-01,3405.87,190381.31
1982-06-02,3405.88,190423.72
1982-06-03,3405.96,190779.92
