date,qu,qd,mm,mx,mn
1982-01-01,81.85,0.15,,29.29,0.04
1982-01-02,112.49,0.15,,27.32,13.72
1982-01-03,134.19,0.15,,32.90,14.35
1982-01-04,84.40,0.15,,35.81,11.13
1982-01-05,61.43,0.15,,20.33,-3.97
1982-01-06,49.94,0.15,,17.10,-13.01
1982-01-07,98.03,0.15,,11.05,-13.32
1982-01-08,115.80,0.15,,22.92,2.48
1982-01-09,85.91,0.15,,20.48,-3.65
1982-01-10,85.91,0.15,,19.93,-6.56
1982-01-11,105.40,0.15,,27.09,-1.37
1982-01-12,113.20,0.15,,34.01,8.22
1982-01-13,115.81,0.15,,40.29,11.52
1982-01-14,115.20,0.15,,43.05,17.26
1982-01-15,111.08,0.15,,39.04,28.19
1982-01-16,123.16,0.20,,41.16,32.35
1982-01-17,119.19,0.25,,42.57,31.49
1982-01-18,108.50,0.25,,40.84,27.48
1982-01-19,81.77,0.25,,32.04,11.68
1982-01-20,95.14,0.25,,27.87,7.51
1982-01-21,80.34,0.30,,29.52,8.22
1982-01-22,143.58,0.35,,30.86,10.97
1982-01-23,149.14,0.45,,44.62,31.10
1982-01-24,180.66,0.60,,44.23,33.14
1982-01-25,178.14,0.80,,37.54,29.76
1982-01-26,182.88,0.90,,43.28,30.47
1982-01-27,159.95,0.96,,37.23,25.20
1982-01-28,144.74,0.96,,40.06,25.67
1982-01-29,124.01,0.96,,35.89,15.29
1982-01-30,135.07,0.96,,42.50,22.21
1982-01-31,108.03,0.96,,41.16,24.10
1982-02-01,131.01,0.96,,38.96,24.02
1982-02-02,129.61,0.96,,44.93,27.87
1982-02-03,93.26,0.96,,38.01,18.52
1982-02-04,47.11,0.96,,26.46,4.60
1982-02-05,47.11,0.96,,22.29,1.30
1982-02-06,69.48,0.96,,17.26,3.34
1982-02-07,86.26,0.96,,28.50,7.27
1982-02-08,100.25,0.96,,24.02,0.91
1982-02-09,88.00,0.96,,29.05,6.57
1982-02-10,71.19,0.96,,21.98,-2.24
1982-02-11,95.70,1.10,,26.22,4.21
1982-02-12,117.39,1.30,,32.67,5.62
1982-02-13,150.76,1.70,,31.80,20.56
1982-02-14,262.42,3.00,,46.82,31.88
1982-02-15,919.12,3.20,,50.59,36.52
1982-02-16,2203.50,4.20,,49.96,36.99
1982-02-17,1631.71,4.90,,51.62,32.43
1982-02-18,996.92,106.00,,38.01,25.91
1982-02-19,1545.10,406.00,,59.48,33.93
1982-02-20,1807.43,855.00,,62.47,34.56
1982-02-21,2731.82,1430.00,,52.32,33.77
1982-02-22,1809.18,2060.00,,39.67,23.39
1982-02-23,1106.87,1630.00,,36.52,20.64
1982-02-24,805.96,1570.00,,38.01,21.74
1982-02-25,583.00,1390.00,,39.12,20.40
1982-02-26,502.80,970.00,,42.10,26.22
1982-02-27,549.97,755.00,,49.26,30.78
1982-02-28,526.21,750.00,,46.90,27.01
1982-03-01,602.27,695.00,,53.97,32.59
1982-03-02,621.79,385.00,,50.28,29.84
1982-03-03,504.56,203.00,,44.62,32.43
1982-03-04,483.81,346.00,,46.82,31.02
1982-03-05,431.40,423.00,,49.49,28.66
1982-03-06,433.08,423.00,,54.45,23.71
1982-03-07,409.92,420.00,,58.38,27.17
1982-03-08,418.81,281.00,,52.95,32.28
1982-03-09,435.23,205.00,,56.57,29.84
1982-03-10,491.21,205.00,,56.02,29.68
1982-03-11,639.27,208.00,,50.28,28.34
1982-03-12,588.63,450.00,,46.82,24.89
1982-03-13,552.52,609.00,,49.10,31.33
1982-03-14,618.49,740.00,,48.71,37.78
1982-03-15,583.19,780.00,,42.42,28.50
1982-03-16,509.87,770.00,,45.17,26.69
1982-03-17,471.56,765.00,,44.54,27.01
1982-03-18,447.42,760.00,,38.64,28.97
1982-03-19,420.61,750.00,,40.14,28.03
1982-03-20,418.22,745.00,,43.91,28.11
1982-03-21,355.80,735.00,,47.61,23.39
1982-03-22,366.07,530.00,,51.85,23.23
1982-03-23,359.99,153.00,,58.93,23.31
1982-03-24,359.76,5.40,,61.29,28.11
1982-03-25,394.63,5.40,,61.36,31.65
1982-03-26,428.60,5.10,,57.98,35.73
1982-03-27,465.43,5.10,,51.85,36.13
1982-03-28,416.13,5.40,,50.59,33.06
1982-03-29,448.88,122.00,,45.09,25.99
1982-03-30,423.34,190.00,,41.55,29.76
1982-03-31,508.26,442.00,,43.68,33.69
1982-04-01,443.57,604.00,,45.17,26.61
