date,mm,mx,id,fb,mn,af
1982-01-01,,29.00,1031.36,3182.23,16.94,194761.14
1982-01-02,,32.00,969.47,3183.03,19.46,196684.05
1982-01-03,,33.00,1077.17,3183.91,20.80,198820.58
1982-01-04,,36.00,1039.51,3184.75,26.69,200882.41
1982-01-05,,38.00,900.01,3185.48,15.21,202667.55
1982-01-06,,24.00,419.18,3185.82,-0.98,203498.98
1982-01-07,,9.00,0.00,3185.82,-5.15,203498.98
1982-01-08,,11.00,2108.41,3187.51,7.82,207680.94
1982-01-09,,18.00,429.55,3187.85,5.78,208532.94
1982-01-10,,15.00,1555.38,3189.07,4.68,211617.98
1982-01-11,,22.00,928.60,3189.79,5.94,213459.84
1982-01-12,,27.00,979.87,3190.57,13.33,215403.38
1982-01-13,,27.00,1139.07,3191.48,16.94,217662.69
1982-01-14,,30.00,960.51,3192.24,24.57,219567.84
1982-01-15,,41.00,891.95,3192.94,31.88,221337.00
1982-01-16,,40.00,1015.49,3193.73,31.65,223351.19
1982-01-17,,36.00,972.61,3194.48,32.90,225280.34
1982-01-18,,42.00,980.91,3195.23,30.00,227225.95
1982-01-19,,38.00,976.16,3195.97,16.71,229162.13
1982-01-20,,35.00,917.60,3196.66,5.31,230982.16
1982-01-21,,30.00,1108.84,3195.99,18.99,229214.58
1982-01-22,,28.00,1057.87,3194.05,11.76,224172.34
1982-01-23,,26.00,1434.95,3192.33,24.49,219794.73
1982-01-24,,46.00,1390.03,3190.57,24.89,215403.38
1982-01-25,,44.00,1853.06,3189.23,22.92,212025.64
1982-01-26,,44.00,3845.24,3189.47,32.98,212639.00
1982-01-27,,44.00,2143.31,3191.17,30.31,216890.20
1982-01-28,,35.00,2114.29,3192.72,24.96,221083.84
1982-01-29,,38.00,2050.02,3194.29,12.93,225150.00
1982-01-30,,27.00,2062.56,3196.00,18.99,229241.03
1982-01-31,,33.00,2113.07,3197.58,25.75,233432.25
1982-02-01,,36.00,2123.83,3199.14,18.99,237644.80
1982-02-02,,32.00,2110.17,3200.67,22.61,241830.25
1982-02-03,,31.00,2304.47,3201.25,18.05,243425.89
1982-02-04,,30.00,2085.71,3199.34,-0.67,238190.94
1982-02-05,,18.00,1888.54,3197.30,-7.11,232683.91
1982-02-06,,15.00,1960.30,3195.30,-6.64,227408.48
1982-02-07,,16.00,2137.76,3193.43,11.21,222584.20
1982-02-08,,22.00,2182.39,3191.59,-2.16,217937.70
1982-02-09,,18.00,2186.55,3189.77,6.41,213408.55
