date,fb,id,af,qt
1982-06-04,10.47,,28413.10,
1982-06-05,10.62,,29008.07,
1982-06-06,10.62,,29008.07,
1982-06-07,10.57,,28808.83,
1982-06-08,10.60,,28928.32,
1982-06-09,10.62,,29008.07,
1982-06-10,10.58,,28848.64,
1982-06-11,10.63,,29047.97,
1982-06-12,10.49,,28491.40,
1982-06-13,10.52,,28610.01,
1982-06-14,10.65,,29127.81,
1982-06-15,10.72,,29407.82,
1982-06-16,10.85,,29930.03,
1982-06-17,10.87,,30010.63,
1982-06-18,10.69,,29287.72,
1982-06-19,10.59,,28888.48,
1982-06-20,10.77,,29608.34,
1982-06-21,10.71,,29367.78,
1982-06-22,10.83,,29849.51,
1982-06-23,10.81,,29769.05,
1982-06-24,10.85,,29930.03,
1982-06-25,10.92,,30212.39,
1982-06-26,11.02,,30617.19,
1982-06-27,10.88,,30050.94,
1982-06-28,10.69,,29287.72,
1982-06-29,10.84,,29889.76,
1982-06-30,10.86,,29970.32,
1982-07-01,10.85,,29930.03,
1982-07-02,11.00,,30536.09,
1982-07-03,10.97,,30414.58,
1982-07-04,11.15,,31145.88,
1982-07-05,11.14,,31105.12,
1982-07-06,10.98,,30455.07,
1982-07-07,11.04,,30698.34,
1982-07-08,11.00,,30536.09,
1982-07-09,11.03,,30657.76,
1982-07-10,10.97,,30414.58,
1982-07-11,10.98,,30455.07,
1982-07-12,10.98,,30455.07,
1982-07-13,10.99,,30495.58,
1982-07-14,11.10,,30942.21,
1982-07-15,11.05,,30738.95,
1982-07-16,10.99,,30495.58,
1982-07-17,11.10,,30942.21,
1982-07-18,11.08,,30860.86,
1982-07-19,10.98,,30455.07,
1982-07-20,11.02,,30617.19,
1982-07-21,11.02,,30617.19,
1982-07-22,11.02,,30617.19,
1982-07-23,11.04,,30698.34,
1982-07-24,11.11,,30982.91,
1982-07-25,10.98,,30455.07,
1982-07-26,10.96,,30374.11,
1982-07-27,10.97,,30414.58,
1982-07-28,11.05,,30738.95,
1982-07-29,11.20,,31349.98,
1982-07-30,11.12,,31023.63,
1982-07-31,11.05,,30738.95,
1982-08-01,10.83,,29849.51,
1982-08-02,11.00,,30536.09,
1982-08-03,11.03,,30657.76,
1982-08-04,10.97,,30414.58,
1982-08-05,10.98,,30455.07,
1982-08-06,11.04,,30698.34,
1982-08-07,11.04,,30698.34,
1982-08-08,11.07,,30820.20,
1982-08-09,11.04,,30698.34,
1982-08-10,11.00,,30536.09,
1982-08-11,10.83,,29849.51,
1982-08-12,10.96,,30374.11,
1982-08-13,10.95,,30333.65,
1982-08-14,10.95,,30333.65,
1982-08-15,10.97,,30414.58,
1982-08-16,10.93,,30252.79,
1982-08-17,10.90,,30131.63,
1982-08-18,10.94,,30293.22,
1982-08-19,10.96,,30374.11,
1982-08-20,10.98,,30455.07,
1982-08-21,11.00,,30536.09,
1982-08-22,10.92,,30212.39,
1982-08-23,10.77,,29608.34,
1982-08-24,10.89,,30091.28,
1982-08-25,10.93,,30252.79,
1982-08-26,10.95,,30333.65,
1982-08-27,10.93,,30252.79,
1982-08-28,11.00,,30536.09,
1982-08-29,11.02,,30617.19,
1982-08-30,10.93,,30252.79,
1982-08-31,10.97,,30414.58,
1982-09-01,10.98,,30455.07,
1982-09-02,10.93,,30252.79,
1982-09-03,10.72,,29407.82,
1982-09-04,10.66,,29167.77,
1982-09-05,10.72,,29407.82,
1982-09-06,10.69,,29287.72,
1982-09-07,10.72,,29407.82,
1982-09-08,10.75,,29528.09,
1982-09-09,10.79,,29688.67,
1982-09-10,10.56,,28769.03,
1982-09-11,10.77,,29608.34,
1982-09-12,10.92,,30212.39,
1982-09-13,10.94,,30293.22,
1982-09-14,10.83,,29849.51,
1982-09-15,10.82,,29809.27,
1982-09-16,10.76,,29568.21,
1982-09-17,10.68,,29247.72,
1982-09-18,10.70,,29327.74,
1982-09-19,10.74,,29487.98,
1982-09-20,10.77,,29608.34,
1982-09-21,10.77,,29608.34,
1982-09-22,10.73,,29447.89,
1982-09-23,10.69,,29287.72,
1982-09-24,10.65,,29127.81,
1982-09-25,10.70,,29327.74,
1982-09-26,10.72,,29407.82,
1982-09-27,10.52,,28610.01,
1982-09-28,10.75,,29528.09,
1982-09-29,10.83,,29849.51,
1982-09-30,10.89,,30091.28,
1982-10-01,10.84,,29889.76,
1982-10-02,10.68,,29247.72,
1982-10-03,10.47,,28413.10,
1982-10-04,10.55,,28729.25,
1982-10-05,10.81,,29769.05,
1982-10-06,10.79,,29688.67,
1982-10-07,10.73,,29400.00,
1982-10-08,10.74,,29500.00,
1982-10-09,10.96,,30240.00,
1982-10-10,10.70,,29328.00,
1982-10-11,10.70,,29328.00,
1982-10-12,10.76,,29520.00,
1982-10-13,10.64,,29200.00,
1982-10-14,10.49,,28210.00,
1982-10-15,9.90,,26222.38,
1982-10-16,9.79,,25789.38,
1982-10-17,9.70,,25433.03,
1982-10-18,9.67,,25313.84,
1982-10-19,9.55,,24835.10,
1982-10-20,9.37,,24128.50,
1982-10-21,9.34,,24012.18,
1982-10-22,9.33,,23973.46,
1982-10-23,9.33,,23973.46,
1982-10-24,9.33,,23973.46,
1982-10-25,9.29,,23818.72,
1982-10-26,8.95,,22515.73,
1982-10-27,9.02,,22782.96,
1982-10-28,8.79,,21906.32,
1982-10-29,8.60,,21187.01,
1982-10-30,8.41,,20484.94,
1982-10-31,8.36,,20306.19,
1982-11-01,8.19,,19709.32,
1982-11-02,8.37,,20341.82,
1982-11-03,8.36,,20306.19,
1982-11-04,8.51,,20990.00,
1982-11-05,8.66,,21250.00,
1982-11-06,8.32,,19980.00,
1982-11-07,8.04,,18905.00,
1982-11-08,7.99,,18810.00,
1982-11-09,7.92,,18780.38,
1982-11-10,7.82,,18427.95,
1982-11-11,7.53,,17403.14,
1982-11-12,7.66,,17862.99,
1982-11-13,7.62,,17721.56,
1982-11-14,7.79,,18322.13,
1982-11-15,7.56,,17509.31,
1982-11-16,7.41,,16987.94,
1982-11-17,7.41,,16987.94,
1982-11-18,7.42,,17022.13,
1982-11-19,7.51,,17332.34,
1982-11-20,7.65,,17827.64,
1982-11-21,7.58,,17580.08,
1982-11-22,7.18,,16210.31,
1982-11-23,7.27,,16512.54,
1982-11-24,7.25,,16445.15,
1982-11-25,7.18,,16210.31,
1982-11-26,7.18,,16210.31,
1982-11-27,6.61,,14389.30,
1982-11-28,6.63,,14450.25,
1982-11-29,6.95,,15452.50,
1982-11-30,7.27,,16512.54,
1982-12-01,7.27,,16512.54,
1982-12-02,7.29,,16580.06,
1982-12-03,7.48,,17228.03,
1982-12-04,7.22,,16344.31,
1982-12-05,7.09,,15910.70,
1982-12-06,6.89,,15260.69,
1982-12-07,7.02,,15679.51,
1982-12-08,7.03,,15712.44,
1982-12-09,7.01,,15646.61,
1982-12-10,7.01,,15646.61,
1982-12-11,7.10,,15943.86,
1982-12-12,7.21,,16310.76,
1982-12-13,7.08,,15877.58,
1982-12-14,7.22,,16344.31,
1982-12-15,7.37,,16851.46,
1982-12-16,7.33,,16715.50,
1982-12-17,7.34,,16749.44,
1982-12-18,7.35,,16783.41,
1982-12-19,7.30,,16613.87,
1982-12-20,7.21,,16310.76,
1982-12-21,7.22,,16344.31,
1982-12-22,7.27,,16512.54,
1982-12-23,7.00,,15613.75,
1982-12-24,7.17,,16176.89,
1982-12-25,7.12,,16010.28,
1982-12-26,6.35,,13608.23,
1982-12-27,6.93,,15388.36,
1982-12-28,6.81,,15007.74,
1982-12-29,6.29,,13420.29,
1982-12-30,6.03,,13306.91,
1982-12-31,6.03,,13307.00,
1983-01-01,6.03,,13306.91,
1983-01-02,6.14,,12875.39,
1983-01-03,5.80,,14920.74,
1983-01-04,5.56,,15184.02,
1983-01-05,5.62,,15234.96,
1983-01-06,5.59,,15219.02,
1983-01-07,5.69,,15196.89,
1983-01-08,5.70,,15182.74,
1983-01-09,5.63,,15235.93,
1983-01-10,5.44,,14856.04,
1983-01-11,5.58,,15209.49,
1983-01-12,5.59,,15219.02,
1983-01-13,5.53,,15130.07,
1983-01-14,5.42,,14772.59,
1983-01-15,5.13,,12675.36,
1983-01-16,4.47,,9925.76,
1983-01-17,4.99,,11195.70,
1983-01-18,5.13,,12675.36,
1983-01-19,5.22,,13499.95,
1983-01-20,5.28,,13964.05,
1983-01-21,5.31,,14169.96,
1983-01-22,5.21,,13415.90,
1983-01-23,5.17,,13060.64,
1983-01-24,5.12,,12574.42,
1983-01-25,5.13,,12675.36,
1983-01-26,5.07,,12041.95,
1983-01-27,5.06,,11929.98,
1983-01-28,5.03,,11583.24,
1983-01-29,4.95,,11097.19,
1983-01-30,4.98,,11171.06,
1983-01-31,4.85,,10851.51,
1983-02-01,4.83,,10802.47,
1983-02-02,4.86,,10876.04,
1983-02-03,4.87,,10900.58,
1983-02-04,4.86,,10876.04,
1983-02-05,4.75,,10606.65,
1983-02-06,4.61,,10265.31,
1983-02-07,4.59,,10216.69,
1983-02-08,4.57,,10168.11,
1983-02-09,4.53,,10071.06,
1983-02-10,4.54,,10095.31,
1983-02-11,4.60,,10241.00,
1983-02-12,4.51,,10022.59,
1983-02-13,4.37,,9684.36,
1983-02-14,4.67,,10411.39,
1983-02-15,4.67,,10411.39,
1983-02-16,4.54,,10095.31,
1983-02-17,4.49,,9974.15,
1983-02-18,4.50,,9998.37,
1983-02-19,4.60,,10241.00,
1983-02-20,4.62,,10289.64,
1983-02-21,4.59,,10216.69,
1983-02-22,4.37,,9684.36,
1983-02-23,4.30,,9515.96,
1983-02-24,4.19,,9252.34,
1983-02-25,4.18,,9228.44,
1983-02-26,4.21,,9300.18,
1983-02-27,4.24,,9372.01,
1983-02-28,4.06,,8942.42,
1983-03-01,3.85,,8444.66,
1983-03-02,3.72,,8138.63,
1983-03-03,3.66,,7998.01,
1983-03-04,3.36,,7301.23,
1983-03-05,3.28,,7117.30,
1983-03-06,3.43,,7462.84,
1983-03-07,3.44,,7485.98,
1983-03-08,3.43,,7462.84,
1983-03-09,3.24,,7025.63,
1983-03-10,3.53,,7694.75,
1983-03-11,3.65,,7974.61,
1983-03-12,3.67,,8021.42,
1983-03-13,3.70,,8091.71,
1983-03-14,3.07,,6638.45,
1983-03-15,2.25,,4788.23,
1983-03-16,2.14,,4546.07,
1983-03-17,2.15,,4568.00,
1983-03-18,2.16,,4589.96,
1983-03-19,2.21,,4699.96,
1983-03-20,2.19,,4655.91,
1983-03-21,2.18,,4633.91,
1983-03-22,2.34,,4987.68,
1983-03-23,3.08,,6661.12,
1983-03-24,3.55,,7741.28,
1983-03-25,4.33,,9588.07,
1983-03-26,5.28,,13964.03,
1983-03-27,5.31,,14169.91,
1983-03-28,5.26,,13817.05,
