date,wz,wi,wk,qu,mm,mx,mn,fb,af,qd
1982-01-01,,,,66.25,,24.73,16.16,3805.15,13057.37,12.40
1982-01-02,,,,63.14,,23.39,6.25,3805.29,13158.02,12.40
1982-01-03,,,,77.09,,30.31,14.27,3805.45,13273.83,18.70
1982-01-04,,,,56.42,,31.96,3.19,3805.54,13339.52,23.30
1982-01-05,,,,60.50,,21.74,0.04,3805.64,13412.71,23.60
1982-01-06,,,,35.34,,8.69,-22.21,3805.67,13434.80,24.20
1982-01-07,,,,46.72,,7.98,-19.30,3805.73,13479.08,24.40
1982-01-08,,,,50.54,,14.11,5.86,3805.80,13530.93,24.40
1982-01-09,,,,43.43,,18.52,-5.70,3805.85,13568.09,24.70
1982-01-10,,,,58.56,,12.23,-9.94,3805.94,13635.05,24.80
1982-01-11,,,,78.84,,35.18,-4.13,3806.09,13743.03,24.40
1982-01-12,,,,63.86,,35.34,27.72,3806.20,13820.31,24.90
1982-01-13,,,,64.66,,44.93,16.39,3806.31,13898.19,25.40
1982-01-14,,,,75.80,,42.18,15.45,3806.45,13997.76,25.60
1982-01-15,,,,58.91,,38.96,30.86,3806.54,14062.25,26.40
1982-01-16,,,,76.05,,33.53,29.84,3806.67,14155.78,28.90
1982-01-17,,,,64.58,,41.24,21.74,3806.76,14221.00,31.70
1982-01-18,,,,66.95,,34.01,18.52,3806.85,14286.55,33.90
1982-01-19,,,,48.84,,22.61,0.83,3806.89,14315.59,34.20
1982-01-20,,,,67.65,,24.18,-2.08,3806.98,14381.54,34.40
1982-01-21,,,,63.90,,28.74,2.48,3807.06,14440.45,34.20
1982-01-22,,,,75.73,,24.33,2.01,3807.17,14521.64,34.80
1982-01-23,,,,98.85,,47.21,22.53,3807.34,14648.28,35.00
1982-01-24,,,,62.57,,42.10,26.93,3807.41,14700.58,36.20
1982-01-25,,,,74.95,,34.48,26.22,3807.51,14775.86,37.00
1982-01-26,,,,75.56,,42.18,23.23,3807.61,14851.54,37.40
1982-01-27,,,,75.95,,32.98,16.39,3807.71,14927.41,37.70
1982-01-28,,,,84.68,,37.39,20.01,3807.83,15019.20,38.40
1982-01-29,,,,77.28,,36.76,16.24,3807.93,15095.92,38.60
1982-01-30,,,,88.86,,44.23,13.17,3808.06,15193.83,39.50
1982-01-31,,,,77.09,,35.42,24.33,3808.16,15267.00,40.20
1982-02-01,,,,80.87,,35.11,22.68,3808.27,15348.07,40.00
1982-02-02,,,,81.61,,38.01,26.85,3808.38,15429.41,40.60
1982-02-03,,,,66.87,,35.26,10.42,3808.45,15481.51,40.60
1982-02-04,,,,47.82,,21.58,-8.53,3808.47,15496.42,40.30
1982-02-05,,,,51.29,,13.80,-13.87,3808.50,15518.82,40.00
1982-02-06,,,,66.31,,11.05,-11.52,3808.57,15571.21,39.90
1982-02-07,,,,58.62,,21.74,-6.64,3808.62,15608.74,39.70
1982-02-08,,,,75.29,,14.43,-16.08,3808.70,15668.81,45.00
1982-02-09,,,,63.51,,26.77,-12.93,3808.72,15683.90,55.90
1982-02-10,,,,68.83,,20.33,-19.69,3808.75,15706.58,57.40
1982-02-11,,,,64.33,,19.30,-8.61,3808.77,15721.71,56.70
1982-02-12,,,,80.71,,21.11,-12.38,3808.82,15759.62,61.60
1982-02-13,,,,87.81,,27.79,10.97,3808.86,15789.99,72.50
1982-02-14,,,,96.54,,44.62,28.03,3808.92,15835.50,73.60
1982-02-15,,,,97.04,,49.34,32.67,3808.95,15858.38,85.50
1982-02-16,,,,175.27,,47.37,33.93,3809.16,16019.37,94.10
1982-02-17,,,,312.56,,43.36,31.96,3809.71,16448.91,96.00
1982-02-18,,,,330.75,,37.94,21.90,3810.28,16892.71,107.00
1982-02-19,,,,312.75,,43.36,32.75,3810.83,17318.46,98.10
1982-02-20,,,,435.11,,52.01,32.98,3811.66,17981.15,101.00
1982-02-21,,,,571.82,,43.05,28.89,3812.81,18915.00,101.00
1982-02-22,,,,592.41,,35.73,14.59,3813.91,19842.10,125.00
1982-02-23,,,,445.41,,32.75,19.46,3814.54,20370.51,179.00
1982-02-24,,,,323.70,,33.93,13.49,3814.85,20633.72,191.00
1982-02-25,,,,270.11,,34.87,9.95,3814.95,20719.22,227.00
1982-02-26,,,,265.68,,41.79,20.72,3815.00,20762.22,244.00
1982-02-27,,,,221.02,,42.97,27.64,3814.91,20684.91,260.00
1982-02-28,,,,201.46,,42.81,16.94,3814.76,20556.90,266.00
1982-03-01,,,,220.14,,49.41,31.17,3814.66,20471.88,263.00
1982-03-02,,,,301.57,,44.15,26.54,3814.75,20548.38,263.00
1982-03-03,,,,250.13,,40.77,26.77,3814.72,20522.86,263.00
1982-03-04,,,,250.13,,37.86,23.47,3814.69,20497.33,263.00
1982-03-05,,,,226.90,,44.93,22.45,3814.61,20429.69,261.00
1982-03-06,,,,212.15,,47.76,14.98,3814.50,20336.77,259.00
1982-03-07,,,,219.82,,52.01,17.89,3814.41,20261.04,258.00
