date,af,wz,mn,mx,mm,qv
1982-01-01,335091.03,,10.00,29.00,,
1982-01-02,335496.78,,18.00,30.00,,
1982-01-03,335496.78,,11.00,25.00,,
1982-01-04,336113.00,,17.00,29.00,,
1982-01-05,336104.94,,20.00,37.00,,
1982-01-06,336145.00,,-5.00,27.00,,
1982-01-07,336104.94,,-5.00,19.00,,
1982-01-08,336063.28,,-3.00,12.00,,
1982-01-09,335982.19,,8.00,31.00,,
1982-01-10,335982.19,,9.00,27.00,,
1982-01-11,336113.00,,8.00,28.00,,
1982-01-12,336145.00,,3.00,34.00,,
1982-01-13,335861.09,,17.00,35.00,,
1982-01-14,335942.47,,22.00,39.00,,
1982-01-15,335901.16,,17.00,44.00,,
1982-01-16,336145.00,,31.00,41.00,,
1982-01-17,336389.06,,31.00,39.00,,
1982-01-18,336511.94,,25.00,44.00,,
1982-01-19,336551.75,,24.00,38.00,,
1982-01-20,336714.84,,10.00,34.00,,
1982-01-21,336593.47,,9.00,29.00,,
1982-01-22,336470.22,,18.00,30.00,,
1982-01-23,335942.47,,18.00,31.00,,
1982-01-24,335415.22,,21.00,44.00,,
1982-01-25,334361.91,,24.00,45.00,,
1982-01-26,332347.00,,28.00,37.00,,
1982-01-27,329883.97,,28.00,44.00,,
1982-01-28,327646.91,,22.00,40.00,,
1982-01-29,325223.03,,15.00,38.00,,
1982-01-30,322737.06,,12.00,34.00,,
1982-01-31,320411.00,,16.00,39.00,,
1982-02-01,318136.44,,19.00,39.00,,
1982-02-02,315706.75,,15.00,36.00,,
1982-02-03,313215.53,,17.00,36.00,,
1982-02-04,310975.22,,5.00,32.00,,
1982-02-05,308418.41,,-7.00,13.00,,
1982-02-06,305648.75,,-10.00,11.00,,
1982-02-07,302981.38,,-10.00,15.00,,
1982-02-08,300374.22,,-3.00,19.00,,
1982-02-09,298055.72,,-7.00,15.00,,
1982-02-10,295603.16,,-10.00,23.00,,
1982-02-11,293545.38,,-11.00,15.00,,
1982-02-12,291110.47,,-7.00,20.00,,
1982-02-13,288606.31,,5.00,30.00,,
1982-02-14,285862.38,,16.00,34.00,,
1982-02-15,283923.56,,29.00,40.00,,
1982-02-16,282441.75,,33.00,40.00,,
1982-02-17,280563.31,,32.00,44.00,,
1982-02-18,278951.06,,30.00,47.00,,
1982-02-19,277713.06,,30.00,41.00,,
1982-02-20,275974.25,,33.00,44.00,,
1982-02-21,274424.75,,33.00,44.00,,
1982-02-22,272905.78,,34.00,42.00,,
1982-02-23,271762.53,,24.00,42.00,,
1982-02-24,270588.16,,10.00,33.00,,
1982-02-25,269016.28,,8.00,34.00,,
1982-02-26,267418.13,,11.00,39.00,,
1982-02-27,265829.69,,21.00,42.00,,
1982-02-28,264215.91,,23.00,47.00,,
1982-03-01,262823.63,,37.00,43.00,,
1982-03-02,261050.05,,32.00,44.00,,
1982-03-03,259499.19,,28.00,43.00,,
1982-03-04,257748.03,,26.00,42.00,,
1982-03-05,255939.36,,19.00,42.00,,
1982-03-06,253947.39,,17.00,43.00,,
1982-03-07,251986.30,,17.00,45.00,,
1982-03-08,250007.44,,22.00,51.00,,
1982-03-09,248042.70,,27.00,46.00,,
1982-03-10,246196.69,,28.00,55.00,,
1982-03-11,244366.30,,29.00,53.00,,
1982-03-12,242787.86,,21.00,49.00,,
1982-03-13,241355.63,,21.00,39.00,,
1982-03-14,239795.27,,22.00,44.00,,
1982-03-15,238213.66,,33.00,42.00,,
1982-03-16,236689.19,,21.00,40.00,,
1982-03-17,234927.45,,21.00,40.00,,
1982-03-18,233076.78,,22.00,41.00,,
1982-03-19,231512.33,,26.00,44.00,,
1982-03-20,229688.77,,27.00,40.00,,
1982-03-21,227747.70,,20.00,45.00,,
1982-03-22,225821.33,,20.00,44.00,,
1982-03-23,223877.72,,19.00,45.00,,
1982-03-24,221985.77,,20.00,51.00,,
1982-03-25,220163.33,,27.00,56.00,,
1982-03-26,218163.11,,27.00,54.00,,
1982-03-27,216840.58,,35.00,55.00,,
1982-03-28,215558.11,,35.00,54.00,,
1982-03-29,214643.00,,29.00,47.00,,
1982-03-30,213601.38,,28.00,40.00,,
1982-03-31,212532.16,,32.00,44.00,,
1982-04-01,211339.25,,29.00,43.00,,
1982-04-02,209993.98,,19.00,42.00,,
1982-04-03,208434.53,,20.00,38.00,,
1982-04-04,207044.95,,31.00,48.00,,
1982-04-05,205508.56,,18.00,39.00,,
1982-04-06,203782.34,,28.00,41.00,,
1982-04-07,202086.03,,22.00,40.00,,
1982-04-08,200309.83,,20.00,42.00,,
