date,qd,mm,mx,mn
1982-01-01,285.00,,,
1982-01-02,260.00,,,
1982-01-03,270.00,,,
1982-01-04,270.00,,,
1982-01-05,255.00,,,
1982-01-06,240.00,,,
1982-01-07,195.00,,,
1982-01-08,235.00,,,
1982-01-09,275.00,,,
1982-01-10,285.00,,,
1982-01-11,260.00,,,
1982-01-12,295.00,,,
1982-01-13,300.00,,,
1982-01-14,285.00,,,
1982-01-15,275.00,,,
1982-01-16,255.00,,,
1982-01-17,265.00,,,
1982-01-18,260.00,,,
1982-01-19,260.00,,,
1982-01-20,240.00,,,
1982-01-21,246.00,,,
1982-01-22,259.00,,,
1982-01-23,269.00,,,
1982-01-24,276.00,,,
1982-01-25,283.00,,,
1982-01-26,280.00,,,
1982-01-27,280.00,,,
1982-01-28,269.00,,,
1982-01-29,246.00,,,
1982-01-30,246.00,,,
1982-01-31,283.00,,,
1982-02-01,266.00,,,
1982-02-02,259.00,,,
1982-02-03,269.00,,,
1982-02-04,200.00,,,
1982-02-05,150.00,,,
1982-02-06,190.00,,,
1982-02-07,240.00,,,
1982-02-08,250.00,,,
1982-02-09,235.00,,,
1982-02-10,215.00,,,
1982-02-11,195.00,,,
1982-02-12,215.00,,,
1982-02-13,225.00,,,
1982-02-14,240.00,,,
1982-02-15,311.00,,,
1982-02-16,396.00,,,
1982-02-17,456.00,,,
1982-02-18,423.00,,,
1982-02-19,423.00,,,
1982-02-20,409.00,,,
1982-02-21,451.00,,,
1982-02-22,639.00,,,
1982-02-23,693.00,,,
1982-02-24,581.00,,,
1982-02-25,507.00,,,
1982-02-26,512.00,,,
1982-02-27,512.00,,,
1982-02-28,456.00,,,
1982-03-01,456.00,,,
1982-03-02,485.00,,,
1982-03-03,456.00,,,
1982-03-04,461.00,,,
1982-03-05,409.00,,,
1982-03-06,396.00,,,
1982-03-07,409.00,,,
1982-03-08,414.00,,,
1982-03-09,418.00,,,
1982-03-10,427.00,,,
1982-03-11,485.00,,,
1982-03-12,518.00,,,
1982-03-13,501.00,,,
1982-03-14,512.00,,,
1982-03-15,501.00,,,
1982-03-16,480.00,,,
1982-03-17,465.00,,,
1982-03-18,465.00,,,
1982-03-19,441.00,,,
1982-03-20,418.00,,,
1982-03-21,404.00,,,
1982-03-22,400.00,,,
1982-03-23,391.00,,,
1982-03-24,409.00,,,
1982-03-25,437.00,,,
1982-03-26,501.00,,,
1982-03-27,569.00,,,
1982-03-28,599.00,,,
1982-03-29,593.00,,,
1982-03-30,563.00,,,
1982-03-31,558.00,,,
1982-04-01,529.00,,,
1982-04-02,480.00,,,
1982-04-03,496.00,,,
1982-04-04,465.00,,,
1982-04-05,432.00,,,
1982-04-06,441.00,,,
1982-04-07,409.00,,,
1982-04-08,409.00,,,
1982-04-09,427.00,,,
1982-04-10,441.00,,,
1982-04-11,612.00,,,
1982-04-12,1010.00,,,
1982-04-13,1070.00,,,
1982-04-14,1190.00,,,
1982-04-15,1110.00,,,
1982-04-16,1010.00,,,
1982-04-17,982.00,,,
1982-04-18,957.00,,,
1982-04-19,892.00,,,
1982-04-20,868.00,,,
1982-04-21,901.00,,,
1982-04-22,1100.00,,,
1982-04-23,1540.00,,,
1982-04-24,2090.00,,,
1982-04-25,2470.00,,,
1982-04-26,2610.00,,,
1982-04-27,2680.00,,,
1982-04-28,3020.00,,,
1982-04-29,2860.00,,,
1982-04-30,2920.00,,,
1982-05-01,3130.00,,,
