date,qd,mm,mx,mn
1982-01-01,419.00,,,
1982-01-02,386.00,,,
1982-01-03,370.00,,,
1982-01-04,398.00,,,
1982-01-05,410.00,,,
1982-01-06,386.00,,,
1982-01-07,379.00,,,
1982-01-08,340.00,,,
1982-01-09,360.00,,,
1982-01-10,350.00,,,
1982-01-11,372.00,,,
1982-01-12,388.00,,,
1982-01-13,390.00,,,
1982-01-14,391.00,,,
1982-01-15,396.00,,,
1982-01-16,396.00,,,
1982-01-17,396.00,,,
1982-01-18,396.00,,,
1982-01-19,390.00,,,
1982-01-20,383.00,,,
1982-01-21,390.00,,,
1982-01-22,390.00,,,
1982-01-23,390.00,,,
1982-01-24,390.00,,,
1982-01-25,383.00,,,
1982-01-26,377.00,,,
1982-01-27,383.00,,,
1982-01-28,370.00,,,
1982-01-29,364.00,,,
1982-01-30,364.00,,,
1982-01-31,377.00,,,
1982-02-01,370.00,,,
1982-02-02,377.00,,,
1982-02-03,377.00,,,
1982-02-04,350.00,,,
1982-02-05,312.00,,,
1982-02-06,299.00,,,
1982-02-07,318.00,,,
1982-02-08,318.00,,,
1982-02-09,318.00,,,
1982-02-10,312.00,,,
1982-02-11,306.00,,,
1982-02-12,293.00,,,
1982-02-13,307.00,,,
1982-02-14,341.00,,,
1982-02-15,387.00,,,
1982-02-16,433.00,,,
1982-02-17,444.00,,,
1982-02-18,421.00,,,
1982-02-19,403.00,,,
1982-02-20,405.00,,,
1982-02-21,417.00,,,
1982-02-22,439.00,,,
1982-02-23,440.00,,,
1982-02-24,420.00,,,
1982-02-25,420.00,,,
1982-02-26,415.00,,,
1982-02-27,422.00,,,
1982-02-28,417.00,,,
1982-03-01,422.00,,,
1982-03-02,446.00,,,
1982-03-03,443.00,,,
1982-03-04,442.00,,,
1982-03-05,436.00,,,
1982-03-06,429.00,,,
1982-03-07,440.00,,,
1982-03-08,437.00,,,
1982-03-09,441.00,,,
1982-03-10,448.00,,,
1982-03-11,472.00,,,
1982-03-12,499.00,,,
1982-03-13,482.00,,,
1982-03-14,482.00,,,
1982-03-15,504.00,,,
1982-03-16,505.00,,,
1982-03-17,497.00,,,
1982-03-18,488.00,,,
1982-03-19,499.00,,,
1982-03-20,488.00,,,
1982-03-21,477.00,,,
1982-03-22,468.00,,,
1982-03-23,477.00,,,
1982-03-24,477.00,,,
1982-03-25,467.00,,,
1982-03-26,479.00,,,
1982-03-27,497.00,,,
1982-03-28,537.00,,,
1982-03-29,609.00,,,
1982-03-30,577.00,,,
1982-03-31,554.00,,,
1982-04-01,547.00,,,
1982-04-02,547.00,,,
1982-04-03,538.00,,,
1982-04-04,550.00,,,
1982-04-05,537.00,,,
1982-04-06,542.00,,,
1982-04-07,529.00,,,
1982-04-08,522.00,,,
1982-04-09,514.00,,,
1982-04-10,506.00,,,
1982-04-11,548.00,,,
1982-04-12,823.00,,,
1982-04-13,881.00,,,
1982-04-14,896.00,,,
1982-04-15,956.00,,,
1982-04-16,880.00,,,
1982-04-17,863.00,,,
1982-04-18,888.00,,,
1982-04-19,837.00,,,
1982-04-20,804.00,,,
1982-04-21,812.00,,,
1982-04-22,880.00,,,
1982-04-23,1020.00,,,
1982-04-24,1260.00,,,
1982-04-25,1530.00,,,
1982-04-26,1780.00,,,
1982-04-27,1980.00,,,
1982-04-28,2180.00,,,
1982-04-29,2450.00,,,
1982-04-30,2360.00,,,
1982-05-01,2370.00,,,
1982-05-02,2570.00,,,
1982-05-03,3080.00,,,
1982-05-04,3190.00,,,
1982-05-05,2940.00,,,
1982-05-06,2730.00,,,
1982-05-07,2750.00,,,
1982-05-08,2880.00,,,
1982-05-09,2960.00,,,
1982-05-10,2860.00,,,
1982-05-11,2720.00,,,
1982-05-12,2560.00,,,
1982-05-13,2480.00,,,
1982-05-14,2580.00,,,
1982-05-15,2740.00,,,
1982-05-16,2910.00,,,
1982-05-17,3090.00,,,
1982-05-18,3250.00,,,
1982-05-19,3350.00,,,
1982-05-20,3290.00,,,
1982-05-21,3230.00,,,
1982-05-22,3280.00,,,
1982-05-23,3390.00,,,
1982-05-24,3450.00,,,
1982-05-25,3500.00,,,
1982-05-26,3580.00,,,
1982-05-27,3720.00,,,
1982-05-28,3750.00,,,
1982-05-29,3590.00,,,
1982-05-30,3320.00,,,
1982-05-31,3050.00,,,
1982-06-01,2980.00,,,
1982-06-02,2980.00,,,
1982-06-03,2850.00,,,
1982-06-04,2740.00,,,
1982-06-05,2630.00,,,
1982-06-06,2530.00,,,
1982-06-07,2400.00,,,
1982-06-08,2410.00,,,
1982-06-09,2260.00,,,
1982-06-10,2120.00,,,
1982-06-11,2060.00,,,
1982-06-12,2010.00,,,
1982-06-13,2030.00,,,
1982-06-14,2100.00,,,
1982-06-15,2110.00,,,
1982-06-16,2170.00,,,
1982-06-17,2310.00,,,
1982-06-18,2270.00,,,
1982-06-19,2280.00,,,
1982-06-20,2300.00,,,
1982-06-21,2320.00,,,
1982-06-22,2350.00,,,
1982-06-23,2380.00,,,
1982-06-24,2370.00,,,
1982-06-25,2410.00,,,
1982-06-26,2470.00,,,
1982-06-27,2470.00,,,
1982-06-28,2440.00,,,
1982-06-29,2430.00,,,
1982-06-30,2430.00,,,
1982-07-01,2470.00,,,
1982-07-02,2420.00,,,
1982-07-03,2310.00,,,
1982-07-04,2170.00,,,
1982-07-05,2100.00,,,
1982-07-06,2100.00,,,
1982-07-07,1970.00,,,
1982-07-08,1880.00,,,
1982-07-09,1890.00,,,
1982-07-10,1910.00,,,
1982-07-11,1840.00,,,
1982-07-12,1800.00,,,
1982-07-13,1760.00,,,
1982-07-14,1720.00,,,
1982-07-15,1680.00,,,
1982-07-16,1630.00,,,
1982-07-17,1590.00,,,
1982-07-18,1560.00,,,
1982-07-19,1460.00,,,
1982-07-20,1390.00,,,
1982-07-21,1360.00,,,
1982-07-22,1300.00,,,
1982-07-23,1260.00,,,
1982-07-24,1290.00,,,
1982-07-25,1410.00,,,
1982-07-26,1390.00,,,
1982-07-27,1350.00,,,
1982-07-28,1340.00,,,
1982-07-29,1540.00,,,
1982-07-30,1710.00,,,
1982-07-31,1520.00,,,
1982-08-01,1400.00,,,
1982-08-02,1330.00,,,
1982-08-03,1270.00,,,
1982-08-04,1210.00,,,
1982-08-05,1150.00,,,
1982-08-06,1070.00,,,
1982-08-07,992.00,,,
1982-08-08,942.00,,,
1982-08-09,947.00,,,
1982-08-10,933.00,,,
1982-08-11,886.00,,,
1982-08-12,852.00,,,
1982-08-13,807.00,,,
1982-08-14,807.00,,,
1982-08-15,809.00,,,
1982-08-16,795.00,,,
1982-08-17,784.00,,,
1982-08-18,796.00,,,
1982-08-19,790.00,,,
1982-08-20,789.00,,,
1982-08-21,778.00,,,
1982-08-22,769.00,,,
1982-08-23,761.00,,,
1982-08-24,750.00,,,
1982-08-25,742.00,,,
1982-08-26,748.00,,,
1982-08-27,769.00,,,
1982-08-28,771.00,,,
1982-08-29,804.00,,,
1982-08-30,840.00,,,
1982-08-31,882.00,,,
1982-09-01,863.00,,,
1982-09-02,837.00,,,
