date,qu,qd
1982-01-01,,24.00
1982-01-02,,25.00
1982-01-03,,25.00
1982-01-04,,24.00
1982-01-05,,24.00
1982-01-06,,24.00
1982-01-07,,25.00
1982-01-08,,25.00
1982-01-09,,25.00
1982-01-10,,25.00
1982-01-11,,26.00
1982-01-12,,26.00
1982-01-13,,26.00
1982-01-14,,27.00
1982-01-15,,25.00
1982-01-16,,26.00
1982-01-17,,25.00
1982-01-18,,26.00
1982-01-19,,27.00
1982-01-20,,29.00
1982-01-21,,27.00
1982-01-22,,27.00
1982-01-23,,29.00
1982-01-24,,30.00
1982-01-25,,29.00
1982-01-26,,26.00
1982-01-27,,25.00
1982-01-28,,26.00
1982-01-29,,26.00
1982-01-30,,27.00
1982-01-31,,27.00
1982-02-01,,29.00
1982-02-02,,27.00
1982-02-03,,29.00
1982-02-04,,30.00
1982-02-05,,29.00
1982-02-06,,29.00
1982-02-07,,30.00
1982-02-08,,27.00
1982-02-09,,29.00
1982-02-10,,29.00
1982-02-11,,30.00
1982-02-12,,27.00
1982-02-13,,29.00
1982-02-14,,31.00
1982-02-15,,32.00
1982-02-16,,33.00
1982-02-17,,32.00
1982-02-18,,32.00
1982-02-19,,32.00
1982-02-20,,32.00
1982-02-21,,32.00
1982-02-22,,31.00
1982-02-23,,30.00
1982-02-24,,30.00
1982-02-25,,30.00
1982-02-26,,30.00
1982-02-27,,30.00
1982-02-28,,31.00
1982-03-01,,31.00
1982-03-02,,31.00
1982-03-03,,31.00
1982-03-04,,31.00
1982-03-05,,32.00
1982-03-06,,32.00
1982-03-07,,30.00
1982-03-08,,29.00
1982-03-09,,27.00
1982-03-10,,27.00
1982-03-11,,29.00
1982-03-12,,29.00
1982-03-13,,29.00
1982-03-14,,30.00
1982-03-15,,29.00
1982-03-16,,30.00
1982-03-17,,30.00
1982-03-18,,30.00
1982-03-19,,30.00
1982-03-20,,30.00
1982-03-21,,30.00
1982-03-22,,30.00
1982-03-23,,31.00
1982-03-24,,31.00
1982-03-25,,31.00
1982-03-26,,31.00
