date,qu,fb,mm,mx,mn,qd,af
1982-01-01,68.98,4045.00,,27.72,8.22,10.00,43929.07
1982-01-02,52.41,4045.06,,24.81,4.76,10.00,44013.18
1982-01-03,102.02,4045.19,,26.06,12.70,10.00,44195.69
1982-01-04,45.58,4045.24,,31.96,-0.82,10.00,44266.26
1982-01-05,47.82,4045.29,,22.53,-5.23,10.00,44341.28
1982-01-06,47.82,4045.34,,10.18,-23.15,10.00,44416.30
1982-01-07,47.82,4045.39,,18.05,-12.22,10.00,44491.32
1982-01-08,47.82,4045.44,,17.97,10.03,10.00,44566.33
1982-01-09,47.82,4045.50,,21.58,1.46,10.00,44641.35
1982-01-10,47.82,4045.55,,20.33,-3.89,10.00,44716.37
1982-01-11,47.82,4045.61,,35.97,2.01,10.00,44791.39
1982-01-12,61.30,4045.68,,34.48,9.87,11.00,44891.16
1982-01-13,61.56,4045.75,,42.97,15.69,11.00,44991.45
1982-01-14,61.72,4045.82,,41.47,16.47,11.00,45092.05
1982-01-15,47.27,4045.87,,41.47,29.52,11.00,45164.00
1982-01-16,83.56,4045.97,,37.94,32.98,11.00,45307.92
1982-01-17,47.48,4046.02,,38.41,29.29,11.00,45380.27
1982-01-18,40.21,4046.06,,35.11,24.89,11.00,45438.21
1982-01-19,25.62,4046.08,,29.60,7.20,11.00,45467.21
1982-01-20,32.94,4046.11,,29.21,3.66,11.00,45510.72
1982-01-21,54.76,4046.17,,30.94,6.65,11.00,45597.52
1982-01-22,78.09,4046.26,,25.91,8.93,12.00,45728.60
1982-01-23,151.95,4046.45,,44.38,24.10,12.00,46006.19
1982-01-24,71.25,4046.53,,42.73,28.42,12.00,46123.71
1982-01-25,93.57,4046.64,,35.73,28.66,12.00,46285.51
1982-01-26,93.99,4046.75,,38.80,25.28,12.00,46448.14
1982-01-27,71.84,4046.83,,35.81,19.54,12.00,46566.84
1982-01-28,79.29,4046.92,,37.39,18.91,12.00,46700.30
1982-01-29,87.23,4047.02,,38.80,18.52,12.00,46849.51
1982-01-30,80.90,4047.11,,35.97,22.29,13.00,46984.19
1982-01-31,49.62,4047.16,,35.66,16.71,12.00,47058.81
1982-02-01,81.18,4047.25,,38.33,15.69,13.00,47194.04
1982-02-02,88.74,4047.34,,41.47,27.32,13.00,47344.27
1982-02-03,86.74,4047.44,,34.48,2.16,11.00,47494.50
1982-02-04,85.74,4047.54,,13.49,-11.83,10.00,47644.73
1982-02-05,85.74,4047.54,,16.55,-11.44,10.00,47794.96
1982-02-06,85.54,4047.64,,19.70,-9.71,9.80,47945.19
1982-02-07,85.74,4047.74,,19.62,-8.06,10.00,48095.41
1982-02-08,85.74,4047.83,,17.73,-15.05,10.00,48245.64
1982-02-09,85.54,4047.93,,20.33,-9.08,9.80,48395.87
1982-02-10,85.54,4048.03,,25.51,-15.29,9.80,48546.10
1982-02-11,85.54,4048.14,,25.44,-3.81,9.80,48696.33
1982-02-12,85.54,4048.32,,32.43,-3.73,9.80,48846.56
1982-02-13,141.32,4048.48,,33.93,25.12,9.80,49107.42
1982-02-14,121.44,4048.72,,45.17,33.69,9.80,49328.85
1982-02-15,1553.16,4050.52,,48.31,32.51,42.00,52326.20
1982-02-16,120.05,4050.64,,47.06,31.25,25.00,52514.72
1982-02-17,117.79,4050.78,,44.07,29.45,6.20,52736.05
1982-02-18,182.25,4051.00,,38.88,23.94,6.20,53085.23
1982-02-19,98.86,4051.06,,46.66,31.88,6.20,53269.02
1982-02-20,97.79,4051.06,,52.87,32.59,7.20,53448.70
1982-02-21,106.60,4051.35,,37.07,28.27,7.20,53645.86
1982-02-22,71.07,4051.43,,34.48,4.44,6.20,53774.53
1982-02-23,68.92,4051.40,,33.22,14.43,6.20,53898.93
1982-02-24,57.72,4051.57,,34.48,10.10,6.20,54001.12
1982-02-25,161.70,4051.67,,38.96,8.22,80.00,54163.17
1982-02-26,209.24,4051.73,,43.05,18.67,160.00,54260.83
1982-02-27,209.69,4051.76,,44.07,27.64,185.00,54309.81
1982-02-28,152.30,4051.68,,45.64,20.80,218.00,54179.50
1982-03-01,226.36,4051.62,,50.04,29.21,275.00,54083.03
1982-03-02,251.36,4051.56,,42.89,27.64,300.00,53986.55
1982-03-03,251.36,4051.50,,42.57,27.95,300.00,53890.08
1982-03-04,265.36,4051.44,,40.37,27.24,314.00,53793.61
1982-03-05,293.36,4051.38,,44.23,21.03,342.00,53697.14
1982-03-06,293.36,4051.32,,46.51,15.37,342.00,53600.66
1982-03-07,293.36,4051.26,,49.81,18.20,342.00,53504.19
1982-03-08,254.36,4051.20,,45.56,26.69,303.00,53407.72
1982-03-09,219.36,4051.14,,49.89,28.97,268.00,53311.25
1982-03-10,341.36,4051.08,,54.05,28.19,390.00,53214.77
1982-03-11,341.36,4051.02,,46.51,28.50,390.00,53118.30
1982-03-12,341.36,4050.96,,41.24,26.77,390.00,53021.83
1982-03-13,341.36,4050.90,,45.80,28.97,390.00,52925.36
1982-03-14,341.36,4050.84,,42.18,33.14,390.00,52828.88
1982-03-15,341.36,4050.77,,36.91,21.35,390.00,52732.41
1982-03-16,341.36,4050.71,,38.72,14.66,390.00,52635.94
1982-03-17,341.36,4050.65,,39.59,15.84,390.00,52539.47
1982-03-18,341.36,4050.59,,35.18,23.71,390.00,52442.99
1982-03-19,341.36,4050.53,,37.39,20.09,390.00,52346.52
1982-03-20,341.36,4050.47,,36.76,19.22,390.00,52250.05
1982-03-21,337.36,4050.41,,42.42,11.76,386.00,52153.58
1982-03-22,210.36,4050.35,,48.24,18.91,259.00,52057.10
1982-03-23,103.36,4050.28,,55.94,20.09,152.00,51960.63
1982-03-24,91.36,4050.22,,52.80,24.10,140.00,51864.16
1982-03-25,91.36,4050.16,,56.57,24.89,140.00,51767.69
1982-03-26,142.36,4050.10,,55.15,28.27,191.00,51671.21
1982-03-27,216.36,4050.04,,48.55,31.88,265.00,51574.74
1982-03-28,247.36,4049.98,,45.64,27.40,296.00,51478.27
1982-03-29,258.36,4049.92,,37.94,19.93,307.00,51381.80
1982-03-30,258.36,4049.86,,40.22,25.99,307.00,51285.32
1982-03-31,261.36,4049.80,,39.43,29.21,310.00,51188.85
1982-04-01,243.33,4049.77,,42.18,21.82,268.00,51139.91
1982-04-02,244.21,4049.78,,37.78,20.64,236.00,51156.20
1982-04-03,213.55,4049.76,,40.77,21.90,230.00,51123.57
1982-04-04,177.71,4049.70,,36.60,20.09,227.00,51025.81
1982-04-05,194.20,4049.66,,42.57,22.68,227.00,50960.75
1982-04-06,161.48,4049.62,,41.79,26.46,194.00,50896.25
1982-04-07,139.27,4049.58,,42.65,25.44,172.00,50831.34
1982-04-08,145.48,4049.55,,47.37,16.94,170.00,50782.70
1982-04-09,161.84,4049.54,,52.87,22.68,170.00,50766.52
1982-04-10,210.85,4049.59,,54.68,24.89,170.00,50847.54
1982-04-11,457.37,4049.94,,62.15,38.09,170.00,51417.53
1982-04-12,728.84,4050.73,,52.09,38.09,104.00,52656.89
1982-04-13,631.62,4051.44,,54.21,34.24,60.00,53790.69
1982-04-14,678.24,4052.19,,44.15,28.82,61.00,55014.96
1982-04-15,522.60,4052.74,,42.73,25.20,61.00,55930.53
1982-04-16,461.47,4053.21,,48.00,21.03,61.00,56724.85
1982-04-17,397.78,4053.60,,52.87,29.37,61.00,57392.85
1982-04-18,350.80,4053.93,,39.51,26.77,63.00,57963.70
1982-04-19,318.42,4054.22,,43.68,21.98,63.00,58470.32
1982-04-20,329.61,4054.52,,49.89,18.83,63.00,58999.14
1982-04-21,314.04,4054.83,,60.26,24.18,36.00,59550.63
1982-04-22,363.62,4055.23,,67.65,27.95,14.00,60244.09
1982-04-23,505.72,4055.80,,71.66,30.00,14.00,61219.41
1982-04-24,584.33,4056.45,,63.25,29.60,14.00,62350.64
1982-04-25,702.38,4057.22,,59.40,25.59,13.00,63718.01
1982-04-26,615.84,4057.88,,63.41,30.70,13.00,64913.73
1982-04-27,627.37,4058.54,,67.89,30.15,13.00,66132.32
1982-04-28,649.21,4059.21,,54.45,38.33,14.00,67392.24
1982-04-29,632.33,4059.85,,60.03,24.89,14.00,68618.68
1982-04-30,636.23,4060.51,,64.90,30.62,14.00,69852.85
1982-05-01,591.73,4061.12,,71.90,36.44,14.00,70998.77
1982-05-02,639.81,4061.77,,72.61,34.87,14.00,72240.05
1982-05-03,716.93,4062.41,,54.21,29.45,90.00,73483.55
1982-05-04,637.57,4062.75,,51.62,25.67,300.00,74153.10
1982-05-05,554.92,4062.87,,59.71,24.49,435.00,74390.95
1982-05-06,504.81,4062.88,,67.26,28.89,495.00,74410.40
1982-05-07,490.00,4062.88,,58.53,34.95,490.00,74410.40
1982-05-08,480.19,4062.87,,49.81,35.11,490.00,74390.95
1982-05-09,519.81,4062.90,,50.44,33.61,490.00,74450.08
1982-05-10,440.16,4062.85,,51.93,32.28,490.00,74351.23
1982-05-11,390.11,4062.75,,63.02,29.68,490.00,74153.10
1982-05-12,360.70,4062.62,,64.12,35.26,490.00,73896.63
1982-05-13,390.65,4062.52,,68.36,32.43,490.00,73699.57
1982-05-14,445.50,4062.47,,59.32,37.86,495.00,73601.38
1982-05-15,519.70,4062.50,,65.30,42.65,490.00,73660.29
1982-05-16,599.24,4062.61,,70.17,32.90,490.00,73876.97
1982-05-17,629.22,4062.75,,61.52,41.00,490.00,74153.10
1982-05-18,589.89,4062.85,,52.64,37.62,490.00,74351.23
