date,fb,mm,mx,mn,af
1982-01-01,6183.32,,32.83,-4.99,23331.00
1982-01-02,6183.37,,21.43,-0.51,23406.30
1982-01-03,6183.38,,20.80,9.16,23420.95
1982-01-04,6183.42,,34.24,20.01,23481.13
1982-01-05,6183.47,,32.98,-6.17,23556.92
1982-01-06,6183.52,,7.43,-19.46,23632.21
1982-01-07,6183.53,,-4.60,-24.80,23647.00
1982-01-08,6183.57,,12.54,-12.14,23707.76
1982-01-09,6183.59,,13.56,-6.41,23738.17
1982-01-10,6183.62,,15.53,-4.99,23784.28
1982-01-11,6183.64,,27.79,-3.02,23814.79
1982-01-12,6183.67,,26.54,21.03,23860.30
1982-01-13,6183.71,,32.59,6.65,23921.59
1982-01-14,6183.74,,32.75,2.56,23968.04
1982-01-15,6183.76,,34.08,21.03,23998.07
1982-01-16,6183.78,,40.14,26.85,24028.85
1982-01-17,6183.81,,42.18,29.45,24075.53
1982-01-18,6183.83,,31.73,14.11,24106.40
1982-01-19,6183.85,,24.10,13.25,24137.37
1982-01-20,6183.87,,21.66,-2.87,24168.35
1982-01-21,6183.96,,22.84,16.63,24307.87
1982-01-22,6183.96,,21.50,10.97,24307.87
1982-01-23,6184.02,,39.59,17.10,24401.59
1982-01-24,6184.04,,42.34,16.24,24432.94
1982-01-25,6184.06,,38.96,18.05,24464.29
1982-01-26,6184.10,,43.91,24.26,24527.16
1982-01-27,6184.12,,25.04,9.48,24558.62
1982-01-28,6184.15,,29.21,7.43,24605.53
1982-01-29,6184.17,,23.71,18.67,24637.13
1982-01-30,6184.20,,24.26,5.78,24684.95
1982-01-31,6184.20,,31.88,6.88,24684.95
1982-02-01,6184.23,,22.45,7.12,24732.12
1982-02-02,6184.28,,31.25,20.88,24811.17
1982-02-03,6184.30,,28.50,10.97,24843.04
1982-02-04,6184.30,,10.97,-21.89,24843.04
1982-02-05,6184.33,,-3.26,-33.06,24891.25
1982-02-06,6184.35,,0.28,-34.08,24923.22
1982-02-07,6184.36,,16.87,-18.59,24938.82
1982-02-08,6184.39,,10.18,-7.19,24987.22
1982-02-09,6184.43,,26.46,-9.71,25051.42
1982-02-10,6184.44,,1.46,-27.79,25067.10
1982-02-11,6184.45,,13.01,-24.02,25083.58
1982-02-12,6184.47,,12.62,-15.60,25115.77
1982-02-13,6184.55,,43.05,-11.52,25244.20
1982-02-14,6184.57,,43.20,34.71,25276.60
1982-02-15,6184.64,,41.71,33.45,25390.73
1982-02-16,6184.69,,46.03,32.90,25471.91
1982-02-17,6184.84,,38.64,29.76,25717.73
1982-02-18,6184.96,,36.52,19.62,25916.44
1982-02-19,6185.16,,46.43,29.92,26236.02
1982-02-20,6185.41,,46.82,24.96,26635.89
1982-02-21,6185.65,,50.99,35.42,27025.10
1982-02-22,6186.03,,46.90,28.74,27653.42
1982-02-23,6186.31,,37.23,17.81,28126.35
1982-02-24,6186.50,,34.48,7.27,28451.46
1982-02-25,6186.68,,40.45,7.51,28763.32
1982-02-26,6186.84,,43.28,13.09,29042.51
1982-02-27,6186.99,,42.42,22.68,29308.00
1982-02-28,6187.10,,45.64,13.88,29503.47
1982-03-01,6187.27,,46.35,34.79,29808.37
1982-03-02,6187.46,,36.76,25.20,30152.90
1982-03-03,6187.63,,33.53,21.50,30448.92
1982-03-04,6187.66,,29.29,21.50,30501.12
1982-03-05,6187.76,,34.56,6.02,30673.48
1982-03-06,6187.96,,31.33,-6.17,31022.89
1982-03-07,6188.06,,40.06,7.98,31199.04
1982-03-08,6188.18,,46.27,23.16,31411.76
1982-03-09,6188.28,,48.55,20.48,31589.30
1982-03-10,6188.39,,45.01,21.82,31787.09
1982-03-11,6188.53,,43.28,19.38,32039.24
1982-03-12,6188.72,,32.59,4.13,32386.26
1982-03-13,6188.85,,46.11,9.16,32625.08
1982-03-14,6189.03,,36.99,26.38,32958.41
1982-03-15,6189.13,,35.50,25.20,33145.61
1982-03-16,6189.27,,35.66,21.82,33409.43
1982-03-17,6189.43,,31.33,15.84,33713.49
1982-03-18,6189.52,,31.25,21.50,33885.30
1982-03-19,6189.62,,27.48,15.61,34077.70
1982-03-20,6189.72,,30.31,16.24,34271.23
1982-03-21,6189.86,,33.69,-0.74,34543.05
