date,wz,wi,wk,qu,qd
1982-01-01,,,,172.79,0.00
1982-01-02,,,,95.79,0.00
1982-01-03,,,,91.76,0.00
1982-01-04,,,,147.22,0.00
1982-01-05,,,,60.44,0.00
1982-01-06,,,,81.81,0.00
1982-01-07,,,,46.44,0.00
1982-01-08,,,,86.06,0.00
1982-01-09,,,,64.87,0.00
1982-01-10,,,,72.36,0.00
1982-01-11,,,,94.55,0.00
1982-01-12,,,,76.76,0.00
1982-01-13,,,,95.57,0.00
1982-01-14,,,,92.38,0.00
1982-01-15,,,,130.28,0.00
1982-01-16,,,,401.70,0.00
1982-01-17,,,,759.80,0.00
1982-01-18,,,,698.02,0.00
1982-01-19,,,,485.58,0.00
1982-01-20,,,,370.46,0.00
1982-01-21,,,,296.64,0.00
1982-01-22,,,,243.88,0.00
1982-01-23,,,,147.74,0.00
1982-01-24,,,,1329.99,0.00
1982-01-25,,,,1543.94,56.00
1982-01-26,,,,1083.06,214.00
1982-01-27,,,,1045.33,465.00
1982-01-28,,,,682.45,560.00
1982-01-29,,,,266.55,342.00
1982-01-30,,,,265.90,214.00
1982-01-31,,,,343.87,221.00
1982-02-01,,,,263.00,225.00
1982-02-02,,,,268.24,235.00
1982-02-03,,,,403.59,294.00
1982-02-04,,,,319.70,200.00
1982-02-05,,,,243.86,81.00
1982-02-06,,,,220.18,49.00
1982-02-07,,,,189.63,22.00
1982-02-08,,,,166.68,12.00
1982-02-09,,,,148.71,12.00
1982-02-10,,,,130.44,12.00
1982-02-11,,,,111.89,12.00
1982-02-12,,,,108.54,13.00
1982-02-13,,,,142.03,51.00
1982-02-14,,,,562.40,524.00
1982-02-15,,,,720.04,614.00
1982-02-16,,,,1018.76,620.00
1982-02-17,,,,1046.68,602.00
1982-02-18,,,,826.71,506.00
1982-02-19,,,,1017.44,560.00
1982-02-20,,,,1329.40,650.00
1982-02-21,,,,1231.14,680.00
1982-02-22,,,,1025.58,692.00
1982-02-23,,,,693.32,650.00
1982-02-24,,,,462.68,506.00
1982-02-25,,,,280.11,318.00
1982-02-26,,,,317.06,225.00
1982-02-27,,,,304.45,185.00
1982-02-28,,,,293.59,179.00
1982-03-01,,,,288.97,185.00
1982-03-02,,,,369.40,232.00
1982-03-03,,,,354.56,211.00
1982-03-04,,,,549.09,390.00
1982-03-05,,,,715.13,614.00
1982-03-06,,,,612.71,554.00
1982-03-07,,,,480.28,400.00
1982-03-08,,,,455.22,294.00
1982-03-09,,,,535.34,330.00
1982-03-10,,,,671.23,530.00
1982-03-11,,,,658.24,560.00
1982-03-12,,,,459.66,405.00
1982-03-13,,,,487.71,334.00
1982-03-14,,,,479.18,380.00
1982-03-15,,,,607.81,536.00
1982-03-16,,,,517.19,470.00
1982-03-17,,,,460.28,430.00
1982-03-18,,,,457.12,385.00
1982-03-19,,,,403.19,342.00
1982-03-20,,,,379.37,318.00
1982-03-21,,,,432.03,365.00
1982-03-22,,,,399.09,360.00
1982-03-23,,,,437.25,370.00
1982-03-24,,,,472.36,405.00
1982-03-25,,,,383.79,350.00
1982-03-26,,,,433.22,360.00
1982-03-27,,,,423.39,350.00
1982-03-28,,,,384.90,334.00
1982-03-29,,,,319.30,274.00
1982-03-30,,,,286.47,207.00
1982-03-31,,,,321.65,185.00
1982-04-01,,,,276.46,185.00
1982-04-02,,,,288.15,185.00
1982-04-03,,,,242.49,185.00
1982-04-04,,,,174.49,140.00
1982-04-05,,,,215.62,106.00
1982-04-06,,,,169.58,106.00
1982-04-07,,,,169.73,106.00
1982-04-08,,,,173.85,106.00
1982-04-09,,,,152.37,108.00
1982-04-10,,,,135.21,108.00
1982-04-11,,,,358.44,306.00
1982-04-12,,,,458.32,470.00
1982-04-13,,,,498.36,475.00
1982-04-14,,,,684.90,644.00
1982-04-15,,,,578.64,602.00
1982-04-16,,,,414.15,420.00
1982-04-17,,,,306.62,330.00
1982-04-18,,,,420.08,350.00
1982-04-19,,,,369.11,334.00
1982-04-20,,,,256.46,274.00
1982-04-21,,,,155.58,179.00
1982-04-22,,,,349.10,232.00
1982-04-23,,,,313.75,302.00
1982-04-24,,,,383.25,395.00
1982-04-25,,,,304.94,346.00
1982-04-26,,,,149.50,167.00
1982-04-27,,,,247.36,89.00
1982-04-28,,,,300.68,106.00
1982-04-29,,,,367.13,207.00
1982-04-30,,,,250.32,167.00
1982-05-01,,,,289.38,188.00
1982-05-02,,,,276.77,211.00
1982-05-03,,,,256.71,221.00
1982-05-04,,,,223.94,218.00
1982-05-05,,,,220.74,197.00
1982-05-06,,,,176.18,188.00
1982-05-07,,,,128.27,158.00
1982-05-08,,,,142.69,155.00
1982-05-09,,,,133.44,133.00
1982-05-10,,,,133.00,133.00
1982-05-11,,,,133.00,133.00
1982-05-12,,,,156.75,133.00
1982-05-13,,,,125.00,125.00
1982-05-14,,,,93.32,123.00
1982-05-15,,,,113.97,120.00
1982-05-16,,,,92.04,104.00
1982-05-17,,,,96.96,85.00
1982-05-18,,,,126.77,97.00
1982-05-19,,,,102.00,102.00
1982-05-20,,,,92.88,81.00
1982-05-21,,,,77.91,66.00
1982-05-22,,,,66.00,66.00
1982-05-23,,,,60.06,66.00
1982-05-24,,,,70.76,53.00
1982-05-25,,,,35.18,47.00
1982-05-26,,,,29.15,47.00
1982-05-27,,,,33.06,39.00
1982-05-28,,,,53.85,36.00
1982-05-29,,,,47.88,36.00
1982-05-30,,,,26.06,32.00
1982-05-31,,,,40.82,29.00
1982-06-01,,,,29.00,29.00
1982-06-02,,,,29.00,29.00
1982-06-03,,,,10.18,22.00
1982-06-04,,,,-3.79,20.00
1982-06-05,,,,38.79,15.00
1982-06-06,,,,6.06,12.00
1982-06-07,,,,17.94,12.00
1982-06-08,,,,5.06,11.00
1982-06-09,,,,33.24,9.50
1982-06-10,,,,-19.44,4.30
1982-06-11,,,,1.42,55.00
1982-06-12,,,,1.17,55.00
1982-06-13,,,,25.18,55.00
1982-06-14,,,,-2.88,21.00
1982-06-15,,,,7.00,7.00
1982-06-16,,,,7.00,7.00
1982-06-17,,,,7.00,7.00
1982-06-18,,,,10.10,34.00
1982-06-19,,,,13.54,91.00
1982-06-20,,,,-9.66,115.00
1982-06-21,,,,20.26,115.00
1982-06-22,,,,-2.99,115.00
1982-06-23,,,,2.68,115.00
1982-06-24,,,,4.21,115.00
1982-06-25,,,,17.52,146.00
1982-06-26,,,,1.14,164.00
1982-06-27,,,,10.57,161.00
1982-06-28,,,,-6.08,161.00
1982-06-29,,,,23.41,161.00
1982-06-30,,,,12.61,161.00
1982-07-01,,,,1.89,161.00
1982-07-02,,,,19.65,161.00
1982-07-03,,,,20.24,161.00
1982-07-04,,,,4.17,161.00
1982-07-05,,,,15.97,161.00
1982-07-06,,,,27.75,161.00
1982-07-07,,,,11.71,161.00
1982-07-08,,,,34.41,161.00
1982-07-09,,,,13.04,161.00
1982-07-10,,,,10.74,158.00
1982-07-11,,,,12.54,197.00
1982-07-12,,,,7.78,218.00
1982-07-13,,,,9.18,218.00
1982-07-14,,,,-9.28,214.00
1982-07-15,,,,-4.67,214.00
1982-07-16,,,,0.12,214.00
1982-07-17,,,,-9.21,214.00
1982-07-18,,,,-2.11,214.00
1982-07-19,,,,-6.23,235.00
1982-07-20,,,,-11.45,249.00
1982-07-21,,,,-13.88,260.00
1982-07-22,,,,-21.55,286.00
1982-07-23,,,,-11.44,298.00
1982-07-24,,,,-22.10,294.00
1982-07-25,,,,-18.58,294.00
1982-07-26,,,,-21.92,302.00
1982-07-27,,,,-13.60,326.00
1982-07-28,,,,-18.33,346.00
1982-07-29,,,,-12.60,342.00
1982-07-30,,,,-11.82,338.00
1982-07-31,,,,-24.09,338.00
1982-08-01,,,,-23.92,338.00
1982-08-02,,,,-27.32,338.00
1982-08-03,,,,-35.19,334.00
1982-08-04,,,,-22.81,318.00
1982-08-05,,,,-21.02,306.00
1982-08-06,,,,-23.05,306.00
1982-08-07,,,,-27.06,302.00
1982-08-08,,,,-15.76,302.00
1982-08-09,,,,-19.88,302.00
1982-08-10,,,,-27.89,302.00
1982-08-11,,,,-18.84,302.00
1982-08-12,,,,-13.79,286.00
1982-08-13,,,,-9.57,274.00
1982-08-14,,,,-18.38,274.00
1982-08-15,,,,-23.06,274.00
1982-08-16,,,,-30.91,270.00
1982-08-17,,,,-26.60,282.00
1982-08-18,,,,-13.79,298.00
1982-08-19,,,,-8.79,298.00
1982-08-20,,,,-11.71,298.00
1982-08-21,,,,-2.91,298.00
1982-08-22,,,,-20.64,294.00
1982-08-23,,,,-15.31,294.00
1982-08-24,,,,-4.11,282.00
1982-08-25,,,,-3.92,267.00
1982-08-26,,,,-3.74,270.00
1982-08-27,,,,-24.55,267.00
1982-08-28,,,,-24.41,267.00
1982-08-29,,,,-13.41,278.00
1982-08-30,,,,-9.41,282.00
1982-08-31,,,,-17.62,274.00
1982-09-01,,,,-8.53,260.00
1982-09-02,,,,-10.61,260.00
1982-09-03,,,,-16.52,246.00
1982-09-04,,,,-4.56,221.00
1982-09-05,,,,1.49,214.00
1982-09-06,,,,-1.75,214.00
1982-09-07,,,,-9.20,194.00
1982-09-08,,,,9.80,207.00
1982-09-09,,,,10.54,214.00
1982-09-10,,,,0.48,152.00
1982-09-11,,,,-5.49,106.00
1982-09-12,,,,-12.12,106.00
1982-09-13,,,,-19.41,125.00
1982-09-14,,,,12.75,149.00
1982-09-15,,,,-18.00,95.00
1982-09-16,,,,-21.85,87.00
1982-09-17,,,,-35.30,91.00
1982-09-18,,,,-35.13,105.00
1982-09-19,,,,-10.55,125.00
1982-09-20,,,,17.50,110.00
1982-09-21,,,,-2.80,86.00
1982-09-22,,,,-2.17,86.00
1982-09-23,,,,-1.51,86.00
1982-09-24,,,,-6.58,86.00
1982-09-25,,,,-3.03,86.00
1982-09-26,,,,6.04,100.00
1982-09-27,,,,-1.56,86.00
1982-09-28,,,,43.86,86.00
1982-09-29,,,,40.20,29.00
1982-09-30,,,,0.00,0.00
1982-10-01,,,,5.62,0.00
1982-10-02,,,,14.05,0.00
1982-10-03,,,,8.45,0.00
1982-10-04,,,,8.42,0.00
1982-10-05,,,,8.46,0.00
1982-10-06,,,,-2.82,0.00
1982-10-07,,,,5.64,0.00
1982-10-08,,,,8.47,0.00
1982-10-09,,,,14.10,0.00
1982-10-10,,,,14.13,0.00
1982-10-11,,,,8.50,0.00
1982-10-12,,,,14.13,0.00
1982-10-13,,,,8.51,0.00
1982-10-14,,,,11.36,0.00
1982-10-15,,,,5.68,0.00
1982-10-16,,,,14.18,0.00
1982-10-17,,,,-2.83,0.00
1982-10-18,,,,11.38,0.00
1982-10-19,,,,8.55,0.00
1982-10-20,,,,8.55,0.00
1982-10-21,,,,5.67,0.00
1982-10-22,,,,14.28,0.00
1982-10-23,,,,25.72,0.00
1982-10-24,,,,11.45,0.00
1982-10-25,,,,8.61,0.00
1982-10-26,,,,11.45,0.00
1982-10-27,,,,11.48,0.00
1982-10-28,,,,17.28,0.00
1982-10-29,,,,141.79,0.00
1982-10-30,,,,146.52,0.00
1982-10-31,,,,112.60,0.00
1982-11-01,,,,86.62,0.00
1982-11-02,,,,69.21,0.00
1982-11-03,,,,66.53,0.00
1982-11-04,,,,48.60,0.00
1982-11-05,,,,48.83,0.00
1982-11-06,,,,49.03,0.00
1982-11-07,,,,43.06,0.00
1982-11-08,,,,46.31,0.00
1982-11-09,,,,34.06,0.00
1982-11-10,,,,49.68,0.00
1982-11-11,,,,53.07,0.00
1982-11-12,,,,31.30,0.00
1982-11-13,,,,40.82,0.00
1982-11-14,,,,44.11,0.00
1982-11-15,,,,37.94,0.00
1982-11-16,,,,41.21,0.00
1982-11-17,,,,41.37,0.00
1982-11-18,,,,38.28,0.00
1982-11-19,,,,41.63,0.00
1982-11-20,,,,44.97,0.00
1982-11-21,,,,48.36,0.00
1982-11-22,,,,48.55,0.00
1982-11-23,,,,51.95,0.00
1982-11-24,,,,48.93,0.00
1982-11-25,,,,58.97,0.00
1982-11-26,,,,36.15,0.00
1982-11-27,,,,52.73,0.00
1982-11-28,,,,56.32,0.00
1982-11-29,,,,53.22,0.00
1982-11-30,,,,107.03,0.00
1982-12-01,,,,101.18,0.00
1982-12-02,,,,129.36,0.00
1982-12-03,,,,489.25,0.00
1982-12-04,,,,458.28,0.00
1982-12-05,,,,370.04,0.00
1982-12-06,,,,474.99,0.00
1982-12-07,,,,419.66,0.00
1982-12-08,,,,312.37,0.00
1982-12-09,,,,260.22,0.00
1982-12-10,,,,186.82,0.00
1982-12-11,,,,203.83,0.00
1982-12-12,,,,116.03,0.00
1982-12-13,,,,192.96,0.00
1982-12-14,,,,167.99,0.00
1982-12-15,,,,456.13,0.00
1982-12-16,,,,635.68,0.00
1982-12-17,,,,481.17,0.00
1982-12-18,,,,340.79,0.00
1982-12-19,,,,283.39,0.00
1982-12-20,,,,231.40,0.00
1982-12-21,,,,217.85,0.00
1982-12-22,,,,207.96,0.00
1982-12-23,,,,193.66,0.00
1982-12-24,,,,162.01,0.00
1982-12-25,,,,150.77,0.00
1982-12-26,,,,138.90,0.00
1982-12-27,,,,119.87,0.00
1982-12-28,,,,96.39,0.00
1982-12-29,,,,104.91,0.00
1982-12-30,,,,85.14,0.00
1982-12-31,,,,69.16,0.00
1983-01-01,,,,65.27,0.00
1983-01-02,,,,61.40,0.00
1983-01-03,,,,24.64,0.00
1983-01-04,,,,69.87,0.00
1983-01-05,,,,265.15,0.00
1983-01-06,,,,867.29,0.00
1983-01-07,,,,1012.02,74.00
1983-01-08,,,,811.55,143.00
1983-01-09,,,,577.05,146.00
