date,qj,fb,mm,mx,mn,qd,af
1982-01-01,,,,,,,2516.00
1982-01-02,,,,,,,2516.00
1982-01-03,,,,,,,2483.00
1982-01-04,,,,,,,2483.00
1982-01-05,,,,,,,2483.00
1982-01-06,,,,,,,2483.00
1982-01-07,,,,,,,2483.00
1982-01-08,,,,,,,2453.00
1982-01-09,,,,,,,2453.00
1982-01-10,,,,,,,2453.00
1982-01-11,,,,,,,2453.00
1982-01-12,,,,,,,2429.00
1982-01-13,,,,,,,2429.00
1982-01-14,,,,,,,2429.00
1982-01-15,,,,,,,2429.00
1982-01-16,,,,,,,2429.00
1982-01-17,,,,,,,2429.00
1982-01-18,,,,,,,2393.00
1982-01-19,,,,,,,2393.00
1982-01-20,,,,,,,2393.00
1982-01-21,,,,,,,2393.00
1982-01-22,,,,,,,2334.00
1982-01-23,,,,,,,2334.00
1982-01-24,,,,,,,2334.00
1982-01-25,,,,,,,2334.00
1982-01-26,,,,,,,2334.00
1982-01-27,,,,,,,2334.00
1982-01-28,,,,,,,2334.00
1982-01-29,,,,,,,2334.00
1982-01-30,,,,,,,2240.00
1982-01-31,,,,,,,2240.00
1982-02-01,,,,,,,2240.00
1982-02-02,,,,,,,2240.00
1982-02-03,,,,,,,2240.00
1982-02-04,,,,,,,2240.00
1982-02-05,,,,,,,2182.00
1982-02-06,,,,,,,2182.00
1982-02-07,,,,,,,2182.00
1982-02-08,,,,,,,2182.00
1982-02-09,,,,,,,2182.00
1982-02-10,,,,,,,2182.00
1982-02-11,,,,,,,2160.00
1982-02-12,,,,,,,2160.00
1982-02-13,,,,,,,2160.00
1982-02-14,,,,,,,2160.00
1982-02-15,,,,,,,2160.00
1982-02-16,,,,,,,2160.00
1982-02-17,,,,,,,2160.00
1982-02-18,,,,,,,2137.00
1982-02-19,,,,,,,2137.00
1982-02-20,,,,,,,2137.00
1982-02-21,,,,,,,2137.00
1982-02-22,,,,,,,2137.00
1982-02-23,,,,,,,2137.00
1982-02-24,,,,,,,2103.00
1982-02-25,,,,,,,2103.00
1982-02-26,,,,,,,2103.00
1982-02-27,,,,,,,2103.00
1982-02-28,,,,,,,2103.00
1982-03-01,,,,,,,2103.00
1982-03-02,,,,,,,2103.00
1982-03-03,,,,,,,2103.00
1982-03-04,,,,,,,2103.00
1982-03-05,,,,,,,1994.00
