date,af,fb,qd,qu,mm,mn,mx,pc,pp
1982-01-01,42496.00,,260.00,260.00,,,,,
1982-01-02,42410.00,,263.00,219.64,,,,,
1982-01-03,42367.00,,262.00,240.32,,,,,
1982-01-04,42189.00,,261.00,171.26,,,,,
1982-01-05,42088.00,,259.00,208.08,,,,,
1982-01-06,41959.00,,260.00,194.96,,,,,
1982-01-07,41872.00,,262.00,218.14,,,,,
1982-01-08,41679.00,,262.00,164.70,,,,,
1982-01-09,41486.00,,261.00,163.70,,,,,
1982-01-10,41250.00,,260.00,141.02,,,,,
1982-01-11,41142.00,,256.00,201.55,,,,,
1982-01-12,41013.00,,255.00,189.96,,,,,
1982-01-13,40755.00,,254.00,123.92,,,,,
1982-01-14,40627.00,,256.00,191.47,,,,,
1982-01-15,41163.00,,262.00,532.23,,,,,
1982-01-16,41593.00,,261.00,477.79,,,,,
1982-01-17,41722.00,,259.00,324.04,,,,,
1982-01-18,41744.00,,257.00,268.09,,,,,
1982-01-19,41765.00,,256.00,266.59,,,,,
1982-01-20,41894.00,,257.00,322.04,,,,,
1982-01-21,41959.00,,255.00,287.77,,,,,
1982-01-22,42109.00,,254.00,329.63,,,,,
1982-01-23,43541.00,,260.00,981.97,,,,,
1982-01-24,46472.00,,294.00,1771.71,,,,,
1982-01-25,49915.00,,268.00,2003.85,,,,,
1982-01-26,52292.00,,254.00,1452.40,,,,,
1982-01-27,53970.00,,256.00,1101.99,,,,,
1982-01-28,55054.00,,249.00,795.52,,,,,
1982-01-29,56176.00,,251.00,816.68,,,,,
1982-01-30,57065.00,,255.00,703.20,,,,,
1982-01-31,57700.00,,257.00,577.15,,,,,
1982-02-01,58481.00,,254.00,647.75,,,,,
1982-02-02,59042.00,,248.00,530.84,,,,,
1982-02-03,59464.00,,250.00,462.76,,,,,
1982-02-04,60156.00,,247.00,595.88,,,,,
1982-02-05,60206.00,,264.00,289.21,,,,,
1982-02-06,60206.00,,283.00,283.00,,,,,
1982-02-07,60231.00,,283.00,295.60,,,,,
1982-02-08,60255.00,,282.00,294.10,,,,,
1982-02-09,60349.00,,279.00,326.39,,,,,
1982-02-10,60628.00,,281.00,421.66,,,,,
1982-02-11,60652.00,,276.00,288.10,,,,,
1982-02-12,60702.00,,276.00,301.21,,,,,
1982-02-13,61545.00,,278.00,703.01,,,,,
1982-02-14,63081.00,,282.00,1056.40,,,,,
1982-02-15,71462.00,,297.00,4522.42,,,,,
1982-02-16,77909.00,,309.00,3559.36,,,,,
1982-02-17,83731.00,,291.00,3226.26,,,,,
1982-02-18,88391.00,,270.00,2619.42,,,,,
1982-02-19,92447.00,,273.00,2317.90,,,,,
1982-02-20,97140.00,,288.00,2654.06,,,,,
1982-02-21,103688.00,,296.00,3597.29,,,,,
1982-02-22,107746.00,,278.00,2323.91,,,,,
1982-02-23,110791.00,,259.00,1794.19,,,,,
1982-02-24,113148.00,,261.00,1449.32,,,,,
1982-02-25,114786.00,,262.00,1087.83,,,,,
