date,gain,id,qu,fb,qd,qt,qsd,af
1982-01-01,196.34,,1432.04,2926.33,156.00,,,19910.00
1982-01-02,166.08,,1340.12,2926.36,156.00,,,19930.00
1982-01-03,206.42,,1283.58,2926.42,156.00,,,20030.00
1982-01-04,,,1506.18,2926.47,156.00,,,20030.00
1982-01-05,,,1102.36,2926.50,156.00,,,20130.00
1982-01-06,,,544.96,2926.47,156.00,,,20030.00
1982-01-07,,,85.39,2926.38,156.00,,,19930.00
1982-01-08,,,2243.40,2926.31,156.00,,,19930.00
1982-01-09,,,544.67,2926.31,156.00,,,19930.00
1982-01-10,,,1660.96,2926.30,156.00,,,19830.00
1982-01-11,,,1150.56,2926.26,156.00,,,19830.00
1982-01-12,,,1152.00,2926.29,156.00,,,19830.00
1982-01-13,,,1202.35,2926.31,156.00,,,19930.00
1982-01-14,,,1157.54,2926.35,156.00,,,19930.00
1982-01-15,,,1027.12,2926.39,156.00,,,19930.00
1982-01-16,,,1359.97,2926.47,156.00,,,20060.00
1982-01-17,,,1286.95,2926.51,156.00,,,20130.00
1982-01-18,,,1198.86,2926.55,156.00,,,20130.00
1982-01-19,,,1202.65,2926.59,156.00,,,20230.00
1982-01-20,,,1105.41,2926.56,156.00,,,20130.00
1982-01-21,,,816.99,2929.40,156.00,,,23330.00
1982-01-22,,,1383.40,2935.94,156.00,,,30930.00
1982-01-23,,,1413.71,2941.92,156.00,,,38330.00
1982-01-24,,,1356.62,2947.41,156.00,,,45630.00
1982-01-25,,,1501.60,2952.55,156.00,,,52730.00
1982-01-26,,,1264.39,2955.17,156.00,,,56330.00
1982-01-27,,,1208.79,2955.29,156.00,,,56630.00
1982-01-28,,,1092.03,2955.27,156.00,,,56530.00
1982-01-29,,,983.98,2955.22,156.00,,,56530.00
1982-01-30,,,965.22,2955.21,156.00,,,56530.00
1982-01-31,,,1045.94,2955.20,156.00,,,56430.00
1982-02-01,,,1159.57,2954.76,485.00,,,55830.00
1982-02-02,,,1048.11,2953.56,1020.00,,,54130.00
1982-02-03,,,1015.56,2953.08,1820.00,,,53430.00
1982-02-04,,,1118.31,2955.89,2820.00,,,57530.00
1982-02-05,,,661.98,2957.16,3820.00,,,59330.00
1982-02-06,,,598.10,2957.82,4150.00,,,60330.00
1982-02-07,,,927.54,2958.54,4150.00,,,61430.00
1982-02-08,,,997.11,2959.19,4150.00,,,62430.00
1982-02-09,,,1151.39,2959.80,4150.00,,,63330.00
1982-02-10,,,921.80,2960.31,4150.00,,,64130.00
1982-02-11,,,1085.97,2960.75,4150.00,,,64730.00
1982-02-12,,,964.29,2961.15,4150.00,,,65330.00
1982-02-13,,,2133.24,2961.55,4150.00,,,65930.00
1982-02-14,,,1020.34,2962.16,4100.00,,,66930.00
1982-02-15,,,4110.71,2964.84,3150.00,,,71130.00
1982-02-16,,,6802.16,2968.35,3150.00,,,76730.00
1982-02-17,,,6381.62,2971.71,3150.00,,,82330.00
1982-02-18,,,5532.41,2974.41,3460.00,,,86830.00
1982-02-19,,,5666.14,2976.44,3980.00,,,90330.00
1982-02-20,,,5789.34,2978.46,4150.00,,,93730.00
1982-02-21,,,6768.10,2980.44,4150.00,,,97230.00
1982-02-22,,,8386.39,2982.85,4150.00,,,101530.00
1982-02-23,,,7528.37,2985.05,4150.00,,,105530.00
1982-02-24,,,5958.13,2986.90,4150.00,,,108830.00
1982-02-25,,,4969.78,2988.42,4150.00,,,111730.00
1982-02-26,,,4414.75,2989.54,4450.00,,,113730.00
1982-02-27,,,4068.21,2990.28,4650.00,,,115130.00
1982-02-28,,,3956.46,2990.91,4650.00,,,116330.00
1982-03-01,,,3996.17,2991.48,4650.00,,,117430.00
1982-03-02,,,4108.50,2992.35,4650.00,,,119130.00
1982-03-03,,,4546.21,2993.23,4650.00,,,120730.00
1982-03-04,,,4280.52,2993.84,4880.00,,,121930.00
1982-03-05,,,3904.73,2993.90,5330.00,,,122030.00
1982-03-06,,,3593.97,2993.70,5500.00,,,121630.00
1982-03-07,,,3475.18,2993.46,5500.00,,,121130.00
1982-03-08,,,3875.24,2992.90,5830.00,,,120030.00
1982-03-09,,,3179.13,2992.11,6000.00,,,118430.00
1982-03-10,,,3190.05,2991.31,6000.00,,,117030.00
1982-03-11,,,4289.21,2990.74,6000.00,,,115930.00
1982-03-12,,,4725.89,2990.29,6000.00,,,115030.00
1982-03-13,,,4552.05,2989.73,6000.00,,,113930.00
1982-03-14,,,4548.24,2989.20,6000.00,,,113030.00
1982-03-15,,,4449.43,2988.69,6000.00,,,112030.00
1982-03-16,,,4212.34,2988.00,6070.00,,,110730.00
1982-03-17,,,3869.06,2987.56,6280.00,,,109930.00
1982-03-18,,,4033.32,2987.07,6720.00,,,109030.00
1982-03-19,,,3833.17,2986.73,6920.00,,,108430.00
1982-03-20,,,3515.53,2986.54,7000.00,,,108130.00
1982-03-21,,,3304.97,2986.25,7000.00,,,107530.00
1982-03-22,,,3185.77,2985.71,7070.00,,,106530.00
1982-03-23,,,3056.91,2984.87,7220.00,,,104930.00
1982-03-24,,,3204.16,2984.33,7300.00,,,104030.00
1982-03-25,,,3261.54,2983.92,7370.00,,,103230.00
1982-03-26,,,3598.49,2983.50,7400.00,,,102530.00
1982-03-27,,,4178.84,2983.06,7400.00,,,101730.00
1982-03-28,,,4478.45,2982.63,7400.00,,,100930.00
1982-03-29,,,4561.86,2982.09,7400.00,,,100030.00
1982-03-30,,,5408.62,2981.43,7400.00,,,98730.00
1982-03-31,,,3224.70,2980.52,7400.00,,,97230.00
1982-04-01,,,4112.15,2979.56,7400.00,,,95530.00
1982-04-02,,,3725.75,2978.35,7400.00,,,93330.00
1982-04-03,,,3663.35,2976.96,7400.00,,,90930.00
1982-04-04,,,3735.24,2975.50,7400.00,,,88430.00
1982-04-05,,,3410.46,2973.78,7400.00,,,85530.00
1982-04-06,,,3310.94,2971.89,7400.00,,,82330.00
1982-04-07,,,3117.04,2969.77,7400.00,,,78830.00
1982-04-08,,,3067.46,2967.47,7400.00,,,75130.00
1982-04-09,,,3009.76,2964.98,7400.00,,,71120.00
1982-04-10,,,3308.24,2962.43,7400.00,,,67230.00
1982-04-11,,,5154.26,2960.54,7400.00,,,64330.00
1982-04-12,,,8927.33,2960.03,7470.00,,,63630.00
1982-04-13,,,9739.48,2960.47,7500.00,,,64330.00
1982-04-14,,,13012.88,2964.92,7500.00,,,71230.00
1982-04-15,,,9188.07,2964.92,7500.00,,,71230.00
1982-04-16,,,7579.90,2964.46,7450.00,,,70430.00
1982-04-17,,,7226.58,2963.80,7400.00,,,69430.00
1982-04-18,,,6693.80,2962.95,7400.00,,,68030.00
1982-04-19,,,6235.24,2961.79,7430.00,,,66330.00
1982-04-20,,,5964.59,2960.15,7570.00,,,63830.00
1982-04-21,,,5868.14,2958.46,7600.00,,,61230.00
1982-04-22,,,6340.21,2957.14,7720.00,,,59330.00
1982-04-23,,,7215.90,2956.15,8000.00,,,57830.00
1982-04-24,,,9378.79,2955.52,8100.00,,,56930.00
1982-04-25,,,11029.30,2955.15,8100.00,,,56430.00
1982-04-26,,,13031.08,2954.63,8370.00,,,55630.00
1982-04-27,,,12152.72,2953.97,8570.00,,,54630.00
1982-04-28,,,13257.16,2953.30,8800.00,,,53730.00
1982-04-29,,,12964.88,2952.34,9030.00,,,52330.00
1982-04-30,,,12644.27,2951.15,9170.00,,,50630.00
1982-05-01,,,12875.54,2949.97,9200.00,,,49030.00
1982-05-02,,,14745.28,2949.09,9200.00,,,47830.00
1982-05-03,,,18131.82,2948.67,9330.00,,,47230.00
1982-05-04,,,18660.59,2948.13,9500.00,,,46530.00
1982-05-05,,,15810.42,2947.10,9650.00,,,45130.00
1982-05-06,,,13937.58,2945.60,9830.00,,,43030.00
1982-05-07,,,13556.28,2943.82,9970.00,,,40730.00
1982-05-08,,,13925.18,2941.93,10000.00,,,38230.00
1982-05-09,,,13178.44,2939.92,10000.00,,,35730.00
1982-05-10,,,11436.27,2937.88,10000.00,,,33130.00
1982-05-11,,,10693.40,2935.48,10200.00,,,30230.00
1982-05-12,,,10286.58,2932.77,10280.00,,,27030.00
1982-05-13,,,10278.74,2930.08,10250.00,,,24030.00
1982-05-14,,,11054.94,2927.50,10220.00,,,21130.00
1982-05-15,,,12359.15,2925.74,9810.00,,,19230.00
1982-05-16,,,13843.49,2924.65,9710.00,,,18130.00
1982-05-17,,,15377.61,2923.66,9830.00,,,17130.00
1982-05-18,,,16202.16,2922.88,9900.00,,,16230.00
1982-05-19,,,16776.81,2922.28,9900.00,,,15630.00
