date,gain,id,fb,af
1982-01-01,2131.56,2612.56,5571.23,559002.69
1982-01-02,1831.33,2312.33,5571.47,561466.81
1982-01-03,1938.21,2419.21,5571.73,564142.94
1982-01-04,2102.79,2583.79,5572.02,567145.50
1982-01-05,1784.24,2265.24,5572.24,569436.88
1982-01-06,1704.41,2190.41,5572.40,571103.81
1982-01-07,1521.37,2012.37,5572.48,571941.56
1982-01-08,1184.90,1675.90,5572.32,570267.31
1982-01-09,1835.98,2326.98,5572.19,568912.56
1982-01-10,2147.33,2638.33,5572.34,570476.19
1982-01-11,1937.79,2428.79,5572.48,571941.56
1982-01-12,2035.56,2526.56,5572.64,573620.69
1982-01-13,2010.07,2501.07,5572.81,575407.94
1982-01-14,2127.99,2622.99,5573.07,578151.06
1982-01-15,2136.38,2631.38,5573.36,581228.19
1982-01-16,2557.31,3052.31,5573.73,585179.88
1982-01-17,2188.67,2683.67,5574.03,588400.38
1982-01-18,2090.96,2585.96,5574.31,591427.06
1982-01-19,2096.25,2591.25,5574.59,594464.25
1982-01-20,2060.12,2555.12,5574.86,597409.94
1982-01-21,2104.14,2604.14,5575.12,600195.00
1982-01-22,1933.06,2438.06,5575.38,602908.50
1982-01-23,2398.95,2903.95,5575.73,606585.75
1982-01-24,1920.55,2425.55,5575.99,609333.94
1982-01-25,1934.20,2439.20,5576.25,612089.38
1982-01-26,1884.85,2392.85,5576.50,614752.88
1982-01-27,2039.67,2549.67,5576.78,617747.25
1982-01-28,1842.17,2352.17,5577.02,620330.06
1982-01-29,1834.91,2344.91,5577.26,622918.31
1982-01-30,1848.10,2363.10,5577.50,625522.81
1982-01-31,2117.60,2632.60,5577.79,628681.69
1982-02-01,1958.32,2473.32,5578.05,631524.63
1982-02-02,2132.88,2647.88,5578.34,634713.81
1982-02-03,1974.83,2489.83,5578.60,637589.50
1982-02-04,1693.43,2214.43,5578.81,639918.94
1982-02-05,1316.58,1841.58,5578.88,640695.63
1982-02-06,1334.15,1859.15,5578.96,641586.50
1982-02-07,1593.25,2123.25,5579.11,643259.06
1982-02-08,1970.28,2500.28,5579.25,644826.56
1982-02-09,1754.38,2284.38,5579.38,646283.19
1982-02-10,1841.13,2371.13,5579.56,648308.56
1982-02-11,1622.07,2152.07,5579.71,649998.63
1982-02-12,1853.14,2383.14,5579.90,652147.00
1982-02-13,1984.65,2514.65,5580.13,654695.06
1982-02-14,2579.57,3109.57,5580.48,658522.31
1982-02-15,2438.64,2968.64,5580.79,661931.19
1982-02-16,2772.67,3302.67,5581.16,666022.44
1982-02-17,2657.71,3187.71,5581.52,670024.50
1982-02-18,2506.70,3031.70,5581.85,673717.13
1982-02-19,2481.58,3006.58,5582.10,676526.88
1982-02-20,2177.80,2702.80,5582.22,677881.19
1982-02-21,2264.68,2789.68,5582.35,679348.31
1982-02-22,2953.43,3478.43,5582.60,682181.56
1982-02-23,2384.45,2909.45,5582.75,683886.25
1982-02-24,2126.58,2726.58,5582.88,685367.06
1982-02-25,1742.97,2453.97,5582.87,685255.94
1982-02-26,2009.04,2721.04,5582.90,685595.19
1982-02-27,2137.55,2849.55,5582.95,686169.50
1982-02-28,2009.92,2721.92,5582.98,686510.50
1982-03-01,2386.08,3098.08,5582.95,686169.50
1982-03-02,2278.45,2990.45,5582.90,685595.19
1982-03-03,2301.68,3013.68,5582.73,683658.69
1982-03-04,2342.20,3080.20,5582.30,678779.75
1982-03-05,2179.13,3055.13,5581.66,671589.94
1982-03-06,2085.33,3060.33,5581.02,664469.94
1982-03-07,2229.67,3204.67,5580.37,657318.88
1982-03-08,2194.37,3169.37,5579.71,649998.63
1982-03-09,2144.29,3119.29,5579.04,642479.88
1982-03-10,2357.58,3344.58,5578.39,635269.13
1982-03-11,2353.00,3703.00,5577.82,629007.31
1982-03-12,2416.15,3896.15,5577.27,623029.44
1982-03-13,2090.36,3570.36,5576.66,616464.88
1982-03-14,2239.92,3719.92,5576.07,610177.13
1982-03-15,2428.91,3908.91,5575.49,604065.88
1982-03-16,2280.92,3760.92,5574.89,597740.44
1982-03-17,2198.65,3678.65,5574.18,590022.06
1982-03-18,2401.10,3881.10,5573.20,579531.69
1982-03-19,2422.02,4152.02,5572.25,569539.00
1982-03-20,2341.10,4271.10,5571.31,559822.19
1982-03-21,2160.00,4090.00,5570.32,549766.00
1982-03-22,1951.15,3871.15,5569.31,539295.56
1982-03-23,1957.58,3877.58,5568.30,528837.88
1982-03-24,2148.17,4058.17,5567.60,521713.59
1982-03-25,2140.31,4040.31,5566.48,510507.59
1982-03-26,2241.35,4141.35,5565.21,498093.75
1982-03-27,2063.52,3963.52,5563.42,480170.16
1982-03-28,2312.54,4212.54,5561.46,461153.72
1982-03-29,2684.10,4584.10,5559.51,442675.91
1982-03-30,2193.78,4093.78,5557.49,423423.91
1982-03-31,2407.75,4297.75,5555.40,404378.13
1982-04-01,2177.49,4057.49,5553.30,385054.16
1982-04-02,2886.45,4766.45,5551.26,366938.03
1982-04-03,2624.22,4964.22,5549.25,349412.53
1982-04-04,2262.37,4902.37,5547.20,331566.00
1982-04-05,2215.11,4855.11,5545.59,318187.72
1982-04-06,2378.44,5008.44,5544.76,311321.81
1982-04-07,2019.50,4639.50,5543.88,303743.97
1982-04-08,2048.02,4658.02,5542.97,296103.69
1982-04-09,2162.52,4752.52,5542.07,288730.19
1982-04-10,2088.86,4668.86,5541.14,281309.75
1982-04-11,2822.31,5392.31,5540.38,275383.75
1982-04-12,3735.26,6295.26,5539.54,268610.72
1982-04-13,3465.25,6025.25,5537.86,254974.86
1982-04-14,3863.11,6413.11,5536.19,242108.31
1982-04-15,4059.88,6609.88,5534.54,229632.05
1982-04-16,3413.46,5943.46,5532.76,215833.97
1982-04-17,3467.35,6477.35,5531.04,203293.19
1982-04-18,3370.55,7020.55,5529.45,191829.81
1982-04-19,2809.21,6449.21,5527.74,179233.22
1982-04-20,3077.81,6697.81,5525.98,167129.70
1982-04-21,3048.40,7248.40,5524.37,156118.28
1982-04-22,3134.48,7404.48,5522.84,145416.42
1982-04-23,4240.52,8480.52,5521.50,136650.52
1982-04-24,5504.87,9714.87,5520.48,130332.91
1982-04-25,6589.28,10769.28,5519.84,126305.04
1982-04-26,7423.66,11573.66,5519.47,123674.28
1982-04-27,8299.42,12409.42,5519.36,122899.58
1982-04-28,9171.74,13261.74,5519.49,123815.43
1982-04-29,11348.24,15398.24,5520.02,127580.54
1982-04-30,10921.72,14961.72,5520.34,129488.09
1982-05-01,11444.54,15454.54,5520.75,131976.42
1982-05-02,13274.21,17264.21,5521.72,138054.19
1982-05-03,15979.60,19959.60,5523.29,148486.44
1982-05-04,16094.61,20044.61,5524.56,157500.53
1982-05-05,13887.50,17827.50,5525.09,161323.67
1982-05-06,12424.02,16354.02,5525.23,162224.20
1982-05-07,12593.51,16313.51,5525.54,164234.47
1982-05-08,13164.68,16494.68,5525.72,165414.00
1982-05-09,13244.19,16564.19,5525.92,166731.39
1982-05-10,13014.82,16334.82,5526.05,167593.84
1982-05-11,12122.60,15132.60,5525.79,165873.38
1982-05-12,10726.45,13316.45,5525.00,160748.98
1982-05-13,10692.81,12692.81,5524.13,154387.63
1982-05-14,11887.74,13657.74,5523.50,149940.17
1982-05-15,13490.59,15270.59,5523.32,148691.77
1982-05-16,15196.41,16986.41,5523.63,150846.63
1982-05-17,16987.44,18777.44,5524.43,156553.94
1982-05-18,18316.95,20466.95,5525.72,165414.00
1982-05-19,18613.44,21013.44,5527.19,175358.02
1982-05-20,17548.21,19958.21,5528.32,183407.34
1982-05-21,17500.09,20130.09,5529.42,191599.25
1982-05-22,18031.31,20971.31,5530.78,201459.69
1982-05-23,19665.32,22605.32,5532.59,214561.14
1982-05-24,21205.40,24145.40,5534.70,230915.64
1982-05-25,21537.89,24747.89,5537.00,248266.81
1982-05-26,23550.12,27100.12,5539.74,270283.56
1982-05-27,27417.69,31207.69,5543.49,300447.56
1982-05-28,23517.61,27467.61,5546.20,323193.22
1982-05-29,21694.85,25694.85,5548.46,342422.66
1982-05-30,18287.13,22877.13,5550.01,356261.59
1982-05-31,15596.25,20586.25,5551.10,365556.63
1982-06-01,16166.91,21116.91,5552.17,374912.47
1982-06-02,16539.96,21959.96,5553.31,385147.09
1982-06-03,16089.36,22949.36,5554.63,397344.16
1982-06-04,15920.46,22740.46,5555.93,409126.88
1982-06-05,16066.41,22836.41,5557.24,421099.91
1982-06-06,15550.31,22290.31,5558.40,431989.78
1982-06-07,14581.61,21291.61,5559.49,442485.53
1982-06-08,14207.16,20617.16,5560.81,455015.44
1982-06-09,13402.11,19292.11,5562.04,466702.25
1982-06-10,12984.65,18844.65,5563.21,478096.59
1982-06-11,13321.26,18601.26,5564.54,491388.34
1982-06-12,14629.34,19199.34,5566.11,506858.09
1982-06-13,16655.24,20475.24,5567.91,524858.56
1982-06-14,19424.78,22844.78,5570.10,547558.94
1982-06-15,20026.01,23476.01,5572.42,571313.00
1982-06-16,21255.62,24105.62,5574.76,596315.88
1982-06-17,22167.80,23777.80,5577.07,620866.88
1982-06-18,23874.92,24838.92,5579.49,647522.56
1982-06-19,24201.80,25172.80,5581.95,674840.50
1982-06-20,22822.29,23798.29,5584.10,699432.13
1982-06-21,25134.52,26125.52,5586.61,728639.75
1982-06-22,26540.94,27540.94,5589.28,760654.81
1982-06-23,25869.58,26820.58,5591.77,791241.06
1982-06-24,26449.40,27413.40,5594.12,821019.69
1982-06-25,27773.89,29493.89,5596.71,854726.56
1982-06-26,26772.16,29142.16,5598.99,885355.63
1982-06-27,26795.88,29305.88,5601.23,916111.06
1982-06-28,26701.73,30621.73,5603.49,947889.69
1982-06-29,27123.84,31663.84,5605.77,980743.56
1982-06-30,26930.76,31520.76,5607.77,1009941.75
1982-07-01,26260.93,30900.93,5609.58,1037117.13
1982-07-02,25255.47,30135.47,5611.22,1061782.50
1982-07-03,22733.26,27893.26,5612.56,1082198.88
1982-07-04,21077.11,26507.11,5613.75,1100659.25
1982-07-05,20744.38,26184.38,5614.88,1118479.50
1982-07-06,18989.14,24439.14,5615.69,1131053.00
