date,qu,qt,fb,mm,mx,mn,qd,af
1982-01-01,625.73,2.00,2640.26,,41.40,13.88,2.00,382956.84
1982-01-02,771.36,2.00,2640.42,,34.87,9.55,2.00,384482.84
1982-01-03,1065.10,2.00,2640.64,,43.05,26.77,2.00,386591.47
1982-01-04,50.51,2.00,2640.65,,44.15,24.26,2.00,386687.69
1982-01-05,584.98,1.80,2640.77,,37.07,19.85,1.80,387844.41
1982-01-06,536.61,1.80,2640.88,,25.28,3.66,1.80,388905.19
1982-01-07,99.62,1.80,2640.90,,15.45,0.59,1.80,389099.22
1982-01-08,784.61,1.80,2641.06,,22.05,7.98,1.80,390651.91
1982-01-09,589.45,1.80,2641.18,,25.12,3.03,1.80,391817.50
1982-01-10,297.06,1.80,2641.24,,23.63,1.22,1.80,392403.13
1982-01-11,445.67,1.80,2641.33,,32.67,4.76,1.80,393283.53
1982-01-12,593.51,1.90,2641.45,,44.15,12.70,1.90,394456.97
1982-01-13,597.29,2.20,2641.57,,49.18,23.47,2.20,395637.31
1982-01-14,896.58,2.40,2641.75,,47.21,22.61,2.40,397410.88
1982-01-15,650.82,2.40,2641.88,,47.61,37.78,2.40,398697.00
1982-01-16,553.33,2.40,2641.99,,49.02,32.20,2.40,399789.75
1982-01-17,686.71,2.40,2642.13,,48.71,37.15,2.40,401147.06
1982-01-18,786.81,2.40,2642.29,,48.24,33.69,2.40,402702.91
1982-01-19,788.47,2.00,2642.45,,40.29,20.48,2.00,404262.84
1982-01-20,594.53,1.80,2642.57,,30.15,14.74,1.80,405438.50
1982-01-21,743.92,1.80,2642.72,,35.11,16.47,1.80,406910.47
1982-01-22,648.25,1.80,2642.85,,35.73,27.64,1.80,408192.69
1982-01-23,699.14,2.00,2642.99,,51.07,35.42,2.00,409575.44
1982-01-24,452.67,2.40,2643.08,,50.67,34.56,2.40,410468.53
1982-01-25,703.21,2.20,2643.22,,40.14,32.04,2.20,411858.97
1982-01-26,957.79,2.10,2643.41,,49.49,32.35,2.10,413754.56
1982-01-27,406.13,2.10,2643.49,,46.43,32.35,2.10,414555.94
1982-01-28,913.40,2.10,2643.67,,37.15,30.86,2.10,416363.47
1982-01-29,765.41,2.10,2643.82,,44.85,29.84,2.10,417877.47
1982-01-30,562.42,2.10,2643.93,,49.81,31.25,2.10,418988.84
1982-01-31,759.11,2.10,2644.08,,46.11,29.68,2.10,420490.34
1982-02-01,600.37,2.10,2644.20,,44.78,31.96,2.10,421677.00
1982-02-02,754.09,2.00,2644.35,,46.19,31.33,2.00,423168.75
1982-02-03,503.53,1.80,2644.45,,39.51,23.71,1.80,424163.91
1982-02-04,656.96,1.70,2644.58,,28.03,12.54,1.70,425463.59
1982-02-05,354.05,1.70,2644.65,,27.01,7.20,1.70,426162.47
1982-02-06,710.81,1.70,2644.79,,21.43,6.80,1.70,427568.97
1982-02-07,306.58,1.70,2644.85,,32.20,11.83,1.70,428173.69
1982-02-08,509.14,1.70,2644.95,,27.09,6.80,1.70,429180.19
1982-02-09,358.57,1.70,2645.02,,30.94,12.07,1.70,429888.03
1982-02-10,410.11,1.70,2645.10,,24.10,7.27,1.70,430698.09
1982-02-11,563.42,1.70,2645.21,,26.06,6.88,1.70,431812.25
1982-02-12,617.53,1.90,2645.33,,35.58,11.99,1.90,433033.34
1982-02-13,618.74,2.20,2645.45,,32.12,19.62,2.20,434256.22
1982-02-14,1344.87,2.40,2645.71,,57.12,30.78,2.40,436918.97
1982-02-15,3755.47,2.80,2646.44,,52.17,35.26,2.80,444362.28
1982-02-16,11488.65,3.10,2648.64,,57.59,40.53,3.10,467143.53
1982-02-17,17956.77,3.40,2651.98,,56.57,38.17,3.40,502753.50
1982-02-18,17589.38,7.00,2655.16,,48.86,34.08,7.00,537627.63
1982-02-19,13617.22,13.00,2657.55,,62.31,39.74,13.00,564611.19
1982-02-20,14593.36,83.00,2660.04,,58.06,40.06,83.00,593392.06
1982-02-21,16644.16,1300.00,2662.62,,57.91,36.84,1300.00,623826.75
1982-02-22,19161.15,5410.00,2664.88,,55.31,29.84,5410.00,651101.75
1982-02-23,16763.69,7530.00,2666.37,,44.93,29.13,7530.00,669416.50
1982-02-24,10770.59,7350.00,2666.92,,42.42,23.71,7350.00,676201.13
1982-02-25,6463.95,7400.00,2666.77,,48.16,23.23,7400.00,674344.50
1982-02-26,6142.37,5580.00,2666.86,,45.40,29.05,5580.00,675459.94
1982-02-27,4531.02,3280.00,2667.06,,52.24,33.93,3280.00,677941.31
1982-02-28,4219.83,2460.00,2667.34,,55.00,27.64,2460.00,681431.88
1982-03-01,3794.03,1900.00,2667.64,,62.15,41.32,1900.00,685188.63
1982-03-02,4840.71,4460.00,2667.70,,57.75,36.68,4460.00,685943.75
1982-03-03,6925.47,6290.00,2667.80,,52.32,39.04,6290.00,687204.19
1982-03-04,5518.66,6660.00,2667.62,,47.84,35.58,6660.00,684940.38
1982-03-05,4513.18,5210.00,2667.51,,55.63,31.57,5210.00,683558.25
1982-03-06,3527.35,3780.00,2667.47,,57.51,27.40,3780.00,683057.13
1982-03-07,3563.08,3500.00,2667.48,,60.74,30.55,3500.00,683182.25
1982-03-08,3310.18,3500.00,2667.45,,52.95,33.38,3500.00,682805.75
1982-03-09,3216.98,3280.00,2667.44,,58.46,35.18,3280.00,682680.75
1982-03-10,3366.04,3240.00,2667.46,,67.50,39.19,3240.00,682930.75
1982-03-11,3729.79,3350.00,2667.52,,62.94,32.20,3350.00,683684.06
1982-03-12,4235.31,3540.00,2667.63,,58.77,30.47,3540.00,685063.19
1982-03-13,5229.42,4150.00,2667.80,,52.40,30.07,4150.00,687204.19
1982-03-14,4238.60,4620.00,2667.74,,48.08,41.00,4620.00,686447.69
1982-03-15,3722.63,4040.00,2667.69,,51.07,29.84,4040.00,685818.19
1982-03-16,5579.82,4690.00,2667.83,,51.85,27.56,4690.00,687583.13
1982-03-17,4661.77,4980.00,2667.78,,48.86,27.24,4980.00,686951.94
1982-03-18,4672.41,4990.00,2667.73,,43.20,32.90,4990.00,686322.00
1982-03-19,3259.87,4020.00,2667.61,,44.78,35.42,4020.00,684814.31
1982-03-20,3136.79,3200.00,2667.60,,49.34,32.83,3200.00,684688.94
1982-03-21,2756.77,2630.00,2667.62,,57.51,29.13,2630.00,684940.38
1982-03-22,2578.94,2200.00,2667.68,,57.75,27.09,2200.00,685692.00
1982-03-23,2402.40,1640.00,2667.80,,67.18,32.83,1640.00,687204.19
1982-03-24,2277.53,1260.00,2667.96,,67.65,37.78,1260.00,689222.44
1982-03-25,2393.75,885.00,2668.20,,63.80,30.31,885.00,692215.00
1982-03-26,2695.62,870.00,2668.49,,71.98,40.77,870.00,695836.06
1982-03-27,2784.61,1520.00,2668.69,,62.78,41.32,1520.00,698344.38
1982-03-28,4013.24,1980.00,2669.01,,59.08,37.31,1980.00,702377.25
1982-03-29,3404.56,2830.00,2669.10,,55.47,31.73,2830.00,703516.88
1982-03-30,3040.83,3360.00,2669.05,,48.94,35.42,3360.00,702883.81
1982-03-31,2588.77,3290.00,2668.94,,54.52,38.96,3290.00,701492.94
1982-04-01,2450.00,2450.00,2668.94,,55.15,37.54,2450.00,701492.94
1982-04-02,2844.02,1760.00,2669.11,,52.48,31.41,1760.00,703643.06
1982-04-03,2388.16,2070.00,2669.16,,49.89,38.57,2070.00,704274.13
1982-04-04,2602.37,2410.00,2669.19,,51.30,34.87,2410.00,704655.69
1982-04-05,3868.76,3485.03,2669.25,,56.25,27.64,3360.00,705416.81
1982-04-06,3480.34,4885.11,2669.03,,52.24,34.87,4750.00,702630.50
1982-04-07,2568.82,5425.11,2668.58,,51.62,34.08,5290.00,696965.13
1982-04-08,2439.05,5335.11,2668.12,,59.16,30.31,5200.00,691220.88
1982-04-09,1675.02,5285.11,2667.55,,66.87,34.63,5150.00,684060.38
1982-04-10,1791.69,3495.11,2667.28,,58.69,30.62,3360.00,680681.69
1982-04-11,3184.06,2555.11,2667.38,,72.76,42.81,2420.00,681929.19
1982-04-12,5752.00,4045.11,2667.65,,64.12,45.80,3910.00,685314.75
1982-04-13,10195.01,5709.22,2668.36,,67.18,48.31,5440.00,694212.19
1982-04-14,6854.26,5719.22,2668.54,,55.00,40.45,5450.00,696463.50
1982-04-15,6228.83,5785.85,2668.61,,53.11,32.67,5440.00,697342.13
1982-04-16,5386.15,5765.85,2668.55,,59.08,27.01,5420.00,696589.00
1982-04-17,4675.15,5685.85,2668.39,,63.96,31.02,5340.00,694584.31
1982-04-18,4156.94,5665.85,2668.15,,51.77,34.48,5320.00,691591.44
1982-04-19,3898.08,5791.98,2667.85,,54.05,28.27,5310.00,687834.94
1982-04-20,3472.71,5501.98,2667.53,,59.40,26.38,5020.00,683809.94
1982-04-21,3004.06,4581.22,2667.28,,69.15,26.77,4070.00,680681.69
1982-04-22,3345.31,2967.09,2667.34,,79.21,30.39,2350.00,681431.88
1982-04-23,2656.01,3286.16,2667.24,,86.13,39.43,2540.00,680182.00
1982-04-24,3380.80,3318.00,2667.25,,78.82,41.63,2530.00,680306.56
1982-04-25,3795.42,3417.07,2667.31,,67.73,37.78,2560.00,681057.00
1982-04-26,4058.66,3680.25,2667.37,,78.27,40.53,2680.00,681807.56
1982-04-27,4177.96,2852.00,2667.58,,79.68,39.04,1700.00,684437.56
1982-04-28,4269.59,2429.06,2667.87,,67.81,47.06,1210.00,688088.19
1982-04-29,4292.22,2463.17,2668.16,,69.78,31.33,1230.00,691716.06
1982-04-30,4356.76,2532.08,2668.45,,78.43,32.35,1250.00,695335.25
1982-05-01,4470.29,2763.09,2668.72,,83.30,43.20,1480.00,698721.44
1982-05-02,4162.68,2829.13,2668.93,,93.13,44.23,1480.00,701366.50
1982-05-03,4271.30,2677.03,2669.18,,73.63,44.38,1280.00,704528.69
1982-05-04,3931.90,2714.75,2669.37,,66.71,31.33,1290.00,706942.88
1982-05-05,4270.17,2920.89,2669.58,,73.32,34.01,1480.00,709619.13
1982-05-06,3976.93,3140.05,2669.71,,79.05,41.08,1680.00,711279.06
1982-05-07,3788.83,3272.06,2669.79,,76.07,45.48,1810.00,712304.06
1982-05-08,3365.81,3301.05,2669.80,,65.61,43.60,1840.00,712432.50
1982-05-09,3235.77,3171.05,2669.81,,53.11,41.63,1710.00,712560.88
1982-05-10,3202.72,2878.79,2669.86,,61.36,45.25,1450.00,713203.38
1982-05-11,2667.60,2409.97,2669.90,,71.11,42.18,1020.00,713714.38
1982-05-12,3034.42,2385.97,2670.00,,77.95,44.38,996.00,715000.56
1982-05-13,2602.07,2602.07,2670.00,,79.84,43.75,1200.00,715000.56
1982-05-14,2636.12,2572.15,2670.01,,77.95,52.40,1160.00,715127.44
1982-05-15,2183.65,2571.98,2669.95,,75.99,50.44,1180.00,714357.19
1982-05-16,2130.27,2195.18,2669.94,,84.40,48.24,780.00,714228.44
1982-05-17,2168.44,1715.19,2670.01,,74.10,50.28,298.00,715127.44
1982-05-18,1859.25,1603.01,2670.05,,62.86,46.35,208.00,715635.69
1982-05-19,2100.32,1651.01,2670.12,,73.39,39.82,256.00,716526.88
1982-05-20,2287.73,2160.93,2670.14,,76.30,39.59,775.00,716778.38
1982-05-21,2480.02,2351.78,2670.16,,84.71,45.09,984.00,717032.75
1982-05-22,2124.27,2507.78,2670.10,,82.75,52.87,1140.00,716272.06
1982-05-23,2181.69,2309.78,2670.08,,80.55,47.13,942.00,716018.00
1982-05-24,1883.87,1948.25,2670.07,,86.13,44.62,524.00,715890.31
1982-05-25,1912.10,1784.04,2670.09,,95.25,52.24,325.00,716144.31
1982-05-26,1675.06,1867.15,2670.06,,78.82,53.66,394.00,715763.31
1982-05-27,2123.63,1867.13,2670.10,,66.71,43.91,397.00,716272.06
1982-05-28,1601.92,1730.01,2670.08,,65.92,43.91,274.00,716018.00
1982-05-29,1775.62,1711.94,2670.09,,67.81,38.25,265.00,716144.31
1982-05-30,1638.85,1638.85,2670.09,,82.99,39.74,202.00,716144.31
1982-05-31,1684.26,1619.85,2670.10,,83.54,46.11,183.00,716272.06
1982-06-01,1503.86,1631.95,2670.08,,75.12,52.80,183.00,716018.00
1982-06-02,1299.80,1620.86,2670.03,,85.19,44.85,183.00,715381.19
1982-06-03,1298.04,1619.85,2669.98,,73.47,48.16,183.00,714742.88
1982-06-04,1750.76,1620.85,2670.00,,65.53,47.06,185.00,715000.56
1982-06-05,1074.06,1593.13,2669.92,,65.22,42.50,183.00,713971.00
1982-06-06,1050.31,1566.92,2669.84,,69.38,38.96,183.00,712946.31
1982-06-07,1059.05,1511.95,2669.77,,66.95,45.72,185.00,712048.00
1982-06-08,1178.46,1501.82,2669.72,,77.09,38.88,190.00,711406.63
1982-06-09,977.67,1493.81,2669.64,,85.97,45.48,183.00,710382.88
1982-06-10,1147.76,1404.16,2669.60,,89.90,48.79,173.00,709874.31
1982-06-11,984.54,1563.98,2669.51,,89.04,47.06,173.00,708725.00
1982-06-12,797.32,1568.98,2669.39,,77.56,55.55,178.00,707194.44
1982-06-13,1085.38,1597.11,2669.31,,81.96,50.12,190.00,706179.44
1982-06-14,500.40,1588.99,2669.14,,87.86,53.97,196.00,704020.25
1982-06-15,813.58,1641.93,2669.01,,97.14,54.84,196.00,702377.25
1982-06-16,705.32,1658.76,2668.86,,98.39,56.49,173.00,700486.13
1982-06-17,676.83,1693.17,2668.70,,95.25,56.88,158.00,698470.25
1982-06-18,693.51,1705.25,2668.54,,93.99,53.50,160.00,696463.50
1982-06-19,624.18,1696.13,2668.37,,95.49,54.29,165.00,694337.31
1982-06-20,645.85,1715.85,2668.20,,98.55,56.49,158.00,692215.00
1982-06-21,785.62,1725.92,2668.05,,96.51,59.79,160.00,690349.94
1982-06-22,1035.23,1730.92,2667.94,,90.69,60.03,165.00,688970.06
1982-06-23,523.89,1731.90,2667.75,,92.89,60.34,168.00,686574.00
1982-06-24,464.62,1731.90,2667.55,,90.85,57.36,168.00,684060.38
1982-06-25,632.74,1707.22,2667.38,,92.18,58.53,165.00,681929.19
1982-06-26,695.46,1702.22,2667.22,,96.82,54.68,160.00,679932.31
1982-06-27,765.55,1706.76,2667.07,,95.72,61.84,160.00,678065.44
1982-06-28,965.91,1717.87,2666.95,,69.86,57.51,158.00,676573.94
1982-06-29,932.82,1682.14,2666.83,,74.73,56.10,150.00,675087.69
1982-06-30,712.79,1523.93,2666.70,,88.17,53.66,138.00,673478.81
1982-07-01,1236.02,1360.99,2666.68,,67.58,55.31,150.00,673230.94
1982-07-02,1686.42,1125.00,2666.77,,77.80,50.59,155.00,674344.50
1982-07-03,1164.08,1070.05,2666.78,,78.03,49.10,155.00,674531.00
1982-07-04,1123.65,1030.22,2666.80,,76.07,52.32,155.00,674716.31
1982-07-05,949.40,1012.07,2666.80,,78.03,46.90,155.00,674592.00
1982-07-06,949.55,1012.07,2666.78,,85.11,46.58,155.00,674468.00
1982-07-07,1116.94,1051.90,2666.75,,77.56,55.94,155.00,674597.00
1982-07-08,645.11,1084.17,2666.72,,79.13,52.80,155.00,673726.13
1982-07-09,831.50,1081.16,2666.68,,87.62,50.36,153.00,673230.94
1982-07-10,857.72,1106.87,2666.64,,96.74,54.52,153.00,672736.75
1982-07-11,847.47,1219.26,2666.58,,98.79,56.41,158.00,671999.31
1982-07-12,791.94,1475.24,2666.47,,97.06,57.28,173.00,670644.00
1982-07-13,544.07,1596.24,2666.30,,100.44,60.03,173.00,668557.06
1982-07-14,355.00,1650.17,2666.09,,92.18,56.18,175.00,665988.13
1982-07-15,424.56,1668.84,2665.89,,85.66,49.18,173.00,663520.13
1982-07-16,544.55,1668.84,2665.71,,79.92,48.55,173.00,661290.13
1982-07-17,361.06,1667.83,2665.50,,89.20,48.39,173.00,658698.19
1982-07-18,423.33,1662.82,2665.30,,101.07,50.28,170.00,656239.69
1982-07-19,513.13,1687.02,2665.11,,103.98,56.10,170.00,653911.31
1982-07-20,374.02,1728.84,2664.89,,103.51,55.15,173.00,651224.06
1982-07-21,67.66,1720.79,2664.62,,101.46,55.00,170.00,647945.13
1982-07-22,371.42,1714.21,2664.40,,95.33,54.68,173.00,645281.75
1982-07-23,257.10,1714.20,2664.16,,95.72,52.80,175.00,642391.63
1982-07-24,310.19,1709.13,2663.93,,91.79,55.00,178.00,639616.88
1982-07-25,418.46,1708.12,2663.72,,100.91,52.56,178.00,637058.88
1982-07-26,292.81,1699.03,2663.49,,109.01,58.14,180.00,634269.69
1982-07-27,542.64,1700.02,2663.30,,86.05,59.64,183.00,631974.06
1982-07-28,472.49,1685.92,2663.10,,86.29,62.31,180.00,629567.25
1982-07-29,302.75,1633.97,2662.88,,100.44,54.45,183.00,626926.81
1982-07-30,226.94,1610.78,2662.65,,103.43,55.63,183.00,624182.00
1982-07-31,301.96,1608.76,2662.43,,105.00,58.38,183.00,621590.00
1982-08-01,299.54,1623.89,2662.21,,93.91,56.80,183.00,618963.19
1982-08-02,265.03,1633.97,2661.98,,87.55,47.06,183.00,616247.94
1982-08-03,243.76,1632.96,2661.75,,91.00,57.51,183.00,613492.50
1982-08-04,488.89,1630.95,2661.56,,98.00,49.41,183.00,611227.25
1982-08-05,372.74,1630.95,2661.35,,96.51,51.93,183.00,608731.63
1982-08-06,422.08,1616.83,2661.15,,105.39,54.29,183.00,606361.88
1982-08-07,207.14,1632.96,2660.91,,86.05,55.94,183.00,603533.81
1982-08-08,327.95,1628.95,2660.69,,99.65,62.86,180.00,600953.31
1982-08-09,233.99,1647.10,2660.45,,98.16,59.08,180.00,598150.44
1982-08-10,296.70,1645.09,2660.22,,93.68,57.04,180.00,595475.94
1982-08-11,240.31,1643.09,2659.98,,79.37,52.72,178.00,592693.56
1982-08-12,395.84,1582.11,2659.78,,88.65,58.77,175.00,590340.63
1982-08-13,412.47,1535.22,2659.59,,94.78,49.57,175.00,588113.69
1982-08-14,174.53,1528.16,2659.36,,93.99,53.19,175.00,585428.81
1982-08-15,294.44,1526.15,2659.15,,97.61,52.72,175.00,582985.75
1982-08-16,274.48,1499.95,2658.94,,99.97,53.66,173.00,580555.06
1982-08-17,340.41,1560.21,2658.73,,100.99,53.11,202.00,578135.63
1982-08-18,313.00,1585.84,2658.51,,81.02,54.29,211.00,575611.00
1982-08-19,143.11,1582.82,2658.26,,99.18,52.32,211.00,572755.38
1982-08-20,267.26,1585.82,2658.03,,101.62,59.64,214.00,570140.06
1982-08-21,342.52,1563.11,2657.82,,101.30,57.98,217.00,567719.06
1982-08-22,168.02,1561.09,2657.58,,104.92,56.57,217.00,564955.94
1982-08-23,219.66,1605.96,2657.34,,100.12,53.42,217.00,562206.25
1982-08-24,-179.35,1595.95,2656.95,,96.90,50.52,208.00,558685.00
1982-08-25,-158.12,1617.18,2656.72,,100.28,52.95,202.00,555163.75
1982-08-26,307.44,1613.14,2656.49,,103.03,54.05,202.00,552573.94
1982-08-27,186.81,1599.05,2656.24,,100.83,53.42,199.00,549772.81
1982-08-28,283.84,1576.87,2656.01,,96.90,56.49,199.00,547208.13
1982-08-29,203.80,1574.85,2655.77,,93.13,53.97,199.00,544488.69
1982-08-30,253.52,1562.75,2655.54,,93.99,51.54,199.00,541891.88
1982-08-31,411.26,1544.12,2655.34,,90.53,47.21,196.00,539644.88
1982-09-01,284.91,1525.95,2655.12,,95.01,46.90,199.00,537183.31
1982-09-02,121.18,1524.94,2654.87,,95.80,50.44,199.00,534399.00
1982-09-03,219.02,1504.77,2654.64,,86.44,52.95,199.00,531848.75
1982-09-04,226.40,1505.25,2654.41,,92.97,53.19,202.00,529312.19
1982-09-05,481.01,1477.02,2654.23,,94.15,46.19,202.00,527336.63
1982-09-06,122.73,1446.77,2653.99,,91.32,45.96,202.00,524710.44
1982-09-07,602.12,1387.83,2653.85,,96.43,48.55,196.00,523152.00
1982-09-08,379.66,1332.02,2653.68,,97.61,48.16,178.00,521263.03
1982-09-09,280.54,1339.81,2653.49,,103.66,55.00,211.00,519162.00
1982-09-10,2.10,1279.03,2653.26,,70.72,48.39,185.00,516629.25
1982-09-11,270.47,1264.91,2653.08,,71.90,40.06,185.00,514656.81
1982-09-12,360.07,1242.22,2652.92,,71.43,49.02,185.00,512907.09
1982-09-13,78.14,1175.19,2652.72,,68.68,42.50,183.00,510731.13
1982-09-14,280.28,1153.99,2652.56,,61.44,41.16,185.00,508998.16
1982-09-15,357.56,1121.22,2652.42,,59.48,40.77,185.00,507483.47
1982-09-16,383.55,1088.96,2652.29,,75.20,38.41,185.00,506084.31
1982-09-17,203.11,1070.81,2652.13,,83.14,47.61,185.00,504363.25
1982-09-18,398.96,1046.10,2652.01,,85.66,46.11,185.00,503079.66
1982-09-19,168.95,1049.10,2651.85,,71.82,50.83,188.00,501333.91
1982-09-20,135.58,1009.76,2651.69,,,,190.00,499600.00
1982-09-21,100.58,907.25,2651.54,,,,150.00,498000.00
1982-09-22,311.07,903.97,2651.43,,,,180.00,496824.00
1982-09-23,302.54,898.97,2651.32,,,,175.00,495641.00
1982-09-24,573.32,844.06,2651.27,,74.02,-18.51,170.00,495104.00
1982-09-25,503.79,828.98,2651.21,,80.86,50.20,165.00,494459.00
1982-09-26,488.73,797.78,2651.15,,74.02,51.30,158.00,493846.00
1982-09-27,473.12,758.98,2651.10,,61.21,47.13,155.00,493279.00
1982-09-28,457.55,727.78,2651.05,,63.57,47.29,148.00,492743.00
1982-09-29,370.75,694.93,2650.99,,61.44,39.98,158.00,492100.00
1982-09-30,226.12,658.19,2650.91,,64.90,42.18,150.00,491243.00
1982-10-01,241.38,619.00,2650.84,,76.30,41.95,134.00,490494.00
1982-10-02,241.38,619.00,2650.77,,75.12,36.05,134.00,489745.00
1982-10-03,241.88,619.00,2650.70,,69.31,46.66,134.00,488997.00
1982-10-04,361.85,631.08,2650.65,,60.34,41.24,136.00,488463.00
1982-10-05,415.80,631.08,2650.61,,69.46,34.08,136.00,488036.00
1982-10-06,200.52,631.08,2650.53,,64.27,33.77,136.00,487182.00
1982-10-07,258.08,634.19,2650.46,,59.87,42.42,126.00,486436.00
1982-10-08,314.11,636.78,2650.40,,58.85,38.80,118.00,485796.00
1982-10-09,368.56,636.78,2650.35,,63.96,41.32,118.00,485264.00
1982-10-10,370.06,638.78,2650.30,,68.68,36.44,120.00,484731.00
1982-10-11,373.58,641.80,2650.25,,76.54,45.25,120.00,484199.00
1982-10-12,347.37,669.03,2650.19,,75.36,40.14,120.00,483561.00
1982-10-13,347.37,669.03,2650.13,,80.86,44.30,120.00,482923.00
1982-10-14,293.93,669.03,2650.06,,76.07,36.76,120.00,482179.00
1982-10-15,347.99,669.03,2650.00,,79.21,42.50,120.00,481542.22
1982-10-16,331.72,120.00,2650.04,,77.25,45.01,120.00,481962.16
1982-10-17,225.92,120.00,2650.06,,63.33,36.36,120.00,482172.25
1982-10-18,225.97,120.00,2650.08,,56.25,31.57,120.00,482382.44
1982-10-19,322.08,110.00,2650.12,,56.73,23.55,110.00,482803.09
1982-10-20,274.09,10.00,2650.17,,61.29,23.55,10.00,483326.91
1982-10-21,323.80,5.00,2650.23,,69.54,37.78,5.00,483959.25
1982-10-22,376.09,3.50,2650.30,,78.03,46.82,3.50,484698.28
1982-10-23,376.23,3.30,2650.37,,75.04,49.89,3.30,485437.97
1982-10-24,215.55,3.30,2650.41,,72.37,44.46,3.30,485858.97
1982-10-25,163.14,3.30,2650.44,,72.76,48.24,3.30,486176.00
1982-10-26,324.33,3.40,2650.50,,59.40,46.66,3.40,486812.56
1982-10-27,163.83,3.20,2650.53,,57.98,38.17,3.20,487131.16
1982-10-28,324.53,3.20,2650.59,,59.24,31.25,3.20,487768.50
1982-10-29,916.09,4.70,2650.76,,46.82,42.89,4.70,489576.22
1982-10-30,434.38,3.70,2650.84,,54.37,35.11,3.70,490430.47
1982-10-31,541.41,3.20,2650.94,,59.40,31.17,3.20,491498.00
1982-11-01,651.80,3.20,2651.06,,56.73,30.78,3.20,492784.47
1982-11-02,869.67,3.10,2651.22,,50.99,27.24,3.10,494503.28
1982-11-03,655.89,3.10,2651.34,,50.59,25.28,3.10,495798.06
1982-11-04,765.57,3.00,2651.48,,46.43,27.40,3.00,497310.59
1982-11-05,604.72,3.10,2651.59,,52.56,34.95,3.10,498503.88
1982-11-06,550.18,3.10,2651.69,,52.01,28.97,3.10,499589.00
1982-11-07,222.75,3.10,2651.73,,44.15,26.61,3.10,500024.66
1982-11-08,332.82,3.00,2651.79,,48.71,25.20,3.00,500678.84
1982-11-09,497.23,3.00,2651.88,,44.62,28.11,3.00,501659.13
1982-11-10,333.90,3.00,2651.94,,38.80,29.13,3.00,502315.47
1982-11-11,496.42,3.00,2652.03,,52.95,26.85,3.00,503294.16
1982-11-12,435.07,3.00,2652.11,,38.88,26.06,3.00,504151.16
1982-11-13,326.82,3.00,2652.17,,46.74,24.02,3.00,504793.44
1982-11-14,436.26,2.90,2652.25,,42.10,17.42,2.90,505653.00
1982-11-15,274.38,2.90,2652.30,,40.29,18.99,2.90,506191.47
1982-11-16,383.34,2.90,2652.37,,36.13,24.18,2.90,506946.06
1982-11-17,382.80,3.00,2652.44,,53.82,30.39,3.00,507699.38
1982-11-18,766.73,3.00,2652.58,,54.29,39.04,3.00,509214.22
1982-11-19,221.86,2.90,2652.62,,49.96,34.16,2.90,509648.53
1982-11-20,439.45,2.90,2652.70,,47.68,32.67,2.90,510514.41
1982-11-21,496.36,3.00,2652.79,,43.36,31.73,3.00,511492.97
1982-11-22,660.87,2.90,2652.91,,39.90,20.17,2.90,512798.03
1982-11-23,664.27,2.90,2653.03,,36.44,18.12,2.90,514109.84
1982-11-24,774.85,2.70,2653.17,,35.42,12.78,2.70,515641.38
1982-11-25,334.88,2.70,2653.23,,38.33,14.90,2.70,516300.25
1982-11-26,335.31,2.70,2653.29,,31.88,14.43,2.70,516959.97
1982-11-27,500.79,2.70,2653.38,,36.52,22.05,2.70,517947.91
1982-11-28,336.58,2.90,2653.44,,44.62,29.13,2.90,518609.75
1982-11-29,671.77,2.90,2653.56,,49.41,33.61,2.90,519936.44
1982-11-30,503.85,2.90,2653.65,,41.32,30.47,2.90,520930.06
1982-12-01,674.52,2.90,2653.77,,45.40,35.18,2.90,522262.19
1982-12-02,451.71,3.10,2653.85,,41.55,31.73,3.10,523152.00
1982-12-03,676.17,3.20,2653.97,,48.63,32.35,3.20,524486.81
1982-12-04,557.72,3.10,2654.07,,58.93,33.85,3.10,525586.88
1982-12-05,830.09,3.20,2654.22,,47.29,31.25,3.20,527227.00
1982-12-06,446.28,3.30,2654.30,,49.57,30.86,3.30,528105.63
1982-12-07,722.54,3.00,2654.43,,40.06,28.58,3.00,529532.81
1982-12-08,893.08,3.00,2654.59,,37.54,18.67,3.00,531298.25
1982-12-09,726.89,3.00,2654.72,,35.73,18.20,3.00,532734.06
1982-12-10,562.50,3.00,2654.82,,37.15,16.16,3.00,533843.81
1982-12-11,506.03,3.00,2654.91,,33.93,16.55,3.00,534841.56
1982-12-12,676.82,3.00,2655.03,,30.31,17.34,3.00,536178.06
1982-12-13,509.61,2.80,2655.12,,47.37,23.23,2.80,537183.31
1982-12-14,565.39,2.80,2655.22,,39.35,25.99,2.80,538299.19
1982-12-15,568.56,3.20,2655.32,,39.67,32.90,3.20,539420.56
1982-12-16,965.41,3.30,2655.49,,39.43,29.05,3.30,541328.88
1982-12-17,457.84,3.30,2655.57,,48.39,34.40,3.30,542230.44
1982-12-18,457.23,3.20,2655.65,,43.83,30.62,3.20,543131.00
1982-12-19,516.13,3.30,2655.74,,39.74,27.40,3.30,544148.19
1982-12-20,632.18,3.30,2655.85,,40.84,25.83,3.30,545395.56
1982-12-21,973.54,3.40,2656.02,,51.14,33.45,3.40,547319.81
1982-12-22,452.71,3.40,2656.10,,41.71,28.34,3.40,548211.00
1982-12-23,960.58,3.70,2656.27,,42.18,29.84,3.70,550108.94
