date,qu,af,fb,aqd,mm,mn,mx
1982-01-01,131.07,94902.00,2876.66,,20.76,15.24,26.72
1982-01-02,251.56,95397.00,2876.89,,17.81,13.00,23.36
1982-01-03,355.93,96099.00,2877.36,,20.84,15.94,24.20
1982-01-04,244.50,96580.00,2877.64,,19.31,16.22,21.68
1982-01-05,184.51,96942.00,2877.85,,6.92,-9.97,18.46
1982-01-06,152.24,97240.00,2877.97,,-0.48,-13.75,13.84
1982-01-07,245.01,97722.00,2878.30,,12.78,6.41,31.62
1982-01-08,229.88,98174.00,2878.56,,30.77,23.08,35.41
1982-01-09,170.90,98509.00,2878.70,,23.38,19.44,29.38
1982-01-10,263.16,99027.00,2879.05,,22.19,14.68,35.97
1982-01-11,231.40,99482.00,2879.31,,32.28,19.86,37.79
1982-01-12,207.20,99889.00,2879.51,,26.58,13.98,35.41
1982-01-13,264.17,100409.00,2879.84,,38.23,35.27,41.99
1982-01-14,197.61,100795.00,2880.06,,37.16,34.85,40.45
1982-01-15,241.48,101270.00,2880.33,,33.28,25.46,39.05
1982-01-16,508.68,102273.00,2880.90,,27.49,22.52,33.31
1982-01-17,666.48,103589.00,2881.64,,30.15,28.82,33.59
1982-01-18,688.67,104949.00,2882.40,,23.93,14.26,34.85
1982-01-19,410.88,105760.00,2882.85,,16.36,7.82,25.88
1982-01-20,214.76,106182.00,2883.04,,22.64,20.70,24.90
1982-01-21,214.76,106604.00,2883.07,,19.66,11.88,27.56
1982-01-22,214.25,107025.00,2883.55,,19.64,15.80,21.54
1982-01-23,525.78,108052.00,2883.91,,40.21,33.45,48.29
1982-01-24,932.39,109826.00,2885.09,,32.14,26.44,36.67
1982-01-25,598.86,110992.00,2885.72,,30.45,26.72,39.75
1982-01-26,586.79,112142.00,2886.34,,32.03,29.24,35.97
1982-01-27,568.65,113258.00,2886.94,,28.92,26.44,33.03
1982-01-28,419.43,114080.00,2887.38,,29.61,22.94,35.69
1982-01-29,296.42,114660.00,2887.69,,34.85,30.92,37.37
1982-01-30,315.07,115277.00,2888.02,,37.11,30.08,44.23
1982-01-31,422.47,116109.00,2888.46,,31.46,28.96,35.55
1982-02-01,421.96,116940.00,2888.90,,34.01,31.20,37.65
1982-02-02,347.35,117623.00,2889.26,,34.48,23.08,39.61
1982-02-03,261.64,118136.00,2889.53,,22.96,12.44,31.34
1982-02-04,223.32,118573.00,2889.76,,11.63,2.21,21.54
1982-02-05,195.59,118955.00,2889.87,,7.39,-2.55,24.20
1982-02-06,369.53,119682.00,2890.34,,12.83,2.77,21.68
1982-02-07,361.46,120393.00,2890.71,,12.08,0.81,31.34
1982-02-08,190.05,120764.00,2890.77,,14.71,4.59,27.98
1982-02-09,189.05,121135.00,2890.11,,11.20,0.67,23.92
1982-02-10,189.55,121507.00,2890.40,,8.72,-1.29,25.74
1982-02-11,189.05,121878.00,2890.95,,19.38,7.11,27.70
1982-02-12,189.05,122249.00,2891.67,,26.12,16.78,37.79
1982-02-13,549.53,123335.00,2892.28,,35.52,28.82,42.83
1982-02-14,937.71,125185.00,2892.80,,38.06,31.90,44.93
1982-02-15,1677.32,128502.00,2894.86,,34.69,30.22,44.51
1982-02-16,1760.48,131976.00,2896.60,,37.21,32.04,42.27
1982-02-17,1392.93,134719.00,2897.96,,34.09,22.52,45.35
1982-02-18,1139.85,136962.00,2899.06,,28.06,22.10,31.76
1982-02-19,1784.68,140486.00,2900.31,,36.23,29.66,46.89
1982-02-20,2761.64,145920.00,2903.37,,26.60,31.06,50.39
1982-02-21,3018.27,151865.00,2906.72,,27.68,19.44,32.18
1982-02-22,1732.21,155275.00,2907.74,,21.89,15.38,29.52
1982-02-23,1574.20,157723.00,2908.86,,23.23,18.74,29.10
1982-02-24,1369.24,158140.00,2909.05,,24.98,19.72,34.29
1982-02-25,948.52,157066.00,2908.56,,28.12,21.40,36.67
1982-02-26,966.30,156059.00,2908.10,,29.83,24.76,34.84
1982-02-27,852.92,154841.00,2907.54,,29.90,20.56,41.84
1982-02-28,959.80,153833.00,2906.97,,29.93,20.98,39.60
1982-03-01,972.99,154190.00,2907.24,,32.54,23.64,42.40
1982-03-02,638.62,155058.00,2907.64,,30.48,24.34,40.72
1982-03-03,585.09,155080.00,2907.65,,29.70,25.04,35.68
1982-03-04,594.68,155123.00,2907.67,,31.89,22.66,40.44
1982-03-05,543.00,155123.00,2907.67,,28.31,19.57,43.80
1982-03-06,432.48,154999.00,2907.55,,30.57,20.70,47.31
1982-03-07,568.61,155145.00,2907.68,,31.20,21.40,49.13
1982-03-08,465.14,155058.00,2907.64,,32.30,21.82,44.36
1982-03-09,469.42,154918.00,2907.50,,39.98,32.32,45.07
1982-03-10,630.77,155102.00,2907.66,,38.84,28.82,48.99
1982-03-11,824.35,155666.00,2907.92,,27.96,24.62,38.76
1982-03-12,647.39,155879.00,2907.94,,32.29,26.16,37.92
1982-03-13,817.30,156431.00,2908.27,,33.54,27.00,42.96
1982-03-14,606.05,156562.00,2908.33,,31.58,27.42,38.06
1982-03-15,306.56,156097.00,2908.06,,28.65,21.68,35.40
1982-03-16,552.11,155883.00,2908.02,,26.55,15.23,38.90
1982-03-17,501.19,155449.00,2907.82,,29.02,18.59,37.92
1982-03-18,505.19,155015.00,2907.62,,30.34,19.57,42.96
1982-03-19,515.32,154611.00,2907.71,,32.77,27.98,39.32
1982-03-20,431.11,154038.00,2907.17,,33.04,23.22,42.96
1982-03-21,447.25,153497.00,2906.92,,33.85,24.06,53.33
1982-03-22,504.23,153432.00,2906.81,,35.08,22.94,54.73
1982-03-23,541.67,153713.00,2907.02,,38.41,23.36,54.45
1982-03-24,386.57,153730.00,2906.94,,33.49,22.80,48.99
1982-03-25,414.15,154125.00,2907.21,,36.19,20.70,56.69
1982-03-26,547.62,154993.00,2907.61,,37.27,30.36,45.77
1982-03-27,317.22,155406.00,2907.80,,32.17,24.62,39.32
1982-03-28,312.18,155809.00,2907.93,,29.79,23.50,36.80
1982-03-29,433.68,156453.00,2908.28,,26.71,19.01,40.44
1982-03-30,200.25,156634.00,2908.28,,28.72,20.14,40.86
1982-03-31,381.75,157175.00,2908.61,,27.08,20.56,33.16
1982-04-01,363.10,157679.00,2908.84,,26.70,14.95,36.38
1982-04-02,427.13,158310.00,2908.84,,28.66,26.44,31.62
1982-04-03,431.67,158950.00,2908.84,,32.08,25.32,36.80
1982-04-04,431.67,159590.00,2908.84,,32.31,27.28,39.74
1982-04-05,442.76,160252.00,2910.01,,31.36,21.68,38.48
1982-04-06,344.94,160718.00,2910.22,,30.19,22.24,37.22
1982-04-07,287.47,161070.00,2910.11,,26.42,17.61,44.08
1982-04-08,290.49,161428.00,2910.54,,31.43,16.21,43.80
1982-04-09,309.15,161823.00,2910.66,,35.91,21.82,55.29
1982-04-10,437.20,162472.00,2911.01,,39.15,21.68,57.25
1982-04-11,469.47,163185.00,2911.33,,39.73,34.84,46.19
1982-04-12,298.56,163559.00,2911.44,,37.22,33.16,41.28
1982-04-13,427.63,164189.00,2911.78,,32.69,26.86,38.20
1982-04-14,676.18,165312.00,2912.28,,28.48,25.18,36.38
1982-04-15,543.08,166171.00,2912.66,,31.61,26.58,38.62
