date,fb,mm,mx,mn,af
1982-01-01,5303.99,,20.95,-0.19,79804.14
1982-01-02,5304.12,,18.28,-2.55,80108.30
1982-01-03,5304.25,,21.27,10.73,80413.71
1982-01-04,5304.37,,26.69,-2.32,80697.19
1982-01-05,5304.43,,12.86,-14.11,80839.30
1982-01-06,5304.47,,11.68,-19.77,80934.19
1982-01-07,5304.56,,11.21,-21.11,81147.50
1982-01-08,5304.65,,22.45,1.93,81361.37
1982-01-09,5304.72,,31.33,16.00,81529.06
1982-01-10,5304.78,,26.77,10.50,81671.48
1982-01-11,5304.87,,27.17,12.62,81887.98
1982-01-12,5304.94,,28.27,12.70,82055.59
1982-01-13,5305.02,,29.45,19.22,82245.65
1982-01-14,5305.10,,30.55,22.37,82428.13
1982-01-15,5305.17,,31.17,24.18,82587.55
1982-01-16,5305.27,,32.83,24.10,82816.75
1982-01-17,5305.36,,33.22,24.26,83022.83
1982-01-18,5305.43,,28.50,20.17,83184.59
1982-01-19,5305.52,,23.31,13.41,83391.74
1982-01-20,5305.57,,22.68,-1.53,83506.73
1982-01-21,5305.64,,21.35,-5.38,83669.36
1982-01-22,5305.72,,19.85,7.90,83855.09
1982-01-23,5305.86,,32.04,15.92,84179.75
1982-01-24,5305.92,,34.71,12.23,84319.80
1982-01-25,5305.99,,24.02,10.26,84484.08
1982-01-26,5306.11,,32.35,15.21,84764.28
1982-01-27,5306.16,,28.19,14.82,84882.30
1982-01-28,5306.21,,28.82,5.62,84999.36
1982-01-29,5306.28,,28.58,-8.53,85163.91
1982-01-30,5306.36,,26.14,11.83,85352.79
1982-01-31,5306.41,,29.52,15.53,85471.72
1982-02-01,5306.47,,26.93,9.71,85613.91
1982-02-02,5306.55,,29.45,14.43,85802.64
1982-02-03,5306.58,,26.46,-1.61,85874.60
1982-02-04,5306.63,,15.37,-18.28,85993.10
1982-02-05,5306.67,,15.45,-31.72,86088.45
1982-02-06,5306.75,,17.73,-25.75,86279.47
1982-02-07,5306.79,,20.80,-9.16,86375.13
1982-02-08,5306.86,,17.73,-26.22,86542.18
1982-02-09,5306.93,,18.12,-11.59,86710.71
1982-02-10,5306.96,,21.27,-26.06,86782.27
1982-02-11,5307.05,,30.00,-18.36,86998.30
1982-02-12,5307.12,,36.13,-6.56,87167.72
1982-02-13,5307.27,,31.10,15.84,87530.17
1982-02-14,5307.45,,34.32,30.39,87967.75
1982-02-15,5307.57,,35.66,31.57,88259.59
1982-02-16,5307.75,,36.13,31.33,88700.73
1982-02-17,5307.85,,35.42,29.84,88946.82
1982-02-18,5307.95,,36.60,27.72,89193.58
1982-02-19,5308.05,,43.91,30.23,89439.83
1982-02-20,5308.16,,39.98,31.10,89713.45
1982-02-21,5308.32,,38.96,31.80,90110.72
1982-02-22,5308.43,,33.93,10.73,90386.39
1982-02-23,5308.54,,25.75,0.36,90661.70
1982-02-24,5308.68,,25.75,-10.26,91013.94
1982-02-25,5308.80,,39.35,-7.11,91315.80
1982-02-26,5308.92,,43.36,7.35,91619.97
1982-02-27,5309.00,,38.80,18.05,91823.17
1982-02-28,5309.12,,46.03,6.72,92128.95
1982-03-01,5309.33,,37.39,30.23,92665.93
1982-03-02,5309.47,,33.61,24.33,93025.95
1982-03-03,5309.56,,34.24,21.90,93257.61
1982-03-04,5309.69,,35.66,17.42,93593.42
1982-03-05,5309.77,,34.48,0.36,93801.17
1982-03-06,5309.88,,35.66,2.79,94086.70
1982-03-07,5309.96,,43.68,21.27,94295.55
1982-03-08,5310.09,,33.61,11.83,94622.38
1982-03-09,5310.16,,39.27,30.78,94796.60
1982-03-10,5310.29,,46.27,28.58,95119.54
1982-03-11,5310.44,,37.70,17.49,95493.38
1982-03-12,5310.51,,32.28,17.10,95668.11
1982-03-13,5310.61,,41.55,13.41,95919.16
1982-03-14,5310.73,,36.60,30.39,96221.23
1982-03-15,5310.81,,33.69,13.80,96423.05
1982-03-16,5310.90,,32.67,3.34,96650.08
1982-03-17,5310.98,,38.33,4.92,96852.88
1982-03-18,5311.09,,35.58,24.26,97131.95
1982-03-19,5311.16,,29.92,17.42,97310.80
1982-03-20,5311.25,,33.53,11.21,97539.93
1982-03-21,5311.33,,34.01,11.36,97744.60
1982-03-22,5311.41,,39.51,19.38,97949.70
1982-03-23,5311.49,,42.18,8.37,98155.24
1982-03-24,5311.57,,46.19,10.81,98359.99
1982-03-25,5311.67,,50.83,10.73,98618.01
1982-03-26,5311.76,,45.09,26.93,98850.20
1982-03-27,5311.85,,41.16,28.66,99084.18
1982-03-28,5311.95,,40.84,25.59,99344.19
1982-03-29,5312.01,,30.23,12.23,99499.21
1982-03-30,5312.14,,30.55,11.83,99839.30
1982-03-31,5312.33,,35.03,24.49,100336.90
1982-04-01,5312.41,,32.04,8.45,100547.54
1982-04-02,5312.56,,29.84,6.02,100942.70
1982-04-03,5312.67,,35.11,25.44,101233.55
1982-04-04,5312.76,,30.70,15.69,101471.82
1982-04-05,5312.85,,31.73,16.16,101712.09
1982-04-06,5312.94,,31.96,11.05,101951.58
1982-04-07,5312.99,,36.05,10.89,102085.84
1982-04-08,5313.09,,38.57,0.91,102352.36
1982-04-09,5313.15,,42.02,16.08,102513.45
1982-04-10,5313.27,,47.76,6.96,102836.19
1982-04-11,5313.48,,45.64,30.86,103403.03
1982-04-12,5313.66,,40.14,30.39,103891.73
1982-04-13,5313.83,,43.52,30.55,104354.86
1982-04-14,5314.03,,34.63,25.20,104901.86
1982-04-15,5314.16,,33.45,13.33,105260.52
1982-04-16,5314.27,,38.72,8.30,105563.62
1982-04-17,5314.39,,41.00,9.63,105895.96
1982-04-18,5314.50,,30.47,14.35,106201.09
1982-04-19,5314.57,,33.53,8.14,106395.21
1982-04-20,5314.72,,40.53,4.05,106814.99
1982-04-21,5314.83,,52.95,10.18,107122.56
1982-04-22,5314.96,,58.06,16.00,107487.38
1982-04-23,5315.12,,58.93,18.12,107912.51
1982-04-24,5315.33,,53.03,21.35,108460.67
1982-04-25,5315.55,,52.01,19.77,109037.41
1982-04-26,5315.80,,51.62,22.21,109697.21
1982-04-27,5316.08,,55.94,23.39,110441.77
1982-04-28,5316.41,,44.07,24.89,111325.06
1982-04-29,5316.71,,46.51,22.13,112133.48
1982-04-30,5317.04,,57.04,14.59,113030.30
1982-05-01,5317.41,,64.12,23.31,114044.43
1982-05-02,5317.87,,62.86,25.20,115317.46
1982-05-03,5318.38,,48.79,24.26,116745.02
1982-05-04,5318.86,,39.04,15.45,118105.17
1982-05-05,5319.32,,46.58,11.76,119423.54
1982-05-06,5319.77,,54.60,19.77,120728.17
1982-05-07,5320.25,,48.39,24.81,122073.37
1982-05-08,5320.72,,43.44,25.83,123349.89
1982-05-09,5321.15,,44.38,22.61,124528.07
1982-05-10,5321.56,,46.27,28.58,125663.33
1982-05-11,5322.03,,49.41,26.85,126976.05
1982-05-12,5322.48,,52.17,24.49,128246.95
1982-05-13,5322.97,,58.30,23.08,129645.51
1982-05-14,5323.54,,60.74,28.34,131290.25
1982-05-15,5324.19,,56.02,29.52,133191.52
1982-05-16,5325.04,,61.60,31.49,135710.38
1982-05-17,5325.92,,64.27,26.61,138158.50
1982-05-18,5326.77,,45.56,32.20,140565.50
1982-05-19,5327.55,,52.72,26.77,142810.41
1982-05-20,5328.33,,59.87,23.23,145092.55
1982-05-21,5329.13,,65.92,26.22,147469.66
1982-05-22,5330.03,,63.64,32.75,150184.03
1982-05-23,5330.94,,61.29,27.56,152777.08
1982-05-24,5331.91,,68.76,27.24,155590.34
1982-05-25,5332.99,,73.47,28.19,158783.52
1982-05-26,5334.14,,56.80,32.28,162254.83
1982-05-27,5334.99,,48.31,26.14,164869.88
1982-05-28,5335.43,,44.70,29.76,166195.30
1982-05-29,5335.75,,46.27,26.22,167165.09
1982-05-30,5335.86,,49.81,26.22,167499.42
1982-05-31,5335.94,,60.89,26.06,167743.52
1982-06-01,5335.99,,59.16,31.88,167897.16
1982-06-02,5336.04,,55.39,36.36,168049.34
1982-06-03,5336.09,,53.74,27.56,168201.67
1982-06-04,5336.11,,46.98,34.08,168262.80
1982-06-05,5336.10,,44.85,31.73,168232.95
1982-06-06,5336.06,,50.36,28.74,168110.42
1982-06-07,5336.01,,46.51,30.47,167956.73
1982-06-08,5335.98,,56.41,25.51,167865.78
1982-06-09,5335.97,,59.56,26.38,167836.02
1982-06-10,5336.01,,67.18,28.19,167956.73
1982-06-11,5336.10,,71.74,29.13,168232.95
