date,id,fb,qd,mm,mx,mn,af
1982-01-01,541.69,6295.03,,,,,79729.36
1982-01-02,665.77,6295.21,,,,,80782.13
1982-01-03,402.24,6295.30,,,,,81312.20
1982-01-04,405.53,6295.39,,,,,81848.78
1982-01-05,379.31,6295.47,,,,,82327.42
1982-01-06,532.33,6295.60,,,,,83109.57
1982-01-07,351.62,6295.67,,,,,83533.27
1982-01-08,414.34,6295.76,,,,,84081.38
1982-01-09,729.87,6295.95,,,,,85255.34
1982-01-10,323.47,6296.01,,,,,85623.22
1982-01-11,289.31,6296.06,,,,,85923.34
1982-01-12,531.21,6296.19,,,,,86703.27
1982-01-13,350.92,6296.26,,,,,87125.59
1982-01-14,538.27,6296.39,,,,,87919.52
1982-01-15,447.76,6296.49,,,,,88533.91
1982-01-16,511.08,6296.61,,,,,89273.91
1982-01-17,515.72,6296.73,,,,,90023.11
1982-01-18,422.61,6296.82,,,,,90587.63
1982-01-19,393.16,6296.90,,,,,91093.74
1982-01-20,541.42,6297.02,,,,,91858.20
1982-01-21,474.78,6297.10,,,,,92371.49
1982-01-22,479.19,6297.18,,,,,92887.57
1982-01-23,676.27,6297.32,,,,,93794.55
1982-01-24,483.20,6297.40,,,,,94318.58
1982-01-25,351.60,6297.44,,,,,94581.59
1982-01-26,518.08,6297.53,,,,,95174.80
1982-01-27,320.15,6297.56,,,,,95375.42
1982-01-28,487.70,6297.64,,,,,95908.37
1982-01-29,522.17,6297.73,,,,,96509.70
1982-01-30,354.74,6297.77,,,,,96778.93
1982-01-31,423.33,6297.83,,,,,97184.21
1982-02-01,424.19,6297.89,,,,,97591.20
1982-02-02,389.77,6297.94,,,,,97929.91
1982-02-03,389.06,6297.99,,,,,98273.16
1982-02-04,413.24,6298.05,,,,,98664.38
1982-02-05,381.65,6298.10,,,,,98992.94
1982-02-06,216.00,6298.10,,,,,98992.94
1982-02-07,544.27,6298.20,,,,,99650.01
1982-02-08,509.29,6298.29,,,,,100243.64
1982-02-09,282.00,6298.29,,,,,100243.64
1982-02-10,535.05,6298.35,,,,,100642.41
1982-02-11,438.03,6298.38,,,,,100840.81
1982-02-12,372.49,6298.39,,,,,100909.21
1982-02-13,370.86,6298.40,,,,,100974.38
1982-02-14,575.13,6298.47,,,,,101444.73
1982-02-15,502.70,6298.52,,,,,101779.34
1982-02-16,469.93,6298.56,,,,,102048.95
1982-02-17,504.03,6298.63,,,,,102521.08
