date,id,qu,fb,af,qv,qd
1982-01-01,,,2481.65,,,1470.00
1982-01-02,,,2481.35,,,1420.00
1982-01-03,,,2481.77,,,1330.00
1982-01-04,,,2481.85,,,1500.00
1982-01-05,,,2481.50,,,1430.00
1982-01-06,,,2481.50,,,1240.00
1982-01-07,,,2481.63,,,1150.00
1982-01-08,,,2481.91,,,1140.00
1982-01-09,,,2482.42,,,1460.00
1982-01-10,,,2481.64,,,1450.00
1982-01-11,,,2481.52,,,1270.00
1982-01-12,,,2483.94,,,900.00
1982-01-13,,,2482.98,,,1420.00
1982-01-14,,,2482.64,,,1390.00
1982-01-15,,,2481.98,,,1440.00
1982-01-16,,,2481.62,,,1410.00
1982-01-17,,,2482.11,,,1400.00
1982-01-18,,,2483.42,,,1280.00
1982-01-19,,,2484.49,,,1200.00
1982-01-20,,,2483.56,,,1360.00
1982-01-21,,,2482.02,,,1410.00
1982-01-22,,,2481.10,,,1300.00
1982-01-23,,,2481.59,,,1170.00
1982-01-24,,,2482.90,,,1120.00
1982-01-25,,,2483.35,,,1420.00
1982-01-26,,,2483.90,,,1510.00
1982-01-27,,,2484.20,,,2090.00
1982-01-28,,,2485.30,,,1940.00
1982-01-29,,,2486.50,,,1930.00
1982-01-30,,,2489.30,,,1870.00
1982-01-31,,,2490.50,,,2560.00
1982-02-01,,,2489.50,,,2930.00
1982-02-02,,,2488.11,,,3170.00
1982-02-03,,,2487.50,,,3080.00
1982-02-04,,,2487.48,,,3040.00
1982-02-05,,,2487.44,,,2120.00
1982-02-06,,,2486.69,,,1140.00
1982-02-07,,,2487.53,,,1940.00
1982-02-08,,,2487.50,,,1940.00
1982-02-09,,,2487.50,,,2800.00
1982-02-10,,,2487.50,,,2680.00
1982-02-11,,,2487.50,,,2740.00
1982-02-12,,,2487.50,,,2890.00
1982-02-13,,,2487.50,,,3140.00
1982-02-14,,,2487.50,,,4430.00
1982-02-15,,,2488.31,,,8290.00
1982-02-16,,,2489.40,,,11600.00
1982-02-17,,,2489.05,,,11200.00
1982-02-18,,,2488.38,,,9530.00
1982-02-19,,,2490.00,,,8740.00
1982-02-20,,,2490.00,,,9490.00
1982-02-21,,,2490.35,,,10800.00
1982-02-22,,,2491.45,,,13000.00
1982-02-23,,,2492.02,,,10100.00
1982-02-24,,,2492.02,,,7010.00
1982-02-25,,,2492.12,,,5730.00
1982-02-26,,,2492.10,,,5140.00
1982-02-27,,,2492.10,,,4650.00
1982-02-28,,,2492.10,,,4230.00
1982-03-01,,,2492.00,,,4130.00
1982-03-02,,,2492.00,,,5380.00
1982-03-03,,,2492.00,,,6050.00
1982-03-04,,,2492.00,,,7190.00
1982-03-05,,,2492.00,,,6770.00
1982-03-06,,,2492.00,,,6450.00
1982-03-07,,,2492.00,,,6270.00
1982-03-08,,,2492.00,,,6200.00
1982-03-09,,,2492.00,,,6120.00
1982-03-10,,,2492.00,,,6170.00
1982-03-11,,,2492.75,,,6500.00
1982-03-12,,,2494.00,,,6720.00
1982-03-13,,,2495.00,,,6450.00
1982-03-14,,,2495.00,,,6580.00
1982-03-15,,,2495.00,,,6880.00
1982-03-16,,,2495.00,,,6480.00
1982-03-17,,,2495.00,,,6240.00
1982-03-18,,,2495.00,,,6120.00
1982-03-19,,,2495.00,,,5980.00
1982-03-20,,,2495.00,,,5780.00
1982-03-21,,,2495.00,,,5610.00
1982-03-22,,,2495.00,,,5450.00
1982-03-23,,,2495.00,,,5370.00
1982-03-24,,,2495.00,,,5400.00
1982-03-25,,,2495.00,,,5470.00
1982-03-26,,,2495.00,,,5920.00
1982-03-27,,,2495.00,,,6250.00
1982-03-28,,,2495.00,,,6380.00
1982-03-29,,,2495.00,,,6470.00
1982-03-30,,,2495.00,,,6220.00
1982-03-31,,,2495.00,,,6230.00
1982-04-01,,,2495.45,,,6110.00
1982-04-02,,,2496.02,,,5700.00
1982-04-03,,,2496.79,,,6060.00
1982-04-04,,,2497.10,,,6140.00
1982-04-05,,,2497.32,,,5670.00
1982-04-06,,,2497.50,,,5840.00
1982-04-07,,,2497.50,,,5680.00
1982-04-08,,,2497.50,,,5470.00
1982-04-09,,,2497.50,,,5350.00
1982-04-10,,,2497.50,,,5370.00
1982-04-11,,,2497.50,,,6490.00
1982-04-12,,,2497.50,,,10300.00
1982-04-13,,,2497.50,,,10900.00
1982-04-14,,,2497.50,,,11100.00
1982-04-15,,,2497.50,,,10500.00
1982-04-16,,,2497.50,,,8980.00
1982-04-17,,,2497.50,,,8280.00
1982-04-18,,,2497.50,,,7890.00
1982-04-19,,,2497.50,,,7250.00
1982-04-20,,,2497.50,,,6800.00
1982-04-21,,,2497.50,,,6730.00
1982-04-22,,,2497.50,,,7020.00
1982-04-23,,,2497.50,,,7770.00
1982-04-24,,,2497.50,,,8990.00
1982-04-25,,,2497.50,,,9680.00
1982-04-26,,,2497.50,,,9850.00
1982-04-27,,,2497.50,,,9760.00
1982-04-28,,,2497.50,,,10200.00
1982-04-29,,,2497.50,,,10300.00
1982-04-30,,,2497.50,,,9780.00
1982-05-01,,,2497.50,,,9840.00
1982-05-02,,,2497.50,,,10800.00
1982-05-03,,,2497.50,,,12500.00
