date,qu,fb,mm,mx,mn,qd,af
1982-01-01,,,,,,,932.00
1982-01-02,,,,,,,932.00
1982-01-03,,,,,,,932.00
1982-01-04,,,,,,,932.00
1982-01-05,,,,,,,932.00
1982-01-06,,,,,,,932.00
1982-01-07,,,,,,,932.00
1982-01-08,,,,,,,932.00
1982-01-09,,,,,,,932.00
1982-01-10,,,,,,,932.00
1982-01-11,,,,,,,932.00
1982-01-12,,,,,,,932.00
1982-01-13,,,,,,,932.00
1982-01-14,,,,,,,932.00
1982-01-15,,,,,,,932.00
1982-01-16,,,,,,,932.00
1982-01-17,,,,,,,932.00
1982-01-18,,,,,,,932.00
1982-01-19,,,,,,,932.00
1982-01-20,,,,,,,932.00
1982-01-21,,,,,,,932.00
1982-01-22,,,,,,,932.00
1982-01-23,,,,,,,932.00
1982-01-24,,,,,,,932.00
1982-01-25,,,,,,,932.00
1982-01-26,,,,,,,932.00
1982-01-27,,,,,,,932.00
1982-01-28,,,,,,,932.00
1982-01-29,,,,,,,932.00
1982-01-30,,,,,,,932.00
1982-01-31,,,,,,,932.00
1982-02-01,,,,,,,932.00
1982-02-02,,,,,,,932.00
1982-02-03,,,,,,,932.00
1982-02-04,,,,,,,932.00
1982-02-05,,,,,,,932.00
1982-02-06,,,,,,,932.00
1982-02-07,,,,,,,932.00
1982-02-08,,,,,,,932.00
1982-02-09,,,,,,,932.00
1982-02-10,,,,,,,932.00
1982-02-11,,,,,,,932.00
1982-02-12,,,,,,,932.00
1982-02-13,,,,,,,932.00
1982-02-14,,,,,,,932.00
1982-02-15,,,,,,,932.00
1982-02-16,,,,,,,932.00
1982-02-17,,,,,,,932.00
1982-02-18,,,,,,,932.00
1982-02-19,,,,,,,932.00
1982-02-20,,,,,,,932.00
1982-02-21,,,,,,,932.00
1982-02-22,,,,,,,932.00
1982-02-23,,,,,,,932.00
1982-02-24,,,,,,,932.00
1982-02-25,,,,,,,932.00
1982-02-26,,,,,,,1008.00
1982-02-27,,,,,,,1008.00
1982-02-28,,,,,,,1008.00
1982-03-01,,,,,,,1008.00
1982-03-02,,,,,,,1008.00
1982-03-03,,,,,,,1008.00
1982-03-04,,,,,,,1008.00
1982-03-05,,,,,,,1234.00
1982-03-06,,,,,,,1234.00
1982-03-07,,,,,,,1234.00
1982-03-08,,,,,,,1234.00
1982-03-09,,,,,,,1234.00
1982-03-10,,,,,,,1234.00
1982-03-11,,,,,,,1234.00
1982-03-12,,,,,,,1316.00
1982-03-13,,,,,,,1316.00
1982-03-14,,,,,,,1316.00
1982-03-15,,,,,,,1316.00
1982-03-16,,,,,,,1316.00
1982-03-17,,,,,,,1316.00
1982-03-18,,,,,,,1316.00
1982-03-19,,,,,,,1428.00
1982-03-20,,,,,,,1428.00
1982-03-21,,,,,,,1428.00
1982-03-22,,,,,,,1428.00
1982-03-23,,,,,,,1428.00
1982-03-24,,,,,,,1428.00
1982-03-25,,,,,,,1428.00
1982-03-26,,,,,,,1428.00
1982-03-27,,,,,,,1428.00
1982-03-28,,,,,,,1428.00
1982-03-29,,,,,,,1428.00
1982-03-30,,,,,,,1428.00
1982-03-31,,,,,,,1565.00
1982-04-01,,,,,,,1565.00
1982-04-02,,,,,,,1565.00
1982-04-03,,,,,,,1565.00
1982-04-04,,,,,,,1565.00
1982-04-05,,,,,,,1565.00
1982-04-06,,,,,,,1565.00
1982-04-07,,,,,,,1565.00
1982-04-08,,,,,,,1565.00
1982-04-09,,,,,,,1565.00
1982-04-10,,,,,,,1565.00
1982-04-11,,,,,,,1565.00
1982-04-12,,,,,,,1565.00
1982-04-13,,,,,,,1565.00
1982-04-14,,,,,,,1565.00
1982-04-15,,,,,,,1565.00
1982-04-16,,,,,,,1873.00
1982-04-17,,,,,,,1873.00
1982-04-18,,,,,,,1873.00
1982-04-19,,,,,,,1873.00
1982-04-20,,,,,,,1873.00
1982-04-21,,,,,,,1873.00
1982-04-22,,,,,,,1873.00
1982-04-23,,,,,,,2068.00
1982-04-24,,,,,,,2068.00
1982-04-25,,,,,,,2068.00
1982-04-26,,,,,,,2309.00
1982-04-27,,,,,,,2357.00
1982-04-28,,,,,,,2357.00
1982-04-29,,,,,,,2357.00
1982-04-30,,,,,,,2309.00
1982-05-01,,,,,,,2309.00
1982-05-02,,,,,,,2309.00
1982-05-03,,,,,,,2309.00
1982-05-04,,,,,,,2333.00
1982-05-05,,,,,,,2297.00
1982-05-06,,,,,,,2250.00
1982-05-07,,,,,,,2285.00
1982-05-08,,,,,,,2285.00
1982-05-09,,,,,,,2285.00
1982-05-10,,,,,,,2181.00
1982-05-11,,,,,,,2181.00
1982-05-12,,,,,,,2255.00
1982-05-13,,,,,,,2255.00
1982-05-14,,,,,,,2285.00
1982-05-15,,,,,,,2285.00
1982-05-16,,,,,,,2285.00
1982-05-17,,,,,,,2269.33
1982-05-18,,,,,,,2253.67
1982-05-19,,,,,,,2238.00
1982-05-20,,,,,,,2146.00
1982-05-21,,,,,,,2169.00
1982-05-22,,,,,,,2169.00
1982-05-23,,,,,,,2169.00
1982-05-24,,,,,,,2124.00
1982-05-25,,,,,,,2101.00
1982-05-26,,,,,,,2101.00
1982-05-27,,,,,,,2056.00
1982-05-28,,,,,,,2079.00
1982-05-29,,,,,,,2079.00
1982-05-30,,,,,,,2079.00
1982-05-31,,,,,,,2079.00
1982-06-01,,,,,,,2090.00
1982-06-02,,,,,,,2090.00
1982-06-03,,,,,,,2090.00
1982-06-04,,,,,,,2124.00
1982-06-05,,,,,,,2124.00
1982-06-06,,,,,,,2124.00
1982-06-07,,,,,,,2124.00
1982-06-08,,,,,,,2124.00
1982-06-09,,,,,,,2146.00
1982-06-10,,,,,,,2157.00
1982-06-11,,,,,,,2157.00
1982-06-12,,,,,,,2157.00
1982-06-13,,,,,,,2157.00
1982-06-14,,,,,,,2157.00
1982-06-15,,,,,,,2157.00
1982-06-16,,,,,,,2157.00
1982-06-17,,,,,,,2157.00
1982-06-18,,,,,,,2146.00
1982-06-19,,,,,,,2146.00
1982-06-20,,,,,,,2146.00
1982-06-21,,,,,,,2146.00
1982-06-22,,,,,,,2146.00
1982-06-23,,,,,,,2146.00
1982-06-24,,,,,,,2146.00
1982-06-25,,,,,,,2135.00
1982-06-26,,,,,,,2135.00
1982-06-27,,,,,,,2135.00
1982-06-28,,,,,,,2101.00
1982-06-29,,,,,,,2101.00
1982-06-30,,,,,,,2056.00
1982-07-01,,,,,,,2056.00
1982-07-02,,,,,,,2056.00
1982-07-03,,,,,,,2056.00
1982-07-04,,,,,,,2056.00
1982-07-05,,,,,,,2056.00
1982-07-06,,,,,,,1947.00
1982-07-07,,,,,,,1947.00
1982-07-08,,,,,,,1947.00
1982-07-09,,,,,,,1947.00
1982-07-10,,,,,,,1947.00
1982-07-11,,,,,,,1947.00
1982-07-12,,,,,,,1821.00
1982-07-13,,,,,,,1821.00
1982-07-14,,,,,,,1821.00
1982-07-15,,,,,,,1821.00
1982-07-16,,,,,,,1821.00
1982-07-17,,,,,,,1821.00
1982-07-18,,,,,,,1821.00
1982-07-19,,,,,,,1821.00
1982-07-20,,,,,,,1760.00
1982-07-21,,,,,,,1760.00
1982-07-22,,,,,,,1760.00
1982-07-23,,,,,,,1760.00
1982-07-24,,,,,,,1760.00
1982-07-25,,,,,,,1760.00
1982-07-26,,,,,,,1760.00
1982-07-27,,,,,,,1732.14
1982-07-28,,,,,,,1704.29
1982-07-29,,,,,,,1676.43
1982-07-30,,,,,,,1648.57
1982-07-31,,,,,,,1620.71
1982-08-01,,,,,,,1592.86
1982-08-02,,,,,,,1565.00
1982-08-03,,,,,,,1565.00
1982-08-04,,,,,,,1546.00
1982-08-05,,,,,,,1527.00
1982-08-06,,,,,,,1527.00
1982-08-07,,,,,,,1527.00
1982-08-08,,,,,,,1527.00
1982-08-09,,,,,,,1527.00
1982-08-10,,,,,,,1527.00
1982-08-11,,,,,,,1419.00
1982-08-12,,,,,,,1419.00
1982-08-13,,,,,,,1419.00
1982-08-14,,,,,,,1419.00
1982-08-15,,,,,,,1419.00
1982-08-16,,,,,,,1384.00
1982-08-17,,,,,,,1384.00
1982-08-18,,,,,,,1384.00
1982-08-19,,,,,,,1384.00
1982-08-20,,,,,,,1384.00
1982-08-21,,,,,,,1384.00
1982-08-22,,,,,,,1384.00
1982-08-23,,,,,,,1072.00
1982-08-24,,,,,,,1029.00
1982-08-25,,,,,,,1029.00
1982-08-26,,,,,,,1029.00
1982-08-27,,,,,,,1029.00
1982-08-28,,,,,,,1029.00
1982-08-29,,,,,,,1029.00
1982-08-30,,,,,,,835.00
1982-08-31,,,,,,,804.00
1982-09-01,,,,,,,804.00
1982-09-02,,,,,,,738.00
1982-09-03,,,,,,,738.00
1982-09-04,,,,,,,738.00
1982-09-05,,,,,,,738.00
1982-09-06,,,,,,,738.00
1982-09-07,,,,,,,579.00
1982-09-08,,,,,,,579.00
1982-09-09,,,,,,,579.00
1982-09-10,,,,,,,579.00
1982-09-11,,,,,,,579.00
1982-09-12,,,,,,,579.00
1982-09-13,,,,,,,579.00
1982-09-14,,,,,,,351.00
1982-09-15,,,,,,,351.00
1982-09-16,,,,,,,351.00
1982-09-17,,,,,,,351.00
