date,qu,gain,qd
1982-05-30,26313.17,2000.00,17900.00
1982-05-31,22278.28,1800.00,17700.00
1982-06-01,21939.50,1600.00,18000.00
1982-06-02,22987.97,1800.00,18600.00
1982-06-03,22427.94,1800.00,18600.00
1982-06-04,22983.08,1900.00,18700.00
1982-06-05,23073.63,1900.00,18700.00
1982-06-06,22867.65,1900.00,18700.00
1982-06-07,21386.15,2200.00,18200.00
1982-06-08,21385.90,2300.00,16600.00
1982-06-09,19252.11,1600.00,15000.00
1982-06-10,18454.42,1800.00,14900.00
1982-06-11,18323.23,1800.00,13700.00
1982-06-12,20361.29,1600.00,13000.00
1982-06-13,23258.17,1800.00,13200.00
1982-06-14,28581.84,1800.00,13200.00
1982-06-15,29575.03,1700.00,13200.00
1982-06-16,31433.82,1800.00,13300.00
1982-06-17,32897.77,1900.00,13300.00
1982-06-18,34669.37,1900.00,13300.00
1982-06-19,35763.46,1800.00,13200.00
1982-06-20,33428.58,1800.00,13200.00
1982-06-21,36599.17,1700.00,13100.00
1982-06-22,37727.55,1700.00,13100.00
1982-06-23,37649.88,1700.00,13100.00
1982-06-24,37523.59,1400.00,13800.00
1982-06-25,40313.56,1600.00,14100.00
1982-06-26,38056.96,1300.00,15000.00
1982-06-27,38120.10,1500.00,15300.00
1982-06-28,38204.14,1200.00,15800.00
1982-06-29,38781.13,1300.00,16400.00
1982-06-30,39567.36,900.00,17700.00
1982-07-01,37584.73,1300.00,18500.00
1982-07-02,35560.06,1000.00,18700.00
1982-07-03,32327.92,1300.00,18900.00
1982-07-04,29536.12,1100.00,18300.00
1982-07-05,28725.26,1100.00,18300.00
1982-07-06,26868.15,500.00,18600.00
1982-07-07,23634.71,800.00,19700.00
1982-07-08,23471.30,1400.00,19400.00
1982-07-09,25467.25,1000.00,18200.00
1982-07-10,26112.09,800.00,18100.00
1982-07-11,23676.81,500.00,18800.00
1982-07-12,23554.36,800.00,19700.00
1982-07-13,22939.42,500.00,19800.00
1982-07-14,22542.36,700.00,20400.00
1982-07-15,22116.63,500.00,20600.00
1982-07-16,21984.37,800.00,21300.00
1982-07-17,21267.55,800.00,21300.00
1982-07-18,20316.02,900.00,21300.00
1982-07-19,19104.13,1900.00,19500.00
1982-07-20,17670.91,700.00,17500.00
1982-07-21,17391.22,1100.00,17800.00
1982-07-22,16919.21,1000.00,17000.00
1982-07-23,16783.31,900.00,16700.00
1982-07-24,18198.26,700.00,16700.00
1982-07-25,17225.16,700.00,17100.00
1982-07-26,16911.84,800.00,17400.00
1982-07-27,15762.92,1000.00,17300.00
1982-07-28,15891.93,1200.00,16400.00
1982-07-29,16298.05,900.00,15800.00
1982-07-30,15644.78,900.00,15800.00
1982-07-31,14649.68,1200.00,15600.00
1982-08-01,13928.84,1300.00,14500.00
1982-08-02,12528.50,1000.00,13300.00
1982-08-03,12745.40,900.00,13200.00
1982-08-04,11904.77,1100.00,12700.00
1982-08-05,11268.89,1300.00,11600.00
1982-08-06,10610.70,840.00,10700.00
1982-08-07,9932.34,920.00,10300.00
1982-08-08,9180.23,850.00,10200.00
1982-08-09,9689.04,960.00,10100.00
1982-08-10,10294.07,1060.00,9730.00
1982-08-11,9081.19,1040.00,9240.00
1982-08-12,8961.77,900.00,8910.00
1982-08-13,8457.16,850.00,8850.00
1982-08-14,8408.89,830.00,8830.00
1982-08-15,7693.81,810.00,8810.00
1982-08-16,8168.64,760.00,8760.00
1982-08-17,7662.66,740.00,8740.00
1982-08-18,7294.70,690.00,8700.00
1982-08-19,7633.82,680.00,8680.00
1982-08-20,7485.69,650.00,8650.00
1982-08-21,7084.44,630.00,8630.00
1982-08-22,6911.56,620.00,8610.00
1982-08-23,7078.27,710.00,8570.00
1982-08-24,6589.65,640.00,8330.00
1982-08-25,6625.51,790.00,8030.00
1982-08-26,6072.84,670.00,7880.00
1982-08-27,6410.22,700.00,7900.00
1982-08-28,6205.39,760.00,7980.00
1982-08-29,6186.47,850.00,8040.00
1982-08-30,6850.98,890.00,8090.00
1982-08-31,7526.99,1090.00,7720.00
1982-09-01,6459.88,860.00,7450.00
1982-09-02,6482.37,840.00,7440.00
1982-09-03,6382.86,800.00,7420.00
1982-09-04,5808.63,700.00,7570.00
1982-09-05,5731.24,760.00,7650.00
1982-09-06,5558.24,740.00,7650.00
1982-09-07,6070.68,750.00,7640.00
1982-09-08,5551.60,740.00,7630.00
