date,qt,qu,fb,mm,mx,mn,af,qj,qd
1982-01-01,,,2218.50,,,,23761.00,,
1982-01-02,,,2217.70,,,,23311.00,,
1982-01-03,,,2216.60,,,,22700.00,,
1982-01-04,,,2215.50,,,,22099.00,,
1982-01-05,,,2214.30,,,,21454.00,,
1982-01-06,,,2213.10,,,,20821.00,,
1982-01-07,,,2213.50,,,,21031.00,,
1982-01-08,,,2213.80,,,,21189.00,,
1982-01-09,,,2214.07,,,,21330.67,,
1982-01-10,,,2214.33,,,,21472.33,,
1982-01-11,,,2214.60,,,,21614.00,,
1982-01-12,,,2214.97,,,,21811.67,,
1982-01-13,,,2215.33,,,,22009.33,,
1982-01-14,,,2215.70,,,,22207.00,,
1982-01-15,,,2216.00,,,,22371.50,,
1982-01-16,,,2216.30,,,,22536.00,,
1982-01-17,,,2216.60,,,,22700.50,,
1982-01-18,,,2216.90,,,,22865.00,,
1982-01-19,,,2217.20,,,,23032.00,,
1982-01-20,,,2217.50,,,,23199.00,,
1982-01-21,,,2217.74,,,,23334.20,,
1982-01-22,,,2217.98,,,,23469.40,,
1982-01-23,,,2218.22,,,,23604.60,,
1982-01-24,,,2218.46,,,,23739.80,,
1982-01-25,,,2218.70,,,,23875.00,,
1982-01-26,,,2219.05,,,,24049.00,,
1982-01-27,,,2219.40,,,,24223.00,,
1982-01-28,,,2219.75,,,,24397.00,,
1982-01-29,,,2220.10,,,,24571.00,,
1982-01-30,,,2220.45,,,,24745.00,,
1982-01-31,,,2220.80,,,,24919.00,,
1982-02-01,,,2221.00,,,,25093.00,,
1982-02-02,,,2221.20,,,,25267.00,,
1982-02-03,,,2221.40,,,,25441.00,,
1982-02-04,,,2221.54,,,,25524.80,,
1982-02-05,,,2221.68,,,,25608.60,,
1982-02-06,,,2221.82,,,,25692.40,,
1982-02-07,,,2221.96,,,,25776.20,,
1982-02-08,,,2222.10,,,,25860.00,,
1982-02-09,,,2222.56,,,,26141.29,,
1982-02-10,,,2223.01,,,,26422.57,,
1982-02-11,,,2223.47,,,,26703.86,,
1982-02-12,,,2223.93,,,,26985.14,,
1982-02-13,,,2224.39,,,,27266.43,,
1982-02-14,,,2224.84,,,,27547.71,,
1982-02-15,,,2225.30,,,,27829.00,,
1982-02-16,,,2226.90,,,,28864.50,,
1982-02-17,,,2228.50,,,,29900.00,,
1982-02-18,,,2229.50,,,,30570.00,,
1982-02-19,,,2231.30,,,,31846.33,,
1982-02-20,,,2233.10,,,,33122.67,,
1982-02-21,,,2234.90,,,,34399.00,,
1982-02-22,,,2236.40,,,,35507.00,,
1982-02-23,,,2236.80,,,,35803.00,,
1982-02-24,,,2236.50,,,,35581.00,,
1982-02-25,,,2236.20,,,,35359.00,,
1982-02-26,,,2235.70,,,,34989.00,,
1982-02-27,,,2235.20,,,,34619.00,,
1982-02-28,,,2234.60,,,,34180.50,,
1982-03-01,,,2234.00,,,,33742.00,,
1982-03-02,,,2233.80,,,,33596.00,,
1982-03-03,,,2234.40,,,,34034.00,,
1982-03-04,,,2234.50,,,,34107.00,,
1982-03-05,,,2234.60,,,,34180.00,,
1982-03-06,,,2234.67,,,,34228.67,,
1982-03-07,,,2234.73,,,,34277.33,,
1982-03-08,,,2234.80,,,,34326.00,,
1982-03-09,,,2234.80,,,,34326.00,,
1982-03-10,,,2235.10,,,,34545.00,,
1982-03-11,,,2235.40,,,,34767.00,,
1982-03-12,,,2235.80,,,,35063.00,,
1982-03-13,,,2236.10,,,,35285.00,,
1982-03-14,,,2236.40,,,,35507.00,,
1982-03-15,,,2236.70,,,,35729.00,,
1982-03-16,,,2237.10,,,,36025.00,,
1982-03-17,,,2237.30,,,,36175.00,,
1982-03-18,,,2237.70,,,,36475.00,,
1982-03-19,,,2237.97,,,,36675.00,,
1982-03-20,,,2238.23,,,,36875.00,,
1982-03-21,,,2238.50,,,,37075.00,,
1982-03-22,,,2238.80,,,,37300.00,,
1982-03-23,,,2239.00,,,,37450.00,,
1982-03-24,,,2239.40,,,,37754.00,,
1982-03-25,,,2239.90,,,,38134.00,,
1982-03-26,,,2240.30,,,,38442.00,,
1982-03-27,,,2240.60,,,,38678.00,,
1982-03-28,,,2240.65,,,,38718.00,,
1982-03-29,,,2240.70,,,,38758.00,,
1982-03-30,,,2240.80,,,,38838.00,,
1982-03-31,,,2240.80,,,,38838.00,,
1982-04-01,,,2240.80,,,,38838.00,,
1982-04-02,,,2240.80,,,,38838.00,,
1982-04-03,,,2240.67,,,,38728.67,,
1982-04-04,,,2240.53,,,,38619.33,,
1982-04-05,,,2240.40,,,,38510.00,,
1982-04-06,,,2240.20,,,,38360.00,,
1982-04-07,,,2240.00,,,,38210.00,,
1982-04-08,,,2240.10,,,,38287.00,,
1982-04-09,,,2240.20,,,,38365.00,,
1982-04-10,,,2240.30,,,,38443.00,,
1982-04-11,,,2240.40,,,,38521.00,,
1982-04-12,,,2240.50,,,,38599.00,,
1982-04-13,,,2240.80,,,,38838.00,,
1982-04-14,,,2240.50,,,,38599.00,,
1982-04-15,,,2240.10,,,,38287.00,,
1982-04-16,,,2239.95,,,,38172.75,,
1982-04-17,,,2239.80,,,,38058.50,,
1982-04-18,,,2239.65,,,,37944.25,,
1982-04-19,,,2239.50,,,,37830.00,,
1982-04-20,,,2239.85,,,,38097.00,,
1982-04-21,,,2240.20,,,,38364.00,,
1982-04-22,,,2240.70,,,,38758.00,,
1982-04-23,,,2241.00,,,,39000.00,,
1982-04-24,,,2241.00,,,,39000.00,,
1982-04-25,,,2241.00,,,,39000.00,,
1982-04-26,,,2241.00,,,,39000.00,,
1982-04-27,,,2240.70,,,,38758.00,,
1982-04-28,,,2240.80,,,,38838.00,,
1982-04-29,,,2240.90,,,,38919.00,,
1982-04-30,,,2241.00,,,,39000.00,,
1982-05-01,,,2241.30,,,,39243.00,,
1982-05-02,,,2241.10,,,,39081.00,,
1982-05-03,,,2240.90,,,,38919.00,,
1982-05-04,,,2240.85,,,,38878.75,,
