date,qd,mm,mx,mn
1982-01-01,404.00,,30.15,6.96
1982-01-02,355.00,,24.81,6.17
1982-01-03,385.00,,25.12,16.55
1982-01-04,391.00,,34.08,18.28
1982-01-05,391.00,,24.81,4.68
1982-01-06,350.00,,16.87,-8.84
1982-01-07,313.00,,16.39,-11.99
1982-01-08,423.00,,27.48,6.88
1982-01-09,477.00,,28.50,8.61
1982-01-10,506.00,,27.95,9.16
1982-01-11,477.00,,30.78,9.87
1982-01-12,506.00,,35.26,21.11
1982-01-13,498.00,,34.63,22.84
1982-01-14,423.00,,38.09,27.95
1982-01-15,350.00,,39.19,27.56
1982-01-16,345.00,,33.61,30.39
1982-01-17,360.00,,39.90,29.13
1982-01-18,350.00,,35.73,28.19
1982-01-19,350.00,,29.68,21.50
1982-01-20,324.00,,26.46,5.62
1982-01-21,319.00,,27.01,5.94
1982-01-22,339.00,,26.77,12.78
1982-01-23,329.00,,31.88,22.68
1982-01-24,355.00,,45.33,21.90
1982-01-25,339.00,,33.38,20.80
1982-01-26,334.00,,40.22,22.92
1982-01-27,329.00,,38.88,24.65
1982-01-28,319.00,,37.78,15.21
1982-01-29,298.00,,35.26,11.52
1982-01-30,329.00,,32.51,17.34
1982-01-31,313.00,,37.70,20.48
1982-02-01,303.00,,34.56,15.21
1982-02-02,308.00,,35.66,20.40
1982-02-03,298.00,,34.32,10.03
1982-02-04,211.00,,19.93,-8.21
1982-02-05,182.00,,20.48,-16.63
1982-02-06,215.00,,20.95,-13.25
1982-02-07,319.00,,25.83,1.14
1982-02-08,298.00,,23.63,-10.89
1982-02-09,324.00,,25.20,-2.24
1982-02-10,298.00,,27.24,-12.62
1982-02-11,300.00,,34.01,-6.96
1982-02-12,320.00,,39.90,3.19
1982-02-13,340.00,,32.83,15.45
1982-02-14,538.00,,35.73,32.90
1982-02-15,753.00,,39.51,33.22
1982-02-16,920.00,,40.22,33.45
1982-02-17,784.00,,46.11,32.98
1982-02-18,546.00,,44.93,33.61
1982-02-19,546.00,,45.88,33.77
1982-02-20,562.00,,42.50,33.93
1982-02-21,835.00,,40.22,34.56
1982-02-22,1350.00,,40.45,23.55
1982-02-23,1140.00,,33.22,14.51
1982-02-24,888.00,,37.23,5.62
1982-02-25,774.00,,43.60,7.04
1982-02-26,704.00,,49.26,19.77
1982-02-27,655.00,,45.48,26.93
1982-02-28,579.00,,52.17,20.48
1982-03-01,579.00,,40.22,33.85
1982-03-02,645.00,,39.43,32.28
1982-03-03,607.00,,40.69,29.45
1982-03-04,570.00,,43.68,28.42
1982-03-05,538.00,,42.73,23.55
1982-03-06,514.00,,45.33,16.63
1982-03-07,490.00,,53.03,23.08
1982-03-08,498.00,,39.82,23.00
1982-03-09,498.00,,51.77,34.08
1982-03-10,498.00,,54.45,33.30
1982-03-11,570.00,,51.54,21.74
1982-03-12,598.00,,39.90,21.82
1982-03-13,570.00,,50.20,24.26
1982-03-14,562.00,,41.47,33.85
1982-03-15,562.00,,38.80,25.91
1982-03-16,530.00,,42.18,17.49
1982-03-17,514.00,,48.00,19.46
1982-03-18,506.00,,44.70,31.17
1982-03-19,483.00,,37.54,27.64
1982-03-20,463.00,,40.29,27.17
1982-03-21,450.00,,43.36,27.17
1982-03-22,436.00,,46.90,27.17
1982-03-23,430.00,,51.62,20.72
1982-03-24,443.00,,56.10,21.50
1982-03-25,477.00,,61.92,22.21
1982-03-26,546.00,,54.05,32.90
1982-03-27,570.00,,51.22,33.69
1982-03-28,579.00,,52.87,30.78
1982-03-29,589.00,,38.01,25.12
1982-03-30,554.00,,39.43,24.81
1982-03-31,546.00,,43.20,31.41
1982-04-01,546.00,,39.35,26.30
1982-04-02,498.00,,37.54,18.52
1982-04-03,506.00,,39.59,32.90
1982-04-04,490.00,,39.67,27.79
1982-04-05,456.00,,41.16,18.60
1982-04-06,450.00,,38.33,24.18
1982-04-07,430.00,,41.71,22.21
1982-04-08,410.00,,44.23,22.76
1982-04-09,417.00,,51.14,26.77
1982-04-10,417.00,,59.08,21.35
1982-04-11,562.00,,58.14,35.81
1982-04-12,1380.00,,50.75,36.05
1982-04-13,1190.00,,53.50,35.73
1982-04-14,1180.00,,42.26,33.38
1982-04-15,1060.00,,38.64,26.22
1982-04-16,941.00,,49.96,22.29
1982-04-17,888.00,,52.80,22.05
1982-04-18,815.00,,38.49,26.06
1982-04-19,753.00,,41.79,18.52
1982-04-20,704.00,,51.62,18.20
1982-04-21,713.00,,61.36,21.35
1982-04-22,825.00,,70.48,25.36
1982-04-23,1120.00,,71.90,26.77
1982-04-24,1450.00,,62.70,28.19
1982-04-25,1600.00,,60.74,27.56
1982-04-26,1650.00,,64.04,29.45
1982-04-27,1710.00,,67.42,29.21
1982-04-28,1940.00,,56.73,30.55
1982-04-29,1850.00,,59.79,31.49
1982-04-30,1850.00,,69.46,24.57
1982-05-01,2030.00,,75.52,29.84
1982-05-02,2520.00,,74.97,32.43
1982-05-03,3130.00,,59.08,30.78
1982-05-04,2950.00,,51.22,23.86
1982-05-05,2540.00,,56.49,20.56
1982-05-06,2350.00,,64.12,26.46
1982-05-07,2410.00,,59.87,31.73
1982-05-08,2380.00,,52.87,31.49
1982-05-09,2180.00,,51.93,28.03
1982-05-10,2100.00,,55.39,34.87
1982-05-11,2030.00,,58.46,37.78
1982-05-12,2070.00,,60.89,31.49
1982-05-13,2110.00,,69.70,28.97
1982-05-14,2420.00,,71.43,35.11
1982-05-15,2730.00,,66.40,34.87
1982-05-16,3130.00,,69.78,41.55
1982-05-17,3450.00,,73.87,31.96
1982-05-18,3700.00,,53.50,42.65
1982-05-19,3680.00,,62.62,30.23
1982-05-20,3390.00,,71.43,27.87
1982-05-21,3390.00,,75.91,33.38
1982-05-22,3580.00,,71.59,41.32
1982-05-23,3820.00,,70.17,34.87
1982-05-24,4020.00,,78.82,31.57
1982-05-25,4330.00,,80.63,34.24
1982-05-26,4840.00,,64.27,38.64
1982-05-27,4790.00,,53.90,32.12
1982-05-28,4170.00,,50.28,35.50
1982-05-29,3600.00,,55.78,35.11
1982-05-30,3130.00,,58.77,33.38
1982-05-31,2850.00,,71.35,30.70
1982-06-01,2780.00,,66.32,39.43
1982-06-02,2850.00,,65.22,42.73
1982-06-03,3050.00,,63.02,35.81
1982-06-04,3150.00,,58.22,41.40
1982-06-05,3070.00,,54.29,40.14
1982-06-06,2930.00,,59.24,38.49
1982-06-07,2780.00,,55.63,39.04
1982-06-08,2640.00,,65.61,30.70
1982-06-09,2640.00,,71.11,32.59
1982-06-10,2760.00,,76.62,34.63
1982-06-11,3120.00,,81.57,35.81
1982-06-12,3650.00,,73.32,48.08
1982-06-13,4170.00,,70.88,48.31
1982-06-14,4520.00,,77.40,40.61
1982-06-15,5000.00,,81.49,42.34
1982-06-16,5370.00,,81.02,43.05
1982-06-17,5710.00,,84.09,41.00
1982-06-18,5920.00,,82.43,42.10
1982-06-19,6030.00,,84.71,43.83
1982-06-20,6190.00,,86.92,44.07
1982-06-21,6170.00,,84.40,43.75
1982-06-22,6190.00,,81.49,50.52
1982-06-23,6130.00,,80.78,48.24
1982-06-24,5840.00,,81.10,44.93
1982-06-25,5620.00,,73.00,51.38
1982-06-26,5280.00,,83.85,44.54
1982-06-27,5430.00,,81.41,50.04
1982-06-28,5730.00,,70.01,50.91
1982-06-29,5640.00,,72.21,49.26
1982-06-30,4990.00,,79.68,44.46
1982-07-01,4700.00,,66.08,48.86
1982-07-02,4360.00,,75.12,45.48
1982-07-03,4400.00,,68.83,48.79
1982-07-04,4140.00,,58.30,47.45
1982-07-05,3700.00,,63.64,45.17
1982-07-06,3280.00,,75.12,39.82
1982-07-07,3200.00,,63.25,45.72
1982-07-08,3230.00,,69.70,47.29
1982-07-09,3050.00,,74.18,46.43
1982-07-10,2990.00,,83.22,43.75
1982-07-11,2960.00,,87.39,45.64
1982-07-12,2980.00,,88.49,45.64
1982-07-13,3040.00,,87.86,48.31
1982-07-14,3160.00,,74.42,49.49
1982-07-15,2950.00,,71.04,40.69
1982-07-16,2570.00,,73.08,35.11
1982-07-17,2320.00,,76.30,39.98
1982-07-18,2180.00,,83.54,39.90
1982-07-19,2110.00,,86.92,43.83
1982-07-20,2120.00,,89.83,44.62
1982-07-21,2050.00,,89.83,46.51
1982-07-22,1990.00,,86.44,46.03
1982-07-23,1880.00,,87.55,46.35
1982-07-24,1730.00,,82.51,50.67
1982-07-25,1650.00,,89.12,47.84
1982-07-26,1580.00,,93.68,47.68
1982-07-27,1530.00,,89.20,53.97
1982-07-28,1530.00,,72.06,58.22
1982-07-29,1490.00,,,
1982-07-30,1380.00,,91.32,
1982-07-31,1310.00,,90.14,49.34
1982-08-01,1250.00,,83.22,49.34
1982-08-02,1160.00,,78.66,38.80
1982-08-03,1080.00,,77.01,40.69
1982-08-04,1020.00,,82.28,45.01
1982-08-05,974.00,,83.38,43.75
1982-08-06,930.00,,,
1982-08-07,898.00,,,
