date,qd,qu,mm,mx,mn
1982-01-01,0.08,176.54,,28.97,8.53
1982-01-02,0.08,166.46,,29.52,9.79
1982-01-03,0.08,176.54,,36.21,20.17
1982-01-04,0.08,211.83,,37.46,21.74
1982-01-05,0.08,221.91,,27.32,3.81
1982-01-06,0.08,211.83,,16.32,-13.56
1982-01-07,0.08,161.41,,6.41,-13.48
1982-01-08,0.08,116.04,,17.18,3.42
1982-01-09,0.08,105.96,,17.42,0.98
1982-01-10,0.08,111.00,,15.92,-2.47
1982-01-11,0.08,111.00,,22.53,-0.51
1982-01-12,0.08,126.12,,33.06,6.57
1982-01-13,0.08,136.21,,42.10,16.08
1982-01-14,0.08,146.29,,44.70,21.03
1982-01-15,0.08,156.37,,43.36,28.58
1982-01-16,0.08,166.46,,50.44,35.58
1982-01-17,0.08,176.54,,46.03,33.69
1982-01-18,0.08,185.32,,39.82,27.64
1982-01-19,0.08,208.20,,35.03,13.33
1982-01-20,0.08,159.42,,30.47,11.68
1982-01-21,0.08,177.67,,32.59,15.06
1982-01-22,0.08,211.46,,35.26,18.05
1982-01-23,0.08,158.61,,47.45,35.26
1982-01-24,0.08,247.79,,47.06,34.16
1982-01-25,0.08,247.79,,42.97,31.88
1982-01-26,0.08,356.78,,43.36,31.25
1982-01-27,0.08,353.48,,39.67,30.00
1982-01-28,0.08,329.04,,41.87,24.33
1982-01-29,0.08,310.43,,38.72,21.74
1982-01-30,0.08,249.70,,46.74,25.44
1982-01-31,0.08,253.08,,43.36,30.55
1982-02-01,0.08,236.21,,41.87,27.40
1982-02-02,0.08,222.72,,48.24,32.83
1982-02-03,0.08,249.71,,40.53,20.17
1982-02-04,0.08,167.83,,26.54,9.71
1982-02-05,0.08,72.27,,25.44,4.21
1982-02-06,0.08,113.53,,18.67,6.02
1982-02-07,0.08,123.85,,28.50,13.41
1982-02-08,0.08,130.72,,27.32,6.02
1982-02-09,0.08,134.16,,29.84,11.36
1982-02-10,0.08,106.66,,24.65,3.66
1982-02-11,0.08,130.72,,27.24,11.76
1982-02-12,0.08,89.47,,34.08,11.76
1982-02-13,0.08,220.11,,35.26,21.50
1982-02-14,0.08,706.11,,54.29,35.66
1982-02-15,0.08,2251.77,,56.33,40.29
1982-02-16,0.78,4775.66,,57.28,42.26
1982-02-17,7.10,4562.50,,51.62,31.80
1982-02-18,545.00,3690.85,,39.27,25.28
1982-02-19,1840.00,2458.32,,63.17,34.56
1982-02-20,1850.00,4266.93,,66.71,41.08
1982-02-21,1870.00,5558.54,,55.70,33.38
1982-02-22,2250.00,5269.81,,40.69,23.23
1982-02-23,2660.00,2375.93,,37.78,24.26
1982-02-24,2350.00,1517.87,,41.95,19.30
1982-02-25,2010.00,1239.36,,44.30,21.98
1982-02-26,1890.00,1041.35,,44.30,27.48
1982-02-27,1860.00,856.78,,51.14,30.62
1982-02-28,1850.00,790.91,,52.56,28.11
1982-03-01,1850.00,842.35,,58.30,35.03
1982-03-02,1840.00,1212.22,,50.91,30.55
1982-03-03,1840.00,1097.52,,46.82,34.24
1982-03-04,1830.00,899.22,,47.84,33.69
1982-03-05,1830.00,752.89,,49.02,28.11
1982-03-06,1820.00,672.81,,53.58,22.45
1982-03-07,1820.00,637.81,,60.74,25.67
1982-03-08,1050.00,723.18,,56.02,36.21
1982-03-09,615.00,691.90,,58.93,36.52
1982-03-10,470.00,746.83,,56.96,32.98
1982-03-11,535.00,881.04,,55.94,30.39
1982-03-12,765.00,1072.59,,47.21,24.26
1982-03-13,937.00,875.48,,52.17,30.55
1982-03-14,937.00,898.55,,48.86,38.64
1982-03-15,620.00,1015.51,,41.16,26.85
1982-03-16,445.00,837.76,,45.33,25.28
1982-03-17,228.00,749.10,,44.07,26.14
1982-03-18,217.00,784.76,,39.82,31.02
1982-03-19,345.00,675.90,,40.92,31.73
1982-03-20,287.00,643.47,,40.53,26.46
1982-03-21,206.00,613.96,,46.58,18.99
1982-03-22,61.00,611.55,,50.67,21.11
1982-03-23,0.35,618.23,,57.59,22.68
1982-03-24,0.48,686.65,,58.77,27.95
1982-03-25,0.78,752.51,,59.32,29.84
1982-03-26,171.00,766.79,,58.69,39.67
1982-03-27,330.00,869.84,,54.13,41.24
1982-03-28,435.00,820.85,,51.93,31.73
1982-03-29,490.00,782.43,,44.93,29.76
1982-03-30,490.00,770.26,,43.20,31.73
1982-03-31,490.00,749.94,,44.46,34.87
1982-04-01,490.00,774.31,,46.11,31.65
1982-04-02,360.00,725.55,,49.10,28.66
1982-04-03,296.00,693.20,,45.88,34.40
1982-04-04,315.00,667.53,,43.83,29.29
1982-04-05,330.00,612.84,,47.37,22.92
1982-04-06,335.00,621.94,,43.52,30.78
1982-04-07,315.00,597.85,,43.75,28.27
1982-04-08,296.00,582.94,,50.36,23.94
1982-04-09,296.00,578.84,,55.63,23.94
1982-04-10,296.00,697.40,,53.27,26.22
1982-04-11,605.00,1450.87,,66.24,41.16
1982-04-12,1350.00,1988.55,,56.96,43.83
1982-04-13,1610.00,1705.37,,59.64,46.35
1982-04-14,1610.00,1651.46,,50.67,34.08
1982-04-15,1810.00,1652.44,,44.70,27.72
1982-04-16,1720.00,1367.55,,53.27,21.82
1982-04-17,1180.00,1242.19,,59.64,28.27
1982-04-18,1210.00,1168.53,,46.58,30.55
1982-04-19,1220.00,1091.46,,49.41,22.29
1982-04-20,838.00,1008.01,,54.37,23.08
1982-04-21,605.00,990.62,,64.75,26.14
1982-04-22,605.00,1087.09,,71.43,31.88
1982-04-23,605.00,1281.56,,75.60,34.24
1982-04-24,838.00,1502.03,,70.17,41.24
1982-04-25,1250.00,1855.56,,67.58,33.53
1982-04-26,1560.00,1921.32,,69.07,37.15
1982-04-27,1840.00,1886.39,,71.98,36.13
1982-04-28,1940.00,1918.91,,62.94,43.83
1982-04-29,1940.00,1821.92,,63.41,28.66
1982-04-30,1780.00,1851.69,,71.74,37.31
1982-05-01,1680.00,1747.47,,77.64,38.72
1982-05-02,1680.00,1722.17,,76.85,38.80
1982-05-03,1370.00,1804.36,,65.53,42.50
1982-05-04,1200.00,1735.57,,59.16,27.95
1982-05-05,1200.00,1587.98,,65.85,26.69
1982-05-06,1270.00,1354.34,,75.28,36.05
1982-05-07,1310.00,1267.83,,69.15,41.32
1982-05-08,455.00,1273.70,,55.47,39.04
1982-05-09,455.00,1283.37,,51.38,35.03
1982-05-10,1320.00,1242.74,,55.63,40.53
1982-05-11,1320.00,1096.81,,63.96,33.69
1982-05-12,1160.00,885.31,,68.99,39.35
1982-05-13,882.00,783.28,,71.98,37.78
1982-05-14,765.00,812.21,,65.45,49.96
1982-05-15,690.00,810.18,,70.48,44.38
1982-05-16,675.00,786.59,,75.67,42.10
1982-05-17,680.00,886.02,,69.54,46.11
1982-05-18,680.00,958.80,,61.21,41.16
1982-05-19,910.00,952.76,,66.40,37.46
