date,inflow(m3/d),storage(m3),wse(m),avg air temperature (C),min air temperature (C),max air temperature (C)
1990-11-29,1919408.7545856,117972494.16,876.937032,-1.677671199999999,-7.4388283999999985,4.783491600000001
1990-11-30,1879823.227392,119852317.68,877.208304,-3.6776871999999976,-4.555471999999998,-2.2221199999999968
1990-12-01,1645466.1414911998,121497780.0,877.4430000000001,-4.122135199999999,-4.944363999999997,-3.233239199999998
1990-12-02,1050924.796416,122548704.96000001,877.592352,-2.755457599999998,-6.2665967999999985,0.3445672000000002
1990-12-03,1494977.527296,124043682.72,877.802664,-3.038793199999997,-6.111039999999997,4.2390428000000036
1990-12-04,1240876.6092288,125284563.60000001,877.9764,-0.03321359999999629,-3.077682399999997,4.705713200000002
1990-12-05,1174280.9324544,126458836.56,878.140992,-1.849894799999996,-5.1776991999999975,1.672355600000003
1990-12-06,1119991.5104256,127578836.4,878.2964400000001,-5.811037599999999,-8.838839599999998,-0.7443303999999991
1990-12-07,676281.2995584001,128255116.47960001,878.390928,-6.427709199999999,-10.472185999999997,-1.5998927999999957
1990-12-08,1354030.5420288001,129609144.48,878.576856,-1.5998927999999957,-6.188818399999999,4.472378000000003
1990-12-09,1043536.1504255999,130652668.56,878.7201120000001,-0.8109975999999968,-1.7554495999999986,0.8945716000000026
1990-12-10,955092.5899776,131607752.12400001,878.851176,-0.3443271999999986,-1.522114399999996,1.2834636000000046
1990-12-11,1166427.4378752,132774192.486,879.009672,-2.5887895999999984,-4.399915199999999,0.4223455999999999
1990-12-12,1300157.0371583998,134074342.08,879.186456,-8.394391599999999,-11.872197199999999,-3.855466399999999
1990-12-13,944792.5238784,135019126.086,879.314472,-9.111063999999999,-12.6499812,-4.633250399999998
1990-12-14,935030.7035136,135954165.6,879.4394400000001,-6.816601199999997,-8.216612399999997,-4.088801599999998
1990-12-15,947312.4925439999,136901478.24,879.567456,-5.449923599999996,-7.749941999999997,-2.611011999999997
1990-12-16,779551.0834176,137681037.6,879.671088,-3.0054595999999982,-8.294390799999999,0.7390148000000032
1990-12-17,777104.5118976,138458130.0,879.7747200000001,1.3945756000000031,-0.8221087999999988,4.083486000000004
1990-12-18,1170562.143744,139628702.52,879.930168,-5.516590799999998,-10.083293999999999,-2.4554551999999994
1990-12-19,597012.3823104,140225706.84,880.0094160000001,-16.1888984,-19.3444792,-11.7166404
1990-12-20,1155760.3860479998,141381477.6,880.161816,-21.0611596,-23.9389604,-19.111144
1990-12-21,814096.67328,142195574.4,880.268496,-24.1000728,-29.8501188,-18.2555816
1990-12-22,579739.5873792,142775310.0,880.344696,-21.944499999999998,-26.3500908,-17.0889056
1990-12-23,579739.5873792,143355045.6,880.4208960000001,-22.700061599999998,-26.7389828,-16.3111216
1990-12-24,653748.3758591999,144008790.0,880.50624,-19.250034,-22.4556152,-13.661100399999999
1990-12-25,703095.7234176,144711873.6,880.59768,-10.9610788,-20.433376799999998,0.11123200000000466
1990-12-26,863444.0208384,145575309.6,880.710456,-7.338827599999998,-18.4111384,1.5945771999999998
1990-12-27,937452.8093184,146512754.4,880.8323760000001,-2.983237199999998,-6.655488799999999,-0.43321679999999674
1990-12-28,851113.3003776,147363855.6,880.9421040000001,-14.094437199999998,-26.116755599999998,-5.799926399999999
1990-12-29,764749.3257216,148128613.2,881.0396400000001,-25.7889752,-30.7890152,-3.888799999999998
1990-12-30,629086.9349375999,148757688.0,881.1219360000001,-20.255597599999998,-22.5333936,-0.5554399999999973
1990-12-31,604401.0283008,149362093.2,881.1981360000001,1.0390172,-0.6665519999999958,2.2168044000000044
1991-01-01,493400.07843839994,149855485.2,881.2621440000001,-1.1887783999999968,-6.499931999999998,1.5167988000000001
1991-01-02,579739.5873792,150435220.8,881.3352960000001,-7.2943827999999975,-11.094413199999998,-3.933244799999997
1991-01-03,592070.30784,151027291.2,881.411496,-8.522170399999998,-15.4555592,-5.022142399999998
1991-01-04,505730.7988992,151533018.0,881.475504,-14.844443199999999,-18.8778088,-8.0610556
1991-01-05,481069.35797759995,152014075.2,881.536464,-12.688870399999999,-13.3499868,-10.938856399999999
1991-01-06,567408.8669183999,152581476.0,881.6096160000001,-12.661092399999998,-15.1444456,-10.705521199999998
