date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
2023-07-27 00:00:00+00:00,,13.5,,3.97,9712.8889344
2023-07-28 00:00:00+00:00,16.0,11.6,13.5,3.99,9761.8203648
2023-07-29 00:00:00+00:00,15.0,11.4,13.2,3.92,9590.5603584
2023-07-30 00:00:00+00:00,15.9,11.5,13.4,3.88,9492.6974976
2023-07-31 00:00:00+00:00,15.0,10.9,12.9,3.82,9345.9032064
2023-08-01 00:00:00+00:00,15.5,11.0,13.1,3.77,9223.5746304
2023-08-02 00:00:00+00:00,15.4,11.6,13.4,3.79,9272.5060608
2023-08-03 00:00:00+00:00,15.6,12.6,14.0,3.96,9688.4232192
2023-08-04 00:00:00+00:00,14.1,12.8,13.2,4.24,10373.463244800001
2023-08-05 00:00:00+00:00,15.0,12.2,13.3,4.12,10079.8746624
2023-08-06 00:00:00+00:00,14.6,11.9,13.0,4.06,9933.0803712
2023-08-07 00:00:00+00:00,13.3,11.3,12.3,4.47,10936.1746944
2023-08-08 00:00:00+00:00,13.9,10.1,11.8,4.73,11572.2832896
2023-08-09 00:00:00+00:00,13.4,10.8,12.1,4.18,10226.6689536
2023-08-10 00:00:00+00:00,14.1,10.3,12.0,4.02,9835.217510399998
2023-08-11 00:00:00+00:00,14.3,10.2,12.0,3.81,9321.4374912
2023-08-12 00:00:00+00:00,14.1,10.4,12.1,3.71,9076.7803392
2023-08-13 00:00:00+00:00,14.8,10.7,12.5,3.67,8978.9174784
2023-08-14 00:00:00+00:00,15.4,11.6,13.3,3.63,8881.0546176
2023-08-15 00:00:00+00:00,16.1,12.3,14.0,3.59,8783.1917568
2023-08-16 00:00:00+00:00,16.4,12.8,14.4,3.57,8734.260326399999
2023-08-17 00:00:00+00:00,16.3,12.5,14.3,3.55,8685.328895999999
2023-08-18 00:00:00+00:00,16.6,14.3,15.3,3.74,9150.1774848
2023-08-19 00:00:00+00:00,15.6,13.1,14.3,3.71,9076.7803392
2023-08-20 00:00:00+00:00,14.8,13.7,14.2,3.93,9615.0260736
2023-08-21 00:00:00+00:00,13.9,13.2,13.4,11.3,27646.258176000003
2023-08-22 00:00:00+00:00,14.6,12.9,13.7,6.25,15291.072
2023-08-23 00:00:00+00:00,14.8,12.8,13.6,4.96,12134.9947392
2023-08-24 00:00:00+00:00,14.5,11.1,12.6,4.54,11107.4347008
2023-08-25 00:00:00+00:00,14.1,11.7,12.8,4.68,11449.954713599998
2023-08-26 00:00:00+00:00,14.6,11.3,12.8,4.44,10862.7775488
2023-08-27 00:00:00+00:00,15.2,12.5,13.7,4.25,10397.92896
2023-08-28 00:00:00+00:00,15.2,12.2,13.6,4.32,10569.188966400001
2023-08-29 00:00:00+00:00,14.3,11.9,13.1,4.3,10520.257536
