date,inflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),outflow(m3/d)
1982-01-01,6391814.8902912,,-3.033237599999998,-10.677743199999998,2617831.5264
1982-01-02,7088109.1448832,,-8.977729599999998,-13.955547199999998,2617831.5264
1982-01-03,5635090.3191552,,-7.138825999999998,-10.938856399999999,2617831.5264
1982-01-04,6321353.6305152,,-0.8498867999999966,-7.183270799999997,2617831.5264
1982-01-05,6121786.7916288,,-0.8498867999999966,-14.7388868,2715694.3871999998
1982-01-06,6789921.008025601,,-12.472202,-25.266748800000002,3302871.552
1982-01-07,4923407.1297023995,,-16.400011199999998,-25.266748800000002,3890048.7168
1982-01-08,4100209.210368,,-5.8332599999999974,-19.5889256,6165360.2304
1982-01-09,6260531.862528,,-5.872149199999997,-14.783331599999999,7364180.2752
1982-01-10,6171158.6049024,,-5.1776991999999975,-14.127770799999999,4526157.312
1982-01-11,5658528.4743168,,-5.788815199999998,-10.983301199999998,4134705.8688
1982-01-12,5897705.306112,,-7.838831599999997,-16.5333456,4110240.1536
1982-01-13,5539307.0441472,,-3.994356399999999,-10.594409199999998,3914514.432
1982-01-14,6417332.631244799,,-1.4165579999999984,-4.216580399999998,3033748.6848
1982-01-15,6721563.7997568,,0.3279004000000043,-8.366613599999997,2642297.2416
1982-01-16,8049195.8350848,,1.4223536000000045,-4.566583199999997,2593365.8112
1982-01-17,6565790.5910784,,4.083486000000004,-0.11099199999999598,2593365.8112
1982-01-18,7474545.1164672,,2.0334696,-5.305477999999999,2593365.8112
1982-01-19,6339605.054054399,,-2.816569199999998,-10.461074799999999,2593365.8112
1982-01-20,6251357.219328,,-6.572154799999996,-14.083326,2617831.5264
1982-01-21,6371116.895231999,,-1.766560799999997,-8.449947599999998,2935885.824
1982-01-22,5964888.1600512,,-6.794378799999999,-12.249977999999999,2617831.5264
1982-01-23,6810839.194521599,,1.5945771999999998,-9.149953199999999,2568900.096
1982-01-24,6793150.482431999,,5.089049600000003,-7.8832764,2544434.3808
1982-01-25,7694467.4304,,-1.110999999999997,-9.8499588,2568900.096
1982-01-26,5854278.661632,,9.544640800000003,-5.261033199999998,2568900.096
1982-01-27,6521629.9751424,,2.1168036000000043,-8.583281999999999,2544434.3808
1982-01-28,6322234.3962624,,-2.511011199999997,-10.416629999999998,2568900.096
1982-01-29,5453285.589504,,-4.522138399999998,-10.111071999999998,2544434.3808
1982-01-30,5777652.0416256,,-2.905458799999998,-9.194397999999998,2568900.096
1982-01-31,5877300.8996352,,-1.5498923999999974,-9.016618799999998,2544434.3808
1982-02-01,7765613.7302016,,-6.877712799999998,-17.1000168,2544434.3808
1982-02-02,5331177.2049408,,-5.305477999999999,-10.594409199999998,2544434.3808
1982-02-03,5807769.337036801,,-6.138817999999999,-24.5667432,2544434.3808
1982-02-04,5701539.201638401,,-16.750014,-30.639014,2544434.3808
1982-02-05,4221779.3491968,,-19.7667048,-32.3001384,3547528.704
1982-02-06,3400783.3442304,,-16.8389036,-31.3390196,3449665.8432
1982-02-07,5762776.886783999,,-9.327732399999999,-17.450019599999997,3131611.5456
1982-02-08,5833409.4065664,,-12.7333152,-21.6000528,4183637.2992
1982-02-09,4730715.1567872,,-9.9777376,-22.4278372,3792185.856
1982-02-10,5808234.185625601,,-11.727751599999998,-24.4389644,3302871.552
1982-02-11,4684156.9007616,,-11.205525199999999,-25.3556384,3180542.976
1982-02-12,6115450.171391999,,-2.466566399999998,-19.4555912,3180542.976
1982-02-13,5868640.036454399,,2.294582800000004,-9.544400799999998,3009282.9696
1982-02-14,7324080.9679872,,3.4723700000000015,-0.7665527999999959,2886954.3936
1982-02-15,7830398.9440512,,3.4279252000000042,1.5056876000000017,3058214.4
1982-02-16,10090810.8370944,,7.972406000000003,1.8556904000000038,3033748.6848
1982-02-17,9513419.9583744,,4.477933600000004,0.11123200000000466,2862488.6784
1982-02-18,7417270.877184,,5.177939200000004,-2.422121599999997,2862488.6784
1982-02-19,7355813.0006016,,2.2501379999999997,-1.3332239999999977,3890048.7168
1982-02-20,6045258.0344832,,7.361290000000004,0.9834612000000043,4942074.4704
1982-02-21,6825151.6379136,,12.166884000000003,1.9890248000000028,5015471.616
1982-02-22,9077636.639232,,6.005723600000003,-0.4165499999999973,5015471.616
1982-02-23,7118104.1117184,,0.06678720000000027,-10.7666328,5015471.616
1982-02-24,6387141.938688,,-3.1221271999999978,-17.8833564,4844211.6096
1982-02-25,6003813.112934399,,0.8056820000000045,-13.694434,6140894.5152
1982-02-26,6089810.1018624,,6.139058000000002,-9.149953199999999,6238757.376
1982-02-27,6971554.4776703995,,6.572394800000001,-0.9387763999999983,6263223.0912
1982-02-28,5795927.93088,,7.444624000000001,-5.438812399999998,6238757.376
1982-03-01,7295969.861222399,,8.539077200000001,-0.6776631999999978,8000288.870399999
1982-03-02,6453003.6440064,,6.922397600000004,-1.8110055999999979,8024754.5856
1982-03-03,7089479.224934399,,3.0334776000000048,-2.949903599999997,9761820.3648
1982-03-04,6956116.6113792,,1.4612428000000044,-4.038801199999998,13554006.2208
1982-03-05,6907283.0438399995,,0.8945716000000026,-5.7443703999999975,16343097.7536
1982-03-06,5474130.3788544,,1.683466800000005,-7.272160399999999,16269700.608
1982-03-07,6692767.652966401,,3.077922400000002,-2.994348399999998,16661152.0512
1982-03-08,6326344.636416,,3.8668176000000045,-8.6277268,16783480.6272
1982-03-09,7351580.431872,,8.627966800000003,0.8945716000000026,16905809.2032
1982-03-10,8182900.9686528,,9.366861600000004,1.9001352000000047,17077069.2096
