date,avg gain (m3/d),outflow(m3/d)
1982-01-01,2493056.3788799997,3669857.28
1982-01-02,2297330.65728,3474131.5584
1982-01-03,2321796.37248,3498597.2736
1982-01-04,2346262.08768,3523062.9888
1982-01-05,2358494.94528,3547528.704
1982-01-06,2126070.65088,3327337.2672
1982-01-07,1930344.92928,3131611.5456
1982-01-08,1783550.63808,2984817.2544
1982-01-09,1734619.20768,2935885.824
1982-01-10,1734619.20768,2935885.824
1982-01-11,1783550.63808,2984817.2544
1982-01-12,1808016.35328,3009282.9696
1982-01-13,1822695.7824,3033748.6848
1982-01-14,1822695.7824,3033748.6848
1982-01-15,1822695.7824,3033748.6848
1982-01-16,1847161.4976,3058214.4
1982-01-17,1945024.3584,3156077.2608
1982-01-18,1871627.2127999999,3082680.1152
1982-01-19,1798230.0672,3009282.9696
1982-01-20,1712600.064,2935885.824
1982-01-21,1749298.6368,2984817.2544
1982-01-22,1773764.352,3009282.9696
1982-01-23,1896092.928,3131611.5456
1982-01-24,1920558.6432,3156077.2608
1982-01-25,1913218.92864,3156077.2608
1982-01-26,2104051.5072,3351802.9824
1982-01-27,1981722.9312,3229474.4063999997
1982-01-28,1957257.216,3205008.6912
1982-01-29,1920558.6432,3180542.976
1982-01-30,1798230.0672,3058214.4
1982-01-31,1749298.6368,3009282.9696
1982-02-01,1651435.776,2911420.1088
1982-02-02,1724832.9216,2984817.2544
1982-02-03,1538893.48608,2813557.248
1982-02-04,1406778.624,2691228.672
1982-02-05,1357847.1935999999,2642297.2416
1982-02-06,1223285.76,2519968.6656
1982-02-07,1394545.7664,2691228.672
1982-02-08,1516874.3424,2813557.248
1982-02-09,1590271.488,2886954.3936
1982-02-10,1761531.4944,3058214.4
1982-02-11,1639202.9184,2935885.824
1982-02-12,1761531.4944,3058214.4
1982-02-13,1883860.0704,3180542.976
1982-02-14,2152982.9376,3449665.8432
1982-02-15,2226380.0831999998,3523062.9888
1982-02-16,2397640.0896,3694322.9952
1982-02-17,2409872.9472,3694322.9952
1982-02-18,2385407.232,3669857.28
1982-02-19,2312010.0864,3596460.1344
1982-02-20,2312010.0864,3596460.1344
1982-02-21,2630064.384,3914514.432
1982-02-22,3094912.9728,4379363.0208
1982-02-23,2666762.9568,4134705.8688
1982-02-24,2395193.51808,4134705.8688
1982-02-25,2294884.08576,4036843.008
1982-02-26,2197021.22496,3938980.1472
1982-02-27,2245952.6553599997,3987911.5776
1982-02-28,2245952.6553599997,3987911.5776
1982-03-01,2197021.22496,3938980.1472
1982-03-02,2270418.37056,4012377.2928
1982-03-03,2206807.51104,4012377.2928
1982-03-04,1942577.78688,4085774.4384
1982-03-05,2189681.5104,4575088.7424
1982-03-06,2140750.08,4526157.312
1982-03-07,2091818.6496,4477225.8816
1982-03-08,2140750.08,4526157.312
1982-03-09,2160322.65216,4575088.7424
1982-03-10,2079585.792,5382457.344
1982-03-11,2030654.3616,5651580.2112
1982-03-12,2030654.3616,5651580.2112
1982-03-13,1883860.0704,5504785.92
1982-03-14,2104051.5072,5724977.3568
1982-03-15,2250845.7983999997,5871771.648
1982-03-16,2226380.0831999998,5847305.9328
1982-03-17,2177448.6528,5798374.5024
1982-03-18,2152982.9376,6385551.6672
1982-03-19,2177448.6528,6899331.6864
1982-03-20,2152982.9376,6874865.9712
1982-03-21,2006188.6464,6703605.9648
1982-03-22,2006188.6464,6703605.9648
1982-03-23,2079585.792,6752537.3952
1982-03-24,2128517.2224,6777003.1104
1982-03-25,2055120.0768,6703605.9648
1982-03-26,2104051.5072,6752537.3952
1982-03-27,2177448.6528,6825934.5408
1982-03-28,2348708.6592,6997194.5472
1982-03-29,2642297.2416,7290783.1296
1982-03-30,2446571.52,7070591.6928
1982-03-31,2348708.6592,6948263.1168
1982-04-01,2348708.6592,6948263.1168
1982-04-02,2691228.672,8416206.0288
1982-04-03,2275311.5136,8734260.3264
1982-04-04,2128517.2224,8587466.0352
1982-04-05,2055120.0768,8489603.1744
1982-04-06,2030654.3616,8440671.743999999
1982-04-07,2030654.3616,8416206.0288
1982-04-08,1981722.9312,8318343.168
1982-04-09,1957257.216,8269411.7376
1982-04-10,1932791.5008,8220480.3072
1982-04-11,2324242.944,8587466.0352
1982-04-12,3767720.1408,10030943.232
1982-04-13,3498597.2736,9737354.6496
1982-04-14,3743254.4255999997,9982011.8016
1982-04-15,3841117.2864,10030943.232
1982-04-16,2226380.0831999998,9590560.3584
1982-04-17,2446571.52,11376557.568
1982-04-18,2911420.1088,11816940.4416
1982-04-19,2789091.5328,11645680.4352
1982-04-20,1100957.184,11376557.568
1982-04-21,3498597.2736,13945457.663999999
1982-04-22,3205008.6912,13578471.936
1982-04-23,3571994.4192,13872060.5184
1982-04-24,4012377.2928,14239046.2464
1982-04-25,4452760.1663999995,14606031.9744
1982-04-26,4721883.0336,14777291.9808
1982-04-27,5015471.616,15021949.1328
1982-04-28,5284594.4832,15193209.1392
1982-04-29,6263223.0912,16147372.032
1982-04-30,6410017.3824,16220769.1776
1982-05-01,6630208.8192,16392029.184
1982-05-02,7535440.2816,17272794.9312
1982-05-03,8832123.1872,18496080.6912
1982-05-04,9786286.08,19425777.8688
1982-05-05,8783191.7568,18398217.8304
1982-05-06,8538534.6048,17639780.6592
1982-05-07,8318343.168,16465426.329599999
1982-05-08,8073686.016,16196303.4624
1982-05-09,8538534.6048,16661152.0512
1982-05-10,8734260.3264,16098440.6016
1982-05-11,8269411.7376,14606031.9744
1982-05-12,7902426.0095999995,12795569.0496
1982-05-13,6728071.68,11058503.2704
1982-05-14,6777003.1104,11131900.416
1982-05-15,7975823.1552,12355186.175999999
1982-05-16,9199108.9152,13578471.936
1982-05-17,9688423.2192,14948551.9872
1982-05-18,12355186.175999999,18226957.824
1982-05-19,13480609.075199999,19376846.4384
1982-05-20,12820034.7648,19254517.8624
1982-05-21,12624309.0432,19817229.312
1982-05-22,13969923.3792,21162843.648
1982-05-23,16367563.468799999,23560483.7376
1982-05-24,17590849.2288,25444343.808
1982-05-25,18716272.128,27401601.024
1982-05-26,20820323.6352,30092829.696
1982-05-27,24098729.472,33762686.975999996
1982-05-28,24955029.504,34741315.584
1982-05-29,20575666.4832,31805429.759999998
1982-05-30,17395123.5072,29603515.392
1982-05-31,15291072.0,27401601.024
1982-06-01,13896526.2336,27156943.872
1982-06-02,13554006.2208,30337486.848
1982-06-03,15119811.9936,31805429.759999998
1982-06-04,15486797.7216,32050086.912
1982-06-05,16049509.1712,32539401.216
1982-06-06,15633592.0128,32050086.912
1982-06-07,15388934.8608,31071458.304
1982-06-08,15437866.291199999,29848172.544
1982-06-09,14287977.6768,28624886.783999998
1982-06-10,15217674.8544,28135572.48
1982-06-11,15486797.7216,26667629.568
1982-06-12,17566383.5136,26912286.72
1982-06-13,19768297.8816,28135572.48
1982-06-14,22630786.56,31071458.304
1982-06-15,26055986.688,33028715.52
1982-06-16,28355763.9168,32294744.064
1982-06-17,29202277.66272,31560772.608
1982-06-18,30653094.574079998,33028715.52
1982-06-19,31864147.47648,34252001.28
1982-06-20,32316763.207679998,34741315.584
1982-06-21,32539401.216,34985972.736
1982-06-22,33882568.98048,36209258.496
1982-06-23,35074049.31072,37432544.256
1982-06-24,34692384.1536,38900487.168
1982-06-25,37505941.401599996,43304315.904
1982-06-26,35695478.4768,41836372.992
1982-06-27,34447727.0016,44038287.36
1982-06-28,36845367.0912,47952801.791999996
1982-06-29,39903581.4912,51133344.768
1982-06-30,40025910.0672,51378001.92
1982-07-01,37970789.9904,49910059.008
1982-07-02,37775064.2688,50399373.312
1982-07-03,33199975.5264,46484858.88
1982-07-04,30728938.2912,44038287.36
1982-07-05,30215158.272,43548973.056
1982-07-06,27303738.1632,41347058.688
1982-07-07,24318920.9088,38166515.712
1982-07-08,23707278.0288,36453915.648
1982-07-09,24269989.4784,37677201.408
1982-07-10,24172126.6176,39634458.624
1982-07-11,23389223.7312,39879115.776
1982-07-12,23682812.3136,39634458.624
1982-07-13,25126289.5104,38900487.168
1982-07-14,24539112.345599998,35964601.344
1982-07-15,23780675.174399998,34985972.736
1982-07-16,23071169.4336,35475287.04
1982-07-17,22753115.136,36209258.496
1982-07-18,21627692.2368,34741315.584
1982-07-19,21480897.9456,31560772.608
1982-07-20,19743832.1664,29358858.24
1982-07-21,19278983.5776,28135572.48
1982-07-22,19058792.1408,27890915.327999998
1982-07-23,18814134.9888,27646258.176
1982-07-24,19254517.8624,28135572.48
1982-07-25,19009860.7104,27890915.327999998
1982-07-26,18545012.1216,27401601.024
1982-07-27,18055697.8176,25933658.112
1982-07-28,17126000.64,24000866.6112
1982-07-29,16710083.4816,23315826.5856
1982-07-30,16025043.456,22606320.8448
1982-07-31,14850689.1264,21407500.8
1982-08-01,14508169.113599999,20477803.6224
1982-08-02,14043320.5248,19278983.5776
1982-08-03,13187020.4928,17859972.096
1982-08-04,12183926.1696,16392029.184
1982-08-05,11376557.568,15266606.2848
1982-08-06,10691517.5424,14410306.252799999
1982-08-07,9933080.371199999,13529540.5056
1982-08-08,9786286.08,13064691.9168
1982-08-09,9761820.3648,13187020.4928
1982-08-10,9639491.7888,13456143.36
1982-08-11,8685328.896,13235951.9232
1982-08-12,8685328.896,13578471.936
1982-08-13,7633303.1424,13284883.3536
1982-08-14,7829028.864,13994389.0944
1982-08-15,7657768.8576,13823129.088
1982-08-16,7339714.56,13529540.5056
1982-08-17,7046125.9776,13235951.9232
1982-08-18,7290783.1296,12991294.7712
1982-08-19,7095057.408,12257323.3152
1982-08-20,6850400.256,11988200.447999999
1982-08-21,6630208.8192,11743543.296
1982-08-22,6434483.0976,11547817.5744
1982-08-23,6263223.0912,11376557.568
1982-08-24,6067497.3696,11180831.8464
1982-08-25,5847305.9328,10960640.409599999
1982-08-26,5847305.9328,10740448.9728
1982-08-27,5651580.2112,10397928.959999999
1982-08-28,5357991.6288,10079874.6624
1982-08-29,5529251.6352,10251134.6688
1982-08-30,6091963.0848,10813846.1184
1982-08-31,6385551.6672,11107434.7008
1982-09-01,6067497.3696,10789380.4032
1982-09-02,5700511.6416,10422394.6752
1982-09-03,5602648.7808,10300066.0992
1982-09-04,5431388.7743999995,10128806.0928
1982-09-05,5260128.768,9957546.0864
1982-09-06,5113334.4768,9810751.7952
1982-09-07,4991005.9008,9663957.504
1982-09-08,4893143.04,9541628.928
1982-09-09,4770814.464,9419300.352
1982-09-10,4819745.8944,9468231.782399999
1982-09-11,4942074.4704,9566094.6432
1982-09-12,4917608.7552,9541628.928
1982-09-13,5088868.7616,9712888.9344
1982-09-14,5186731.6224,9786286.08
1982-09-15,5309060.1984,9908614.656
1982-09-16,5773908.7872,10373463.2448
1982-09-17,5602648.7808,10177737.5232
1982-09-18,5333525.9136,9908614.656
1982-09-19,5186731.6224,9761820.3648
1982-09-20,5064403.0464,9639491.7888
1982-09-21,4966540.1855999995,9517163.2128
1982-09-22,4966540.1855999995,9517163.2128
1982-09-23,4966540.1855999995,9517163.2128
1982-09-24,4942074.4704,9492697.4976
1982-09-25,4991005.9008,9517163.2128
1982-09-26,5994100.223999999,10520257.536
1982-09-27,6507880.243199999,11009571.84
1982-09-28,7168454.5536,12330720.4608
1982-09-29,7510974.5664,13113623.3472
1982-09-30,7095057.408,12697706.1888
1982-10-01,6703605.9648,12599843.328
1982-10-02,6728071.68,12844500.48
1982-10-03,6458948.8127999995,12575377.6128
1982-10-04,7731166.0032,12306254.7456
1982-10-05,6923797.4015999995,10128806.0928
1982-10-06,6715838.8224,9052314.624
1982-10-07,6094409.65632,8318343.168
1982-10-08,5952508.50816,8098151.7312
1982-10-09,5820393.64608,7780097.4336
1982-10-10,5453407.91808,7413111.7056
1982-10-11,5184285.05088,7143988.8384
1982-10-12,5343312.19968,7070591.6928
1982-10-13,5103548.19072,6654674.5344
1982-10-14,4920055.32672,6458948.8127999995
1982-10-15,4920055.32672,6458948.8127999995
1982-10-16,4993452.47232,6532345.9584
1982-10-17,5042383.90272,6581277.3888
1982-10-18,4983666.18624,6507880.243199999
1982-10-19,4873570.46784,6385551.6672
1982-10-20,4482119.0246399995,5994100.223999999
1982-10-21,4433187.59424,5945168.7935999995
1982-10-22,4433187.59424,5945168.7935999995
1982-10-23,4555516.17024,6067497.3696
1982-10-24,4592214.74304,6116428.8
1982-10-25,4577535.31392,6116428.8
1982-10-26,4650932.45952,6189825.9456
1982-10-27,4724329.6051199995,6263223.0912
1982-10-28,4675398.17472,6214291.6608
1982-10-29,4565302.45632,6116428.8
1982-10-30,4834425.32352,6385551.6672
1982-10-31,4785493.89312,6336620.2368
1982-11-01,4582428.45696,6214291.6608
1982-11-02,4411168.45056,6312154.5216
1982-11-03,4313305.58976,6214291.6608
1982-11-04,4166511.29856,6067497.3696
1982-11-05,4288839.87456,6189825.9456
1982-11-06,4362237.02016,6263223.0912
1982-11-07,4362237.02016,6263223.0912
1982-11-08,4391595.8784,6189825.9456
1982-11-09,4609340.74368,6018565.9392
1982-11-10,4413615.02208,5822840.2176
1982-11-11,4217889.30048,5627114.496
1982-11-12,4120026.43968,5529251.6352
1982-11-13,3960999.2908799998,5382457.344
1982-11-14,3667410.70848,5088868.7616
1982-11-15,3483917.84448,4893143.04
1982-11-16,3498597.2736,4844211.6096
1982-11-17,3753040.7116799997,4942074.4704
1982-11-18,3912067.86048,5088868.7616
1982-11-19,3985465.0060799997,5162265.9072
1982-11-20,3838670.71488,5015471.616
1982-11-21,3667410.70848,4844211.6096
1982-11-22,3606246.42048,4795280.1792
1982-11-23,3361589.26848,4550623.0272
1982-11-24,3361589.26848,4550623.0272
1982-11-25,3337123.55328,4526157.312
1982-11-26,3410520.69888,4599554.4576
1982-11-27,3459452.12928,4648485.888
1982-11-28,3508383.55968,4697417.3184
1982-11-29,3447219.27168,4648485.888
1982-11-30,3545082.13248,4746348.7488
1982-12-01,3642944.99328,4844211.6096
1982-12-02,3412967.2704,4795280.1792
1982-12-03,3310211.26656,4770814.464
1982-12-04,3386054.98368,4819745.8944
1982-12-05,3214794.9772799998,4648485.888
1982-12-06,3068000.68608,4501691.5967999995
1982-12-07,2921206.39488,4354897.3056
1982-12-08,2823343.53408,4257034.4448
1982-12-09,2725480.6732799998,4159171.584
1982-12-10,2652083.52768,4085774.4384
1982-12-11,2921206.39488,4354897.3056
1982-12-12,2872274.96448,4305965.8752
1982-12-13,2957904.96768,4403828.736
1982-12-14,3153630.68928,4599554.4576
1982-12-15,3324890.69568,4770814.464
1982-12-16,3202562.11968,4648485.888
1982-12-17,3202562.11968,4648485.888
1982-12-18,3202562.11968,4648485.888
1982-12-19,3178096.40448,4624020.1728
1982-12-20,3178096.40448,4624020.1728
1982-12-21,3019069.25568,4624020.1728
1982-12-22,2820896.96256,4721883.0336
1982-12-23,3065554.11456,4966540.1855999995
1982-12-24,3090019.82976,4991005.9008
1982-12-25,3016622.68416,4917608.7552
1982-12-26,2820896.96256,4721883.0336
1982-12-27,2546880.95232,4452760.1663999995
1982-12-28,2610491.81184,4526157.312
1982-12-29,2659423.24224,4575088.7424
1982-12-30,2292437.51424,4208103.0144
1982-12-31,2439231.80544,4354897.3056
1983-01-01,2537094.66624,4452760.1663999995
1983-01-02,2723034.10176,4624020.1728
1983-01-03,2576239.81056,4477225.8816
1983-01-04,2698568.38656,4599554.4576
1983-01-05,2918759.82336,4819745.8944
1983-01-06,3163416.97536,5064403.0464
1983-01-07,3285745.55136,5186731.6224
1983-01-08,3241707.264,5113334.4768
1983-01-09,3119378.688,4991005.9008
1983-01-10,3070447.2576,4942074.4704
1983-01-11,2997050.1119999997,4868677.3248
1983-01-12,2850255.8208,4721883.0336
1983-01-13,3045981.5424,4917608.7552
1983-01-14,3134058.11712,4991005.9008
1983-01-15,3329783.83872,5186731.6224
1983-01-16,3256386.69312,5113334.4768
1983-01-17,3378715.26912,5235663.0528
1983-01-18,3036195.25632,4893143.04
1983-01-19,2987263.8259199997,4844211.6096
1983-01-20,2889400.96512,4746348.7488
1983-01-21,2718140.95872,4575088.7424
1983-01-22,3119378.688,4477225.8816
1983-01-23,2923652.9664,4281500.16
1983-01-24,2850255.8208,4208103.0144
1983-01-25,2838022.9632,4183637.2992
1983-01-26,2813557.248,4159171.584
1983-01-27,2789091.5328,4134705.8688
1983-01-28,2801324.3904,4134705.8688
1983-01-29,2703461.5296,4036843.008
1983-01-30,2703461.5296,4036843.008
1983-01-31,2703461.5296,4036843.008
1983-02-01,2678995.8144,4012377.2928
