date,inflow(m3/d),outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C)
1982-01-01,200251.878912,366.985728,,-1.5054475999999966,-17.7555776
1982-01-02,275214.8302848,366.985728,,-2.599900799999997,-10.155516799999997
1982-01-03,328305.4322688,366.985728,,0.5001240000000031,-9.805513999999999
1982-01-04,206490.636288,366.985728,,2.1168036000000043,-11.594417199999999
1982-01-05,150292.8884736,366.985728,,-6.483265199999998,-19.9833732
1982-01-06,122181.78170879999,366.985728,,-8.277723999999997,-25.005635599999998
1982-01-07,239837.4061056,366.985728,,-11.638861999999998,-25.1778592
1982-01-08,283312.98201599997,366.985728,,-5.044364799999997,-16.400011199999998
1982-01-09,210184.95928319998,366.985728,,-6.3999311999999975,-19.805594
1982-01-10,210184.95928319998,366.985728,,-6.705489199999999,-21.4222736
1982-01-11,257868.63820800002,366.985728,,-2.7276795999999983,-18.5389172
1982-01-12,276951.89606400003,366.985728,,1.1167956000000032,-13.211096799999998
1982-01-13,283337.4477312,366.985728,,4.605712400000002,-11.377748799999999
1982-01-14,281845.039104,366.985728,,6.139058000000002,-8.188834399999998
1982-01-15,271765.1644416,366.985728,,3.911262400000002,-2.1165635999999974
1982-01-16,301319.7484032,489.314304,,5.089049600000003,0.1945660000000018
1982-01-17,291606.8594688,611.64288,,5.872389200000004,-0.28321559999999835
1982-01-18,265453.00992,611.64288,,4.9112704000000065,-2.511011199999997
1982-01-19,200056.1531904,611.64288,,0.022342400000002982,-11.288859199999997
1982-01-20,232766.81441279998,611.64288,,-2.2943427999999972,-13.6055444
1982-01-21,196557.55591680002,733.971456,,-1.3776687999999986,-13.211096799999998
1982-01-22,351278.7388416,856.300032,,-0.633218399999997,-11.683306799999997
1982-01-23,364881.67649279995,1100.957184,,7.011287200000002,-0.499883999999998
1982-01-24,441997.6108032,1467.942912,,6.794618800000002,0.6334584000000021
1982-01-25,435832.25057279994,1957.257216,,3.077922400000002,-1.244334399999996
1982-01-26,447428.9995776,2201.914368,,6.266836800000004,-0.8498867999999966
1982-01-27,391329.114624,2348.7086592,,2.9056987999999997,-3.7776879999999977
1982-01-28,354116.7618048,2348.7086592,,4.477933600000004,-3.5165747999999972
1982-01-29,303399.3341952,2348.7086592,,2.1612484000000016,-9.2832876
1982-01-30,330458.4152064,2348.7086592,,5.833500000000004,-5.438812399999998
1982-01-31,264303.1213056,2348.7086592,,5.089049600000003,-4.388803999999997
1982-02-01,320525.3348352,2348.7086592,,3.8668176000000045,-4.433248799999998
1982-02-02,317100.13470720005,2348.7086592,,7.183510800000004,-2.2943427999999972
1982-02-03,228167.25995520002,2348.7086592,,3.3390356000000025,-7.4888287999999985
1982-02-04,115257.9843072,2348.7086592,,-3.077682399999997,-15.222223999999999
1982-02-05,115257.9843072,2348.7086592,,-5.394367599999999,-17.055571999999998
1982-02-06,169987.7892096,2348.7086592,,-8.188834399999998,-15.9222296
1982-02-07,211041.2593152,2348.7086592,,-1.9443399999999968,-13.738878799999998
1982-02-08,245268.79488,2348.7086592,,-4.433248799999998,-17.272240399999998
1982-02-09,215298.29376,2348.7086592,,-1.6387819999999955,-14.127770799999999
1982-02-10,174171.42650879998,2348.7086592,,-5.566591199999998,-19.022254399999998
1982-02-11,234136.894464,2691.228672,,-3.2110167999999977,-15.438892399999999
1982-02-12,287203.0307328,3180.542976,,0.37234520000000515,-14.655552799999999
1982-02-13,368845.1223552,4159.171584,,-0.11099199999999598,-6.355486399999998
1982-02-14,642029.2982784,7339.71456,,8.233519200000003,-0.0665471999999987
1982-02-15,2248692.8154624,7829.028864,,10.327980400000005,2.511251200000004
1982-02-16,5391020.34432,10275.600384,,9.977977600000003,2.7723644000000043
1982-02-17,3992095.2148992,11988.200448000001,,10.9002072,0.23901080000000263
1982-02-18,2439036.0797184,259336.58112,,3.3390356000000025,-3.3832403999999983
1982-02-19,3780197.655552,993308.03712,,15.266908800000003,1.0723508000000024
1982-02-20,4422006.7623936,2091818.6496,,16.9280332,1.4223536000000045
1982-02-21,6683593.0097664,3498597.2736,,11.289099200000003,0.9834612000000043
1982-02-22,4426288.2625536,5039937.3312,,4.261265200000004,-4.783251599999998
1982-02-23,2708036.6183423996,3987911.5776,,2.511251200000004,-6.311041599999998
1982-02-24,1971838.7822592,3841117.2864,,3.3390356000000025,-5.6999255999999985
1982-02-25,1426351.19616,3400734.4128,,3.9557072000000026,-6.444375999999998
1982-02-26,1230136.160256,2373174.3744,,5.611276000000004,-3.2110167999999977
1982-02-27,1345540.9388544,1847161.4976,,9.5890856,-0.6776631999999978
1982-02-28,1287410.3995392001,1834928.64,,8.277964000000004,-2.7721243999999974
1982-03-01,1473496.6293503998,1700367.2064,,12.205773200000003,0.3279004000000043
1982-03-02,1521253.7054207998,941930.0352,,10.155756800000002,-1.1998895999999988
1982-03-03,1234442.1261312,496654.01856,,7.011287200000002,0.23901080000000263
1982-03-04,1183675.7670912,846513.74592,,8.233519200000003,-0.5443287999999988
1982-03-05,1055450.953728,1034899.75296,,9.716864400000006,-1.855450399999997
1982-03-06,1059561.1938816,1034899.75296,,12.472442000000004,-4.605472399999998
1982-03-07,1002898.5974784,1027560.0384,,14.655792800000008,-2.6832347999999975
1982-03-08,1024648.6182912,687486.5971199999,,11.639102000000005,0.15567680000000195
1982-03-09,1064821.3226496,501547.1616,,13.650229200000005,-1.1998895999999988
1982-03-10,1201780.3963392,501547.1616,,13.344671200000004,-1.288779199999997
1982-03-11,1564019.7755904,508886.87616,,10.155756800000002,-2.0332295999999985
1982-03-12,1440125.3938175999,1100957.184,,8.233519200000003,-3.9499115999999983
1982-03-13,1351779.6962304,1489962.05568,,9.500196000000003,-0.3721052
1982-03-14,1513180.0194048,1810462.9248,,9.283527600000003,3.2112568000000046
1982-03-15,1426816.0447488,1908325.7856,,5.7890552000000035,-1.9443399999999968
1982-03-16,1247433.4209024,1883860.0704,,7.316845200000003,-2.949903599999997
1982-03-17,1153705.2659712,1871627.2127999999,,6.966842400000004,-2.7721243999999974
1982-03-18,1094645.0294784,1859394.3551999999,,3.6890384000000047,-1.6832268
1982-03-19,1029052.4470272,1834928.64,,4.5223784000000045,-2.2054531999999973
1982-03-20,1023205.1410944001,1822695.7824,,6.616839600000002,-2.1610083999999983
1982-03-21,870490.146816,1798230.0672,,8.672411600000004,-4.783251599999998
1982-03-22,895616.4363264,1296682.9056,,11.027986000000006,-4.872141199999998
1982-03-23,880741.2814848,374325.44256,,14.961350800000005,-4.827696399999999
1982-03-24,880178.5700352,13211.486208,,16.272472400000005,-2.1610083999999983
1982-03-25,965490.5189376,13211.486208,,16.311361600000005,-0.19432599999999667
1982-03-26,1048600.553472,12477.514752,,14.433568800000003,2.0723588
1982-03-27,1138707.7825536,12477.514752,,11.027986000000006,2.294582800000004
1982-03-28,1018091.8066176,13211.486208,,10.327980400000005,0.5890136000000048
1982-03-29,1098217.0238976,298481.72544,,7.272400400000006,-3.338795599999999
1982-03-30,1035731.5872768,464848.58879999997,,5.305718000000002,-1.244334399999996
1982-03-31,1243494.4407551999,1081384.61184,,6.489060800000004,0.9390163999999999
1982-04-01,1085225.7291264,1477729.19808,,7.316845200000003,-2.994348399999998
1982-04-02,1052074.6850304,1467942.912,,9.455751200000005,-4.344359199999998
1982-04-03,978383.9508479999,1455710.0544,,7.055732000000006,-0.8498867999999966
1982-04-04,922553.1887616,1445923.76832,,8.016850800000004,-3.338795599999999
1982-04-05,885194.0416512,1433690.91072,,6.616839600000002,-4.127690799999998
1982-04-06,853584.3376128,1423904.62464,,6.877952800000006,-2.338787599999998
1982-04-07,889842.5275391999,976182.03648,,7.711292800000006,-3.3832403999999983
1982-04-08,788994.8494848,743757.74208,,10.550204400000005,-5.566591199999998
1982-04-09,899995.7993472,743757.74208,,13.955787200000003,-4.694361999999998
1982-04-10,1106828.955648,743757.74208,,12.205773200000003,-1.288779199999997
1982-04-11,2615751.9406080004,760883.74272,,18.061375600000005,6.266836800000004
1982-04-12,2359033.1910144,1316255.47776,,13.739118800000004,5.305718000000002
1982-04-13,2251897.8241536,1859394.3551999999,,14.350234800000003,6.355726400000002
1982-04-14,2480309.7412608,1993955.7888,,7.972406000000003,0.2834555999999999
1982-04-15,2125630.2680064,2006188.6464,,7.711292800000006,-3.427685199999999
1982-04-16,1929757.7521152,2275311.5136,,11.639102000000005,-3.733243199999997
1982-04-17,1750032.6082559999,2471037.2352,,15.700245600000002,-0.7665527999999959
1982-04-18,1580925.5847935998,2446571.52,,8.189074400000006,-1.3776687999999986
1982-04-19,1578527.9447040001,1871627.2127999999,,10.983541200000005,-3.8665775999999976
1982-04-20,1417249.9501055998,1052025.7536,,12.905778800000004,-2.2943427999999972
1982-04-21,1354226.2677504,680146.8825599999,,17.755817600000007,-2.0332295999999985
1982-04-22,1432516.5563904,592070.30784,,21.861406000000002,-0.8498867999999966
1982-04-23,1756785.1456511999,897891.74784,,24.611428000000004,0.9834612000000043
1982-04-24,2129813.9053056,1822695.7824,,21.2947348,2.422361600000002
1982-04-25,2450265.8429952,2329136.08704,,19.461386800000007,1.027906000000005
1982-04-26,2518329.4626816,2617831.5264,,20.289171200000006,3.777928000000003
1982-04-27,2600240.6771712,2764625.8176,,21.250290000000007,2.5556960000000046
1982-04-28,2600240.6771712,2764625.8176,,15.394687600000005,4.955715200000004
1982-04-29,2665123.7538815998,2764625.8176,,17.011367200000002,-2.6443455999999994
1982-04-30,2578294.9306368,2642297.2416,,21.37806880000001,1.1167956000000032
1982-05-01,2470768.1123328,2568900.096,,24.04475680000001,4.1279308000000015
1982-05-02,2568900.096,2568900.096,,23.650309200000002,4.083486000000004
1982-05-03,2598772.7342592003,2568900.096,,17.889152000000003,3.3390356000000025
1982-05-04,2615825.3377536,2568900.096,,15.572466800000008,-2.466566399999998
1982-05-05,2338530.9216768,2568900.096,,20.11139200000001,-1.6387819999999955
1982-05-06,2134266.665472,2373174.3744,,23.478085600000007,2.994588400000005
1982-05-07,2098032.9412607998,1957257.216,,19.894723600000006,3.8668176000000045
1982-05-08,2013259.2380928,1761531.4944,,13.255781600000002,3.5168148000000024
1982-05-09,2383229.7833472,1957257.216,,10.766872800000005,0.5890136000000048
1982-05-10,1933892.457984,2402533.23264,,14.089121600000002,3.2112568000000046
1982-05-11,1842953.3945856,2030654.3616,,18.844715200000003,0.37234520000000515
1982-05-12,1617868.8147455999,1639202.9184,,20.989176800000003,3.733483200000002
1982-05-13,1556019.48672,1556019.48672,,22.38363240000001,4.694602000000003
1982-05-14,1654151.4703872,1556019.48672,,19.850278800000005,9.5890856
1982-05-15,1902013.6310784,1556019.48672,,21.861406000000002,7.272400400000006
1982-05-16,1963765.0962432,1565805.7728,,23.433640800000006,5.833500000000004
1982-05-17,1841754.5745408,1651435.776,,21.205845200000006,7.755737600000003
1982-05-18,2155820.9605632,2177448.6528,,16.139138000000003,4.650157200000002
1982-05-19,1999215.9175679998,2263078.656,,19.32805240000001,1.027906000000005
1982-05-20,1797740.752896,2263078.656,,22.033629600000005,4.300154400000004
1982-05-21,1752210.0569088,2055120.0768,,25.444768000000003,8.539077200000001
1982-05-22,1715731.6755456,1737065.7792,,24.566983200000003,11.161320400000005
1982-05-23,1772100.6833664002,1477729.19808,,24.611428000000004,7.405734800000001
1982-05-24,1893915.4793472,1467942.912,,27.58367400000001,5.700165600000002
1982-05-25,1891860.3592704,1467942.912,,29.983693200000005,9.022414400000006
1982-05-26,1809435.3647616,1969490.0736,,20.63917400000001,8.450187600000003
1982-05-27,1909867.1256576,2238612.9408,,12.472442000000004,2.6445856000000028
1982-05-28,1818218.5565183999,1896092.928,,16.444696000000008,0.8501268000000017
