date,inflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),outflow(m3/d)
1982-01-01,143882.8710912,,-3.7776879999999977,-19.2833676,51378.00192
1982-01-02,143882.8710912,,-4.955475199999999,-20.2889312,51378.00192
1982-01-03,143882.8710912,,-7.8832764,-22.0333896,51378.00192
1982-01-04,143882.8710912,,0.11123200000000466,-7.794386799999998,51378.00192
1982-01-05,143882.8710912,,-3.8665775999999976,-20.027818,51378.00192
1982-01-06,143882.8710912,,-16.2277876,-27.1889864,51378.00192
1982-01-07,143882.8710912,,-14.783331599999999,-28.2834396,51378.00192
1982-01-08,146525.1683328,,-9.938848399999998,-20.333375999999998,51378.00192
1982-01-09,146500.7026176,,-4.477693599999997,-18.4111384,51378.00192
1982-01-10,146525.1683328,,-6.749933999999998,-16.616679599999998,51378.00192
1982-01-11,146500.7026176,,-8.7555056,-20.8111576,51378.00192
1982-01-12,146525.1683328,,-5.483257199999999,-17.233351199999998,51378.00192
1982-01-13,146500.7026176,,-5.261033199999998,-20.2444864,51378.00192
1982-01-14,146525.1683328,,1.5501324000000025,-15.6611164,51378.00192
1982-01-15,146500.7026176,,3.3834804000000034,-11.511083199999998,51378.00192
1982-01-16,127148.3218944,,4.300154400000004,-12.816649199999999,53824.57344
1982-01-17,127148.3218944,,5.044604800000002,-8.494392399999997,53824.57344
1982-01-18,124677.2846592,,0.5001240000000031,-13.694434,51378.00192
1982-01-19,124701.7503744,,-3.2110167999999977,-12.166643999999998,51378.00192
1982-01-20,124701.7503744,,-6.049928399999999,-17.927801199999998,51378.00192
1982-01-21,124701.7503744,,-3.3832403999999983,-10.983301199999998,51378.00192
1982-01-22,124677.2846592,,-6.527709999999997,-20.3778208,51378.00192
1982-01-23,127148.3218944,,4.083486000000004,-12.9944284,53824.57344
1982-01-24,124701.7503744,,3.4279252000000042,-8.366613599999997,51378.00192
1982-01-25,87734.0547072,,-0.499883999999998,-9.366621599999998,51378.00192
1982-01-26,140359.80810239998,,3.8223728000000037,-6.616599599999999,51378.00192
1982-01-27,145962.45688319998,,-0.9387763999999983,-10.811077599999999,51378.00192
1982-01-28,124701.7503744,,-0.7221079999999986,-11.683306799999997,51378.00192
1982-01-29,127148.3218944,,-5.044364799999997,-18.188914399999998,53824.57344
1982-01-30,127123.8561792,,-7.405494799999998,-15.2666688,53824.57344
1982-01-31,124701.7503744,,1.9001352000000047,-12.383312399999998,51378.00192
1982-02-01,51378.00192,,-3.033237599999998,-14.611107999999998,51378.00192
1982-02-02,211726.2993408,,-4.605472399999998,-16.0944532,51378.00192
1982-02-03,211726.2993408,,-8.405502799999997,-18.0611356,51378.00192
1982-02-04,211726.2993408,,-13.472209999999999,-26.794538799999998,51378.00192
1982-02-05,211726.2993408,,-13.777767999999998,-29.244558400000003,51378.00192
1982-02-06,211726.2993408,,-12.7333152,-27.4945444,51378.00192
1982-02-07,214172.8708608,,-8.233279199999998,-20.988936799999998,53824.57344
1982-02-08,214172.8708608,,-11.205525199999999,-24.833412,53824.57344
1982-02-09,215420.622336,,-8.277723999999997,-22.383392399999998,53824.57344
1982-02-10,214172.8708608,,-10.7666328,-26.361202,53824.57344
1982-02-11,534893.9314176,,-5.8332599999999974,-23.1722876,53824.57344
1982-02-12,-106523.7239808,,-2.816569199999998,-17.8444672,53824.57344
1982-02-13,216619.4423808,,0.6334584000000021,-14.566663199999999,56271.14496
1982-02-14,216619.4423808,,5.566831200000006,-1.027666,56271.14496
1982-02-15,216619.4423808,,5.744610400000006,0.8056820000000045,56271.14496
1982-02-16,302249.4455808,,6.922397600000004,-0.9387763999999983,141901.14816
1982-02-17,401164.33213439997,,4.433488800000003,-4.172135599999999,114988.86144
1982-02-18,375450.8654592,,2.422361600000002,-8.494392399999997,90523.14624
1982-02-19,376698.6169344,,4.739046800000004,-2.1165635999999974,90523.14624
1982-02-20,387683.72305920004,,8.494632400000004,-2.2054531999999973,102756.00384
1982-02-21,370851.3110016,,5.527942000000003,2.2501379999999997,200618.86463999999
1982-02-22,424675.8844416,,7.755737600000003,-5.566591199999998,254443.43808
1982-02-23,324366.45212160004,,-2.249897999999998,-10.633298399999997,154134.00576
1982-02-24,285221.30780159996,,-0.14988119999999583,-14.655552799999999,114988.86144
1982-02-25,271740.6987264,,3.4279252000000042,-12.7333152,102756.00384
1982-02-26,268095.3071616,,4.916826000000004,-8.144389599999998,97862.8608
1982-02-27,270541.8786816,,5.700165600000002,-5.6999255999999985,100309.43231999999
1982-02-28,270541.8786816,,6.094613200000001,-8.188834399999998,100309.43231999999
1982-03-01,218674.5624576,,4.216820400000003,-0.32766039999999563,105202.57536
1982-03-02,364049.842176,,4.605712400000002,-4.038801199999998,127221.71904
1982-03-03,351841.4502912,,3.077922400000002,-7.749941999999997,112542.28992
1982-03-04,339559.66126079997,,4.389044000000002,-6.311041599999998,105202.57536
1982-03-05,340856.34416639997,,3.2112568000000046,-8.6277268,97862.8608
1982-03-06,337186.4868864,,3.6890384000000047,-11.027745999999999,95416.28928
1982-03-07,343327.3814016,,8.450187600000003,-5.6999255999999985,97862.8608
1982-03-08,384919.09724160004,,7.011287200000002,-4.872141199999998,139454.57663999998
1982-03-09,281796.1076736,,8.277964000000004,-4.216580399999998,227531.15136
1982-03-10,306310.754304,,9.455751200000005,-1.9443399999999968,247103.72352
1982-03-11,534257.8228224,,8.100184800000001,-5.044364799999997,305821.44
1982-03-12,475540.1063424,,0.8056820000000045,-8.8443952,247103.72352
1982-03-13,451074.3911424,,7.100176800000003,-7.794386799999998,222638.00832
