date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
1999-10-01 00:00:00+00:00,10.5,8.0,8.9,6.4,15658.057728
1999-10-02 00:00:00+00:00,10.0,7.5,8.4,6.4,15658.057728
1999-10-03 00:00:00+00:00,10.0,7.0,8.3,6.4,15658.057728
1999-10-04 00:00:00+00:00,10.0,7.5,8.4,6.4,15658.057728
1999-10-05 00:00:00+00:00,10.5,8.0,8.8,6.4,15658.057728
1999-10-06 00:00:00+00:00,10.5,8.5,9.3,6.3,15413.400576
1999-10-07 00:00:00+00:00,10.0,9.0,9.4,6.1,14924.086271999999
1999-10-08 00:00:00+00:00,10.0,9.5,9.7,8.5,20795.85792
1999-10-09 00:00:00+00:00,10.5,8.5,9.4,10.0,24465.7152
1999-10-10 00:00:00+00:00,9.5,8.0,8.7,7.2,17615.314944
1999-10-11 00:00:00+00:00,10.0,8.5,9.1,6.7,16392.029184000003
1999-10-12 00:00:00+00:00,10.0,9.0,9.5,6.5,15902.714880000001
1999-10-13 00:00:00+00:00,11.0,9.0,9.7,6.5,15902.714880000001
1999-10-14 00:00:00+00:00,9.5,8.0,8.8,6.3,15413.400576
1999-10-15 00:00:00+00:00,9.5,7.0,8.0,6.0,14679.429119999999
1999-10-16 00:00:00+00:00,,,,6.1,14924.086271999999
1999-10-17 00:00:00+00:00,,,,6.0,14679.429119999999
1999-10-18 00:00:00+00:00,8.0,6.0,6.9,6.1,14924.086271999999
1999-10-19 00:00:00+00:00,,,,6.0,14679.429119999999
1999-10-20 00:00:00+00:00,,,,6.0,14679.429119999999
1999-10-21 00:00:00+00:00,8.0,6.0,6.6,6.0,14679.429119999999
1999-10-22 00:00:00+00:00,8.0,6.0,6.6,6.0,14679.429119999999
1999-10-23 00:00:00+00:00,,,,6.0,14679.429119999999
1999-10-24 00:00:00+00:00,,,,5.7,13945.457664000001
1999-10-25 00:00:00+00:00,8.0,6.5,7.2,5.9,14434.771968000001
1999-10-26 00:00:00+00:00,8.0,7.0,7.4,8.4,20551.200768000002
1999-10-27 00:00:00+00:00,7.5,6.5,7.1,9.4,22997.772288
1999-10-28 00:00:00+00:00,7.5,7.0,7.2,27.0,66057.43104
1999-10-29 00:00:00+00:00,7.0,6.5,7.0,21.0,51378.001919999995
1999-10-30 00:00:00+00:00,8.5,7.0,7.5,13.0,31805.429760000003
1999-10-31 00:00:00+00:00,7.5,6.0,6.9,12.0,29358.858239999998
1999-11-01 00:00:00+00:00,6.5,5.0,5.8,11.0,26912.28672
1999-11-02 00:00:00+00:00,6.0,5.0,5.3,9.8,23976.400896000003
1999-11-03 00:00:00+00:00,6.5,5.0,5.8,9.9,24221.058048000003
