date,avg discharge (cfs),outflow(m3/d)
1987-10-01 00:00:00+00:00,5.1,12477.514752
1987-10-02 00:00:00+00:00,6.0,14679.429119999999
1987-10-03 00:00:00+00:00,5.2,12722.171903999999
1987-10-04 00:00:00+00:00,5.8,14190.114816
1987-10-05 00:00:00+00:00,5.0,12232.8576
1987-10-06 00:00:00+00:00,5.1,12477.514752
1987-10-07 00:00:00+00:00,5.1,12477.514752
1987-10-08 00:00:00+00:00,5.1,12477.514752
1987-10-09 00:00:00+00:00,5.1,12477.514752
1987-10-10 00:00:00+00:00,5.1,12477.514752
1987-10-11 00:00:00+00:00,5.1,12477.514752
1987-10-12 00:00:00+00:00,7.0,17126.00064
1987-10-13 00:00:00+00:00,7.2,17615.314944
1987-10-14 00:00:00+00:00,5.1,12477.514752
1987-10-15 00:00:00+00:00,5.1,12477.514752
1987-10-16 00:00:00+00:00,5.1,12477.514752
1987-10-17 00:00:00+00:00,5.0,12232.8576
1987-10-18 00:00:00+00:00,5.0,12232.8576
1987-10-19 00:00:00+00:00,5.1,12477.514752
1987-10-20 00:00:00+00:00,5.1,12477.514752
1987-10-21 00:00:00+00:00,5.0,12232.8576
1987-10-22 00:00:00+00:00,5.0,12232.8576
1987-10-23 00:00:00+00:00,5.0,12232.8576
1987-10-24 00:00:00+00:00,5.0,12232.8576
1987-10-25 00:00:00+00:00,5.1,12477.514752
1987-10-26 00:00:00+00:00,5.1,12477.514752
1987-10-27 00:00:00+00:00,5.1,12477.514752
1987-10-28 00:00:00+00:00,5.1,12477.514752
1987-10-29 00:00:00+00:00,5.5,13456.14336
1987-10-30 00:00:00+00:00,5.1,12477.514752
1987-10-31 00:00:00+00:00,5.1,12477.514752
1987-11-01 00:00:00+00:00,5.2,12722.171903999999
1987-11-02 00:00:00+00:00,5.6,13700.800511999998
1987-11-03 00:00:00+00:00,5.1,12477.514752
1987-11-04 00:00:00+00:00,5.1,12477.514752
1987-11-05 00:00:00+00:00,5.1,12477.514752
1987-11-06 00:00:00+00:00,5.1,12477.514752
1987-11-07 00:00:00+00:00,5.1,12477.514752
1987-11-08 00:00:00+00:00,5.2,12722.171903999999
1987-11-09 00:00:00+00:00,5.2,12722.171903999999
1987-11-10 00:00:00+00:00,5.1,12477.514752
