date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
2001-06-27 00:00:00+00:00,10.2,9.5,9.8,,
2001-06-28 00:00:00+00:00,10.2,9.3,9.7,,
2001-06-29 00:00:00+00:00,10.8,9.5,10.1,,
2001-06-30 00:00:00+00:00,10.7,9.6,10.1,,
2001-07-01 00:00:00+00:00,11.3,9.7,10.5,,
2001-07-02 00:00:00+00:00,11.7,10.1,10.9,,
2001-07-03 00:00:00+00:00,11.9,10.7,11.3,,
2001-07-04 00:00:00+00:00,12.6,11.1,11.7,,
2001-07-05 00:00:00+00:00,12.5,10.3,11.4,,
2001-07-06 00:00:00+00:00,12.1,10.4,11.2,,
2001-07-07 00:00:00+00:00,12.3,10.5,11.4,,
2001-07-08 00:00:00+00:00,12.5,10.8,11.6,,
2001-07-09 00:00:00+00:00,12.7,11.4,12.0,,
2001-07-10 00:00:00+00:00,12.6,11.7,12.1,,
2001-07-11 00:00:00+00:00,13.3,11.6,12.3,,
2001-07-12 00:00:00+00:00,13.2,11.5,12.3,,
2001-07-13 00:00:00+00:00,13.3,11.2,12.2,,
2001-07-14 00:00:00+00:00,13.0,11.2,12.0,,
2001-07-15 00:00:00+00:00,12.1,11.1,11.6,,
2001-07-16 00:00:00+00:00,11.5,10.7,11.1,,
2001-07-17 00:00:00+00:00,11.5,10.8,11.0,,
2001-07-18 00:00:00+00:00,11.4,10.7,11.0,,
2001-07-19 00:00:00+00:00,12.2,11.1,11.5,,
2001-07-20 00:00:00+00:00,11.5,10.8,11.2,,
2001-07-21 00:00:00+00:00,11.6,10.5,11.1,,
2001-07-22 00:00:00+00:00,12.4,10.9,11.6,,
2001-07-23 00:00:00+00:00,12.8,11.3,12.0,,
2001-07-24 00:00:00+00:00,,,,,
2001-07-25 00:00:00+00:00,12.8,10.9,11.9,,
2001-07-26 00:00:00+00:00,12.8,11.0,11.9,,
2001-07-27 00:00:00+00:00,12.8,11.1,11.9,,
2001-07-28 00:00:00+00:00,12.3,11.7,11.9,,
2001-07-29 00:00:00+00:00,11.7,11.3,11.4,,
2001-07-30 00:00:00+00:00,11.5,11.1,11.3,,
2001-07-31 00:00:00+00:00,12.2,11.0,11.5,,
2001-08-01 00:00:00+00:00,12.4,10.9,11.6,,
2001-08-02 00:00:00+00:00,12.8,11.2,11.9,,
2001-08-03 00:00:00+00:00,12.4,11.7,12.0,,
2001-08-04 00:00:00+00:00,12.0,11.5,11.8,,
2001-08-05 00:00:00+00:00,12.7,10.9,11.8,,
2001-08-06 00:00:00+00:00,13.1,11.5,12.2,,
2001-08-07 00:00:00+00:00,13.5,12.0,12.6,,
2001-08-08 00:00:00+00:00,13.4,11.8,12.6,,
2001-08-09 00:00:00+00:00,13.6,12.0,12.8,,
2001-08-10 00:00:00+00:00,14.0,12.4,13.2,,
2001-08-11 00:00:00+00:00,14.1,12.7,13.3,,
2001-08-12 00:00:00+00:00,13.9,12.8,13.4,,
2001-08-13 00:00:00+00:00,14.4,13.1,13.7,,
2001-08-14 00:00:00+00:00,14.3,13.1,13.6,,
2001-08-15 00:00:00+00:00,14.3,13.1,13.7,,
2001-08-16 00:00:00+00:00,14.4,13.3,13.7,,
2001-08-17 00:00:00+00:00,14.4,13.2,13.6,,
2001-08-18 00:00:00+00:00,13.4,12.6,13.1,,
2001-08-19 00:00:00+00:00,13.3,11.7,12.5,,
2001-08-20 00:00:00+00:00,13.1,11.7,12.4,,
2001-08-21 00:00:00+00:00,12.5,11.6,12.1,,
2001-08-22 00:00:00+00:00,12.4,12.2,12.3,,
2001-08-23 00:00:00+00:00,12.6,12.0,12.2,,
2001-08-24 00:00:00+00:00,12.7,11.6,12.1,,
2001-08-25 00:00:00+00:00,12.7,11.4,12.0,,
2001-08-26 00:00:00+00:00,13.1,11.8,12.4,,
2001-08-27 00:00:00+00:00,13.3,12.1,12.6,,
2001-08-28 00:00:00+00:00,13.2,11.9,12.6,,
2001-08-29 00:00:00+00:00,13.2,11.9,12.6,,
2001-08-30 00:00:00+00:00,13.4,12.2,12.8,,
2001-08-31 00:00:00+00:00,13.4,12.3,12.8,,
2001-09-01 00:00:00+00:00,13.3,12.3,12.7,,
2001-09-02 00:00:00+00:00,13.4,12.3,12.7,,
2001-09-03 00:00:00+00:00,12.9,11.7,12.3,,
2001-09-04 00:00:00+00:00,12.6,11.8,12.3,,
2001-09-05 00:00:00+00:00,12.2,11.4,11.8,,
2001-09-06 00:00:00+00:00,12.0,11.0,11.5,,
2001-09-07 00:00:00+00:00,11.8,10.6,11.2,,
2001-09-08 00:00:00+00:00,11.8,10.5,11.2,,
2001-09-09 00:00:00+00:00,11.8,10.5,11.2,,
2001-09-10 00:00:00+00:00,12.0,10.9,11.4,,
2001-09-11 00:00:00+00:00,12.1,10.9,11.5,,
2001-09-12 00:00:00+00:00,12.6,11.5,12.0,,
2001-09-13 00:00:00+00:00,12.8,11.8,12.3,,
2001-09-14 00:00:00+00:00,13.0,12.0,12.5,,
2001-09-15 00:00:00+00:00,12.9,12.5,12.7,,
2001-09-16 00:00:00+00:00,13.2,12.4,12.7,,
2001-09-17 00:00:00+00:00,12.7,11.8,12.3,,
2001-09-18 00:00:00+00:00,12.3,11.2,11.8,,
2001-09-19 00:00:00+00:00,12.1,11.2,11.7,,
2001-09-20 00:00:00+00:00,11.9,10.8,11.4,,
2001-09-21 00:00:00+00:00,11.6,10.6,11.2,,
2001-09-22 00:00:00+00:00,11.7,10.7,11.2,,
2001-09-23 00:00:00+00:00,11.8,10.9,11.3,,
2001-09-24 00:00:00+00:00,11.9,10.9,11.4,,
2001-09-25 00:00:00+00:00,11.6,11.2,11.5,,
2001-09-26 00:00:00+00:00,11.4,10.8,11.2,,
2001-09-27 00:00:00+00:00,11.0,10.4,10.7,,
2001-10-01 00:00:00+00:00,,,,2.22,5431.3887744
2001-10-02 00:00:00+00:00,,,,2.2,5382.457344
2001-10-03 00:00:00+00:00,,,,2.12,5186.731622400001
2001-10-04 00:00:00+00:00,,,,2.16,5284.5944832000005
2001-10-05 00:00:00+00:00,,,,2.21,5406.923059199999
2001-10-06 00:00:00+00:00,,,,2.21,5406.923059199999
2001-10-07 00:00:00+00:00,,,,2.26,5529.251635199998
2001-10-08 00:00:00+00:00,,,,2.57,6287.6888063999995
2001-10-09 00:00:00+00:00,,,,2.83,6923.797401600001
2001-10-10 00:00:00+00:00,,,,6.49,15878.249164800001
2001-10-11 00:00:00+00:00,,,,30.3,74131.117056
2001-10-12 00:00:00+00:00,,,,13.4,32784.058368000005
2001-10-13 00:00:00+00:00,,,,11.4,27890.915328000003
2001-10-14 00:00:00+00:00,,,,11.0,26912.28672
2001-10-15 00:00:00+00:00,,,,10.7,26178.315264
2001-10-16 00:00:00+00:00,,,,8.58,20991.5836416
2001-10-17 00:00:00+00:00,,,,7.59,18569.477836799997
2001-10-18 00:00:00+00:00,,,,6.71,16416.4948992
2001-10-19 00:00:00+00:00,,,,6.13,14997.4834176
2001-10-20 00:00:00+00:00,,,,5.72,13994.389094399998
2001-10-21 00:00:00+00:00,,,,5.84,14287.9776768
2001-10-22 00:00:00+00:00,,,,147.0,359646.01344
2001-10-23 00:00:00+00:00,,,,184.0,450169.15968000004
2001-10-24 00:00:00+00:00,,,,107.0,261783.15264
2001-10-25 00:00:00+00:00,7.4,6.8,7.0,74.5,182269.57824
2001-10-26 00:00:00+00:00,7.6,6.9,7.2,58.7,143613.748224
2001-10-27 00:00:00+00:00,7.6,7.0,7.3,46.5,113765.57568
2001-10-28 00:00:00+00:00,7.0,6.3,6.7,37.7,92235.74630400001
2001-10-29 00:00:00+00:00,7.3,6.8,7.1,32.2,78779.60294400001
2001-10-30 00:00:00+00:00,8.0,7.3,7.7,83.3,203799.40761599998
2001-10-31 00:00:00+00:00,7.8,7.3,7.6,136.0,332733.72672
2001-11-01 00:00:00+00:00,7.6,7.3,7.4,138.0,337626.86976
2001-11-02 00:00:00+00:00,8.0,7.6,7.8,121.0,296035.15392
2001-11-03 00:00:00+00:00,7.6,7.2,7.4,89.6,219212.80819199997
2001-11-04 00:00:00+00:00,7.3,7.0,7.2,62.9,153889.34860799997
2001-11-05 00:00:00+00:00,7.3,6.5,7.1,53.3,130402.262016
2001-11-06 00:00:00+00:00,6.6,5.8,6.3,42.5,103979.2896
2001-11-07 00:00:00+00:00,5.8,5.3,5.5,34.4,84162.060288
2001-11-08 00:00:00+00:00,5.7,5.1,5.4,28.8,70461.259776
2001-11-09 00:00:00+00:00,6.1,5.3,5.7,24.4,59696.345087999995
2001-11-10 00:00:00+00:00,6.7,5.9,6.3,21.6,52845.944832
2001-11-11 00:00:00+00:00,7.2,6.4,6.8,19.4,47463.48748799999
2001-11-12 00:00:00+00:00,7.5,7.0,7.3,19.7,48197.458944
2001-11-13 00:00:00+00:00,7.8,7.4,7.5,46.7,114254.889984
2001-11-14 00:00:00+00:00,8.4,7.8,8.1,99.4,243189.209088
2001-11-15 00:00:00+00:00,8.1,7.8,8.0,71.7,175419.17798399998
2001-11-16 00:00:00+00:00,7.8,7.1,7.6,86.6,211873.09363199997
2001-11-17 00:00:00+00:00,7.1,6.1,6.8,85.8,209915.83641599998
2001-11-18 00:00:00+00:00,6.4,5.8,6.1,68.3,167100.834816
2001-11-19 00:00:00+00:00,7.2,6.2,6.7,61.2,149730.177024
2001-11-20 00:00:00+00:00,7.1,7.0,7.0,66.1,161718.37747199996
2001-11-21 00:00:00+00:00,7.0,6.3,6.6,87.1,213096.37939199997
2001-11-22 00:00:00+00:00,6.7,5.9,6.4,423.0,1034899.75296
2001-11-23 00:00:00+00:00,6.5,6.2,6.4,357.0,873426.03264
2001-11-24 00:00:00+00:00,6.2,5.5,6.0,182.0,445276.01664
2001-11-25 00:00:00+00:00,5.5,4.3,5.1,138.0,337626.86976
2001-11-26 00:00:00+00:00,5.1,4.7,5.0,109.0,266676.29568
2001-11-27 00:00:00+00:00,5.0,4.8,4.9,86.2,210894.465024
2001-11-28 00:00:00+00:00,5.0,3.2,4.3,168.0,411024.01535999996
2001-11-29 00:00:00+00:00,5.2,4.5,5.0,272.0,665467.45344
2001-11-30 00:00:00+00:00,5.2,4.8,5.0,183.0,447722.58816
2001-12-01 00:00:00+00:00,5.3,5.1,5.2,210.0,513780.0192
2001-12-02 00:00:00+00:00,5.8,5.3,5.6,194.0,474634.87488
2001-12-03 00:00:00+00:00,5.6,4.9,5.3,153.0,374325.44256
2001-12-04 00:00:00+00:00,4.9,3.4,4.3,125.0,305821.44
2001-12-05 00:00:00+00:00,4.3,3.3,4.0,102.0,249550.29504
2001-12-06 00:00:00+00:00,5.1,3.8,4.3,301.0,736418.02752
2001-12-07 00:00:00+00:00,5.4,5.1,5.2,308.0,753544.02816
2001-12-08 00:00:00+00:00,5.4,5.0,5.2,184.0,450169.15968000004
2001-12-09 00:00:00+00:00,5.1,4.7,4.9,141.0,344966.58432
2001-12-10 00:00:00+00:00,4.7,3.8,4.2,121.0,296035.15392
2001-12-11 00:00:00+00:00,4.3,3.8,4.1,99.8,244167.83769599997
2001-12-12 00:00:00+00:00,4.4,4.1,4.3,87.6,214319.66515199997
2001-12-13 00:00:00+00:00,4.7,4.1,4.4,388.0,949269.74976
2001-12-14 00:00:00+00:00,4.5,4.1,4.3,491.0,1201266.61632
2001-12-15 00:00:00+00:00,4.4,4.2,4.3,184.0,450169.15968000004
2001-12-16 00:00:00+00:00,5.1,4.4,4.7,327.0,800028.8870400001
2001-12-17 00:00:00+00:00,5.0,4.7,4.8,397.0,971288.89344
2001-12-18 00:00:00+00:00,4.8,4.5,4.6,200.0,489314.304
2001-12-19 00:00:00+00:00,4.8,4.6,4.7,128.0,313161.15456
2001-12-20 00:00:00+00:00,4.7,4.2,4.5,104.0,254443.43808000002
2001-12-21 00:00:00+00:00,4.5,4.2,4.4,82.1,200863.52179199998
2001-12-22 00:00:00+00:00,4.4,3.9,4.2,65.5,160250.43456
2001-12-23 00:00:00+00:00,4.3,3.7,4.0,52.6,128689.66195200001
2001-12-24 00:00:00+00:00,3.7,3.4,3.5,44.8,109606.40409599998
2001-12-25 00:00:00+00:00,3.8,3.3,3.5,38.7,94682.317824
2001-12-26 00:00:00+00:00,3.8,3.3,3.6,33.0,80736.86016
2001-12-27 00:00:00+00:00,4.0,3.7,3.8,30.2,73886.45990399999
2001-12-28 00:00:00+00:00,4.3,3.8,4.0,39.8,97373.546496
2001-12-29 00:00:00+00:00,4.2,3.8,4.0,40.0,97862.8608
2001-12-30 00:00:00+00:00,4.3,4.0,4.2,37.1,90767.80339199999
2001-12-31 00:00:00+00:00,4.5,4.2,4.3,49.5,121105.29024
2002-01-01 00:00:00+00:00,4.5,4.2,4.4,70.9,173461.92076800004
2002-01-02 00:00:00+00:00,4.9,4.5,4.6,122.0,298481.72543999995
2002-01-03 00:00:00+00:00,4.5,4.5,4.5,139.0,340073.44128
2002-01-04 00:00:00+00:00,4.7,4.3,4.5,110.0,269122.8672
2002-01-05 00:00:00+00:00,4.9,4.5,4.7,92.8,227041.837056
2002-01-06 00:00:00+00:00,5.3,4.8,5.0,155.0,379218.5856
2002-01-07 00:00:00+00:00,5.4,5.2,5.3,346.0,846513.74592
2002-01-08 00:00:00+00:00,5.4,5.0,5.1,503.0,1230625.47456
2002-01-09 00:00:00+00:00,5.1,4.7,4.9,242.0,592070.30784
2002-01-10 00:00:00+00:00,5.1,4.6,4.8,145.0,354752.87039999996
2002-01-11 00:00:00+00:00,5.1,4.7,4.9,113.0,276462.58176000003
2002-01-12 00:00:00+00:00,5.0,4.5,4.9,124.0,303374.86848
2002-01-13 00:00:00+00:00,4.5,4.1,4.3,124.0,303374.86848
2002-01-14 00:00:00+00:00,4.3,4.0,4.2,103.0,251996.86656
2002-01-15 00:00:00+00:00,4.0,3.5,3.7,78.3,191566.550016
2002-01-16 00:00:00+00:00,3.6,2.5,3.2,61.4,150219.491328
2002-01-17 00:00:00+00:00,3.6,3.0,3.4,49.9,122083.91884799999
2002-01-18 00:00:00+00:00,3.6,3.1,3.5,42.5,103979.2896
2002-01-19 00:00:00+00:00,3.1,2.6,2.8,37.7,92235.74630400001
2002-01-20 00:00:00+00:00,2.7,0.4,1.4,35.8,87587.260416
2002-01-21 00:00:00+00:00,2.0,0.8,1.4,34.2,83672.74598400001
2002-01-22 00:00:00+00:00,1.7,0.1,1.1,42.4,103734.632448
2002-01-23 00:00:00+00:00,2.4,1.5,2.1,38.4,93948.34636799998
2002-01-24 00:00:00+00:00,2.7,2.3,2.5,36.3,88810.54617599999
2002-01-25 00:00:00+00:00,2.8,2.0,2.4,76.7,187652.03558400003
2002-01-26 00:00:00+00:00,3.0,2.5,2.8,67.7,165632.891904
2002-01-27 00:00:00+00:00,3.2,2.0,2.9,51.8,126732.40473599998
2002-01-28 00:00:00+00:00,3.1,2.7,3.0,43.1,105447.232512
2002-01-29 00:00:00+00:00,3.1,2.6,2.9,36.0,88076.57472
2002-01-30 00:00:00+00:00,3.4,3.0,3.2,33.0,80736.86016
2002-01-31 00:00:00+00:00,3.4,2.8,3.2,30.0,73397.1456
2002-02-01 00:00:00+00:00,3.3,2.8,3.2,28.0,68504.00256
2002-02-02 00:00:00+00:00,3.5,3.3,3.4,27.0,66057.43104
2002-02-03 00:00:00+00:00,3.7,3.3,3.5,26.0,63610.859520000005
2002-02-04 00:00:00+00:00,3.5,3.0,3.2,25.4,62142.91660799999
2002-02-05 00:00:00+00:00,3.6,3.2,3.4,25.2,61653.602304
2002-02-06 00:00:00+00:00,3.8,3.3,3.6,26.4,64589.488128
2002-02-07 00:00:00+00:00,3.3,2.4,3.1,39.9,97618.203648
2002-02-08 00:00:00+00:00,3.6,2.6,3.3,54.9,134316.776448
2002-02-09 00:00:00+00:00,4.0,3.5,3.7,48.0,117435.43295999999
2002-02-10 00:00:00+00:00,4.1,3.6,3.9,42.0,102756.00383999999
2002-02-11 00:00:00+00:00,4.2,3.7,3.9,40.0,97862.8608
2002-02-12 00:00:00+00:00,4.1,3.4,3.7,39.1,95660.946432
2002-02-13 00:00:00+00:00,3.9,3.4,3.7,36.0,88076.57472
2002-02-14 00:00:00+00:00,3.9,3.3,3.6,36.0,88076.57472
2002-02-15 00:00:00+00:00,4.0,3.4,3.7,35.0,85630.00319999999
2002-02-16 00:00:00+00:00,4.2,3.8,4.0,37.0,90523.14624
2002-02-17 00:00:00+00:00,4.4,3.7,4.0,40.0,97862.8608
