date,computed flow(m3/d),inflow(m3/d),wse(m),storage(m3),power discharge (m3/d),outflow(m3/d)
1982-01-01,,,756.40692,,,3596460.1344
1982-01-02,,,756.31548,,,3474131.5584
1982-01-03,,,756.443496,,,3253940.1215999997
1982-01-04,,,756.46788,,,3669857.28
1982-01-05,,,756.3612,,,3498597.2736
1982-01-06,,,756.3612,,,3033748.6848
1982-01-07,,,756.4008240000001,,,2813557.248
1982-01-08,,,756.486168,,,2789091.5328
1982-01-09,,,756.6416160000001,,,3571994.4192
1982-01-10,,,756.403872,,,3547528.704
1982-01-11,,,756.367296,,,3107145.8304
1982-01-12,,,757.104912,,,2201914.368
1982-01-13,,,756.812304,,,3474131.5584
1982-01-14,,,756.708672,,,3400734.4128
1982-01-15,,,756.507504,,,3523062.9888
1982-01-16,,,756.397776,,,3449665.8432
1982-01-17,,,756.547128,,,3425200.128
1982-01-18,,,756.9464160000001,,,3131611.5456
1982-01-19,,,757.272552,,,2935885.824
1982-01-20,,,756.989088,,,3327337.2672
1982-01-21,,,756.5196960000001,,,3449665.8432
1982-01-22,,,756.23928,,,3180542.976
1982-01-23,,,756.388632,,,2862488.6784
1982-01-24,,,756.7879200000001,,,2740160.1023999997
1982-01-25,,,756.92508,,,3474131.5584
1982-01-26,,,757.0927200000001,,,3694322.9952
1982-01-27,,,757.18416,,,5113334.4768
1982-01-28,,,757.5194400000001,,,4746348.7488
1982-01-29,,,757.8852,,,4721883.0336
1982-01-30,,,758.7386400000001,,,4575088.7424
1982-01-31,,,759.1044,,,6263223.0912
1982-02-01,,,758.7996,,,7168454.5536
1982-02-02,,,758.375928,,,7755631.7184
1982-02-03,,,758.19,,,7535440.2816
1982-02-04,,,758.1839040000001,,,7437577.4207999995
1982-02-05,,,758.1717120000001,,,5186731.6224
1982-02-06,,,757.943112,,,2789091.5328
1982-02-07,,,758.199144,,,4746348.7488
1982-02-08,,,758.19,,,4746348.7488
1982-02-09,,,758.19,,,6850400.256
1982-02-10,,,758.19,,,6556811.6736
1982-02-11,,,758.19,,,6703605.9648
1982-02-12,,,758.19,,,7070591.6928
1982-02-13,,,758.19,,,7682234.5728
1982-02-14,,,758.19,,,10838311.8336
1982-02-15,,,758.4368880000001,,,20282077.9008
1982-02-16,,,758.76912,,,28380229.632
1982-02-17,,,758.6624400000001,,,27401601.024
1982-02-18,,,758.4582240000001,,,23315826.5856
1982-02-19,,,758.952,,,21383035.0848
1982-02-20,,,758.952,,,23217963.724799998
1982-02-21,,,759.05868,,,26422972.416
1982-02-22,,,759.39396,,,31805429.759999998
1982-02-23,,,759.5676960000001,,,24710372.351999998
1982-02-24,,,759.5676960000001,,,17150466.3552
1982-02-25,,,759.598176,,,14018854.8096
1982-02-26,,,759.59208,,,12575377.6128
1982-02-27,,,759.59208,,,11376557.568
1982-02-28,,,759.59208,,,10348997.5296
1982-03-01,,,759.5616,,,10104340.3776
1982-03-02,,,759.5616,,,13162554.7776
1982-03-03,,,759.5616,,,14801757.696
1982-03-04,,,759.5616,,,17590849.2288
1982-03-05,,,759.5616,,,16563289.1904
1982-03-06,,,759.5616,,,15780386.304
1982-03-07,,,759.5616,,,15340003.430399999
1982-03-08,,,759.5616,,,15168743.424
1982-03-09,,,759.5616,,,14973017.702399999
1982-03-10,,,759.5616,,,15095346.2784
1982-03-11,,,759.7902,,,15902714.879999999
1982-03-12,,,760.1712,,,16440960.6144
1982-03-13,,,760.476,,,15780386.304
1982-03-14,,,760.476,,,16098440.6016
1982-03-15,,,760.476,,,16832412.0576
1982-03-16,,,760.476,,,15853783.4496
1982-03-17,,,760.476,,,15266606.2848
1982-03-18,,,760.476,,,14973017.702399999
1982-03-19,,,760.476,,,14630497.6896
1982-03-20,,,760.476,,,14141183.3856
1982-03-21,,,760.476,,,13725266.2272
1982-03-22,,,760.476,,,13333814.784
1982-03-23,,,760.476,,,13138089.0624
1982-03-24,,,760.476,,,13211486.208
1982-03-25,,,760.476,,,13382746.214399999
1982-03-26,,,760.476,,,14483703.3984
1982-03-27,,,760.476,,,15291072.0
1982-03-28,,,760.476,,,15609126.2976
1982-03-29,,,760.476,,,15829317.7344
1982-03-30,,,760.476,,,15217674.8544
1982-03-31,,,760.476,,,15242140.5696
1982-04-01,,,760.61316,,,14948551.9872
1982-04-02,,,760.7868960000001,,,13945457.663999999
1982-04-03,,,761.021592,,,14826223.4112
1982-04-04,,,761.11608,,,15021949.1328
1982-04-05,,,761.1831360000001,,,13872060.5184
1982-04-06,,,761.238,,,14287977.6768
1982-04-07,,,761.238,,,13896526.2336
1982-04-08,,,761.238,,,13382746.214399999
1982-04-09,,,761.238,,,13089157.632
1982-04-10,,,761.238,,,13138089.0624
1982-04-11,,,761.238,,,15878249.1648
1982-04-12,,,761.238,,,25199686.656
1982-04-13,,,761.238,,,26667629.568
1982-04-14,,,761.238,,,27156943.872
1982-04-15,,,761.238,,,25689000.96
1982-04-16,,,761.238,,,21970212.2496
1982-04-17,,,761.238,,,20257612.1856
1982-04-18,,,761.238,,,19303449.292799998
1982-04-19,,,761.238,,,17737643.52
1982-04-20,,,761.238,,,16636686.336
1982-04-21,,,761.238,,,16465426.329599999
1982-04-22,,,761.238,,,17174932.0704
1982-04-23,,,761.238,,,19009860.7104
1982-04-24,,,761.238,,,21994677.9648
1982-04-25,,,761.238,,,23682812.3136
1982-04-26,,,761.238,,,24098729.472
1982-04-27,,,761.238,,,23878538.0352
1982-04-28,,,761.238,,,24955029.504
1982-04-29,,,761.238,,,25199686.656
1982-04-30,,,761.238,,,23927469.4656
1982-05-01,,,761.238,,,24074263.7568
1982-05-02,,,761.238,,,26422972.416
1982-05-03,,,761.238,,,30582144.0
1982-05-04,,,761.238,,,28869543.936
1982-05-05,,,761.238,,,24318920.9088
1982-05-06,,,761.238,,,21872349.3888
1982-05-07,,,761.238,,,21994677.9648
1982-05-08,,,761.238,,,22288266.547199998
1982-05-09,,,761.238,,,20991583.641599998
1982-05-10,,,761.238,,,20453337.9072
1982-05-11,,,761.238,,,20110817.8944
1982-05-12,,,761.238,,,19670435.0208
1982-05-13,,,761.238,,,19915092.1728
1982-05-14,,,761.238,,,21309637.9392
1982-05-15,,,761.238,,,23584949.4528
1982-05-16,,,761.238,,,25933658.112
1982-05-17,,,761.238,,,28380229.632
1982-05-18,,,761.238,,,28380229.632
1982-05-19,,,761.238,,,28380229.632
1982-05-20,,,761.238,,,26178315.264
1982-05-21,,,761.238,,,25444343.808
1982-05-22,,,761.238,,,26178315.264
1982-05-23,,,761.238,,,27646258.176
1982-05-24,,,761.238,,,28380229.632
1982-05-25,,,761.238,,,28869543.936
1982-05-26,,,761.238,,,31071458.304
1982-05-27,,,761.238,,,33028715.52
1982-05-28,,,761.238,,,29358858.24
1982-05-29,,,761.238,,,25933658.112
1982-05-30,,,761.238,,,23022238.0032
1982-05-31,,,761.238,,,20844789.3504
1982-06-01,,,761.238,,,20012955.0336
1982-06-02,,,761.238,,,20869255.0656
1982-06-03,,,761.238,,,22557389.4144
1982-06-04,,,761.238,,,23144566.5792
1982-06-05,,,761.238,,,23169032.2944
1982-06-06,,,761.238,,,23242429.44
1982-06-07,,,761.238,,,21016049.3568
1982-06-08,,,761.238,,,20184215.04
1982-06-09,,,761.238,,,19597037.8752
1982-06-10,,,761.238,,,19817229.312
1982-06-11,,,761.238,,,21896815.104
1982-06-12,,,761.238,,,24343386.623999998
1982-06-13,,,761.238,,,27401601.024
1982-06-14,,,761.238,,,29358858.24
1982-06-15,,,761.238,,,31805429.759999998
1982-06-16,,,761.238,,,33273372.672
1982-06-17,,,761.238,,,32784058.368
1982-06-18,,,761.238,,,33762686.975999996
1982-06-19,,,761.238,,,34252001.28
1982-06-20,,,761.238,,,34007344.128
1982-06-21,,,761.238,,,33762686.975999996
1982-06-22,,,761.238,,,34007344.128
1982-06-23,,,761.238,,,34007344.128
1982-06-24,,,761.238,,,33762686.975999996
1982-06-25,,,761.238,,,34007344.128
1982-06-26,,,761.238,,,33028715.52
1982-06-27,,,761.238,,,31805429.759999998
1982-06-28,,,761.238,,,32539401.216
1982-06-29,,,761.238,,,32539401.216
1982-06-30,,,761.238,,,31071458.304
1982-07-01,,,761.238,,,30337486.848
1982-07-02,,,761.238,,,31071458.304
1982-07-03,,,761.238,,,30826801.152
1982-07-04,,,761.238,,,29848172.544
1982-07-05,,,761.238,,,28624886.783999998
1982-07-06,,,761.238,,,26178315.264
1982-07-07,,,761.238,,,24955029.504
1982-07-08,,,761.238,,,25444343.808
1982-07-09,,,761.238,,,24710372.351999998
1982-07-10,,,761.238,,,23633880.8832
1982-07-11,,,761.238,,,20795857.919999998
1982-07-12,,,761.238,,,17688712.0896
1982-07-13,,,761.238,,,16000577.740799999
1982-07-14,,,761.238,,,15584660.5824
1982-07-15,,,761.238,,,15070880.5632
1982-07-16,,,761.238,,,13774197.6576
1982-07-17,,,761.238,,,12648774.7584
1982-07-18,,,761.238,,,11914803.3024
1982-07-19,,,761.238,,,10691517.5424
1982-07-20,,,761.238,,,9492697.4976
1982-07-21,,,761.238,,,8807657.472
1982-07-22,,,761.238,,,7853494.5792
1982-07-23,,,761.238,,,7290783.1296
1982-07-24,,,761.238,,,6458948.8127999995
1982-07-25,,,761.238,,,5847305.9328
1982-07-26,,,761.238,,,5480320.2047999995
1982-07-27,,,761.238,,,5162265.9072
1982-07-28,,,761.238,,,5309060.1984
1982-07-29,,,761.238,,,5651580.2112
1982-07-30,,,761.238,,,5039937.3312
1982-07-31,,,761.238,,,5088868.7616
1982-08-01,,,761.238,,,5113334.4768
1982-08-02,,,761.238,,,5015471.616
1982-08-03,,,761.238,,,4942074.4704
1982-08-04,,,761.238,,,4966540.1855999995
1982-08-05,,,761.238,,,5064403.0464
1982-08-06,,,761.238,,,4991005.9008
1982-08-07,,,761.238,,,4966540.1855999995
1982-08-08,,,761.238,,,4868677.3248
1982-08-09,,,761.238,,,5357991.6288
1982-08-10,,,761.238,,,5260128.768
1982-08-11,,,761.238,,,5015471.616
1982-08-12,,,761.238,,,4966540.1855999995
1982-08-13,,,761.238,,,4770814.464
1982-08-14,,,761.238,,,4819745.8944
1982-08-15,,,761.238,,,4770814.464
1982-08-16,,,761.238,,,4648485.888
1982-08-17,,,761.238,,,4868677.3248
1982-08-18,,,761.238,,,4795280.1792
1982-08-19,,,761.238,,,4770814.464
1982-08-20,,,761.238,,,4844211.6096
1982-08-21,,,761.238,,,4893143.04
1982-08-22,,,761.238,,,4795280.1792
1982-08-23,,,761.238,,,4795280.1792
1982-08-24,,,761.238,,,4819745.8944
1982-08-25,,,761.238,,,4624020.1728
1982-08-26,,,761.238,,,4819745.8944
1982-08-27,,,761.238,,,4942074.4704
1982-08-28,,,761.238,,,4770814.464
1982-08-29,,,761.238,,,4844211.6096
1982-08-30,,,761.238,,,5039937.3312
1982-08-31,,,761.238,,,5186731.6224
1982-09-01,,,761.238,,,4868677.3248
1982-09-02,,,761.238,,,4819745.8944
1982-09-03,,,761.238,,,4795280.1792
1982-09-04,,,761.238,,,4942074.4704
1982-09-05,,,761.238,,,4868677.3248
1982-09-06,,,761.238,,,5088868.7616
1982-09-07,,,761.238,,,5137800.192
1982-09-08,,,761.238,,,5211197.3376
1982-09-09,,,761.238,,,5211197.3376
1982-09-10,,,761.238,,,5235663.0528
1982-09-11,,,761.238,,,5309060.1984
1982-09-12,,,761.238,,,5553717.3504
1982-09-13,,,761.238,,,5798374.5024
1982-09-14,,,761.238,,,5994100.223999999
1982-09-15,,,761.238,,,5871771.648
1982-09-16,,,761.238,,,5406923.0592
1982-09-17,,,761.238,,,5406923.0592
1982-09-18,,,761.238,,,4966540.1855999995
1982-09-19,,,761.238,,,5039937.3312
1982-09-20,,,761.238,,,6116428.8
1982-09-21,,,761.238,,,6312154.5216
1982-09-22,,,761.238,,,5651580.2112
1982-09-23,,,761.238,,,5382457.344
1982-09-24,,,761.238,,,5309060.1984
1982-09-25,,,761.238,,,5406923.0592
1982-09-26,,,761.238,,,6556811.6736
1982-09-27,,,761.238,,,6752537.3952
1982-09-28,,,761.238,,,6165360.2304
1982-09-29,,,761.238,,,6556811.6736
1982-09-30,,,761.238,,,6581277.3888
1982-10-01,,,761.238,,,6189825.9456
1982-10-02,,,761.238,,,6165360.2304
1982-10-03,,,761.238,,,6116428.8
1982-10-04,,,761.238,,,6336620.2368
1982-10-05,,,761.238,,,6728071.68
1982-10-06,,,761.238,,,6507880.243199999
1982-10-07,,,761.238,,,6532345.9584
1982-10-08,,,761.238,,,6703605.9648
1982-10-09,,,761.238,,,6532345.9584
1982-10-10,,,761.238,,,6483414.528
1982-10-11,,,761.238,,,6385551.6672
1982-10-12,,,761.238,,,6385551.6672
1982-10-13,,,761.2136160000001,,,3890048.7168
1982-10-14,,,761.2136160000001,,,2130963.79392
1982-10-15,,,761.2197120000001,,,2764625.8176
1982-10-16,,,761.2197120000001,,,2960351.5392
1982-10-17,,,761.2197120000001,,,2911420.1088
1982-10-18,,,761.2197120000001,,,2862488.6784
1982-10-19,,,761.2197120000001,,,2789091.5328
1982-10-20,,,761.2197120000001,,,2789091.5328
1982-10-21,,,761.2197120000001,,,2764625.8176
1982-10-22,,,761.2197120000001,,,2984817.2544
1982-10-23,,,761.2319040000001,,,3229474.4063999997
1982-10-24,,,761.2319040000001,,,4208103.0144
1982-10-25,,,761.103888,,,4159171.584
1982-10-26,,,760.951488,,,4232568.7296
1982-10-27,,,760.7868960000001,,,5627114.496
1982-10-28,,,760.619256,,,4648485.888
1982-10-29,,,760.476,,,4575088.7424
1982-10-30,,,760.3236,,,5186731.6224
1982-10-31,,,760.1712,,,4672951.6032
1982-11-01,,,760.0188,,,4354897.3056
1982-11-02,,,759.966984,,,3865583.0016
1982-11-03,,,760.0188,,,3890048.7168
1982-11-04,,,760.0188,,,6410017.3824
1982-11-05,,,759.97308,,,5969634.5088
1982-11-06,,,759.8724960000001,,,4159171.584
1982-11-07,,,759.890784,,,3327337.2672
1982-11-08,,,759.9426000000001,,,3058214.4
1982-11-09,,,759.92736,,,3253940.1215999997
1982-11-10,,,759.909072,,,3253940.1215999997
1982-11-11,,,759.909072,,,3131611.5456
1982-11-12,,,759.936504,,,3009282.9696
1982-11-13,,,759.902976,,,2935885.824
1982-11-14,,,759.9121200000001,,,2911420.1088
1982-11-15,,,759.89688,,,2544434.3808
1982-11-16,,,759.89688,,,2691228.672
1982-11-17,,,759.9060240000001,,,3107145.8304
1982-11-18,,,759.966984,,,3669857.28
1982-11-19,,,759.936504,,,5627114.496
1982-11-20,,,759.9060240000001,,,5406923.0592
1982-11-21,,,759.9243120000001,,,4893143.04
1982-11-22,,,759.8694480000001,,,4672951.6032
1982-11-23,,,759.9060240000001,,,4134705.8688
1982-11-24,,,759.89688,,,4330431.5904
1982-11-25,,,759.9578400000001,,,5211197.3376
1982-11-26,,,760.302264,,,5945168.7935999995
1982-11-27,,,759.997464,,,6214291.6608
1982-11-28,,,760.0188,,,6532345.9584
1982-11-29,,,760.006608,,,7829028.864
1982-11-30,,,759.8877360000001,,,7413111.7056
1982-12-01,,,759.9578400000001,,,5211197.3376
1982-12-02,,,759.9761280000001,,,6874865.9712
1982-12-03,,,759.921264,,,7731166.0032
1982-12-04,,,759.991368,,,8171548.8768
1982-12-05,,,759.966984,,,8563000.32
1982-12-06,,,759.936504,,,10153271.808
1982-12-07,,,759.936504,,,7926891.7248
1982-12-08,,,759.918216,,,6018565.9392
1982-12-09,,,759.9060240000001,,,5333525.9136
1982-12-10,,,759.9517440000001,,,5088868.7616
1982-12-11,,,759.98832,,,5162265.9072
1982-12-12,,,759.9761280000001,,,5186731.6224
1982-12-13,,,759.930408,,,5724977.3568
1982-12-14,,,759.930408,,,5773908.7872
1982-12-15,,,759.979176,,,6581277.3888
1982-12-16,,,759.948696,,,7902426.0095999995
1982-12-17,,,759.948696,,,9419300.352
1982-12-18,,,759.9060240000001,,,8514068.8896
1982-12-19,,,759.8877360000001,,,7706700.288
1982-12-20,,,759.8877360000001,,,7437577.4207999995
1982-12-21,,,760.0188,,,11034037.5552
1982-12-22,,,759.9395519999999,,,16269700.608
1982-12-23,,,759.9395519999999,,,11939269.0176
1982-12-24,,,759.902976,,,9615026.0736
1982-12-25,,,759.915168,,,8220480.3072
1982-12-26,,,759.97308,,,7975823.1552
1982-12-27,,,759.9578400000001,,,8147083.1616
1982-12-28,,,759.9426000000001,,,6091963.0848
1982-12-29,,,759.9517440000001,,,5578183.0656
1982-12-30,,,759.909072,,,5969634.5088
1982-12-31,,,759.948696,,,6214291.6608
1983-01-01,,,759.902976,,,6361085.952
1983-01-02,,,759.933456,,,5896237.3632
1983-01-03,,,759.9578400000001,,,6630208.8192
1983-01-04,,,759.930408,,,7437577.4207999995
1983-01-05,,,759.9639360000001,,,7706700.288
1983-01-06,,,759.98832,,,10764914.688
1983-01-07,,,759.948696,,,18349286.4
1983-01-08,,,759.9578400000001,,,19572572.16
1983-01-09,,,759.9578400000001,,,14434771.968
1983-01-10,,,759.9243120000001,,,12722171.904
1983-01-11,,,759.9243120000001,,,11254228.992
1983-01-12,,,759.9060240000001,,,10030943.232
1983-01-13,,,759.921264,,,9125711.7696
1983-01-14,,,759.9060240000001,,,8734260.3264
1983-01-15,,,759.918216,,,8269411.7376
1983-01-16,,,759.92736,,,8049220.3008
1983-01-17,,,759.92736,,,8244946.0224
1983-01-18,,,759.9426000000001,,,8000288.870399999
1983-01-19,,,759.9578400000001,,,7926891.7248
1983-01-20,,,759.9426000000001,,,7975823.1552
1983-01-21,,,759.9578400000001,,,7731166.0032
1983-01-22,,,759.9578400000001,,,7633303.1424
1983-01-23,,,759.9578400000001,,,7657768.8576
1983-01-24,,,759.97308,,,7608837.4272
1983-01-25,,,759.9426000000001,,,8244946.0224
1983-01-26,,,759.9426000000001,,,7706700.288
1983-01-27,,,759.97308,,,8098151.7312
1983-01-28,,,759.948696,,,8489603.1744
1983-01-29,,,759.9608880000001,,,8073686.016
1983-01-30,,,759.9456480000001,,,8098151.7312
1983-01-31,,,759.930408,,,7804563.1488
1983-02-01,,,759.838968,,,7633303.1424
1983-02-02,,,759.732288,,,7510974.5664
1983-02-03,,,759.5707440000001,,,7437577.4207999995
1983-02-04,,,759.5707440000001,,,6654674.5344
