date,storage(m3),avg water temperature (C),min air temperature (C),max air temperature (C),avg air temperature (C),power discharge (m3/d)
1982-01-01,413328083.6844,,-12.222199999999999,-1.666559999999997,,
1982-01-02,413828568.1944,,-7.777719999999999,-1.110999999999997,,
1982-01-03,413828568.1944,,-11.666639999999997,-3.888799999999998,,
1982-01-04,414588663.24,,-8.333279999999998,-1.666559999999997,,
1982-01-05,414578721.3912,,-6.666599999999999,2.7779200000000017,,
1982-01-06,414628134.6,,-20.5556,-2.7776799999999984,,
1982-01-07,414578721.3912,,-20.5556,-7.222159999999999,,
1982-01-08,414527334.6144,,-19.44448,-11.111079999999998,,
1982-01-09,414427311.7212,,-13.333319999999999,-0.5554399999999973,,
1982-01-10,414427311.7212,,-12.777759999999999,-2.7776799999999984,,
1982-01-11,414588663.24,,-13.333319999999999,-2.2221199999999968,,
1982-01-12,414628134.6,,-16.11112,1.1112400000000022,,
1982-01-13,414277937.2932,,-8.333279999999998,1.666800000000002,,
1982-01-14,414378317.89559996,,-5.5554799999999975,3.8890400000000014,,
1982-01-15,414327362.8368,,-8.333279999999998,6.666840000000004,,
1982-01-16,414628134.6,,-0.5554399999999973,5.000160000000005,,
1982-01-17,414929177.7288,,-0.5554399999999973,3.8890400000000014,,
1982-01-18,415080747.7512,,-3.888799999999998,6.666840000000004,,
1982-01-19,415129852.59000003,,-4.444359999999998,3.3334800000000016,,
1982-01-20,415331020.8432,,-12.222199999999999,1.1112400000000022,,
1982-01-21,415181313.3756,,-12.777759999999999,-1.666559999999997,,
1982-01-22,415029286.96559995,,-7.777719999999999,-1.110999999999997,,
1982-01-23,414378317.89559996,,-7.777719999999999,-0.5554399999999973,,
1982-01-24,413727965.5656,,-6.111039999999997,6.666840000000004,,
1982-01-25,412428728.74679995,,-4.444359999999998,7.222400000000004,,
1982-01-26,409943377.56,,-2.2221199999999968,2.7779200000000017,,
1982-01-27,406905279.3156,,-2.2221199999999968,6.666840000000004,,
1982-01-28,404145910.54679996,,-5.5554799999999975,4.444600000000001,,
1982-01-29,401156103.04440004,,-9.444399999999998,3.3334800000000016,,
1982-01-30,398089708.7688,,-11.111079999999998,1.1112400000000022,,
1982-01-31,395220560.28000003,,-8.888839999999998,3.8890400000000014,,
1982-02-01,392414936.0112,,-7.222159999999999,3.8890400000000014,,
1982-02-02,389417961.99,,-9.444399999999998,2.222360000000002,,
1982-02-03,386345091.9444,,-8.333279999999998,2.222360000000002,,
1982-02-04,383581714.3656,,-15.0,0.0001200000000025625,,
1982-02-05,380427940.36679995,,-21.666719999999998,-10.555519999999998,,
1982-02-06,377011620.15,,-23.333399999999997,-11.666639999999997,,
1982-02-07,373721472.6024,,-23.333399999999997,-9.444399999999998,,
1982-02-08,370505592.8856,,-19.44448,-7.222159999999999,,
1982-02-09,367645769.5056,,-21.666719999999998,-9.444399999999998,,
1982-02-10,364620585.79679996,,-23.333399999999997,-4.999919999999998,,
1982-02-11,362082355.32240003,,-23.88896,-9.444399999999998,,
1982-02-12,359078942.53559995,,-21.666719999999998,-6.666599999999999,,
1982-02-13,355990111.2588,,-15.0,-1.110999999999997,,
1982-02-14,352605528.4824,,-8.888839999999998,1.1112400000000022,,
1982-02-15,350214032.7888,,-1.666559999999997,4.444600000000001,,
1982-02-16,348386249.79,,0.5556800000000024,4.444600000000001,,
1982-02-17,346069231.6188,,0.0001200000000025625,6.666840000000004,,
1982-02-18,344080553.4888,,-1.110999999999997,8.333520000000004,,
1982-02-19,342553505.2488,,-1.110999999999997,5.000160000000005,,
1982-02-20,340408717.89,,0.5556800000000024,6.666840000000004,,
1982-02-21,338497440.63,,0.5556800000000024,6.666840000000004,,
1982-02-22,336623821.51440006,,1.1112400000000022,5.555720000000004,,
1982-02-23,335213645.5044,,-4.444359999999998,5.555720000000004,,
1982-02-24,333765083.59679997,,-12.222199999999999,0.5556800000000024,,
1982-02-25,331826201.0544,,-13.333319999999999,1.1112400000000022,,
1982-02-26,329854914.9924,,-11.666639999999997,3.8890400000000014,,
1982-02-27,327895606.0212,,-6.111039999999997,5.555720000000004,,
1982-02-28,325905040.66679996,,-4.999919999999998,8.333520000000004,,
1982-03-01,324187691.13240004,,2.7779200000000017,6.111280000000004,,
1982-03-02,322000015.67399997,,0.0001200000000025625,6.666840000000004,,
1982-03-03,320087060.8812,,-2.2221199999999968,6.111280000000004,,
1982-03-04,317927040.0444,,-3.333239999999998,5.555720000000004,,
1982-03-05,315696081.77279997,,-7.222159999999999,5.555720000000004,,
1982-03-06,313239026.6172,,-8.333279999999998,6.111280000000004,,
1982-03-07,310820061.324,,-8.333279999999998,7.222400000000004,,
1982-03-08,308379177.0912,,-5.5554799999999975,10.555760000000003,,
1982-03-09,305955709.596,,-2.7776799999999984,7.777960000000004,,
1982-03-10,303678693.1812,,-2.2221199999999968,12.778000000000002,,
1982-03-11,301420943.724,,-1.666559999999997,11.666880000000003,,
1982-03-12,299473969.5528,,-6.111039999999997,9.444640000000003,,
1982-03-13,297707342.4924,,-6.111039999999997,3.8890400000000014,,
1982-03-14,295782669.6396,,-5.5554799999999975,6.666840000000004,,
1982-03-15,293831785.3368,,0.5556800000000024,5.555720000000004,,
1982-03-16,291951382.0812,,-6.111039999999997,4.444600000000001,,
1982-03-17,289778311.026,,-6.111039999999997,4.444600000000001,,
1982-03-18,287495546.5944,,-5.5554799999999975,5.000160000000005,,
1982-03-19,285565828.8084,,-3.333239999999998,6.666840000000004,,
1982-03-20,283316504.0196,,-2.7776799999999984,4.444600000000001,,
