date,inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),outflow(m3/d),storage(m3)
1982-01-01,168764.50344960002,1232.9160000000002,,-2.377676799999998,-13.211096799999998,24465.7152,54185629.2636
1982-01-02,128224.8133632,1232.9342880000002,,-3.994356399999999,-15.133334399999999,24465.7152,54289377.2664
1982-01-03,249599.2264704,1232.9739120000002,,-3.2999063999999994,-10.722188,24465.7152,54514499.7012
1982-01-04,111514.7298816,1232.989152,,-0.022102399999997857,-18.2333592,24465.7152,54601546.3848
1982-01-05,116995.0500864,1233.004392,,-5.261033199999998,-20.6833788,24465.7152,54694082.0544
1982-01-06,116995.0500864,1233.019632,,-12.122199199999999,-30.639014,24465.7152,54786617.72400001
1982-01-07,116995.0500864,1233.034872,,-7.749941999999997,-24.5667432,24465.7152,54879153.3936
1982-01-08,116995.0500864,1233.0501120000001,,-7.794386799999998,-12.205533199999998,24465.7152,54971676.7284
1982-01-09,116995.0500864,1233.0684,,-5.788815199999998,-16.9666824,24465.7152,55064212.398
1982-01-10,116995.0500864,1233.08364,,-6.483265199999998,-19.938928399999998,24465.7152,55156748.067600004
1982-01-11,116995.0500864,1233.101928,,2.2056932000000025,-16.6611244,24465.7152,55249283.7372
1982-01-12,149974.834176,1233.123264,,1.3779088000000002,-12.2944228,26912.28672,55372348.036800005
1982-01-13,150610.9427712,1233.1446,,6.094613200000001,-9.061063599999999,26912.28672,55496053.746
1982-01-14,151002.3942144,1233.165936,,5.2612732000000015,-8.6277268,26912.28672,55620141.83400001
1982-01-15,115649.4357504,1233.181176,,5.2612732000000015,-1.3776687999999986,26912.28672,55708890.72
1982-01-16,204435.5162112,1233.211656,,3.3001464000000027,0.5445688000000004,26912.28672,55886413.1616
1982-01-17,116163.21576959999,1233.2268960000001,,3.5612595999999996,-1.5054475999999966,26912.28672,55975655.4396
1982-01-18,98376.6408192,1233.239088,,1.7279116000000023,-3.9499115999999983,26912.28672,56047123.2708
1982-01-19,62681.1623424,1233.245184,,-1.3332239999999977,-13.777767999999998,26912.28672,56082894.190799996
1982-01-20,80590.0658688,1233.2543280000002,,-1.5498923999999974,-15.744450399999998,26912.28672,56136562.905600004
1982-01-21,133974.2564352,1233.272616,,-0.5887735999999961,-14.083326,26912.28672,56243628.9696
1982-01-22,191052.7699968,1233.300048,,-3.3832403999999983,-12.816649199999999,29358.85824,56405313.528
1982-01-23,371756.54246399994,1233.35796,,6.877952800000006,-4.388803999999997,29358.85824,56747715.2412
1982-01-24,174318.2208,1233.382344,,5.961278800000002,-1.988784799999996,29358.85824,56892673.8108
1982-01-25,228925.6971264,1233.415872,,2.0723588,-1.855450399999997,29358.85824,57092250.874800004
1982-01-26,229953.2571648,1233.4494,,3.777928000000003,-3.733243199999997,29358.85824,57292851.7272
1982-01-27,175761.6979968,1233.473784,,2.1168036000000043,-6.9221575999999985,29358.85824,57439265.8032
1982-01-28,193988.65582080002,1233.501216,,2.994588400000005,-7.272160399999999,29358.85824,57603886.04400001
1982-01-29,213414.4336896,1233.531696,,3.777928000000003,-7.4888287999999985,29358.85824,57787933.5948
1982-01-30,197927.63596800002,1233.559128,,2.2056932000000025,-5.394367599999999,31805.42976,57954058.681200005
1982-01-31,121398.87882239999,1233.574368,,2.0334696,-8.494392399999997,29358.85824,58046100.958799995
1982-02-01,198612.67599360002,1233.6018000000001,,3.5168148000000024,-9.061063599999999,31805.42976,58212904.4592
1982-02-02,217108.7566848,1233.629232,,5.2612732000000015,-2.599900799999997,31805.42976,58398210.1596
1982-02-03,212215.61364479997,1233.6597120000001,,1.3779088000000002,-16.577790399999998,26912.28672,58583515.86
1982-02-04,209769.04212479998,1233.690192,,-10.283295599999999,-24.3500748,24465.7152,58768821.5604
1982-02-05,209769.04212479998,1233.690192,,-8.583281999999999,-24.1334064,24465.7152,58954127.2608
1982-02-06,209279.7278208,1233.720672,,-6.833267999999999,-23.1722876,23976.400896000003,59139432.96120001
1982-02-07,209769.04212479998,1233.751152,,-6.877712799999998,-22.2556136,24465.7152,59324726.3268
1982-02-08,209769.04212479998,1233.7785840000001,,-7.927721199999999,-26.138978,24465.7152,59510032.0272
1982-02-09,209279.7278208,1233.809064,,-6.483265199999998,-22.8222848,23976.400896000003,59695337.7276
1982-02-10,209279.7278208,1233.8395440000002,,-3.605464399999997,-26.272312399999997,23976.400896000003,59880643.427999996
1982-02-11,209279.7278208,1233.873072,,-3.644353599999997,-19.8944836,23976.400896000003,60065949.128400005
1982-02-12,209279.7278208,1233.927936,,0.23901080000000263,-19.8500388,23976.400896000003,60251254.8288
1982-02-13,345749.48720639996,1233.9767040000002,,1.0723508000000024,-3.8221327999999968,23976.400896000003,60573020.4216
1982-02-14,297111.6453888,1234.049856,,7.316845200000003,0.9390163999999999,23976.400896000003,60846149.898
1982-02-15,3799917.0220032004,1234.598496,,9.061303600000006,0.2834555999999999,102756.00384,64543321.176
1982-02-16,293710.910976,1234.635072,,8.366853600000006,-0.4165499999999973,61164.288,64775856.825600006
1982-02-17,288181.6593408,1234.677744,,6.705729200000004,-1.4165579999999984,15168.743424,65048862.954
1982-02-18,445887.65952,1234.7448000000002,,3.8223728000000037,-4.477693599999997,15168.743424,65479569.50040001
1982-02-19,241868.0604672,1234.7630880000002,,8.144629600000002,-0.0665471999999987,15168.743424,65706270.7896
1982-02-20,239250.2289408,1234.7630880000002,,11.594657200000004,0.3279004000000043,17615.314944,65927902.475999996
1982-02-21,260804.524032,1234.85148,,2.8168092000000016,-2.0721187999999984,17615.314944,66171095.3928
1982-02-22,173877.83792639998,1234.875864,,1.3779088000000002,-15.311113599999999,15168.743424,66329807.2644
1982-02-23,168617.70915840002,1234.86672,,0.6779032000000029,-9.761069199999998,15168.743424,66483252.1764
1982-02-24,141216.10813439998,1234.9185360000001,,1.3779088000000002,-12.166643999999998,15168.743424,66609301.497600004
1982-02-25,395610.614784,1234.949016,,3.8668176000000045,-13.211096799999998,195725.7216,66809186.9316
