date,outflow(m3/d),spill(m3/d),avg_temp(C),wse_tail(m)
1995-01-01,6361085.952,0.0,,938.4792
1995-01-02,6361085.952,0.0,,938.491392
1995-01-03,6361085.952,0.0,,938.50968
1995-01-04,6361085.952,0.0,,938.567592
1995-01-05,7095057.408,0.0,,938.5706400000001
1995-01-06,7095057.408,0.0,,938.5706400000001
1995-01-07,7095057.408,0.0,,938.543208
1995-01-08,7095057.408,0.0,,938.4487200000001
1995-01-09,6361085.952,0.0,,938.4365280000001
1995-01-10,5871771.647999999,0.0,,938.381664
1995-01-11,5137800.192000001,0.0,,938.2323120000001
1995-01-12,4648485.887999999,0.0,,938.165256
1995-01-13,3914514.432,0.0,,938.1439200000001
1995-01-14,4159171.584,0.0,,938.153064
1995-01-15,3914514.432,0.0,,938.153064
1995-01-16,3914514.432,0.0,,938.153064
1995-01-17,3914514.432,0.0,,938.1744
1995-01-18,3914514.432,0.0,,938.18964
1995-01-19,4159171.584,0.0,,938.210976
1995-01-20,4159171.584,0.0,,938.2140240000001
1995-01-21,4403828.7360000005,0.0,,938.28108
1995-01-22,4648485.887999999,0.0,,938.29632
1995-01-23,4893143.04,0.0,,938.3603280000001
1995-01-24,5137800.192000001,0.0,,938.439576
1995-01-25,5871771.647999999,0.0,,938.4487200000001
1995-01-26,5871771.647999999,0.0,,938.3969040000001
1995-01-27,5382457.3440000005,0.0,,938.363376
1995-01-28,5137800.192000001,0.0,,
1995-01-29,5137800.192000001,0.0,,938.381664
1995-01-30,5137800.192000001,0.0,,
1995-01-31,5137800.192000001,0.0,,
1995-02-01,5137800.192000001,0.0,,
1995-02-02,3425200.1279999996,0.0,,
1995-02-03,1223285.76,0.0,,
1995-02-04,1467942.9119999998,0.0,,
1995-02-05,1957257.216,0.0,,
1995-02-06,2201914.3680000002,0.0,,
1995-02-07,2201914.3680000002,0.0,,937.912272
1995-02-08,2446571.52,0.0,,
1995-02-09,2691228.6720000003,0.0,,938.0524800000001
1995-02-10,2935885.8239999996,0.0,,938.0677200000001
1995-02-11,3180542.976,0.0,,938.165256
