date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
1984-05-25 00:00:00+00:00,9.7,8.9,,,
1984-05-26 00:00:00+00:00,10.3,8.8,,,
1984-05-27 00:00:00+00:00,10.9,8.7,,,
1984-05-28 00:00:00+00:00,11.9,10.1,,,
1984-05-29 00:00:00+00:00,12.6,11.2,,,
1984-05-30 00:00:00+00:00,12.1,9.5,,,
1984-05-31 00:00:00+00:00,10.7,8.5,,,
1984-06-01 00:00:00+00:00,11.0,9.6,,,
1984-06-02 00:00:00+00:00,10.8,10.0,,,
1984-06-03 00:00:00+00:00,11.0,9.9,,,
1984-06-04 00:00:00+00:00,10.5,9.3,,,
1984-06-05 00:00:00+00:00,9.3,8.9,,,
1984-06-06 00:00:00+00:00,9.0,8.5,,,
1984-06-07 00:00:00+00:00,9.5,8.9,,,
1984-06-08 00:00:00+00:00,9.3,8.5,,,
1984-06-09 00:00:00+00:00,9.5,8.7,,,
1984-06-10 00:00:00+00:00,9.8,8.6,,,
1984-06-11 00:00:00+00:00,11.0,9.3,,,
1984-06-12 00:00:00+00:00,11.4,9.8,,,
1984-06-13 00:00:00+00:00,11.9,10.1,,,
1984-06-14 00:00:00+00:00,12.6,11.0,,,
1984-06-15 00:00:00+00:00,13.1,11.8,,,
1984-06-16 00:00:00+00:00,12.6,11.5,,,
1984-06-17 00:00:00+00:00,12.6,11.2,,,
1984-06-18 00:00:00+00:00,13.0,11.4,,,
1984-06-19 00:00:00+00:00,13.4,11.8,,,
1984-06-20 00:00:00+00:00,12.1,10.5,,,
1984-06-21 00:00:00+00:00,10.5,9.6,,,
1984-06-22 00:00:00+00:00,12.3,9.1,,,
1984-06-23 00:00:00+00:00,13.8,11.8,,,
1984-06-24 00:00:00+00:00,14.6,12.8,,,
1984-06-25 00:00:00+00:00,14.8,13.1,,,
1984-06-26 00:00:00+00:00,13.4,11.7,,,
1984-06-27 00:00:00+00:00,14.0,11.5,,,
1984-06-28 00:00:00+00:00,14.7,13.3,,,
1984-06-29 00:00:00+00:00,14.3,13.0,,,
1984-06-30 00:00:00+00:00,14.0,11.5,,,
1984-07-01 00:00:00+00:00,15.1,12.4,,,
1984-07-02 00:00:00+00:00,15.8,13.2,,,
