date,max_temp(C),min_temp(C),avg discharge (cfs),outflow(m3/d)
1982-08-01 00:00:00+00:00,,,106.0,259336.58112000002
1982-08-02 00:00:00+00:00,20.0,,101.0,247103.72351999997
1982-08-03 00:00:00+00:00,20.6,17.3,100.0,244657.152
1982-08-04 00:00:00+00:00,20.2,16.8,103.0,251996.86656
1982-08-05 00:00:00+00:00,21.3,17.1,102.0,249550.29504
1982-08-06 00:00:00+00:00,22.0,18.2,99.8,244167.83769599997
1982-08-07 00:00:00+00:00,21.6,18.6,101.0,247103.72351999997
1982-08-08 00:00:00+00:00,21.8,19.3,104.0,254443.43808000002
1982-08-09 00:00:00+00:00,22.1,19.0,106.0,259336.58112000002
1982-08-10 00:00:00+00:00,21.6,18.9,102.0,249550.29504
1982-08-11 00:00:00+00:00,20.9,18.2,104.0,254443.43808000002
1982-08-12 00:00:00+00:00,20.0,16.2,110.0,269122.8672
1982-08-13 00:00:00+00:00,20.3,16.8,109.0,266676.29568
1982-08-14 00:00:00+00:00,20.9,17.7,107.0,261783.15264
1982-08-15 00:00:00+00:00,20.9,17.8,104.0,254443.43808000002
1982-08-16 00:00:00+00:00,20.6,17.7,103.0,251996.86656
1982-08-17 00:00:00+00:00,20.4,17.8,95.6,233892.23731199998
1982-08-18 00:00:00+00:00,20.1,18.4,133.0,325394.01216
1982-08-19 00:00:00+00:00,20.6,17.4,125.0,305821.44
1982-08-20 00:00:00+00:00,21.1,18.6,105.0,256890.0096
1982-08-21 00:00:00+00:00,21.3,18.5,123.0,300928.29696
1982-08-22 00:00:00+00:00,21.7,19.2,127.0,310714.58304
1982-08-23 00:00:00+00:00,21.2,18.4,127.0,310714.58304
1982-08-24 00:00:00+00:00,20.4,17.7,128.0,313161.15456
1982-08-25 00:00:00+00:00,19.7,17.1,122.0,298481.72543999995
1982-08-26 00:00:00+00:00,19.9,17.2,110.0,269122.8672
1982-08-27 00:00:00+00:00,19.8,17.3,116.0,283802.29632
1982-08-28 00:00:00+00:00,19.7,17.1,118.0,288695.43936
1982-08-29 00:00:00+00:00,19.2,17.1,123.0,300928.29696
1982-08-30 00:00:00+00:00,19.0,17.2,147.0,359646.01344
1982-08-31 00:00:00+00:00,18.8,16.2,119.0,291142.01088
1982-09-01 00:00:00+00:00,18.5,15.8,119.0,291142.01088
1982-09-02 00:00:00+00:00,18.5,15.9,113.0,276462.58176000003
1982-09-03 00:00:00+00:00,18.2,16.2,95.4,233402.923008
1982-09-04 00:00:00+00:00,18.4,15.6,90.4,221170.06540800002
1982-09-05 00:00:00+00:00,18.4,15.7,101.0,247103.72351999997
1982-09-06 00:00:00+00:00,17.7,15.2,114.0,278909.15327999997
1982-09-07 00:00:00+00:00,18.7,15.6,113.0,276462.58176000003
1982-09-08 00:00:00+00:00,18.6,15.9,107.0,261783.15264
1982-09-09 00:00:00+00:00,18.6,15.9,97.1,237562.094592
1982-09-10 00:00:00+00:00,18.1,15.5,114.0,278909.15327999997
1982-09-11 00:00:00+00:00,15.6,13.5,95.6,233892.23731199998
1982-09-12 00:00:00+00:00,16.1,14.0,102.0,249550.29504
