date,avg gain (m3/d),computed flow(m3/d),inflow(m3/d),wse(m),outflow(m3/d),total avg discharge (m3/d),spill(m3/d),storage(m3)
1982-01-01,480359.8522368,,3503588.2795007997,891.945384,381665.15712,,,24558586.8
1982-01-02,406326.5980416,,3278699.4253823995,891.9545280000001,381665.15712,,,24583256.4
1982-01-03,505021.2931584,,3140370.2716416,891.9728160000001,381665.15712,,,24706604.4
1982-01-04,,,3684977.0919936,891.988056,381665.15712,,,24706604.4
1982-01-05,,,2697002.5807871995,891.9972,381665.15712,,,24829952.4
1982-01-06,,,1333283.6155392001,891.988056,381665.15712,,,24706604.4
1982-01-07,,,208912.7420928,891.960624,381665.15712,,,24583256.4
1982-01-08,,,5488638.547968,891.939288,381665.15712,,,24583256.4
1982-01-09,,,1332574.1097984,891.939288,381665.15712,,,24583256.4
1982-01-10,,,4063657.4318592,891.9362400000001,381665.15712,,,24459908.4
1982-01-11,,,2814927.3280511997,891.9240480000001,381665.15712,,,24459908.4
1982-01-12,,,2818450.39104,891.9331920000001,381665.15712,,,24459908.4
1982-01-13,,,2941635.2670719996,891.939288,381665.15712,,,24583256.4
1982-01-14,,,2832004.3972608,891.9514800000001,381665.15712,,,24583256.4
1982-01-15,,,2512922.5396223995,891.963672,381665.15712,,,24583256.4
1982-01-16,,,3327263.8700544,891.988056,381665.15712,,,24743608.8
1982-01-17,,,3148615.217664,892.000248,381665.15712,,,24829952.4
1982-01-18,,,2933096.7324671997,892.0124400000001,381665.15712,,,24829952.4
1982-01-19,,,2942369.238528,892.0246320000001,381665.15712,,,24953300.4
1982-01-20,,,2704464.6239232,892.015488,381665.15712,,,24829952.4
1982-01-21,,,1998824.4661248,892.8811200000001,381665.15712,,,28777088.400000002
1982-01-22,,,3384587.0407680003,894.8745120000001,381665.15712,,,38151536.4
1982-01-23,,,3458742.6235392,896.697216,381665.15712,,,47279288.4
1982-01-24,,,3319067.8554624,898.370568,381665.15712,,,56283692.4
1982-01-25,,,3673771.794432,899.9372400000001,381665.15712,,,65041400.4
1982-01-26,,,3093420.5641728,900.7358160000001,381665.15712,,,69481928.4
1982-01-27,,,2957391.1876608,900.7723920000001,381665.15712,,,69851972.4
1982-01-28,,,2671729.4969856,900.766296,381665.15712,,,69728624.4
1982-01-29,,,2407377.4442496,900.751056,381665.15712,,,69728624.4
1982-01-30,,,2361479.7625344,900.748008,381665.15712,,,69728624.4
1982-01-31,,,2558967.0156288003,900.74496,381665.15712,,,69605276.4
1982-02-01,,,2836970.9374463996,900.6108480000001,1186587.1872,,,68865188.4
1982-02-02,,,2564276.0758271995,900.245088,2495502.9504,,,66768272.4
1982-02-03,,,2484640.1728511997,900.098784,4452760.1663999995,,,65904836.4
1982-02-04,,,2736025.3965312,900.955272,6899331.6864,,,70962104.4
1982-02-05,,,1619581.4148096,901.342368,9345903.2064,,,73182368.4
1982-02-06,,,1463294.4261120001,901.5435360000001,10153271.808,,,74415848.4
1982-02-07,,,2269292.9476608,901.762992,10153271.808,,,75772676.4
1982-02-08,,,2439500.9283072,901.9611120000001,10153271.808,,,77006156.4
