date,canal discharge (m3/d),outflow(m3/d)
1982-01-01,,1015327.1808
1982-01-02,,946823.17824
1982-01-03,,946823.17824
1982-01-04,,907678.03392
1982-01-05,,844067.1744
1982-01-06,,770670.0288
1982-01-07,,807368.6015999999
1982-01-08,,844067.1744
1982-01-09,,934590.3206399999
1982-01-10,,1044686.03904
1982-01-11,,929697.1775999999
1982-01-12,,868532.8896
1982-01-13,,954162.8928
1982-01-14,,1027560.0384
1982-01-15,,966395.7504
1982-01-16,,990861.4656
1982-01-17,,1149888.6144
1982-01-18,,1015327.1808
1982-01-19,,966395.7504
1982-01-20,,905231.4624
1982-01-21,,978628.608
1982-01-22,,941930.0352
1982-01-23,,990861.4656
1982-01-24,,1064258.6112
1982-01-25,,1039792.896
1982-01-26,,1076491.4688
1982-01-27,,966395.7504
1982-01-28,,978628.608
1982-01-29,,868532.8896
1982-01-30,,966395.7504
1982-01-31,,917464.32
1982-02-01,,880765.7472
1982-02-02,,941930.0352
1982-02-03,,831834.3168
1982-02-04,,733971.456
1982-02-05,,697272.8832
1982-02-06,,782902.8864
1982-02-07,,929697.1775999999
1982-02-08,,905231.4624
1982-02-09,,782902.8864
1982-02-10,,941930.0352
1982-02-11,,1003094.3232
1982-02-12,,954162.8928
1982-02-13,,905231.4624
1982-02-14,,954162.8928
1982-02-15,,1027560.0384
1982-02-16,,978628.608
1982-02-17,,917464.32
1982-02-18,,954162.8928
1982-02-19,,929697.1775999999
1982-02-20,,966395.7504
1982-02-21,,978628.608
1982-02-22,,929697.1775999999
1982-02-23,,905231.4624
1982-02-24,,831834.3168
1982-02-25,,892998.6048
1982-02-26,,917464.32
1982-02-27,,919910.89152
1982-02-28,,905231.4624
1982-03-01,,922357.46304
1982-03-02,,963949.17888
1982-03-03,,927250.6060799999
1982-03-04,,924804.03456
1982-03-05,,902784.89088
1982-03-06,,892998.6048
1982-03-07,,892998.6048
1982-03-08,,892998.6048
1982-03-09,,897891.74784
1982-03-10,,892998.6048
1982-03-11,,907678.03392
1982-03-12,,924804.03456
1982-03-13,,880765.7472
1982-03-14,,880765.7472
1982-03-15,,919910.89152
1982-03-16,,880765.7472
1982-03-17,,895445.17632
1982-03-18,,880765.7472
1982-03-19,,919910.89152
1982-03-20,,880765.7472
1982-03-21,,868532.8896
1982-03-22,,868532.8896
1982-03-23,,868532.8896
1982-03-24,,880765.7472
1982-03-25,,856300.032
1982-03-26,,895445.17632
1982-03-27,,907678.03392
1982-03-28,,919910.89152
1982-03-29,,959056.03584
1982-03-30,,907678.03392
1982-03-31,,907678.03392
1982-04-01,,919910.89152
1982-04-02,,919910.89152
1982-04-03,,919910.89152
1982-04-04,,907678.03392
1982-04-05,,880765.7472
1982-04-06,,868532.8896
1982-04-07,,868532.8896
1982-04-08,,856300.032
1982-04-09,,868532.8896
1982-04-10,,856300.032
1982-04-11,,946823.17824
1982-04-12,,1184140.61568
1982-04-13,,1088724.3264
1982-04-14,,1184140.61568
1982-04-15,,1218392.61696
1982-04-16,,1120529.7561599999
1982-04-17,,1120529.7561599999
1982-04-18,,1135209.18528
