date,inflow(m3/d),power discharge (m3/d),wse(m),storage(m3)
1982-01-01,,,1073.5056,3254266847.88
1982-01-02,,,1073.4446400000002,3249387201.0
1982-01-03,,,1073.3867280000002,3244752091.53
1982-01-04,,,1073.3288160000002,3240110814.66
1982-01-05,,,1073.270904,3235475396.82
1982-01-06,,,1073.072784,3219615310.98
1982-01-07,,,1072.80456,3198208573.95
1982-01-08,,,1072.5241440000002,3175978489.02
1982-01-09,,,1072.24068,3153541796.19
1982-01-10,,,1072.173624,3148271752.89
1982-01-11,,,1071.9694080000002,3132240213.33
1982-01-12,,,1071.7530000000002,3115250259.81
1982-01-13,,,1071.560976,3100265019.66
1982-01-14,,,1071.40248,3087941629.35
1982-01-15,,,1071.1647360000002,3069456081.33
1982-01-16,,,1071.1434000000002,3067795817.25
1982-01-17,,,1071.079392,3062819958.93
1982-01-18,,,1071.012336,3057649519.14
1982-01-19,,,1070.954424,3053187405.2400002
1982-01-20,,,1070.8538400000002,3045448860.09
1982-01-21,,,1070.7867840000001,3040287979.77
1982-01-22,,,1070.628288,3028087320.7200003
1982-01-23,,,1070.582568,3024564501.84
1982-01-24,,,1070.542944,3021517189.5
1982-01-25,,,1070.475888,3016356000.81
1982-01-26,,,1070.387496,3009608248.4700003
1982-01-27,,,1070.311296,3003804416.7
1982-01-28,,,1070.2381440000001,2998233095.91
1982-01-29,,,1070.174136,2993358999.69
1982-01-30,,,1070.119272,2989176269.01
1982-01-31,,,1070.06136,2984766886.38
1982-02-01,,,1070.0004000000001,2980124992.77
1982-02-02,,,1069.9424880000001,2975715610.14
1982-02-03,,,1069.875432,2970609002.94
1982-02-04,,,1069.75656,2961629885.28
1982-02-05,,,1069.442616,2937985615.53
1982-02-06,,,1069.220112,2921245133.34
1982-02-07,,,1069.159152,2916709319.01
1982-02-08,,,1069.092096,2911719275.67
1982-02-09,,,1069.0189440000001,2906275003.32
1982-02-10,,,1068.9579840000001,2901739188.9900002
1982-02-11,,,1068.890928,2896749145.65
