date,wse(m),computed flow(m3/d),storage(m3),total avg discharge (m3/d)
1982-01-01,0.813816,,7065447.4488,
1982-01-02,0.8260080000000001,,7177213.0716,
1982-01-03,0.810768,,7037546.1312,
1982-01-04,0.8290560000000001,,7205188.398000001,
1982-01-05,0.8351520000000001,,7261163.7204,
1982-01-06,0.804672,,6981768.165600001,
1982-01-07,0.804672,,6981496.8,
1982-01-08,0.896112,,7823593.596,
1982-01-09,0.8991600000000001,,7851827.9532,
1982-01-10,0.8991600000000001,,7851827.9532,
1982-01-11,0.8991600000000001,,7851827.9532,
1982-01-12,0.8991600000000001,,7851827.9532,
1982-01-13,0.896112,,7823593.596,
1982-01-14,0.8930640000000001,,7795359.2388,
1982-01-15,0.8930640000000001,,7795359.2388,
1982-01-16,0.8930640000000001,,7795359.2388,
1982-01-17,0.896112,,7823593.596,
1982-01-18,0.8991600000000001,,7851827.9532,
1982-01-19,0.8930640000000001,,7795359.2388,
1982-01-20,0.8808720000000001,,7682557.4928,
1982-01-21,0.862584,,7513694.080800001,
1982-01-22,0.8686800000000001,,7569928.434,
1982-01-23,0.8930640000000001,,7795359.2388,
1982-01-24,0.8991600000000001,,7851827.9532,
1982-01-25,0.896112,,7823593.596,
1982-01-26,0.8930640000000001,,7795359.2388,
1982-01-27,0.8991600000000001,,7851827.9532,
1982-01-28,0.890016,,7767149.5512,
1982-01-29,0.88392,,7710742.5108,
1982-01-30,0.877824,,7654384.8096,
1982-01-31,0.862584,,7513694.080800001,
1982-02-01,0.88392,,7710742.5108,
1982-02-02,0.9052560000000001,,7908333.671999999,
1982-02-03,0.8808720000000001,,7682557.4928,
1982-02-04,0.896112,,7823593.596,
1982-02-05,1.030224,,9062809.278,
1982-02-06,1.00584,,8835663.936,
1982-02-07,1.030224,,9062809.278,
1982-02-08,1.0363200000000001,,9119746.7148,
1982-02-09,1.018032,,8949107.0916,
1982-02-10,1.0332720000000002,,9091265.6616,
1982-02-11,1.02108,,8977514.136,
1982-02-12,1.0363200000000001,,9119746.7148,
1982-02-13,1.042416,,9176745.8256,
1982-02-14,1.0789920000000002,,9520010.9748,
1982-02-15,1.109472,,9807683.180399999,
1982-02-16,1.139952,,10096761.5532,
1982-02-17,1.018032,,8949107.0916,
1982-02-18,0.92964,,8132530.9968,
