date,avg discharge (cfs),outflow(m3/d)
1987-12-15 00:00:00+00:00,11.0,26912.28672
1987-12-16 00:00:00+00:00,11.0,26912.28672
1987-12-17 00:00:00+00:00,11.0,26912.28672
1987-12-18 00:00:00+00:00,11.0,26912.28672
1987-12-19 00:00:00+00:00,11.0,26912.28672
1987-12-20 00:00:00+00:00,11.0,26912.28672
1987-12-21 00:00:00+00:00,11.0,26912.28672
1987-12-22 00:00:00+00:00,11.0,26912.28672
1987-12-23 00:00:00+00:00,11.0,26912.28672
1987-12-24 00:00:00+00:00,11.0,26912.28672
1987-12-25 00:00:00+00:00,11.0,26912.28672
1987-12-26 00:00:00+00:00,11.0,26912.28672
1987-12-27 00:00:00+00:00,11.0,26912.28672
1987-12-28 00:00:00+00:00,11.0,26912.28672
1987-12-29 00:00:00+00:00,11.0,26912.28672
1987-12-30 00:00:00+00:00,11.0,26912.28672
1987-12-31 00:00:00+00:00,11.0,26912.28672
1988-01-01 00:00:00+00:00,11.0,26912.28672
1988-01-02 00:00:00+00:00,11.0,26912.28672
1988-01-03 00:00:00+00:00,11.0,26912.28672
1988-01-04 00:00:00+00:00,11.0,26912.28672
1988-01-05 00:00:00+00:00,11.0,26912.28672
1988-01-06 00:00:00+00:00,11.0,26912.28672
1988-01-07 00:00:00+00:00,11.0,26912.28672
1988-01-08 00:00:00+00:00,11.0,26912.28672
1988-01-09 00:00:00+00:00,11.0,26912.28672
1988-01-10 00:00:00+00:00,11.0,26912.28672
1988-01-11 00:00:00+00:00,11.0,26912.28672
1988-01-12 00:00:00+00:00,11.0,26912.28672
1988-01-13 00:00:00+00:00,11.0,26912.28672
1988-01-14 00:00:00+00:00,11.0,26912.28672
1988-01-15 00:00:00+00:00,11.0,26912.28672
1988-01-16 00:00:00+00:00,11.0,26912.28672
1988-01-17 00:00:00+00:00,11.0,26912.28672
1988-01-18 00:00:00+00:00,11.0,26912.28672
1988-01-19 00:00:00+00:00,10.0,24465.7152
1988-01-20 00:00:00+00:00,10.0,24465.7152
1988-01-21 00:00:00+00:00,10.0,24465.7152
1988-01-22 00:00:00+00:00,10.0,24465.7152
1988-01-23 00:00:00+00:00,10.0,24465.7152
1988-01-24 00:00:00+00:00,10.0,24465.7152
1988-01-25 00:00:00+00:00,10.0,24465.7152
1988-01-26 00:00:00+00:00,10.0,24465.7152
1988-01-27 00:00:00+00:00,10.0,24465.7152
1988-01-28 00:00:00+00:00,10.0,24465.7152
1988-01-29 00:00:00+00:00,10.0,24465.7152
1988-01-30 00:00:00+00:00,10.0,24465.7152
1988-01-31 00:00:00+00:00,10.0,24465.7152
1988-02-01 00:00:00+00:00,10.0,24465.7152
1988-02-02 00:00:00+00:00,10.0,24465.7152
1988-02-03 00:00:00+00:00,10.0,24465.7152
1988-02-04 00:00:00+00:00,10.0,24465.7152
1988-02-05 00:00:00+00:00,10.0,24465.7152
1988-02-06 00:00:00+00:00,10.0,24465.7152
1988-02-07 00:00:00+00:00,10.0,24465.7152
