date,avg discharge (cfs),outflow(m3/d)
1984-06-18 00:00:00+00:00,618.0,1511981.19936
1984-06-19 00:00:00+00:00,618.0,1511981.19936
1984-06-20 00:00:00+00:00,699.0,1710153.4924799998
1984-06-21 00:00:00+00:00,770.0,1883860.0704
1984-06-22 00:00:00+00:00,832.0,2035547.5046400002
1984-06-23 00:00:00+00:00,883.0,2160322.65216
1984-06-24 00:00:00+00:00,878.0,2148089.7945600003
1984-06-25 00:00:00+00:00,833.0,2037994.07616
1984-06-26 00:00:00+00:00,733.0,1793336.9241600002
1984-06-27 00:00:00+00:00,632.0,1546233.20064
1984-06-28 00:00:00+00:00,620.0,1516874.3424
1984-06-29 00:00:00+00:00,674.0,1648989.20448
1984-06-30 00:00:00+00:00,704.0,1722386.35008
1984-07-01 00:00:00+00:00,730.0,1785997.2096000002
1984-07-02 00:00:00+00:00,769.0,1881413.49888
1984-07-03 00:00:00+00:00,762.0,1864287.4982399999
1984-07-04 00:00:00+00:00,628.0,1536446.91456
1984-07-05 00:00:00+00:00,543.0,1328488.33536
1984-07-06 00:00:00+00:00,496.0,1213499.47392
1984-07-07 00:00:00+00:00,397.0,971288.89344
1984-07-08 00:00:00+00:00,349.0,853853.46048
1984-07-09 00:00:00+00:00,354.0,866086.31808
1984-07-10 00:00:00+00:00,416.0,1017773.7523200001
1984-07-11 00:00:00+00:00,425.0,1039792.896
1984-07-12 00:00:00+00:00,360.0,880765.7472
1984-07-13 00:00:00+00:00,292.0,714398.8838399999
1984-07-14 00:00:00+00:00,214.0,523566.30528
1984-07-15 00:00:00+00:00,160.0,391451.4432
1984-07-16 00:00:00+00:00,130.0,318054.2976
1984-07-17 00:00:00+00:00,120.0,293588.5824
1984-07-18 00:00:00+00:00,90.0,220191.4368
1984-07-19 00:00:00+00:00,69.0,168813.43488
1984-07-20 00:00:00+00:00,54.0,132114.86208
1984-07-21 00:00:00+00:00,49.0,119882.00448
1984-07-22 00:00:00+00:00,48.0,117435.43295999999
1984-07-23 00:00:00+00:00,120.0,293588.5824
1984-07-24 00:00:00+00:00,130.0,318054.2976
1984-07-25 00:00:00+00:00,150.0,366985.728
1984-07-26 00:00:00+00:00,170.0,415917.1584
1984-07-27 00:00:00+00:00,155.0,379218.5856
1984-07-28 00:00:00+00:00,150.0,366985.728
1984-07-29 00:00:00+00:00,297.0,726631.7414399999
1984-07-30 00:00:00+00:00,518.0,1267324.04736
1984-07-31 00:00:00+00:00,745.0,1822695.7824
1984-08-01 00:00:00+00:00,861.0,2106498.0787199996
1984-08-02 00:00:00+00:00,877.0,2145643.22304
1984-08-03 00:00:00+00:00,826.0,2020868.07552
1984-08-04 00:00:00+00:00,748.0,1830035.49696
1984-08-05 00:00:00+00:00,681.0,1666115.20512
1984-08-06 00:00:00+00:00,647.0,1582931.7734400001
