date,computed flow(m3/d),wse(m),outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3)
1982-01-29,1277526.2505984,1919.548104,,,,,119042784.756
1982-01-30,867896.7810048,1919.5602960000003,,,,,119374874.5764
1982-01-31,1035707.1215615999,1919.578584,,,,,119874779.35080001
1982-02-01,1037811.1730688,1919.5968720000003,,,,,120376793.376
1982-02-02,953600.1813504,1919.612112,,,,,120794585.3868
1982-02-03,951863.1155712,1919.627352,,,,,121217977.39680001
1982-02-04,1011021.2149248,1919.6456400000002,,,,,121700539.44240001
1982-02-05,933734.0206079999,1919.6608800000001,,,,,122105811.6312
1982-02-06,528459.44832,1919.6608800000001,,,,,122105811.6312
1982-02-07,1331595.4811904,1919.69136,,,,,122916294.33479999
1982-02-08,1246014.4094208,1919.7187920000001,,,,,123648525.0672
1982-02-09,689933.16864,1919.7187920000001,,,,,123648525.0672
1982-02-10,1309038.0917759999,1919.73708,,,,,124140399.8868
1982-02-11,1071671.7229056,1919.7462240000002,,,,,124385122.3188
1982-02-12,911323.4254848,1919.7492720000002,,,,,124469492.35080001
1982-02-13,907335.5139072001,1919.75232,,,,,124549878.2424
1982-02-14,1407096.6782976,1919.773656,,,,,125130045.5604
1982-02-15,1229891.503104,1919.7888960000002,,,,,125542780.30319999
1982-02-16,1149717.3543936,1919.8010880000002,,,,,125875338.846
1982-02-17,1233145.4432255998,1919.8224240000002,,,,,126457701.75840001
1982-02-18,933636.1577472,1919.840712,,,,,126960751.9068
1982-02-19,1017969.4780416,1919.8620480000002,,,,,127548122.74800001
1982-02-20,1201927.1906303999,1919.8894800000003,,,,,128312115.5904
1982-02-21,1119012.8818176,1919.913864,,,,,128993181.5724
1982-02-22,1111061.5243776,1919.9382480000002,,,,,129673655.48400001
1982-02-23,690495.8800896,1919.947392,,,,,129933549.72
1982-02-24,767391.6229632001,1919.9595840000002,,,,,130277678.30520001
1982-02-25,703266.983424,1919.9656800000002,,,,,130557690.60000001
1982-02-26,682299.8654975999,1919.9748240000001,,,,,130816721.4
1982-02-27,941318.39232,1919.9931119999999,,,,,131334783.0
1982-02-28,941318.39232,1920.0114,,,,,131852844.60000001
1982-03-01,1027657.9012608001,1920.032736,,,,,132457249.8
1982-03-02,1206526.7450879999,1920.060168,,,,,133240509.60000001
1982-03-03,1299031.6142592002,1920.090648,,,,,134116280.4
1982-03-04,1205352.3907584,1920.1180800000002,,,,,134905707.6
1982-03-05,1211517.7509888,1920.145512,,,,,135701302.2
1982-03-06,1032648.9071616,1920.166848,,,,,136318042.2
1982-03-07,946309.3982208,1920.185136,,,,,136848438.6
1982-03-08,1662910.1964288,1920.227808,,,,,138088086.0
1982-03-09,1225022.8257791998,1920.2582880000002,,,,,138889848.0
1982-03-10,502550.2559232,1920.2582880000002,,,,,138969148.4292
1982-03-11,1124126.2162944002,1920.2826720000003,,,,,139670011.76520002
1982-03-12,1037199.5301888,1920.304008,,,,,140283951.7656
1982-03-13,1402154.6038272,1920.337536,,,,,141255502.2876
1982-03-14,1234417.660416,1920.364968,,,,,142059311.8644
1982-03-15,1054888.2422784,1920.3863039999999,,,,,142683613.0968
1982-03-16,1338029.964288,1920.416784,,,,,143583708.12240002
1982-03-17,1069078.3570944,1920.43812,,,,,144214842.834
1982-03-18,1258589.7870335998,1920.4655520000001,,,,,145035489.4128
1982-03-19,1017113.1780096,1920.480792,,,,,145489878.7752
1982-03-20,1027046.2583808,1920.492984,,,,,145856358.018
1982-03-21,1027853.6269824,1920.5051760000001,,,,,146223626.68800002
1982-03-22,1028758.8584448,1920.517368,,,,,146591820.468
1982-03-23,1029688.5556224,1920.52956,,,,,146960939.358
1982-03-24,1040551.3331712,1920.541752,,,,,147331131.3756
1982-03-25,1232387.0060544,1920.56004,,,,,147883372.7064
1982-03-26,1165253.0835455998,1920.5752800000002,,,,,148351355.0184
1982-03-27,1162194.8691456,1920.59052,,,,,148816265.9652
1982-03-28,2294174.5800192,1920.6423360000001,,,,,150413178.5124
1982-03-29,983570.6824703999,1920.6514800000002,,,,,150699469.2204
1982-03-30,886808.7788544,1920.657576,,,,,150889005.7572
1982-03-31,1648989.20448,1920.6880560000002,,,,,151840721.9208
1982-04-01,1266565.6101888001,1920.706344,,,,,152410009.9452
1982-04-02,1568692.7271935998,1920.730728,,,,,153178665.342
1982-04-03,1191896.2473984,1920.739872,,,,,153470223.0096
1982-04-04,1004268.6775296,1920.74292,,,,,153564362.2032
1982-04-05,1103428.2212352,1920.7490160000002,,,,,153757660.854
1982-04-06,1103501.6183808001,1920.755112,,,,,153951045.8484
1982-04-07,1212936.7624704,1920.7642560000002,,,,,154244071.3572
1982-04-08,1113924.013056,1920.770352,,,,,154438073.0916
1982-04-09,1156225.2346368,1920.776448,,,,,154627893.3288
1982-04-10,1277844.3048959998,1920.7855920000002,,,,,154922213.9916
1982-04-11,1764687.5716608,1920.809976,,,,,155703389.2104
1982-04-12,1331155.0983168,1920.8008320000001,,,,,155407576.0368
1982-04-13,1531088.9229312,1920.782544,,,,,154822376.1204
1982-04-14,1329540.3611136,1920.75816,,,,,154050316.3188
1982-04-15,1615642.4346624,1920.74292,,,,,153564362.2032
1982-04-16,1523333.2912128,1920.7246320000002,,,,,152986094.4444
1982-04-17,1319387.0893056,1920.700248,,,,,152218561.5144
1982-04-18,1327852.2267648,1920.6758640000003,,,,,151459490.2572
1982-04-19,1040624.7303168,1920.6423360000001,,,,,150413178.5124
1982-04-20,1520519.7339648,1920.6240480000001,,,,,149846764.4964
1982-04-21,1339693.6329216,1920.599664,,,,,149099522.3124
1982-04-22,1152261.7887744,1920.5691840000002,,,,,148164852.8424
1982-04-23,1714777.5126528,1920.556992,,,,,147792711.9264
1982-04-24,1806156.9589248,1920.5478480000002,,,,,147511934.874
1982-04-25,1720771.6128768001,1920.5356560000002,,,,,147145776.336
1982-04-26,1254479.54688,1920.5082240000002,,,,,146313325.35360003
1982-04-27,2086925.50656,1920.5082240000002,,,,,146313325.35360003
1982-04-28,2086925.50656,1920.5082240000002,,,,,146313325.35360003
1982-04-29,2086925.50656,1920.5082240000002,,,,,146313325.35360003
1982-04-30,2299777.2288,1920.5082240000002,,,,,146313325.35360003
1982-05-01,3455415.2862719996,1920.538704,,,,,147351520.8
1982-05-02,3255970.7759616,1920.566136,,,,,148190287.2
1982-05-03,3524653.260288,1920.596616,,,,,149121564.6
1982-05-04,3505521.0710015995,1920.6240480000001,,,,,149960331.0
1982-05-05,3511686.431232,1920.6514800000002,,,,,150805264.8
1982-05-06,3511686.431232,1920.678912,,,,,151650198.6
1982-05-07,4076868.9180671996,1920.7276800000002,,,,,153084760.5096
1982-05-08,2760662.3717376003,1920.730728,,,,,153178665.342
1982-05-09,2666762.9568,1920.730728,,,,,153178665.342
1982-05-10,2764625.8176,1920.730728,,,,,153178665.342
1982-05-11,6416623.125503999,1920.843504,,,,,156781722.096
1982-05-12,3127917.2226048,1920.8526480000003,,,,,157071614.5656
1982-05-13,3316988.2696704,1920.8648400000002,,,,,157452710.54639998
1982-05-14,4620203.5212288005,1920.91056,,,,,158892366.7284
1982-05-15,5479684.0962048,1920.97152,,,,,160824526.8048
1982-05-16,5969683.4402304,1921.029432,,,,,162683960.9004
1982-05-17,6403485.0364416,1921.0812480000002,,,,,164365551.8496
1982-05-18,6075301.9327488,1921.090392,,,,,164666940.35279998
1982-05-19,6458948.8127999995,1921.090392,,,,,164666940.35279998
1982-05-20,5617793.0585088,1921.0690560000003,,,,,163972589.7912
1982-05-21,4905767.3490432,1921.0385760000001,,,,,162982117.68600002
1982-05-22,4496162.3451648,1921.0080960000003,,,,,161997960.99839997
1982-05-23,4503453.1282944,1920.98676,,,,,161314687.08720002
1982-05-24,3749272.9915392,1920.950184,,,,,160146359.5008
1982-05-25,4770814.464,1920.950184,,,,,160146359.5008
1982-05-26,4549081.6871424,1920.947136,,,,,160046965.68240002
1982-05-27,4286882.617344,1920.9379920000001,,,,,159758750.74560001
1982-05-28,6767070.0300288005,1920.998952,,,,,161706070.2912
1982-05-29,4940019.3503232,1921.0020000000002,,,,,161801874.6828
1982-05-30,3500945.9822592,1920.9654240000002,,,,,160629858.9912
1982-05-31,3339349.9333632,1920.9318960000003,,,,,159565378.086
1982-06-01,3219785.9831808,1920.9014160000002,,,,,158601536.814
1982-06-02,2936937.8497536,1920.8648400000002,,,,,157452710.54639998
1982-06-03,2827135.7199359997,1920.8282640000002,,,,,156291931.8576
1982-06-04,3722213.910528,1920.846552,,,,,156882534.4164
1982-06-05,3163465.9067904,1920.8678880000002,,,,,157550488.506
1982-06-06,3118228.7993856,1920.886176,,,,,158124291.0672
1982-06-07,3262967.9705088,1920.907512,,,,,158793898.02
1982-06-08,3100956.0044544,1920.919704,,,,,159179163.1632
1982-06-09,2477838.7040256,1920.91056,,,,,158892366.7284
1982-06-10,2666151.31392,1920.907512,,,,,158793898.02
1982-06-11,2814168.89088,1920.91056,,,,,158892366.7284
1982-06-12,2424870.4306175997,1920.9014160000002,,,,,158601536.814
1982-06-13,3030984.0589823998,1920.91056,,,,,158892366.7284
1982-06-14,3363057.211392,1920.9288480000002,,,,,159466341.9768
1982-06-15,3179368.6216704,1920.9379920000001,,,,,159758750.74560001
1982-06-16,3467134.3638528003,1920.953232,,,,,160241078.43
1982-06-17,3985489.4717952,1920.9806640000002,,,,,161119427.2032
1982-06-18,3375803.8490112,1920.98676,,,,,161314687.08720002
1982-06-19,3032158.4133119998,1920.9806640000002,,,,,161141827.2
1982-06-20,2890673.1823104,1920.97152,,,,,160851959.4
1982-06-21,3252839.164416,1920.974568,,,,,160924253.6628
1982-06-22,3080820.7208448,1920.97152,,,,,160824526.8048
1982-06-23,4182365.0820096,1921.0020000000002,,,,,161801874.6828
1982-06-24,3621586.4239104,1921.014192,,,,,162242917.79160002
1982-06-25,2322456.9467904,1921.029432,,,,,162683960.9004
1982-06-26,3511050.3226368,1921.0964880000001,,,,,164866517.4168
1982-06-27,3423047.1450623996,1921.1544000000001,,,,,166772688.0696
1982-06-28,588131.3276928,1921.126968,,,,,165868411.54680002
1982-06-29,2970137.82528,1921.111728,,,,,165364411.6188
1982-06-30,3180494.0445696,1921.1086800000003,,,,,165266510.3112
1982-07-01,2438864.819712,1921.099536,,,,,164916276.0
1982-07-02,2193057.7790976,1921.087344,,,,,164564906.88720003
1982-07-03,2597524.982784,1921.090392,,,,,164666940.35279998
1982-07-04,2744001.2196863997,1921.0964880000001,,,,,164866517.4168
1982-07-05,2988805.1659776,1921.1056320000002,,,,,165164094.4668
