date,max_temp(C),min_temp(C),avg_temp(C)
2023-01-20 00:00:00+00:00,,6.6,
2023-01-21 00:00:00+00:00,7.6,5.9,6.5
2023-01-22 00:00:00+00:00,6.7,5.0,5.9
2023-01-23 00:00:00+00:00,8.2,6.0,6.9
2023-01-24 00:00:00+00:00,8.4,5.9,7.0
2023-01-25 00:00:00+00:00,6.9,6.2,6.6
2023-01-26 00:00:00+00:00,7.5,6.8,7.0
2023-01-27 00:00:00+00:00,9.3,6.7,7.7
2023-01-28 00:00:00+00:00,8.5,5.9,7.5
2023-01-29 00:00:00+00:00,5.9,2.5,4.4
2023-01-30 00:00:00+00:00,4.6,1.3,2.7
2023-01-31 00:00:00+00:00,4.5,2.2,3.1
2023-02-01 00:00:00+00:00,5.5,2.2,3.3
2023-02-02 00:00:00+00:00,5.5,2.2,3.5
2023-02-03 00:00:00+00:00,6.6,3.2,4.5
2023-02-04 00:00:00+00:00,6.8,5.4,6.0
2023-02-05 00:00:00+00:00,7.7,6.0,6.8
2023-02-06 00:00:00+00:00,8.7,6.2,7.2
2023-02-07 00:00:00+00:00,8.8,6.7,7.3
2023-02-08 00:00:00+00:00,8.8,5.6,6.9
2023-02-09 00:00:00+00:00,9.5,5.4,7.1
2023-02-10 00:00:00+00:00,9.1,6.8,7.6
2023-02-11 00:00:00+00:00,8.6,5.6,6.7
2023-02-12 00:00:00+00:00,8.5,4.9,6.3
2023-02-13 00:00:00+00:00,7.5,5.3,6.1
2023-02-14 00:00:00+00:00,7.1,4.6,5.7
2023-02-15 00:00:00+00:00,7.8,4.2,5.4
2023-02-16 00:00:00+00:00,6.9,3.9,5.1
2023-02-17 00:00:00+00:00,8.8,4.8,6.4
2023-02-18 00:00:00+00:00,9.4,6.3,7.5
2023-02-19 00:00:00+00:00,8.6,6.5,7.4
2023-02-20 00:00:00+00:00,9.4,6.9,8.0
2023-02-21 00:00:00+00:00,8.7,6.0,7.2
2023-02-22 00:00:00+00:00,6.6,4.7,5.8
2023-02-23 00:00:00+00:00,4.7,1.1,2.6
2023-02-24 00:00:00+00:00,4.7,0.6,2.1
2023-02-25 00:00:00+00:00,5.7,0.9,2.9
2023-02-26 00:00:00+00:00,4.9,2.5,3.5
2023-02-27 00:00:00+00:00,6.6,3.9,5.0
2023-02-28 00:00:00+00:00,6.1,4.5,5.3
2023-03-01 00:00:00+00:00,7.4,4.2,5.8
2023-03-02 00:00:00+00:00,7.7,5.7,6.5
2023-03-03 00:00:00+00:00,7.4,5.6,6.4
2023-03-04 00:00:00+00:00,8.1,5.9,6.8
2023-03-05 00:00:00+00:00,7.3,5.6,6.3
2023-03-06 00:00:00+00:00,8.7,5.7,6.9
2023-03-07 00:00:00+00:00,9.0,6.3,7.3
2023-03-08 00:00:00+00:00,8.7,6.1,7.1
2023-03-09 00:00:00+00:00,7.5,6.5,6.9
2023-03-10 00:00:00+00:00,8.3,6.0,7.1
2023-03-11 00:00:00+00:00,9.3,6.5,7.9
2023-03-12 00:00:00+00:00,8.2,6.6,7.5
2023-03-13 00:00:00+00:00,8.3,7.1,8.1
2023-03-14 00:00:00+00:00,10.7,6.5,8.3
2023-03-15 00:00:00+00:00,10.4,7.1,8.6
2023-03-16 00:00:00+00:00,10.9,6.6,8.6
2023-03-17 00:00:00+00:00,11.3,6.7,9.0
2023-03-18 00:00:00+00:00,12.6,7.7,10.0
2023-03-19 00:00:00+00:00,10.3,8.8,9.5
2023-03-20 00:00:00+00:00,10.6,8.6,9.5
2023-03-21 00:00:00+00:00,13.0,7.9,10.1
2023-03-22 00:00:00+00:00,13.4,8.3,10.5
2023-03-23 00:00:00+00:00,10.4,7.7,9.2
2023-03-24 00:00:00+00:00,10.6,6.7,8.1
2023-03-25 00:00:00+00:00,9.9,6.1,7.7
2023-03-26 00:00:00+00:00,10.3,6.5,7.9
2023-03-27 00:00:00+00:00,9.5,6.3,7.8
2023-03-28 00:00:00+00:00,8.2,7.4,7.9
2023-03-29 00:00:00+00:00,11.4,6.7,8.7
2023-03-30 00:00:00+00:00,10.6,8.2,9.3
2023-03-31 00:00:00+00:00,9.2,8.3,8.7
2023-04-01 00:00:00+00:00,10.8,7.7,9.0
2023-04-02 00:00:00+00:00,9.4,7.7,8.4
2023-04-03 00:00:00+00:00,10.6,6.9,8.6
2023-04-04 00:00:00+00:00,10.7,7.6,9.1
2023-04-05 00:00:00+00:00,9.9,7.6,8.9
2023-04-06 00:00:00+00:00,10.7,8.9,9.8
2023-04-07 00:00:00+00:00,12.5,9.8,10.9
2023-04-08 00:00:00+00:00,11.2,9.3,10.3
2023-04-09 00:00:00+00:00,11.5,10.1,10.8
2023-04-10 00:00:00+00:00,11.1,9.5,10.6
2023-04-11 00:00:00+00:00,11.9,8.4,9.9
2023-04-12 00:00:00+00:00,12.1,8.0,9.9
2023-04-13 00:00:00+00:00,12.1,8.0,9.8
2023-04-14 00:00:00+00:00,14.5,8.3,11.2
2023-04-15 00:00:00+00:00,12.2,9.3,10.7
2023-04-16 00:00:00+00:00,12.3,9.7,10.7
2023-04-17 00:00:00+00:00,11.4,8.6,9.6
2023-04-18 00:00:00+00:00,10.8,7.5,9.1
2023-04-19 00:00:00+00:00,11.0,8.2,9.4
2023-04-20 00:00:00+00:00,9.3,7.9,8.4
2023-04-21 00:00:00+00:00,11.5,8.3,10.0
2023-04-22 00:00:00+00:00,14.5,10.2,12.2
2023-04-23 00:00:00+00:00,13.3,11.1,12.4
2023-04-24 00:00:00+00:00,13.6,10.2,11.9
2023-04-25 00:00:00+00:00,16.2,10.2,13.1
2023-04-26 00:00:00+00:00,17.3,11.2,14.3
2023-04-27 00:00:00+00:00,19.1,12.6,15.8
2023-04-28 00:00:00+00:00,20.3,13.4,16.9
2023-04-29 00:00:00+00:00,21.5,15.1,18.0
2023-04-30 00:00:00+00:00,17.0,14.3,15.5
2023-05-01 00:00:00+00:00,15.6,13.2,14.0
2023-05-02 00:00:00+00:00,16.2,12.7,14.0
2023-05-03 00:00:00+00:00,19.8,12.5,15.8
2023-05-04 00:00:00+00:00,15.1,12.3,13.4
2023-05-05 00:00:00+00:00,14.7,11.4,12.9
2023-05-06 00:00:00+00:00,18.0,11.9,14.4
2023-05-07 00:00:00+00:00,19.2,12.6,15.1
2023-05-08 00:00:00+00:00,19.2,12.8,15.2
2023-05-09 00:00:00+00:00,18.9,13.1,15.5
2023-05-10 00:00:00+00:00,21.4,12.8,16.7
2023-05-11 00:00:00+00:00,22.9,14.3,18.2
2023-05-12 00:00:00+00:00,24.5,15.4,19.4
2023-05-13 00:00:00+00:00,25.2,16.4,20.3
2023-05-14 00:00:00+00:00,25.9,17.5,21.2
