date,inflow(m3/d),outflow(m3/d),total avg discharge (m3/d),avg air temperature (C),max air temperature (C),min air temperature (C)
1982-01-01,8177885.4970368,1945024.3584,,,,
1982-01-02,11028483.837849598,1932791.5008,,,,
1982-01-03,11123312.949964799,1949917.50144,,,,
1982-01-04,12348751.6929024,2025761.21856,,,,
1982-01-05,11345314.8496896,2008635.21792,,,,
1982-01-06,11773685.0571264,2436785.23392,,,,
1982-01-07,12076986.5284608,2740160.1023999997,,,,
1982-01-08,12143704.5338112,2764625.8176,,,,
1982-01-09,12384300.377088,2764625.8176,,,,
1982-01-10,12373437.5995392,2764625.8176,,,,
1982-01-11,6737050.5974784,2691228.672,,,,
1982-01-12,6859379.1734784,2813557.248,,,,
1982-01-13,6853678.6618368,2813557.248,,,,
1982-01-14,13031663.20128,2911420.1088,,,,
1982-01-15,13949788.095590401,2740160.1023999997,,,,
1982-01-16,12614400.428544,2740160.1023999997,,,,
1982-01-17,12604296.088166399,2740160.1023999997,,,,
1982-01-18,12585628.7474688,2715694.3871999998,,,,
1982-01-19,13034794.8128256,2666762.9568,,,,
1982-01-20,12121636.4587008,2740160.1023999997,,,,
1982-01-21,12910875.9653376,2789091.5328,,,,
1982-01-22,13432778.601984,2764625.8176,,,,
1982-01-23,11283587.85024,2764625.8176,,,,
1982-01-24,11265972.535296,2740160.1023999997,,,,
1982-01-25,11793355.4921472,2740160.1023999997,,,,
1982-01-26,11360336.7988224,2740160.1023999997,,,,
1982-01-27,12037449.9326976,2740160.1023999997,,,,
1982-01-28,12012910.820352001,2715694.3871999998,,,,
1982-01-29,12110773.681152001,2813557.248,,,,
1982-01-30,9912137.7189888,2789091.5328,,,,
1982-01-31,11518629.9761664,2764625.8176,,,,
1982-02-01,2781458.2296576,2789091.5328,,,,
1982-02-02,21230344.5562368,2886954.3936,,,,
1982-02-03,12182262.5009664,3180542.976,,,,
1982-02-04,12193174.209945599,3767720.1408,,,,
1982-02-05,12940773.069312,3938980.1472,,,,
1982-02-06,9501921.0722304,3890048.7168,,,,
1982-02-07,9584419.463884799,3963445.8624,,,,
1982-02-08,8885629.7063424,3816651.5712,,,,
1982-02-09,10134433.207296,3865583.0016,,,,
1982-02-10,9080230.0050432,3890048.7168,,,,
1982-02-11,9083973.2594688,3865583.0016,,,,
1982-02-12,13706231.9007744,3890048.7168,,,,
1982-02-13,11944578.0777984,3865583.0016,,,,
1982-02-14,12002439.494246399,3914514.432,,,,
1982-02-15,11904576.6334464,3816651.5712,,,,
1982-02-16,10808219.003904,3865583.0016,,,,
1982-02-17,12087335.5259904,3865583.0016,,,,
1982-02-18,13342622.441472001,3841117.2864,,,,
1982-02-19,27589155.1967232,3841117.2864,,,,
1982-02-20,15044433.125068799,4942074.4704,,,,
1982-02-21,15672981.814272001,5578183.0656,,,,
1982-02-22,15994926.160588799,5651580.2112,,,,
1982-02-23,15971708.196864,5627114.496,,,,
1982-02-24,24478608.631910402,5602648.7808,,,,
1982-02-25,20197964.771942403,5602648.7808,,,,
1982-02-26,17078855.2068096,6556811.6736,,,,
1982-02-27,17592170.377420798,7070591.6928,,,,
1982-02-28,17612941.7696256,7095057.408,,,,
1982-03-01,16299083.9319552,6972728.8319999995,,,,
1982-03-02,17664760.1544192,7095057.408,,,,
1982-03-03,21318470.062387202,7021660.2624,,,,
1982-03-04,20060883.3696768,6825934.5408,,,,
1982-03-05,19234798.4959488,8465137.4592,,,,
1982-03-06,24544445.8715136,9321437.4912,,,,
1982-03-07,24555944.7576576,9345903.2064,,,,
1982-03-08,15653653.899263998,9321437.4912,,,,
1982-03-09,33748765.9840512,9345903.2064,,,,
1982-03-10,24827220.6077952,9321437.4912,,,,
1982-03-11,25382788.0685568,9908614.656,,,,
1982-03-12,21445814.1100032,10446860.3904,,,,
1982-03-13,28102592.6959104,10446860.3904,,,,
1982-03-14,28369146.663014397,10618120.3968,,,,
1982-03-15,29043274.9796352,11278694.7072,,,,
1982-03-16,29401746.638745602,11670146.1504,,,,
1982-03-17,30394467.4987008,11621214.72,,,,
1982-03-18,29829921.1204608,11743543.296,,,,
1982-03-19,17883703.839743998,11865871.872,,,,
1982-03-20,32040520.8173568,11939269.0176,,,,
1982-03-21,32218704.6211584,11816940.4416,,,,
1982-03-22,31720607.1254016,11939269.0176,,,,
1982-03-23,32314512.3618816,11865871.872,,,,
1982-03-24,26174547.5438592,11792474.7264,,,,
1982-03-25,32502091.00032,13040226.2016,,,,
1982-03-26,41802952.8250368,32784058.368,,,,
1982-03-27,32376875.4699264,33762686.975999996,,,,
1982-03-28,31923990.615859196,34007344.128,,,,
1982-03-29,29597227.7031936,33762686.975999996,,,,
1982-03-30,34013191.433932796,34007344.128,,,,
1982-03-31,31660519.3288704,33762686.975999996,,,,
1982-04-01,45209289.8866176,35475287.04,,,,
1982-04-02,45714384.576921605,36698572.8,,,,
1982-04-03,41815161.216921605,36943229.952,,,,
1982-04-04,41804371.83651839,36943229.952,,,,
1982-04-05,42256938.636288,36698572.8,,,,
1982-04-06,40401605.589811206,36943229.952,,,,
1982-04-07,34329802.254336,35719944.192,,,,
1982-04-08,34007344.128,34007344.128,,,,
1982-04-09,25510939.4847744,31071458.304,,,,
1982-04-10,27332289.6528384,30092829.696,,,,
1982-04-11,27315041.3236224,30092829.696,,,,
1982-04-12,27324289.363968,30092829.696,,,,
1982-04-13,34941322.805759996,30092829.696,,,,
1982-04-14,34252001.28,34252001.28,,,,
1982-04-15,39969076.2107904,37187887.104,,,,
1982-04-16,40400675.8926336,36943229.952,,,,
1982-04-17,41123490.98250239,36943229.952,,,,
1982-04-18,40660134.8023296,37187887.104,,,,
1982-04-19,41123809.0368,36943229.952,,,,
1982-04-20,40669382.842675194,37187887.104,,,,
1982-04-21,41427966.8081664,37187887.104,,,,
1982-04-22,40014411.181056,37187887.104,,,,
1982-04-23,40014557.9753472,37187887.104,,,,
1982-04-24,40707769.549824,37187887.104,,,,
1982-04-25,41695499.4038784,38166515.712,,,,
1982-04-26,39997750.0290048,37187887.104,,,,
1982-04-27,42841228.8466944,37187887.104,,,,
1982-04-28,41894112.079872,36943229.952,,,,
1982-04-29,39538210.500403196,36698572.8,,,,
1982-04-30,44509227.9118848,38166515.712,,,,
1982-05-01,50680777.968230404,39389801.472,,,,
1982-05-02,50440133.1935232,39145144.32,,,,
1982-05-03,52952737.678848006,42325687.296,,,,
1982-05-04,47249118.8914176,44282944.512,,,,
1982-05-05,62110499.53536,46974173.184,,,,
1982-05-06,55008689.5899648,48442116.096,,,,
1982-05-07,56441622.0635136,49910059.008,,,,
1982-05-08,59622018.2452224,53090601.984,,,,
1982-05-09,55383406.483968005,54558544.896,,,,
1982-05-10,56826687.9550464,56026487.808,,,,
1982-05-11,53987564.034662396,56760459.264,,,,
1982-05-12,55189393.362431996,57249773.567999996,,,,
1982-05-13,52776119.6808192,57005116.416,,,,
1982-05-14,53510678.313984,57005116.416,,,,
1982-05-15,42052282.92864,57005116.416,,,,
1982-05-16,51111937.2672,56760459.264,,,,
1982-05-17,52788352.538419195,57005116.416,,,,
1982-05-18,52771055.2777728,56271144.96,,,,
1982-05-19,50370112.316620804,53824573.44,,,,
1982-05-20,49162753.737215996,52601287.68,,,,
1982-05-21,50092304.1205248,52845944.832,,,,
1982-05-22,50103240.2952192,52845944.832,,,,
1982-05-23,58730022.7347456,50888687.616,,,,
1982-05-24,55217088.552038394,49420744.703999996,,,,
1982-05-25,54511839.8456832,47218830.336,,,,
1982-05-26,46852774.3051776,43793630.208,,,,
1982-05-27,45649232.377344005,42570344.448,,,,
1982-05-28,45889387.8377472,42081030.144,,,,
1982-05-29,46607578.907443196,42081030.144,,,,
1982-05-30,53669265.0799104,48442116.096,,,,
1982-05-31,57862737.5966208,53335259.136,,,,
1982-06-01,55503312.9541632,53824573.44,,,,
